Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.0,6.583219,6.545672,6.545672,1.527621,55930
1962-01-03,6.545672,6.645797,6.533156,6.645797,1.55099,74906
1962-01-04,6.645797,6.695859,6.645797,6.645797,1.55099,80899
1962-01-05,6.645797,6.683344,6.620766,6.633281,1.548068,70911
1962-01-08,6.60825,6.60825,6.357938,6.408,1.495492,93883
1962-01-09,6.408,6.508125,6.382969,6.382969,1.489649,64919
1962-01-10,6.382969,6.408,6.357938,6.395484,1.492571,34956
1962-01-11,6.370453,6.370453,6.332906,6.357938,1.483809,27965
1962-01-12,6.357938,6.370453,6.20775,6.20775,1.448758,26966
1962-01-15,6.157688,6.157688,6.082594,6.082594,1.419549,64919
1962-01-16,6.057563,6.057563,6.0075,6.0075,1.402024,27965
1962-01-17,6.0075,6.032531,6.0075,6.0075,1.402024,79900
1962-01-18,6.0075,6.0075,6.0075,6.0075,1.402024,89888
1962-01-19,6.0075,6.070078,6.0075,6.032531,1.407866,100874
1962-01-22,6.057563,6.145172,6.057563,6.057563,1.413708,69913
1962-01-23,6.057563,6.120141,6.020016,6.020016,1.404945,34956
1962-01-24,6.020016,6.020016,5.857313,5.982469,1.396181,45943
1962-01-25,5.982469,5.994984,5.919891,5.919891,1.381577,37953
1962-01-26,5.919891,5.944922,5.919891,5.944922,1.38742,37953
1962-01-29,5.944922,5.982469,5.919891,5.932406,1.384498,42946
1962-01-30,5.944922,5.994984,5.944922,5.994984,1.399103,30961
1962-01-31,5.994984,6.0075,5.969953,5.982469,1.396181,55930
1962-02-01,5.969953,5.969953,5.882344,5.944922,1.38742,67915
1962-02-02,5.944922,5.982469,5.907375,5.919891,1.381577,30961
1962-02-05,5.957438,5.994984,5.957438,5.957438,1.39034,72909
1962-02-06,5.919891,5.919891,5.832281,5.882344,1.379771,40949
1962-02-07,5.894859,5.957438,5.894859,5.919891,1.388579,45943
1962-02-08,5.919891,5.944922,5.857313,5.894859,1.382707,51935
1962-02-09,5.894859,5.932406,5.832281,5.832281,1.368028,33958
1962-02-12,5.832281,5.844797,5.819766,5.819766,1.365093,16979
1962-02-13,5.882344,5.919891,5.882344,5.894859,1.382707,62921
1962-02-14,5.857313,5.857313,5.769703,5.80725,1.362157,56929
1962-02-15,5.80725,5.907375,5.757188,5.757188,1.350416,62921
1962-02-16,5.757188,5.844797,5.757188,5.844797,1.370965,55930
1962-02-19,5.857313,5.907375,5.857313,5.894859,1.382707,29963
1962-02-20,5.894859,5.994984,5.869828,5.994984,1.406193,40949
1962-02-21,6.0075,6.145172,6.0075,6.045047,1.417936,56929
1962-02-23,6.045047,6.095109,6.032531,6.082594,1.426743,72909
1962-02-26,6.082594,6.107625,5.982469,6.107625,1.432614,82896
1962-02-27,6.107625,6.132656,6.107625,6.107625,1.432614,27965
1962-02-28,6.107625,6.232781,6.057563,6.057563,1.420872,47940
1962-03-01,6.057563,6.307875,6.032531,6.282844,1.473713,74906
1962-03-02,6.282844,6.382969,6.282844,6.345422,1.488392,41948
1962-03-05,6.345422,6.445547,6.345422,6.433031,1.508941,56929
1962-03-06,6.445547,6.508125,6.445547,6.495609,1.52362,75905
1962-03-07,6.495609,6.533156,6.470578,6.470578,1.517749,45943
1962-03-08,6.470578,6.495609,6.433031,6.470578,1.517749,41948
1962-03-09,6.470578,6.508125,6.470578,6.495609,1.52362,72909
1962-03-12,6.533156,6.670828,6.533156,6.645797,1.55885,54931
1962-03-13,6.645797,6.670828,6.595734,6.658313,1.561783,36954
1962-03-14,6.658313,6.683344,6.658313,6.670828,1.56472,55930
1962-03-15,6.670828,6.733406,6.670828,6.670828,1.56472,41948
