Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,24.75,24.790001,24.6,24.74,22.121542,89600
2021-07-20,24.85,24.85,24.65,24.757,22.136744,16800
2021-07-21,24.799999,24.799999,24.73,24.77,22.148365,36700
2021-07-22,24.77,24.799999,24.74,24.77,22.148365,24400
2021-07-23,24.780001,24.780001,24.73,24.75,22.130484,16900
2021-07-26,24.75,24.870001,24.709999,24.868999,22.236891,23800
2021-07-27,24.799999,24.799999,23.709999,24.799999,22.175192,21900
2021-07-28,24.860001,24.860001,24.75,24.75,22.130484,17200
2021-07-29,24.860001,24.91,24.780001,24.790001,22.16625,23100
2021-07-30,24.799999,24.84,24.76,24.76,22.139427,13200
2021-08-02,24.780001,24.799999,24.75,24.75,22.130484,17100
2021-08-03,24.75,24.799999,24.74,24.76,22.139427,8900
2021-08-04,24.76,24.799999,24.719999,24.799999,22.175192,7200
2021-08-05,24.799999,24.799999,24.74,24.76,22.139427,22700
2021-08-06,24.775,24.775,24.674999,24.77,22.148365,31300
2021-08-09,24.77,24.84,24.725,24.799999,22.175192,17200
2021-08-10,24.84,24.84,24.73,24.764999,22.143896,23900
2021-08-11,24.84,24.84,24.815001,24.83,22.202017,8400
2021-08-12,24.82,24.879999,24.809999,24.84,22.210958,4500
2021-08-13,24.85,24.889999,24.76,24.889999,22.255667,5700
2021-08-16,24.799999,24.799999,24.790001,24.790001,22.16625,9700
2021-08-17,24.950001,25.030001,24.870001,25.030001,22.38085,6600
2021-08-18,25.0,25.030001,25.0,25.030001,22.38085,1300
2021-08-19,25.0,25.01,24.950001,24.950001,22.309319,7000
2021-08-20,24.950001,25.0,24.950001,25.0,22.354027,3600
2021-08-23,24.999001,25.0,24.919001,25.0,22.354027,3200
2021-08-24,25.0,25.0,24.986,25.0,22.354027,900
2021-08-25,24.959999,24.959999,24.879999,24.938,22.298586,11000
2021-08-26,24.950001,24.950001,24.948999,24.950001,22.309319,3600
2021-08-27,25.0,25.0,24.975,25.0,22.354027,1800
2021-08-30,25.0,25.049999,25.0,25.0,22.354027,2400
2021-08-31,25.049999,25.15,24.91,25.021999,22.373695,10800
2021-09-01,25.02,25.02,24.985001,25.01,22.362968,2700
2021-09-02,25.075001,25.075001,25.004999,25.006001,22.359388,3000
2021-09-03,25.0,25.02,24.98,25.01,22.362968,2000
2021-09-07,25.01,25.02,24.950001,24.950001,22.309319,4500
2021-09-08,25.01,25.01,24.950001,24.950001,22.309319,1900
2021-09-09,25.0,25.0,24.950001,24.983,22.338825,5500
2021-09-10,25.01,25.049999,25.01,25.01,22.362968,4300
2021-09-13,25.0,25.01,25.0,25.0,22.354027,4300
2021-09-14,24.99,25.0,24.98,24.98,22.33614,2800
2021-09-15,25.0,25.01,25.0,25.01,22.362968,4000
2021-09-16,25.0,25.035999,24.98,25.01,22.362968,3300
2021-09-17,25.0,25.15,25.0,25.15,22.488148,3500
2021-09-20,25.09,25.15,25.0,25.0,22.354027,5700
2021-09-21,24.99,24.99,24.950001,24.950001,22.309319,1100
2021-09-22,25.0,25.0,24.959999,25.0,22.354027,1700
2021-09-23,25.01,25.01,25.01,25.01,22.362968,1300
2021-09-24,25.01,25.01,24.959999,24.959999,22.318256,1700
2021-09-27,24.973,24.973,24.973,24.973,22.329882,400
2021-09-28,24.971001,24.971001,24.915001,24.969999,22.327198,1200
2021-09-29,25.059999,25.059999,24.969999,25.0,22.354027,2000
2021-09-30,25.0,25.0,24.985001,24.987,22.3424,900
2021-10-01,25.0,25.09,25.0,25.0,22.354027,4500
2021-10-04,25.091,25.139999,25.030001,25.049999,22.398733,4200
2021-10-05,25.01,25.02,24.99,25.01,22.362968,13600
2021-10-06,24.995001,24.995001,24.940001,24.98,22.33614,1500
2021-10-07,25.01,25.049999,25.0,25.01,22.362968,11600
2021-10-08,25.01,25.01,24.969999,24.99,22.345085,7800
2021-10-11,25.049999,25.15,24.969999,24.969999,22.327198,13300
2021-10-12,25.049999,25.950001,25.01,25.549999,22.845816,109900
2021-10-13,25.559999,25.700001,25.33,25.700001,22.979939,49300
2021-10-14,25.08,25.49,25.049999,25.469999,23.176485,26600
2021-10-15,25.290001,25.389999,25.25,25.25,22.976297,31200
2021-10-18,25.16,25.16,25.030001,25.049999,22.794306,11800
2021-10-19,25.049999,25.049999,25.0,25.0,22.748808,3900
2021-10-20,25.030001,25.035,24.950001,24.99,22.739706,2600
2021-10-21,25.02,25.5,25.02,25.1,22.839804,99100
2021-10-22,25.09,25.09,24.790001,24.83,22.594116,27200
2021-10-25,24.93,25.077999,24.9,24.950001,22.703312,4600
2021-10-26,25.0,25.079,24.969999,24.975,22.726061,2200
2021-10-27,24.98,25.013,24.950001,25.0,22.748808,4100
2021-10-28,25.014999,25.014999,25.0,25.0,22.748808,2100
2021-10-29,25.0,25.0,25.0,25.0,22.748808,0
2021-11-01,25.059999,25.07,24.889999,25.01,22.757912,3700
2021-11-02,25.016001,25.016001,25.01,25.01,22.757912,700
2021-11-03,25.014999,25.014999,24.950001,25.0,22.748808,1200
2021-11-04,25.035,25.035,24.969999,25.0,22.748808,1800
2021-11-05,25.049999,25.049999,25.01,25.01,22.757912,2400
2021-11-08,25.08,25.08,24.98,25.01,22.757912,2400
2021-11-09,24.972,25.01,24.972,25.0,22.748808,1500
2021-11-10,25.0,25.048,24.860001,24.965,22.716963,4000
2021-11-11,24.965,24.965,24.965,24.965,22.716963,0
2021-11-12,25.08,25.165001,25.08,25.165001,22.898951,1100
2021-11-15,25.01,25.01,24.98,25.01,22.757912,1700
2021-11-16,25.01,25.01,24.98,25.01,22.757912,2800
2021-11-17,24.987,25.01,24.959999,24.959999,22.71241,1100
2021-11-18,24.959999,24.959999,24.959999,24.959999,22.71241,0
2021-11-19,25.01,25.02,25.0,25.02,22.76701,5500
2021-11-22,24.969999,25.01,24.950001,24.950001,22.703312,4000
2021-11-23,25.049999,25.049999,25.049999,25.049999,22.794306,200
2021-11-24,25.01,25.01,24.950001,25.0,22.748808,2100
2021-11-26,24.955,24.955,24.908001,24.908001,22.665094,1200
2021-11-29,24.936001,25.030001,24.936001,24.955,22.707863,1500
2021-11-30,24.950001,24.950001,24.809999,24.85,22.612316,3700
2021-12-01,24.950001,24.950001,24.85,24.948999,22.702402,6400
2021-12-02,24.924,24.940001,24.9,24.940001,22.69421,600
2021-12-03,24.950001,24.950001,24.889999,24.889999,22.648714,300
2021-12-06,24.799999,24.799999,24.75,24.75,22.521318,13400
2021-12-07,24.76,24.780001,24.18,24.700001,22.475824,21100
2021-12-08,24.700001,24.700001,24.68,24.700001,22.475824,8200
2021-12-09,24.700001,24.700001,24.65,24.65,22.430325,3800
2021-12-10,24.74,24.75,24.629999,24.665001,22.443975,3700
2021-12-13,24.6,24.6,24.549999,24.6,22.384827,3600
2021-12-14,24.549999,24.549999,24.424,24.549999,22.339327,4700
2021-12-15,24.473,24.5,24.41,24.41,22.211937,4900
2021-12-16,24.41,24.6,24.4,24.59,22.375729,14600
2021-12-17,24.5,24.700001,24.5,24.65,22.430325,4400
2021-12-20,24.59,24.688,24.5,24.688,22.464901,4700
2021-12-21,24.688,24.688,24.688,24.688,22.464901,0
2021-12-22,24.700001,24.700001,24.700001,24.700001,22.475824,800
2021-12-23,24.649,24.9,24.649,24.879999,22.639614,5600
2021-12-27,24.9,24.9,24.805,24.9,22.657814,2800
2021-12-28,24.85,24.9,23.309999,24.799999,22.566818,9200
2021-12-29,24.879999,25.059999,24.879999,25.059999,22.803408,4300
2021-12-30,25.15,25.370001,25.15,25.235001,22.962648,2000
2021-12-31,25.247,25.247,25.247,25.247,22.973566,100
2022-01-03,24.860001,25.040001,24.860001,25.040001,22.785208,800
2022-01-04,24.969999,25.030001,24.969999,25.0,22.748808,2400
2022-01-05,25.17,25.17,24.950001,24.950001,22.703312,2200
2022-01-06,24.99,25.0,24.9,24.9,22.657814,4400
2022-01-07,25.0,25.17,25.0,25.094999,22.835253,3300
2022-01-10,25.15,25.18,25.117001,25.139999,22.876202,2300
2022-01-11,25.09,25.24,25.09,25.24,22.967197,1500
2022-01-12,25.360001,25.360001,25.280001,25.280001,23.003597,500
2022-01-13,24.76,25.014999,24.76,24.940001,23.035923,5200
2022-01-14,24.879999,24.940001,24.879999,24.92,23.017452,900
2022-01-18,24.799999,24.85,24.68,24.799999,22.906612,1900
2022-01-19,24.879999,25.290001,24.879999,25.290001,23.359201,2100
2022-01-20,25.02,25.094999,25.02,25.030001,23.119055,900
2022-01-21,25.139999,25.139999,24.92,24.92,23.017452,2100
2022-01-24,25.049999,25.049999,24.75,24.82,22.925085,7300
2022-01-25,24.950001,24.950001,24.74,24.74,22.851191,1200
2022-01-26,24.940001,24.959999,24.76,24.959999,23.054394,2500
2022-01-27,24.99,24.99,24.73,24.780001,22.88814,2000
2022-01-28,24.9,24.906,24.75,24.75,22.860428,1200
2022-01-31,24.83,24.950001,24.83,24.950001,23.04516,300
2022-02-01,24.950001,25.0,24.940001,24.940001,23.035923,500
2022-02-02,24.940001,24.959999,24.870001,24.870001,22.971268,7300
2022-02-03,24.85,24.85,24.77,24.77,22.878904,3900
2022-02-04,24.885,24.950001,24.77,24.9,22.998978,1200
2022-02-07,24.825001,24.9,24.75,24.820999,22.926006,2900
2022-02-08,24.9,24.900999,24.82,24.82,22.925085,1000
2022-02-09,24.91,24.91,24.700001,24.700001,22.814247,2200
2022-02-10,24.700001,24.700001,24.700001,24.700001,22.814247,0
2022-02-11,24.91,24.91,24.700001,24.700001,22.814247,700
2022-02-14,24.700001,24.9,24.700001,24.9,22.998978,1400
2022-02-15,24.879999,24.879999,24.709999,24.879999,22.980505,6600
2022-02-16,24.85,24.85,24.74,24.785,22.892757,700
2022-02-17,24.84,24.91,24.700001,24.91,23.008215,3600
2022-02-18,24.91,24.997999,24.9,24.950001,23.04516,15300
2022-02-22,25.0,25.0,24.9,24.9,22.998978,4700
2022-02-23,24.91,24.91,24.9,24.900999,22.999901,4600
2022-02-24,24.9,24.9,24.799999,24.879999,22.980505,2900
2022-02-25,24.940001,24.950001,24.879999,24.879999,22.980505,1600
2022-02-28,25.09,25.09,24.93,24.93,23.02669,1800
2022-03-01,24.99,24.99,24.9,24.9,22.998978,800
2022-03-02,24.889999,24.889999,24.700001,24.75,22.860428,1600
2022-03-03,24.91,24.91,24.82,24.82,22.925085,900
2022-03-04,24.889999,24.889999,24.889999,24.889999,22.98974,100
2022-03-07,24.860001,24.889999,24.860001,24.889999,22.98974,1000
2022-03-08,24.889999,24.889999,24.889999,24.889999,22.98974,1800
2022-03-09,24.9,24.940001,24.860001,24.860001,22.96203,2100
2022-03-10,24.940001,24.950001,24.940001,24.950001,23.04516,800
2022-03-11,24.950001,24.950001,24.950001,24.950001,23.04516,0
2022-03-14,24.84,24.84,24.799999,24.809999,22.915848,3900
2022-03-15,24.799999,24.875,24.799999,24.809999,22.915848,1200
2022-03-16,24.93,24.93,24.9,24.9,22.998978,1900
2022-03-17,24.82,24.93,24.82,24.917999,23.015604,2500
2022-03-18,24.92,24.92,24.820999,24.83,22.934322,600
2022-03-21,24.855,24.855,24.855,24.855,22.957415,400
2022-03-22,24.9,24.9,24.889999,24.889999,22.98974,2000
2022-03-23,24.9,24.950001,24.9,24.950001,23.04516,400
2022-03-24,24.950001,25.438,24.837,24.837,22.940788,3300
2022-03-25,24.837,24.837,24.837,24.837,22.940788,0
2022-03-28,24.99,25.02,24.987,24.987,23.079336,2100
2022-03-29,25.120001,25.42,25.120001,25.145,23.225271,2400
2022-03-30,25.0,25.200001,25.0,25.15,23.229891,1100
2022-03-31,25.059999,25.059999,25.040001,25.042,23.130136,1300
2022-04-01,25.23,25.23,25.129999,25.129999,23.21142,1000
2022-04-04,25.24,25.24,25.059999,25.059999,23.146763,1000
2022-04-05,25.059999,25.059999,25.059999,25.059999,23.146763,0
2022-04-06,25.059999,25.059999,25.059999,25.059999,23.146763,0
2022-04-07,25.200001,25.200001,24.84,24.84,22.943558,900
2022-04-08,24.870001,25.17,24.870001,24.879999,22.980505,2600
2022-04-11,25.07,25.07,25.07,25.07,23.155998,100
2022-04-12,24.92,25.15,24.9,25.15,23.229891,4300
2022-04-13,24.82,24.85,24.82,24.85,23.300213,300
2022-04-14,24.870001,24.870001,24.870001,24.870001,23.318968,1100
2022-04-18,24.93,24.940001,24.93,24.940001,23.3846,700
2022-04-19,24.950001,25.07,24.809999,25.07,23.506493,2200
2022-04-20,25.049999,25.065001,24.790001,24.860001,23.309591,2700
2022-04-21,24.780001,24.84,24.780001,24.84,23.290836,300
2022-04-22,24.780001,24.82,24.674999,24.809999,23.262707,1300
2022-04-25,24.809999,24.809999,24.809999,24.809999,23.262707,400
2022-04-26,24.809999,24.809999,24.809999,24.809999,23.262707,0
2022-04-27,24.950001,24.950001,24.709999,24.709999,23.168943,3300
2022-04-28,24.555,24.555,24.450001,24.49,22.962664,2000
2022-04-29,24.48,24.483999,24.48,24.48,22.953289,1500
2022-05-02,24.469999,24.469999,24.43,24.431,22.907343,1200
2022-05-03,24.459999,24.950001,24.459999,24.950001,23.393976,800
2022-05-04,24.487,24.82,24.42,24.42,22.897032,4000
2022-05-05,24.49,24.49,23.629999,23.75,22.268816,6800
2022-05-06,23.75,24.0,23.474001,23.700001,22.221933,4600
2022-05-09,23.58,23.58,22.6,23.26,21.809376,15300
2022-05-10,23.245001,23.5,23.245001,23.5,22.034405,2700
2022-05-11,23.719999,24.0,23.5,23.780001,22.296946,5800
2022-05-12,23.75,23.75,23.544001,23.544001,22.075665,700
2022-05-13,23.639999,24.0,23.540001,23.75,22.268816,2500
2022-05-16,24.0,24.25,23.76,24.190001,22.681374,2100
2022-05-17,23.940001,24.200001,23.76,24.16,22.653244,1500
2022-05-18,24.129999,24.15,23.955,24.15,22.643867,2200
2022-05-19,24.450001,24.450001,24.195,24.195,22.686062,1100
2022-05-20,24.389999,24.389999,23.780001,24.0,22.503223,2600
2022-05-23,24.0,24.0,23.799999,23.99,22.493847,2200
2022-05-24,24.0,24.0,23.988001,23.988001,22.491972,400
2022-05-25,23.988001,23.988001,23.988001,23.988001,22.491972,0
2022-05-26,24.0,24.02,24.0,24.02,22.521978,3800
2022-05-27,24.379999,24.4,24.379999,24.4,22.878277,1300
2022-05-31,24.4,24.4,24.16,24.16,22.653244,1400
2022-06-01,24.4,24.450001,24.35,24.35,22.831396,2900
2022-06-02,24.49,24.5,24.440001,24.440001,22.915783,900
2022-06-03,24.51,24.51,24.51,24.51,22.981419,200
2022-06-06,24.52,24.52,24.5,24.51,22.981419,1100
2022-06-07,24.51,24.51,24.51,24.51,22.981419,0
2022-06-08,24.799999,24.799999,24.5,24.74,23.197073,1900
2022-06-09,24.700001,24.940001,24.700001,24.790001,23.243956,14900
2022-06-10,24.790001,24.790001,24.790001,24.790001,23.243956,0
2022-06-13,24.790001,24.790001,24.790001,24.790001,23.243956,0
2022-06-14,24.0,24.0,24.0,24.0,22.503223,600
2022-06-15,23.76,24.639999,23.719999,24.639999,23.103308,1000
2022-06-16,24.9,24.9,23.5,24.49,22.962664,11900
2022-06-17,24.115999,24.15,24.115999,24.15,22.643867,600
2022-06-21,24.139999,24.139999,24.139999,24.139999,22.634489,300
2022-06-22,24.15,24.16,24.15,24.16,22.653244,300
2022-06-23,24.200001,24.200001,24.200001,24.200001,22.690752,300
2022-06-24,23.83,24.15,23.754999,23.895,22.404772,1800
2022-06-27,23.895,23.895,23.895,23.895,22.404772,0
2022-06-28,23.75,24.16,23.620001,24.110001,22.606365,4400
2022-06-29,24.16,24.16,23.834999,23.834999,22.348515,800
2022-06-30,23.940001,23.940001,23.938999,23.938999,22.44603,300
2022-07-01,23.938999,23.938999,23.938999,23.938999,22.44603,0
2022-07-05,23.938999,23.938999,23.938999,23.938999,22.44603,0
2022-07-06,24.0,24.125,24.0,24.125,22.62043,2300
2022-07-07,24.200001,24.540001,24.200001,24.540001,23.009546,1000
2022-07-08,24.25,24.25,24.25,24.25,22.737631,500
2022-07-11,24.25,24.25,24.25,24.25,22.737631,0
2022-07-12,24.25,24.25,24.25,24.25,22.737631,2100
2022-07-13,24.25,24.25,24.139999,24.15,22.643867,1500
2022-07-14,24.09,24.25,24.09,24.25,23.09627,600
2022-07-15,24.200001,24.35,24.200001,24.35,23.191513,900
2022-07-18,24.35,24.35,24.35,24.35,23.191513,500
2022-07-19,24.200001,24.27,24.200001,24.200001,23.048649,2100
2022-07-20,24.25,24.25,23.120001,23.778,22.646725,3100
2022-07-21,23.584999,23.584999,23.584999,23.584999,22.46291,100
2022-07-22,23.584999,23.584999,23.584999,23.584999,22.46291,0
2022-07-25,23.584999,23.584999,23.584999,23.584999,22.46291,0
2022-07-26,23.584999,23.584999,23.584999,23.584999,22.46291,0
2022-07-27,23.379999,23.459,23.299999,23.35,22.239088,5300
2022-07-28,23.34,23.84,23.33,23.379999,22.267662,2200
2022-07-29,23.4,23.5,23.299999,23.299999,22.191465,3400
2022-08-01,23.681,23.719999,23.575001,23.575001,22.453384,1000
2022-08-02,23.65,23.65,23.65,23.65,22.524815,100
2022-08-03,24.0,24.0,24.0,24.0,22.858164,500
2022-08-04,23.799999,23.799999,23.799999,23.799999,22.667679,200
2022-08-05,23.67,23.959999,23.67,23.959999,22.820066,400
2022-08-08,23.9,23.92,23.9,23.92,22.781973,300
2022-08-09,23.700001,23.969999,23.700001,23.969999,22.829592,700
2022-08-10,24.0,24.0,23.700001,23.700001,22.572437,600
2022-08-11,23.700001,23.700001,23.700001,23.700001,22.572437,0
2022-08-12,23.9,23.9,23.85,23.85,22.7153,1100
2022-08-15,23.85,23.85,23.85,23.85,22.7153,0
2022-08-16,23.99,23.99,23.895,23.895,22.758162,1000
2022-08-17,23.895,23.895,23.895,23.895,22.758162,0
2022-08-18,23.9,23.98,23.870001,23.98,22.839117,3700
2022-08-19,23.98,24.0,23.98,24.0,22.858164,500
2022-08-22,23.950001,24.24,23.950001,24.24,23.086746,3800
2022-08-23,24.24,24.24,24.24,24.24,23.086746,0
2022-08-24,24.0,24.0,24.0,24.0,22.858164,100
2022-08-25,24.1,24.1,24.0,24.0,22.858164,1700
2022-08-26,24.4,24.4,24.4,24.4,23.239134,500
2022-08-29,24.299999,24.299999,24.299999,24.299999,23.14389,1600
2022-08-30,24.299999,24.299999,24.299999,24.299999,23.14389,0
2022-08-31,24.200001,24.200001,24.200001,24.200001,23.048649,300
2022-09-01,24.4,24.4,24.4,24.4,23.239134,400
2022-09-02,24.389999,24.389999,24.389999,24.389999,23.229609,800
2022-09-06,24.389999,24.389999,24.389999,24.389999,23.229609,0
2022-09-07,24.389999,24.389999,24.389999,24.389999,23.229609,0
2022-09-08,24.389999,24.389999,24.389999,24.389999,23.229609,0
2022-09-09,24.389999,24.389999,24.389999,24.389999,23.229609,0
2022-09-12,24.389999,24.389999,24.389999,24.389999,23.229609,0
2022-09-13,24.35,24.35,24.35,24.35,23.191513,400
2022-09-14,24.34,24.35,24.34,24.35,23.191513,400
2022-09-15,24.25,24.25,24.25,24.25,23.09627,100
2022-09-16,23.700001,23.813999,23.65,23.65,22.524815,2200
2022-09-19,24.0,24.0,23.924999,23.950001,22.810543,1400
2022-09-20,23.9,23.9,23.57,23.75,22.620058,3100
2022-09-21,23.75,23.75,23.75,23.75,22.620058,0
2022-09-22,23.65,23.690001,23.65,23.690001,22.562914,700
2022-09-23,23.469999,23.610001,23.299999,23.6,22.477194,2000
2022-09-26,23.6,23.6,23.6,23.6,22.477194,0
2022-09-27,23.6,23.6,23.6,23.6,22.477194,0
