Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,4.05,3.85,3.85,3.5199,15000.0
1980-03-18,0.0,4.0,3.8,3.8,3.474187,10250.0
1980-03-19,0.0,4.05,3.85,3.85,3.5199,33500.0
1980-03-20,0.0,4.0,3.8,3.8,3.474187,8750.0
1980-03-21,0.0,3.95,3.75,3.75,3.428474,12750.0
1980-03-24,0.0,3.75,3.55,3.55,3.245622,18250.0
1980-03-25,0.0,3.7,3.5,3.5,3.199909,2500.0
1980-03-26,0.0,3.7,3.5,3.5,3.199909,500.0
1980-03-27,0.0,3.6,3.4,3.4,3.108483,4250.0
1980-03-28,0.0,3.65,3.45,3.45,3.154196,3250.0
1980-03-31,0.0,3.55,3.35,3.35,3.06277,20000.0
1980-04-01,0.0,3.5,3.3,3.3,3.017057,2000.0
1980-04-02,0.0,3.6,3.4,3.4,3.108483,9250.0
1980-04-03,0.0,3.6,3.4,3.4,3.108483,28500.0
1980-04-07,0.0,3.5,3.3,3.3,3.017057,4000.0
1980-04-08,0.0,3.5,3.3,3.3,3.017057,5250.0
1980-04-09,0.0,3.5,3.3,3.3,3.017057,7000.0
1980-04-10,0.0,3.5,3.3,3.3,3.017057,3250.0
1980-04-11,0.0,3.55,3.35,3.35,3.06277,18750.0
1980-04-14,0.0,3.5,3.3,3.3,3.017057,13250.0
1980-04-15,0.0,3.5,3.3,3.3,3.017057,250.0
1980-04-16,0.0,3.5,3.3,3.3,3.017057,7500.0
1980-04-17,0.0,3.3,3.1,3.1,2.834205,9000.0
1980-04-18,0.0,3.3,3.1,3.1,2.834205,3000.0
1980-04-21,0.0,3.3,3.1,3.1,2.834205,2750.0
1980-04-22,0.0,3.35,3.15,3.15,2.879918,750.0
1980-04-23,0.0,3.4,3.2,3.2,2.925631,2000.0
1980-04-24,0.0,3.3,3.1,3.1,2.834205,5750.0
1980-04-25,0.0,3.3,3.1,3.1,2.834205,5250.0
1980-04-28,0.0,3.3,3.1,3.1,2.834205,2500.0
1980-04-29,0.0,3.45,3.25,3.25,2.971344,22750.0
1980-04-30,0.0,3.35,3.15,3.15,2.879918,20750.0
1980-05-01,0.0,3.35,3.15,3.15,2.879918,10500.0
1980-05-02,0.0,3.35,3.15,3.15,2.879918,250.0
1980-05-05,0.0,3.35,3.15,3.15,2.879918,250.0
1980-05-06,0.0,3.35,3.15,3.15,2.879918,4500.0
1980-05-07,0.0,3.35,3.15,3.15,2.879918,250.0
1980-05-08,0.0,3.4,3.2,3.2,2.925631,2250.0
1980-05-09,0.0,3.4,3.2,3.2,2.925631,11250.0
1980-05-12,0.0,3.45,3.25,3.25,2.971344,8750.0
1980-05-13,0.0,3.45,3.25,3.25,2.971344,1250.0
1980-05-14,0.0,3.55,3.35,3.35,3.06277,6750.0
1980-05-15,0.0,3.55,3.35,3.35,3.06277,13750.0
1980-05-16,0.0,3.55,3.35,3.35,3.06277,19250.0
1980-05-19,0.0,3.5,3.3,3.3,3.017057,7250.0
1980-05-20,0.0,3.5,3.3,3.3,3.017057,5000.0
1980-05-21,0.0,3.45,3.25,3.25,2.971344,11250.0
1980-05-22,0.0,3.45,3.25,3.25,2.971344,4750.0
1980-05-23,0.0,3.55,3.35,3.35,3.06277,6250.0
1980-05-27,0.0,3.6,3.4,3.4,3.108483,7750.0
1980-05-28,0.0,3.6,3.4,3.4,3.108483,10500.0
1980-05-29,0.0,3.55,3.35,3.35,3.06277,15250.0
1980-05-30,0.0,3.7,3.5,3.5,3.199909,12250.0
1980-06-02,0.0,3.75,3.55,3.55,3.245622,3250.0
1980-06-03,0.0,3.75,3.55,3.55,3.245622,1250.0
1980-06-04,0.0,3.75,3.55,3.55,3.245622,9250.0
1980-06-05,0.0,3.8,3.6,3.6,3.291334,5250.0
1980-06-06,0.0,3.8,3.6,3.6,3.291334,1750.0
1980-06-09,0.0,3.8,3.6,3.6,3.291334,12500.0
1980-06-10,0.0,3.8,3.6,3.6,3.291334,500.0
1980-06-11,0.0,3.9,3.7,3.7,3.382761,5750.0
1980-06-12,0.0,3.9,3.7,3.7,3.382761,13000.0
1980-06-13,0.0,3.9,3.7,3.7,3.382761,8000.0
1980-06-16,0.0,3.95,3.75,3.75,3.428474,7250.0
1980-06-17,0.0,4.0,3.8,3.8,3.474187,16250.0
1980-06-18,0.0,4.0,3.8,3.8,3.474187,1500.0
1980-06-19,3.8,3.8,3.8,3.8,3.474187,0.0
1980-06-20,0.0,4.0,3.8,3.8,3.474187,18500.0
1980-06-23,0.0,3.7,3.5,3.5,3.199909,250.0
1980-06-24,0.0,3.7,3.5,3.5,3.199909,1250.0
1980-06-25,0.0,3.7,3.5,3.5,3.199909,2250.0
1980-06-26,3.5,3.5,3.5,3.5,3.199909,0.0
1980-06-27,3.5,3.5,3.5,3.5,3.199909,0.0
1980-06-30,0.0,3.7,3.5,3.5,3.199909,9250.0
1980-07-01,0.0,3.65,3.45,3.45,3.154196,500.0
1980-07-02,0.0,3.7,3.5,3.5,3.199909,10250.0
1980-07-03,0.0,3.7,3.5,3.5,3.199909,2750.0
1980-07-07,0.0,3.65,3.6,3.6,3.291334,1500.0
1980-07-08,0.0,3.7,3.6,3.6,3.291334,17500.0
1980-07-09,0.0,3.7,3.65,3.65,3.337048,7000.0
1980-07-10,0.0,3.7,3.65,3.65,3.337048,3500.0
1980-07-11,0.0,3.7,3.65,3.65,3.337048,5000.0
1980-07-14,0.0,3.7,3.65,3.65,3.337048,750.0
1980-07-15,0.0,3.7,3.65,3.65,3.337048,3250.0
1980-07-16,0.0,3.7,3.65,3.65,3.337048,5250.0
1980-07-17,0.0,3.75,3.65,3.65,3.337048,8750.0
1980-07-18,0.0,3.75,3.65,3.65,3.337048,7500.0
1980-07-21,0.0,3.75,3.65,3.65,3.337048,12000.0
1980-07-22,0.0,3.75,3.65,3.65,3.337048,25000.0
1980-07-23,0.0,3.75,3.65,3.65,3.337048,250.0
1980-07-24,0.0,3.9,3.85,3.85,3.5199,14500.0
1980-07-25,0.0,4.0,3.9,3.9,3.565613,10750.0
1980-07-28,0.0,4.0,3.95,3.95,3.611326,7500.0
1980-07-29,0.0,4.15,4.05,4.05,3.702752,46250.0
1980-07-30,0.0,4.1,4.05,4.05,3.702752,16750.0
1980-07-31,0.0,4.2,4.1,4.1,3.748465,14500.0
1980-08-01,0.0,4.15,4.05,4.05,3.702752,13500.0
1980-08-04,0.0,4.1,4.05,4.05,3.702752,8250.0
1980-08-05,0.0,4.1,4.05,4.05,3.702752,16250.0
1980-08-06,0.0,4.15,4.05,4.05,3.702752,5500.0
1980-08-07,0.0,4.15,4.05,4.05,3.702752,1500.0
1980-08-08,0.0,4.15,4.1,4.1,3.748465,10000.0
1980-08-11,0.0,4.15,4.1,4.1,3.748465,5250.0
1980-08-12,0.0,4.15,4.1,4.1,3.748465,5250.0
1980-08-13,0.0,4.15,4.0,4.0,3.657039,2500.0
1980-08-14,0.0,4.15,4.0,4.0,3.657039,250.0
1980-08-15,0.0,4.15,4.05,4.05,3.702752,17250.0
1980-08-18,0.0,4.15,4.05,4.05,3.702752,2250.0
1980-08-19,0.0,4.15,4.05,4.05,3.702752,18500.0
1980-08-20,0.0,4.45,4.35,4.35,3.977031,37000.0
1980-08-21,0.0,4.45,4.35,4.35,3.977031,7500.0
1980-08-22,0.0,4.45,4.4,4.4,4.022743,28750.0
1980-08-25,0.0,4.65,4.6,4.6,4.205595,38000.0
1980-08-26,0.0,4.7,4.65,4.65,4.251308,35250.0
1980-08-27,0.0,4.65,4.6,4.6,4.205595,3750.0
1980-08-28,0.0,4.65,4.6,4.6,4.205595,19750.0
1980-08-29,0.0,4.65,4.6,4.6,4.205595,18750.0
1980-09-02,0.0,4.65,4.6,4.6,4.205595,6250.0
1980-09-03,4.6,4.6,4.6,4.6,4.205595,0.0
1980-09-04,0.0,4.65,4.6,4.6,4.205595,6000.0
1980-09-05,0.0,4.85,4.8,4.8,4.388447,38500.0
1980-09-08,0.0,4.75,4.65,4.65,4.251308,8750.0
1980-09-09,0.0,4.8,4.7,4.7,4.297021,13750.0
1980-09-10,0.0,4.9,4.8,4.8,4.388447,4500.0
1980-09-11,0.0,5.45,5.4,5.4,4.937002,47250.0
1980-09-12,0.0,5.45,5.4,5.4,4.937002,3500.0
1980-09-15,0.0,5.35,5.25,5.25,4.799864,23250.0
1980-09-16,0.0,5.35,5.25,5.25,4.799864,6250.0
1980-09-17,0.0,5.3,5.25,5.25,4.799864,250.0
1980-09-18,0.0,5.3,5.2,5.2,4.754149,6500.0
1980-09-19,0.0,5.15,5.05,5.05,4.617011,28750.0
1980-09-22,0.0,5.15,5.05,5.05,4.617011,11750.0
1980-09-23,0.0,5.05,5.0,5.0,4.571299,18750.0
1980-09-24,0.0,5.05,5.0,5.0,4.571299,14250.0
1980-09-25,0.0,5.05,4.95,4.95,4.525586,26000.0
1980-09-26,0.0,5.0,4.9,4.9,4.479872,3750.0
1980-09-29,0.0,4.75,4.7,4.7,4.297021,10750.0
1980-09-30,0.0,4.8,4.75,4.75,4.342734,4250.0
1980-10-01,0.0,4.95,4.85,4.85,4.43416,11750.0
1980-10-02,0.0,5.1,5.0,5.0,4.571299,58500.0
1980-10-03,0.0,5.05,5.0,5.0,4.571299,5500.0
1980-10-06,0.0,5.05,5.0,5.0,4.571299,37250.0
1980-10-07,0.0,5.05,4.95,4.95,4.525586,10500.0
1980-10-08,0.0,5.05,4.95,4.95,4.525586,30750.0
1980-10-09,0.0,5.0,4.9,4.9,4.479872,26750.0
1980-10-10,0.0,4.95,4.85,4.85,4.43416,8250.0
