Date,Open,High,Low,Close,Adj Close,Volume
2022-03-09,9.92,9.92,9.9,9.9,9.9,1600
2022-03-10,9.92,9.92,9.92,9.92,9.92,1700
2022-03-11,9.88,9.895,9.87,9.871,9.871,1200
2022-03-14,9.88,9.88,9.88,9.88,9.88,200
2022-03-15,9.88,9.88,9.88,9.88,9.88,0
2022-03-16,9.905,9.905,9.905,9.905,9.905,200
2022-03-17,9.88,9.9,9.88,9.9,9.9,300
2022-03-18,9.9,9.9,9.9,9.9,9.9,0
2022-03-21,9.89,9.89,9.89,9.89,9.89,15600
2022-03-22,9.89,9.89,9.89,9.89,9.89,0
2022-03-23,9.89,9.89,9.89,9.89,9.89,0
2022-03-24,9.9,9.91,9.9,9.91,9.91,113600
2022-03-25,9.91,9.95,9.91,9.95,9.95,8200
2022-03-28,9.95,9.95,9.95,9.95,9.95,0
2022-03-29,9.921,9.921,9.921,9.921,9.921,100
2022-03-30,9.921,9.921,9.921,9.921,9.921,0
2022-03-31,9.921,9.921,9.921,9.921,9.921,0
2022-04-01,9.92,9.92,9.912,9.92,9.92,10000
2022-04-04,9.92,9.92,9.92,9.92,9.92,2000
2022-04-05,9.93,9.95,9.93,9.95,9.95,3400
2022-04-06,9.95,9.95,9.95,9.95,9.95,0
2022-04-07,9.93,9.93,9.93,9.93,9.93,20000
2022-04-08,9.93,9.97,9.93,9.97,9.97,5700
2022-04-11,9.97,9.97,9.97,9.97,9.97,0
2022-04-12,9.97,9.97,9.97,9.97,9.97,0
2022-04-13,9.97,9.97,9.97,9.97,9.97,0
2022-04-14,9.99,9.99,9.99,9.99,9.99,300
2022-04-18,10.01,10.01,10.01,10.01,10.01,1100
2022-04-19,10.01,10.01,10.01,10.01,10.01,0
2022-04-20,10.01,10.01,10.01,10.01,10.01,0
2022-04-21,10.0,10.0,10.0,10.0,10.0,100
2022-04-22,10.0,10.0,10.0,10.0,10.0,0
2022-04-25,9.95,9.95,9.95,9.95,9.95,1400
2022-04-26,9.96,9.96,9.96,9.96,9.96,15000
2022-04-27,9.95,9.95,9.95,9.95,9.95,200
2022-04-28,9.95,9.95,9.95,9.95,9.95,0
2022-04-29,9.95,9.95,9.95,9.95,9.95,0
2022-05-02,9.95,9.95,9.95,9.95,9.95,5900
2022-05-03,9.95,9.95,9.95,9.95,9.95,800
2022-05-04,9.95,9.95,9.95,9.95,9.95,100000
2022-05-05,9.97,9.97,9.95,9.95,9.95,739100
2022-05-06,9.99,9.99,9.98,9.98,9.98,42400
2022-05-09,9.98,9.98,9.98,9.98,9.98,0
2022-05-10,9.95,9.97,9.94,9.955,9.955,73800
2022-05-11,9.955,9.955,9.955,9.955,9.955,0
2022-05-12,9.965,9.98,9.93,9.98,9.98,1200
2022-05-13,9.93,9.93,9.92,9.92,9.92,6200
2022-05-16,9.92,9.92,9.92,9.92,9.92,0
2022-05-17,9.93,9.93,9.92,9.92,9.92,210700
2022-05-18,9.92,9.92,9.92,9.92,9.92,5000
2022-05-19,9.91,9.91,9.91,9.91,9.91,65300
2022-05-20,9.91,9.91,9.91,9.91,9.91,81300
2022-05-23,9.91,9.91,9.91,9.91,9.91,0
2022-05-24,9.91,9.91,9.91,9.91,9.91,0
2022-05-25,9.91,9.91,9.91,9.91,9.91,0
2022-05-26,9.91,9.91,9.91,9.91,9.91,0
2022-05-27,9.93,9.93,9.93,9.93,9.93,105000
2022-05-31,9.93,9.98,9.92,9.98,9.98,375800
2022-06-01,9.98,9.98,9.98,9.98,9.98,100
2022-06-02,9.98,9.98,9.98,9.98,9.98,0
2022-06-03,9.98,9.98,9.98,9.98,9.98,1100
2022-06-06,10.01,10.01,10.01,10.01,10.01,1000
2022-06-07,9.93,9.93,9.93,9.93,9.93,934100
2022-06-08,9.93,9.93,9.93,9.93,9.93,0
2022-06-09,9.93,9.93,9.93,9.93,9.93,0
2022-06-10,9.93,9.93,9.93,9.93,9.93,0
2022-06-13,9.93,9.93,9.93,9.93,9.93,0
2022-06-14,9.93,9.93,9.93,9.93,9.93,0
2022-06-15,9.93,9.93,9.93,9.93,9.93,0
2022-06-16,9.93,9.93,9.93,9.93,9.93,200
2022-06-17,9.93,10.01,9.93,10.01,10.01,69500
2022-06-21,10.01,10.01,10.01,10.01,10.01,0
2022-06-22,10.01,10.01,9.92,9.98,9.98,1101100
2022-06-23,9.98,9.98,9.98,9.98,9.98,0
2022-06-24,9.98,9.98,9.98,9.98,9.98,0
2022-06-27,9.955,9.955,9.955,9.955,9.955,100
2022-06-28,9.955,9.955,9.955,9.955,9.955,0
2022-06-29,9.955,9.955,9.955,9.955,9.955,0
2022-06-30,9.93,9.98,9.93,9.98,9.98,900
2022-07-01,9.98,9.98,9.98,9.98,9.98,0
2022-07-05,9.98,9.98,9.98,9.98,9.98,0
2022-07-06,9.955,9.955,9.955,9.955,9.955,144800
