Date,Open,High,Low,Close,Adj Close,Volume
2021-12-13,9.9,9.9,9.9,9.9,9.9,400000
2021-12-14,9.9699,9.97,9.9682,9.9682,9.9682,1350
2021-12-15,9.91,9.91,9.85,9.91,9.91,129278
2021-12-16,9.91,9.91,9.91,9.91,9.91,0
2021-12-17,9.9,9.91,9.85,9.9,9.9,8202
2021-12-20,9.9599,9.9599,9.9599,9.9599,9.9599,121
2021-12-21,9.9599,9.9599,9.9599,9.9599,9.9599,0
2021-12-22,9.89,9.9,9.89,9.9,9.9,15301
2021-12-23,9.9,9.9,9.9,9.9,9.9,0
2021-12-27,10.09,10.09,9.92,9.92,9.92,800
2021-12-28,9.92,9.92,9.88,9.89,9.89,206174
2021-12-29,9.9,9.9,9.9,9.9,9.9,299
2021-12-30,9.88,9.91,9.88,9.9076,9.9076,4759
2021-12-31,9.9076,9.9076,9.9076,9.9076,9.9076,0
2022-01-03,10.26,10.26,9.85,9.925,9.925,15823
2022-01-04,9.92,9.93,9.92,9.92,9.92,2045
2022-01-05,9.92,9.92,9.92,9.92,9.92,0
2022-01-06,9.92,9.92,9.92,9.92,9.92,0
2022-01-07,9.92,9.92,9.92,9.92,9.92,0
2022-01-10,9.91,9.92,9.91,9.91,9.91,102892
2022-01-11,9.91,9.92,9.91,9.91,9.91,92295
2022-01-12,9.9,9.91,9.9,9.91,9.91,15092
2022-01-13,9.91,9.91,9.91,9.91,9.91,25354
2022-01-14,9.95,9.95,9.92,9.92,9.92,17863
2022-01-18,9.92,9.92,9.91,9.91,9.91,11434
2022-01-19,9.92,9.92,9.91,9.92,9.92,5128
2022-01-20,9.91,9.92,9.91,9.92,9.92,66745
2022-01-21,9.91,9.92,9.91,9.91,9.91,353552
2022-01-24,9.91,9.91,9.91,9.91,9.91,194
2022-01-25,9.91,9.92,9.91,9.92,9.92,108900
2022-01-26,9.91,9.92,9.905,9.905,9.905,225650
2022-01-27,9.95,9.95,9.88,9.9,9.9,161150
2022-01-28,9.91,9.915,9.91,9.91,9.91,10414
2022-01-31,9.91,9.93,9.91,9.91,9.91,23099
2022-02-01,9.91,9.94,9.91,9.94,9.94,268757
2022-02-02,9.93,9.93,9.93,9.93,9.93,179000
2022-02-03,9.93,9.93,9.93,9.93,9.93,0
2022-02-04,9.93,9.93,9.93,9.93,9.93,0
2022-02-07,9.92,9.92,9.92,9.92,9.92,790
2022-02-08,9.94,9.94,9.93,9.93,9.93,615
2022-02-09,9.93,9.93,9.93,9.93,9.93,91691
2022-02-10,9.96,9.96,9.94,9.94,9.94,1810
