Date,Open,High,Low,Close,Adj Close,Volume
2005-08-17,22.9,24.879999,22.879999,24.860001,20.762108,4016300
2005-08-18,24.299999,26.549999,24.25,26.33,21.989796,2172500
2005-08-19,25.9,26.889999,25.9,26.75,22.340557,1122600
2005-08-22,26.299999,27.049999,26.09,27.049999,22.591108,932800
2005-08-23,26.9,27.0,25.540001,25.950001,21.67243,1037700
2005-08-24,24.799999,25.4,24.639999,24.639999,20.578365,1372900
2005-08-25,23.9,24.23,23.799999,23.799999,19.876837,1869300
2005-08-26,23.6,24.1,23.51,24.049999,20.085627,1050500
2005-08-29,24.0,26.700001,24.0,26.700001,22.2988,853000
2005-08-30,25.799999,26.190001,25.530001,26.0,21.714186,794900
2005-08-31,25.77,26.25,25.65,26.1,21.797703,1145600
2005-09-01,25.879999,27.0,25.879999,26.879999,22.449129,514300
2005-09-02,26.0,26.809999,26.0,26.75,22.340557,610200
2005-09-06,26.299999,26.790001,25.4,25.75,21.5054,475300
2005-09-07,25.6,25.82,25.280001,25.42,21.229794,320900
2005-09-08,25.42,25.65,25.139999,25.4,21.213091,606200
2005-09-09,25.370001,26.1,25.370001,26.07,21.772648,514800
2005-09-12,26.200001,26.950001,26.200001,26.950001,22.507591,405500
2005-09-13,26.700001,27.75,26.629999,27.25,22.758137,944200
2005-09-14,26.9,27.93,26.9,27.75,23.17572,583400
2005-09-15,27.5,28.08,27.309999,27.91,23.309345,343300
2005-09-16,27.889999,28.4,27.799999,28.08,23.451326,397900
2005-09-19,28.18,28.290001,27.6,28.139999,23.501432,356500
2005-09-20,28.139999,28.139999,27.540001,27.620001,23.067148,474600
2005-09-21,27.57,28.0,27.43,27.73,23.159016,366000
2005-09-22,27.530001,28.08,27.5,27.549999,23.008686,445800
2005-09-23,27.450001,28.25,27.4,27.76,23.184069,371700
2005-09-26,27.76,28.4,27.76,27.9,23.300989,302500
2005-09-27,27.969999,28.52,27.75,27.860001,23.267588,429000
2005-09-28,27.719999,27.98,27.6,27.85,23.259235,588200
2005-09-29,27.799999,28.049999,27.559999,27.950001,23.342754,408200
2005-09-30,27.799999,28.51,27.799999,28.219999,23.568243,269500
2005-10-03,28.379999,28.58,28.02,28.18,23.53484,708800
2005-10-04,27.85,27.969999,27.379999,27.709999,23.142311,341000
2005-10-05,27.6,27.959999,27.57,27.6,23.050442,171800
2005-10-06,27.6,27.889999,27.59,27.6,23.050442,190800
2005-10-07,27.57,27.68,27.15,27.51,22.975283,151500
2005-10-10,27.6,27.6,27.01,27.049999,22.591108,169700
2005-10-11,27.0,27.200001,26.700001,26.809999,22.390665,200100
2005-10-12,26.719999,26.84,26.030001,26.299999,21.964735,233300
2005-10-13,26.07,26.200001,25.5,25.84,21.580559,221600
2005-10-14,25.75,25.790001,24.799999,24.82,20.728699,483100
2005-10-17,24.75,25.25,24.209999,24.48,20.444738,186600
2005-10-18,24.32,24.65,24.23,24.4,20.377932,374900
2005-10-19,24.25,24.4,23.950001,24.290001,20.286062,293700
2005-10-20,24.200001,24.309999,24.049999,24.200001,20.210896,466100
2005-10-21,24.18,24.18,23.889999,23.940001,19.993755,192400
2005-10-24,23.799999,24.639999,23.67,24.639999,20.578365,202700
2005-10-25,24.58,25.26,24.35,25.049999,20.920784,230100
2005-10-26,25.049999,25.52,24.799999,25.01,20.887377,335900
2005-10-27,24.85,24.950001,23.9,24.5,20.461449,228800
2005-10-28,24.4,24.43,24.139999,24.18,20.194197,375900
2005-10-31,24.200001,24.35,24.030001,24.309999,20.302767,163800
2005-11-01,24.25,24.58,23.799999,23.9,19.96035,255500
