Date,Open,High,Low,Close,Adj Close,Volume
2001-07-19,15.1,15.29,15.0,15.17,11.012788,34994300
2001-07-20,15.05,15.05,14.8,15.01,10.896631,9238500
2001-07-23,15.0,15.01,14.55,15.0,10.889374,7501000
2001-07-24,14.95,14.97,14.7,14.86,10.78774,3537300
2001-07-25,14.7,14.95,14.65,14.95,10.853076,4208100
2001-07-26,14.95,14.99,14.5,14.5,10.526394,6335300
2001-07-27,14.51,14.59,14.5,14.51,10.533655,3524000
2001-07-30,14.5,14.78,14.5,14.7,10.671586,3654300
2001-07-31,14.71,15.01,14.6,14.96,10.860334,1429000
2001-08-01,15.0,15.5,14.9,15.5,11.252354,2087900
2001-08-02,15.4,15.5,15.1,15.4,11.179756,1717400
2001-08-03,15.4,15.4,14.98,15.15,10.998268,983600
2001-08-06,15.15,15.22,15.02,15.1,10.961974,777400
2001-08-07,15.1,15.55,15.1,15.5,11.252354,788900
2001-08-08,15.4,15.6,15.0,15.0,10.889374,2190300
2001-08-09,15.05,15.5,15.0,15.5,11.252354,928000
2001-08-10,15.4,15.4,15.12,15.19,11.027308,703300
2001-08-13,15.15,15.34,14.9,15.01,10.896631,1770400
2001-08-14,15.05,15.06,14.65,14.7,10.671586,1000800
2001-08-15,14.75,14.9,14.7,14.79,10.736925,530900
2001-08-16,14.78,14.78,14.05,14.05,10.199716,1522700
2001-08-17,14.06,14.8,13.9,14.52,10.540915,2342400
2001-08-20,14.6,15.35,14.49,15.35,11.143459,1434900
2001-08-21,15.25,15.6,15.01,15.46,11.223316,1038200
2001-08-22,15.32,15.39,14.78,15.34,11.1362,829000
2001-08-23,15.45,15.45,15.25,15.25,11.070863,470000
2001-08-24,15.25,15.48,15.0,15.4,11.179756,689000
2001-08-27,15.48,15.65,15.4,15.48,11.237833,827700
2001-08-28,15.42,15.58,15.25,15.36,11.150719,736900
2001-08-29,15.29,15.31,15.0,15.01,10.896631,397400
2001-08-30,14.85,15.04,14.85,14.95,10.853076,640100
2001-08-31,15.0,15.1,14.9,14.9,10.816779,3337900
2001-09-04,15.0,15.65,15.0,15.38,11.165241,1068600
2001-09-05,15.38,15.38,14.9,14.91,10.824038,1053200
2001-09-06,14.75,15.01,14.4,14.5,10.526394,1384500
2001-09-07,14.45,14.64,14.35,14.52,10.540915,1408500
2001-09-10,14.58,15.16,14.55,15.15,10.998268,622100
2001-09-17,15.14,15.14,14.47,14.6,10.598992,1934300
2001-09-18,14.6,15.0,14.35,14.55,10.562693,902800
2001-09-19,14.6,14.69,13.72,13.95,10.127118,2415400
2001-09-20,13.9,13.9,12.84,12.95,9.401159,3498900
2001-09-21,12.85,13.0,12.16,12.75,9.255969,2051800
2001-09-24,13.0,13.28,12.95,13.2,9.582649,1964200
2001-09-25,13.2,13.2,12.7,12.8,9.292268,1827300
2001-09-26,12.8,12.96,12.2,12.2,8.85669,3327200
2001-09-27,12.26,12.26,11.61,11.85,8.602607,2347500
2001-09-28,12.1,13.45,12.1,12.75,9.255969,2844000
2001-10-01,12.65,13.0,12.65,12.7,9.219671,878800
2001-10-02,12.55,12.7,12.12,12.58,9.132555,1900400
2001-10-03,12.62,13.06,12.6,12.95,9.401159,2539400
2001-10-04,12.97,13.8,12.97,13.49,9.793178,3108500
2001-10-05,13.5,13.74,13.32,13.55,9.836735,2172300
2001-10-08,13.6,13.69,13.23,13.23,9.604428,576100
2001-10-09,13.48,13.8,13.38,13.4,9.727842,1601100
2001-10-10,13.35,13.75,13.3,13.67,9.92385,1700400
2001-10-11,15.5,15.5,14.7,15.16,11.00553,4214100
2001-10-12,15.26,16.549999,15.26,16.549999,12.014608,5193300
2001-10-15,16.51,17.950001,16.51,17.5,12.704269,3277900
2001-10-16,17.65,18.049999,16.9,17.450001,12.667974,1996000
2001-10-17,17.65,17.74,16.85,16.98,12.326771,1877100
2001-10-18,16.98,16.98,16.610001,16.700001,12.123503,942000
2001-10-19,16.700001,16.85,16.540001,16.85,12.232401,2062500
2001-10-22,17.0,17.57,16.969999,17.5,12.704269,469600
2001-10-23,17.5,17.73,17.27,17.620001,12.791383,915400
2001-10-24,17.68,17.76,17.57,17.74,12.878499,472600
2001-10-25,17.74,17.75,17.129999,17.74,12.878499,265100
2001-10-26,17.700001,17.780001,17.5,17.620001,12.791383,566500
2001-10-29,17.719999,17.73,17.4,17.549999,12.74057,616200
2001-10-30,17.450001,17.459999,17.15,17.35,12.595375,574700
2001-10-31,17.42,17.6,17.1,17.57,12.755089,718600
2001-11-01,17.52,18.59,17.52,18.309999,13.292295,1089900
2001-11-02,18.5,19.1,18.1,18.25,13.248737,2372800
2001-11-05,18.25,18.27,17.77,18.1,13.139842,1552700
2001-11-06,17.98,17.98,17.35,17.969999,13.045469,562600
2001-11-07,17.98,18.9,17.959999,18.9,13.720611,1987000
2001-11-08,18.700001,19.969999,18.700001,19.950001,14.482871,1747200
2001-11-09,19.75,19.950001,19.65,19.950001,14.482871,1325400
2001-11-12,19.75,19.75,19.0,19.49,14.148923,2398300
2001-11-13,19.700001,21.24,19.66,20.799999,15.099934,1463000
2001-11-14,21.0,21.4,19.969999,20.209999,14.671616,1391400
