Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,20.0,21.349001,19.51,20.49,18.125374,3415200
2021-09-17,20.290001,20.940001,20.0,20.0,17.691921,664000
2021-09-20,19.48,20.42,19.25,19.85,17.559233,1069200
2021-09-21,20.24,20.733999,19.934999,20.01,17.700768,261100
2021-09-22,20.049999,21.58,19.9,21.34,18.877281,332500
2021-09-23,21.35,22.120001,21.35,21.780001,19.266502,370800
2021-09-24,21.67,22.055,20.796,21.85,19.328424,159600
2021-09-27,22.219999,22.219999,21.629999,21.790001,19.275349,262700
2021-09-28,21.790001,21.940001,21.549999,21.85,19.328424,169400
2021-09-29,21.860001,22.059999,21.610001,21.98,19.44342,92800
2021-09-30,21.809999,22.135,21.690001,21.93,19.399193,76500
2021-10-01,22.049999,22.209999,21.655001,21.77,19.257654,92800
2021-10-04,21.67,21.84,20.93,21.26,18.806511,126500
2021-10-05,21.389999,21.42,20.15,20.84,18.434984,113200
2021-10-06,20.809999,21.17,20.559999,21.0,18.576515,52200
2021-10-07,21.1,21.200001,20.51,20.91,18.496904,95000
2021-10-08,21.049999,21.440001,20.82,20.91,18.496904,67500
2021-10-11,20.73,21.49,20.360001,20.450001,18.089989,357400
2021-10-12,20.77,20.93,20.440001,20.5,18.13422,398600
2021-10-13,20.4,21.030001,20.209999,20.75,18.355368,644800
2021-10-14,20.99,21.6,20.85,21.32,18.859589,573600
2021-10-15,21.5,21.690001,20.889999,21.559999,19.07189,149200
2021-10-18,21.709999,21.91,21.57,21.790001,19.275349,127600
2021-10-19,21.950001,22.77,21.525,22.51,19.912258,209700
2021-10-20,23.049999,23.33,22.52,23.15,20.478397,267300
2021-10-21,23.040001,23.25,22.549999,22.99,20.336864,132300
2021-10-22,22.98,23.273001,22.780001,22.98,20.328018,147700
2021-10-25,23.0,23.15,22.57,22.709999,20.089178,72400
2021-10-26,22.58,22.76,22.35,22.5,19.903412,73300
2021-10-27,22.5,23.235001,22.5,22.99,20.336864,72500
2021-10-28,23.040001,23.25,22.91,23.059999,20.398785,104400
2021-10-29,22.49,23.26,22.49,22.98,20.328018,93400
2021-11-01,22.809999,23.219999,22.715,23.1,20.434172,140100
2021-11-02,23.27,23.27,22.559999,22.639999,20.027254,129000
2021-11-03,22.639999,24.0,22.374001,23.360001,20.664164,232500
2021-11-04,23.200001,24.0,23.139999,23.52,20.805698,245200
2021-11-05,23.690001,23.914,23.110001,23.23,20.549166,164900
2021-11-08,23.27,23.75,23.07,23.17,20.496092,69100
2021-11-09,23.0,23.030001,22.360001,22.450001,19.859184,171100
2021-11-10,22.43,22.545,22.120001,22.309999,19.735338,91500
2021-11-11,22.370001,23.098,21.875,21.959999,19.42573,332700
2021-11-12,22.02,22.280001,21.879999,22.0,19.461115,144200
