Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,7.5,7.425,7.425,4.673321,500
1980-03-18,7.425,7.425,7.425,7.425,4.673321,0
1980-03-19,0.0,7.425,7.35,7.425,4.673321,667
1980-03-20,0.0,7.35,7.2,7.35,4.626116,3833
1980-03-21,0.0,7.35,7.2,7.2,4.531705,1500
1980-03-24,7.2,7.2,7.2,7.2,4.531705,0
1980-03-25,7.2,7.2,7.2,7.2,4.531705,0
1980-03-26,0.0,7.05,7.05,7.05,4.437296,833
1980-03-27,0.0,6.975,6.975,6.975,4.390092,667
1980-03-28,0.0,6.975,6.825,6.825,4.295678,667
1980-03-31,0.0,6.9,6.675,6.675,4.201269,333
1980-04-01,0.0,6.6,6.6,6.6,4.154062,167
1980-04-02,0.0,6.75,6.6,6.75,4.248474,1167
1980-04-03,0.0,6.75,6.6,6.75,4.248474,26833
1980-04-07,0.0,6.6,6.6,6.6,4.154062,500
1980-04-08,0.0,6.45,6.45,6.45,4.059651,167
1980-04-09,0.0,6.525,6.525,6.525,4.106858,167
1980-04-10,0.0,6.6,6.525,6.6,4.154062,1500
1980-04-11,6.6,6.6,6.6,6.6,4.154062,0
1980-04-14,0.0,6.45,6.45,6.45,4.059651,500
1980-04-15,6.45,6.45,6.45,6.45,4.059651,0
1980-04-16,0.0,6.6,6.6,6.6,4.154062,500
1980-04-17,0.0,6.45,6.3,6.3,3.965243,2167
1980-04-18,6.3,6.3,6.3,6.3,3.965243,0
1980-04-21,0.0,6.45,6.45,6.45,4.059651,500
1980-04-22,0.0,6.9,6.6,6.825,4.295678,1500
1980-04-23,0.0,7.2,6.9,7.125,4.484499,1667
1980-04-24,0.0,7.35,7.125,7.275,4.578911,1167
1980-04-25,0.0,7.5,7.35,7.5,4.720526,667
1980-04-28,0.0,7.65,7.35,7.65,4.814937,2167
1980-04-29,0.0,7.725,7.725,7.725,4.862142,167
1980-04-30,0.0,7.725,7.575,7.725,4.862142,1167
1980-05-01,0.0,7.8,7.725,7.8,4.909349,5833
1980-05-02,0.0,7.725,7.65,7.725,4.862142,833
1980-05-05,0.0,8.025,7.8,8.025,5.050962,2333
1980-05-06,0.0,8.4,8.1,8.4,5.286988,3000
1980-05-07,0.0,8.625,8.4,8.55,5.381397,5833
1980-05-08,0.0,8.625,8.475,8.625,5.428605,1167
1980-05-09,0.0,8.55,8.475,8.55,5.381397,1000
1980-05-12,0.0,8.475,8.25,8.25,5.192581,1667
1980-05-13,0.0,8.25,8.1,8.1,5.098168,1167
1980-05-14,0.0,7.875,7.875,7.875,4.956552,1000
1980-05-15,0.0,7.95,7.8,7.8,4.909349,3000
1980-05-16,0.0,7.8,7.65,7.8,4.909349,500
1980-05-19,0.0,7.875,7.875,7.875,4.956552,167
1980-05-20,0.0,7.725,7.725,7.725,4.862142,167
1980-05-21,0.0,7.575,7.575,7.575,4.767731,333
1980-05-22,0.0,7.875,7.65,7.875,4.956552,2167
1980-05-23,0.0,7.95,7.875,7.95,5.003757,6833
1980-05-27,0.0,7.95,7.95,7.95,5.003757,1167
1980-05-28,0.0,8.175,7.95,8.1,5.098168,1667
1980-05-29,0.0,8.1,7.95,8.1,5.098168,16167
1980-05-30,0.0,8.175,8.1,8.175,5.145374,333
1980-06-02,0.0,8.475,8.175,8.4,5.286988,2500
1980-06-03,0.0,8.625,8.475,8.475,5.334195,1167
1980-06-04,0.0,8.55,8.4,8.4,5.286988,1167
1980-06-05,8.4,8.4,8.4,8.4,5.286988,0
1980-06-06,0.0,8.475,8.475,8.475,5.334195,167
1980-06-09,0.0,8.625,8.55,8.55,5.381397,667
1980-06-10,0.0,8.85,8.7,8.85,5.570221,3167
1980-06-11,0.0,8.925,8.7,8.7,5.475812,1500
1980-06-12,0.0,8.625,8.475,8.475,5.334195,1333
1980-06-13,0.0,8.4,8.4,8.4,5.286988,167
1980-06-16,0.0,8.475,8.475,8.475,5.334195,167
1980-06-17,0.0,8.55,8.475,8.475,5.334195,1000
1980-06-18,0.0,8.475,8.475,8.475,5.334195,500
1980-06-19,0.0,8.55,8.55,8.55,5.381397,1000
1980-06-20,0.0,8.55,8.55,8.55,5.381397,167
1980-06-23,0.0,8.925,8.55,8.85,5.570221,2000
1980-06-24,0.0,9.0,8.925,9.0,5.664632,3500
1980-06-25,0.0,9.225,9.075,9.075,5.711837,1833
1980-06-26,0.0,9.225,9.0,9.0,5.664632,667
1980-06-27,9.0,9.0,9.0,9.0,5.664632,0
1980-06-30,0.0,9.15,9.0,9.0,5.664632,2000
1980-07-01,0.0,8.925,8.775,8.925,5.617428,2667
1980-07-02,0.0,8.775,8.775,8.775,5.523016,333
1980-07-03,0.0,8.85,8.85,8.85,5.570221,1833
1980-07-07,0.0,9.0,8.85,8.85,5.570221,1333
1980-07-08,8.85,8.85,8.85,8.85,5.570221,0
1980-07-09,0.0,9.15,9.0,9.0,5.664632,3333
1980-07-10,0.0,9.0,8.7,8.7,5.475812,3000
1980-07-11,8.7,8.7,8.7,8.7,5.475812,0
1980-07-14,0.0,8.775,8.775,8.775,5.523016,333
1980-07-15,0.0,8.85,8.475,8.625,5.428605,69167
1980-07-16,0.0,8.625,8.625,8.625,5.428605,2000
1980-07-17,0.0,8.7,8.625,8.625,5.428605,2500
1980-07-18,8.625,8.625,8.625,8.625,5.428605,0
1980-07-21,0.0,9.075,8.775,9.075,5.711837,4333
1980-07-22,0.0,9.225,9.075,9.225,5.80625,2667
1980-07-23,0.0,9.675,9.225,9.525,5.99507,6000
1980-07-24,0.0,9.6,9.375,9.6,6.042273,3500
1980-07-25,0.0,9.6,9.6,9.6,6.042273,1333
1980-07-28,0.0,9.6,9.6,9.6,6.042273,667
1980-07-29,0.0,9.975,9.45,9.75,6.136686,6667
1980-07-30,0.0,10.125,9.9,10.125,6.37271,4833
1980-07-31,0.0,10.425,10.05,10.125,6.37271,4667
1980-08-01,0.0,10.425,10.35,10.425,6.561532,1333
1980-08-04,0.0,10.875,10.3125,10.5,6.608738,4800
1980-08-05,0.0,10.5,10.3125,10.40625,6.549728,1200
1980-08-06,0.0,10.59375,10.59375,10.59375,6.667744,133
1980-08-07,0.0,11.0625,10.78125,11.0625,6.962775,3067
1980-08-08,0.0,10.96875,10.875,10.96875,6.903771,1867
1980-08-11,0.0,10.96875,10.6875,10.6875,6.726748,800
1980-08-12,10.6875,10.6875,10.6875,10.6875,6.726748,0
1980-08-13,10.6875,10.6875,10.6875,10.6875,6.726748,0
1980-08-14,0.0,10.78125,10.6875,10.6875,6.726748,267
1980-08-15,0.0,10.875,10.78125,10.875,6.844763,1733
1980-08-18,0.0,10.875,10.6875,10.875,6.844763,2000
1980-08-19,0.0,10.78125,10.40625,10.40625,6.549728,1600
1980-08-20,0.0,10.59375,10.59375,10.59375,6.667744,267
1980-08-21,0.0,10.875,10.5,10.875,6.844763,2267
1980-08-22,0.0,11.0625,11.0625,11.0625,6.962775,267
1980-08-25,0.0,11.34375,10.96875,11.34375,7.139796,1200
1980-08-26,0.0,12.09375,11.625,11.71875,7.375822,4133
1980-08-27,0.0,12.5625,11.90625,12.375,7.788867,3467
1980-08-28,0.0,12.75,12.375,12.5625,7.906882,3200
1980-08-29,0.0,12.75,12.5625,12.75,8.024894,2400
1980-09-02,0.0,12.65625,12.46875,12.5625,7.906882,1333
1980-09-03,0.0,12.75,12.375,12.5625,7.906882,2933
1980-09-04,0.0,12.46875,12.09375,12.375,7.788867,4133
1980-09-05,0.0,12.46875,12.375,12.46875,7.847877,3467
1980-09-08,0.0,12.5625,12.375,12.375,7.788867,1733
1980-09-09,0.0,12.65625,12.09375,12.65625,7.96589,3600
1980-09-10,0.0,12.9375,12.75,12.75,8.024894,2667
1980-09-11,0.0,12.84375,12.5625,12.65625,7.96589,2267
1980-09-12,0.0,12.65625,12.46875,12.65625,7.96589,800
1980-09-15,0.0,12.5625,12.375,12.5625,7.906882,1333
1980-09-16,0.0,12.65625,12.65625,12.65625,7.96589,267
1980-09-17,0.0,12.75,12.65625,12.75,8.024894,933
1980-09-18,0.0,12.75,12.65625,12.65625,7.96589,1067
1980-09-19,0.0,12.75,12.5625,12.65625,7.96589,1200
1980-09-22,0.0,12.65625,12.46875,12.65625,7.96589,1067
1980-09-23,0.0,12.75,12.46875,12.75,8.024894,2667
1980-09-24,0.0,12.75,12.5625,12.5625,7.906882,2933
1980-09-25,0.0,12.46875,12.1875,12.1875,7.670854,1333
1980-09-26,0.0,12.1875,11.8125,11.8125,7.434832,2533
1980-09-29,0.0,11.625,11.34375,11.34375,7.139796,1333
1980-09-30,11.34375,11.34375,11.34375,11.34375,7.139796,0
1980-10-01,0.0,11.71875,11.25,11.71875,7.375822,1600
1980-10-02,11.71875,11.71875,11.71875,11.71875,7.375822,0
1980-10-03,0.0,11.90625,11.71875,11.71875,7.375822,1467
1980-10-06,0.0,12.09375,11.90625,12.09375,7.61185,3067
1980-10-07,0.0,12.375,12.1875,12.375,7.788867,2000
1980-10-08,0.0,12.5625,12.375,12.375,7.788867,2133
1980-10-09,0.0,12.75,12.65625,12.75,8.024894,1867
1980-10-10,0.0,13.125,12.75,12.75,8.024894,7600
1980-10-13,0.0,12.9375,12.75,12.75,8.024894,400
1980-10-14,0.0,12.9375,12.65625,12.84375,8.083905,1867
1980-10-15,0.0,12.9375,12.5625,12.75,8.024894,2533
1980-10-16,0.0,13.125,12.5625,13.03125,8.201914,1333
