Date,Open,High,Low,Close,Adj Close,Volume
2003-11-20,4.68254,4.695767,4.57672,4.62963,3.393389,717066
2003-11-21,4.706349,4.706349,4.550265,4.587302,3.362362,1180116
2003-11-24,4.62963,4.761905,4.603175,4.642857,3.403082,816858
2003-11-25,4.656085,4.780423,4.55291,4.560847,3.342972,1136646
2003-11-26,4.603175,4.695767,4.57672,4.642857,3.403082,790776
2003-11-28,4.62963,4.828042,4.57672,4.828042,3.538817,300510
2003-12-01,4.835979,5.642857,4.835979,5.473545,4.011953,1459836
2003-12-02,5.679894,5.973545,5.42328,5.886243,4.314449,1204308
2003-12-03,5.992063,6.005291,5.410053,5.410053,3.965414,1232658
2003-12-04,5.410053,5.410053,4.97619,5.238095,3.839375,1027404
2003-12-05,5.193122,5.193122,4.955026,5.047619,3.69976,478548
2003-12-08,5.039683,5.05291,4.730159,4.94709,3.626076,1171044
2003-12-09,4.94709,5.021164,4.722222,4.751323,3.482585,1015686
2003-12-10,4.891534,4.891534,4.730159,4.84127,3.548513,644112
2003-12-11,4.84127,4.978836,4.759259,4.828042,3.538817,348894
2003-12-12,4.867725,4.94709,4.57672,4.73545,3.470951,992628
2003-12-15,4.806878,4.846561,4.539683,4.62963,3.393389,1699488
2003-12-16,4.669312,4.669312,4.333333,4.497354,3.296432,1858248
2003-12-17,4.497354,4.550265,4.404762,4.484127,3.286738,633906
2003-12-18,4.431217,4.595238,4.431217,4.497354,3.296432,204120
2003-12-19,4.510582,4.690476,4.497354,4.687831,3.436046,658854
2003-12-22,4.632275,4.925926,4.632275,4.854497,3.558208,1204308
2003-12-23,4.89418,4.94709,4.775132,4.92328,3.608624,608202
2003-12-24,4.973545,5.026455,4.857143,4.920635,3.606686,303912
2003-12-26,4.920635,4.920635,4.809524,4.838624,3.546573,40446
2003-12-29,4.933862,4.949735,4.828042,4.949735,3.628014,277830
2003-12-30,4.933862,5.0,4.902116,4.973545,3.645468,139482
2003-12-31,4.970899,5.013228,4.920635,4.97619,3.647406,237762
2004-01-02,5.002646,5.092593,4.973545,5.092593,3.732726,171234
2004-01-05,5.02381,5.145503,4.986772,5.116402,3.750177,261954
2004-01-06,5.119048,5.119048,4.846561,4.978836,3.649346,335664
2004-01-07,5.058201,5.145503,4.960317,4.968254,3.641589,594216
2004-01-08,5.044974,5.132275,4.804233,4.838624,3.546573,538272
2004-01-09,4.84127,4.968254,4.420635,4.515873,3.310007,467208
2004-01-12,4.518519,4.748677,4.5,4.706349,3.44962,502362
2004-01-13,4.685185,4.748677,4.457672,4.497354,3.296432,1436778
2004-01-14,4.497354,4.775132,4.465608,4.775132,3.500036,1821582
2004-01-15,4.777778,5.132275,4.777778,5.068783,3.715273,820260
2004-01-16,5.132275,5.185185,5.05291,5.15873,3.781203,1072008
2004-01-20,5.18254,5.415344,5.148148,5.37037,3.936327,948402
2004-01-21,5.37037,5.37037,5.132275,5.238095,3.839375,720090
2004-01-22,5.224868,5.349206,5.10582,5.121693,3.754055,355698
2004-01-23,5.124339,5.343915,5.119048,5.222222,3.82774,176148
2004-01-26,5.275132,5.291005,5.145503,5.145503,3.771506,308070
2004-01-27,5.21164,5.246032,4.907407,5.079365,3.723029,543942
2004-01-28,5.111111,5.121693,4.537037,4.566138,3.346848,666792
2004-01-29,4.626984,4.714286,4.444444,4.534392,3.32358,534870
2004-01-30,4.589947,4.828042,4.589947,4.761905,3.49034,926856
2004-02-02,4.783069,4.806878,4.73545,4.759259,3.488402,564732
2004-02-03,4.748677,4.775132,4.724868,4.761905,3.49034,609714
2004-02-04,4.761905,4.761905,4.637566,4.693122,3.439924,101682
2004-02-05,4.708995,4.992063,4.653439,4.960317,3.635772,990360
2004-02-06,5.007937,5.285714,4.94709,5.269841,3.862643,1189944
2004-02-09,5.251323,5.42328,5.185185,5.410053,3.965414,443394
2004-02-10,5.375661,5.555556,5.375661,5.542328,4.062368,553770
2004-02-11,5.494709,5.687831,5.436508,5.687831,4.169017,553770
2004-02-12,5.674603,5.716931,5.57672,5.603175,4.106967,320166
2004-02-13,5.563492,5.806878,5.555556,5.730159,4.200043,356454
2004-02-17,5.806878,5.952381,5.753968,5.899471,4.324144,214704
2004-02-18,5.888889,5.899471,5.793651,5.806878,4.256278,679266
2004-02-19,5.806878,5.886243,5.701058,5.732804,4.201982,109620
2004-02-20,5.706349,5.714286,5.224868,5.246032,3.845192,173502
2004-02-23,5.251323,5.280423,4.687831,4.78836,3.509731,743526
2004-02-24,4.867725,4.933862,4.761905,4.830688,3.540758,330750
2004-02-25,4.833333,5.132275,4.780423,5.092593,3.732726,208278
2004-02-26,5.047619,5.169312,5.0,5.137566,3.76569,121716
2004-02-27,5.169312,5.21164,4.931217,5.132275,3.761811,119448
2004-03-01,5.153439,5.283069,5.108466,5.246032,3.845192,79002
2004-03-02,5.285714,5.291005,4.978836,5.238095,3.839375,114156
2004-03-03,5.26455,5.26455,5.039683,5.103175,3.740484,151200
2004-03-04,5.10582,5.232804,4.94709,5.026455,3.684247,117936
2004-03-05,4.933862,4.986772,4.843915,4.984127,3.653223,144396
2004-03-08,4.989418,4.989418,4.875661,4.89418,3.587295,491022
2004-03-09,5.026455,5.066138,4.804233,4.835979,3.544635,704970
2004-03-10,4.838624,5.079365,4.751323,4.965608,3.639648,374220
2004-03-11,4.965608,4.989418,4.89418,4.89418,3.587295,105084
2004-03-12,5.02381,5.026455,4.89418,4.925926,3.610564,60858
2004-03-15,4.970899,5.047619,4.94709,5.0,3.664857,306180
2004-03-16,5.05291,5.079365,4.907407,4.968254,3.641589,367038
2004-03-17,4.960317,5.063492,4.925926,4.957672,3.633833,336798
2004-03-18,5.007937,5.013228,4.89418,4.899471,3.591172,91476
2004-03-19,4.896825,4.941799,4.830688,4.915344,3.602806,233226
2004-03-22,4.822751,4.875661,4.801587,4.830688,3.540758,153846
2004-03-23,4.814815,5.066138,4.814815,4.867725,3.567903,210546
2004-03-24,5.0,5.0,4.73545,4.830688,3.540758,298998
2004-03-25,4.830688,4.89418,4.759259,4.875661,3.573721,215082
2004-03-26,4.939153,5.0,4.698413,4.875661,3.573721,4579092
2004-03-29,4.896825,5.026455,4.875661,4.891534,3.585355,560196
2004-03-30,4.933862,4.94709,4.809524,4.851852,3.55627,351918
2004-03-31,4.806878,4.883598,4.769841,4.830688,3.540758,200340
2004-04-01,4.814815,4.910053,4.814815,4.873016,3.571782,213948
2004-04-02,4.904762,4.904762,4.828042,4.89418,3.587295,616896
2004-04-05,4.89418,4.957672,4.854497,4.936508,3.618321,398790
2004-04-06,4.87037,4.907407,4.812169,4.87037,3.569844,198450
2004-04-07,4.846561,4.880952,4.820106,4.843915,3.550452,134568
2004-04-08,5.0,5.034392,4.87037,4.87037,3.569844,297486
2004-04-12,4.89418,4.89418,4.828042,4.89418,3.587295,123606
2004-04-13,4.880952,4.907407,4.579365,4.608466,3.377875,575694
2004-04-14,4.626984,4.687831,4.603175,4.653439,3.410838,233226
2004-04-15,4.656085,4.685185,4.560847,4.57672,3.354605,379890
2004-04-16,4.579365,4.619048,4.34127,4.34127,3.182027,474768
2004-04-19,4.349206,4.404762,4.26455,4.359788,3.1956,576828
2004-04-20,4.404762,4.537037,4.314815,4.449735,3.261529,722358
2004-04-21,4.529101,4.740741,4.52381,4.653439,3.410838,534114
2004-04-22,4.650794,4.820106,4.587302,4.796296,3.515548,193914
2004-04-23,4.777778,5.005291,4.73545,4.955026,3.631893,716688
2004-04-26,4.94709,5.010582,4.854497,4.986772,3.655162,738612
2004-04-27,4.939153,5.055556,4.92328,4.989418,3.6571,1134378
2004-04-28,4.992063,5.026455,4.920635,5.010582,3.672613,728028
2004-04-29,4.955026,5.074074,4.944444,4.973545,3.645468,337176
2004-04-30,5.0,5.0,4.603175,4.687831,3.436046,339822
2004-05-03,4.703704,4.960317,4.687831,4.949735,3.628014,237384
2004-05-04,4.952381,5.380952,4.880952,5.26455,3.858765,1402380
2004-05-05,5.26455,5.34127,5.140212,5.21164,3.819983,545454
2004-05-06,5.161376,5.28836,5.058201,5.238095,3.839375,504252
2004-05-07,5.15873,5.238095,4.944444,4.94709,3.626076,438858
2004-05-10,4.960317,5.05291,4.671958,4.835979,3.544635,1033452
2004-05-11,4.812169,5.063492,4.624339,5.007937,3.670675,947268
2004-05-12,5.0,5.092593,4.931217,5.074074,3.719153,512190
2004-05-13,5.0,5.071429,4.925926,4.997354,3.662917,292194
2004-05-14,5.0,5.026455,4.785714,4.828042,3.538817,339444
2004-05-17,4.775132,4.775132,4.65873,4.661376,3.416656,323190
2004-05-18,4.661376,4.915344,4.537037,4.550265,3.335214,755244
2004-05-19,4.57672,4.867725,4.539683,4.719577,3.459316,788508
2004-05-20,4.748677,4.748677,4.558201,4.611111,3.379813,355698
2004-05-21,4.693122,4.693122,4.600529,4.656085,3.412778,301266
2004-05-24,4.695767,4.76455,4.634921,4.706349,3.44962,1185786
2004-05-25,4.558201,4.73545,4.55291,4.698413,3.443803,1102626
2004-05-26,4.65873,4.777778,4.616402,4.738095,3.472888,388962
2004-05-27,4.753968,4.767196,4.62963,4.761905,3.49034,968436
2004-05-28,4.695767,4.738095,4.518519,4.656085,3.412778,363636
2004-06-01,4.664021,4.716931,4.62963,4.653439,3.410838,242676
2004-06-02,4.677249,4.679894,4.550265,4.571429,3.350727,165186
2004-06-03,4.542328,4.560847,4.39418,4.457672,3.267347,612738
2004-06-04,4.460317,4.597884,4.375661,4.39418,3.220809,412398
2004-06-07,4.76455,4.94709,4.669312,4.907407,3.59699,3428082
2004-06-08,4.917989,5.039683,4.806878,5.02381,3.682309,1726704
2004-06-09,5.031746,5.097884,4.94709,5.031746,3.688126,1146096
2004-06-10,5.026455,5.042328,4.94709,5.007937,3.670675,840294
2004-06-14,4.94709,5.02381,4.89418,4.933862,3.61638,379890
2004-06-15,4.970899,4.973545,4.828042,4.925926,3.610564,634662
2004-06-16,4.973545,4.986772,4.910053,4.941799,3.622198,1061802
2004-06-17,4.973545,5.010582,4.915344,5.007937,3.670675,992628
2004-06-18,4.986772,5.013228,4.851852,5.013228,3.674554,766962
2004-06-21,5.013228,5.026455,4.928571,5.002646,3.666797,1083348
2004-06-22,5.010582,5.026455,4.94709,5.0,3.664857,642978
2004-06-23,5.0,5.039683,4.978836,5.026455,3.684247,723492
2004-06-24,5.026455,5.026455,4.939153,5.002646,3.666797,520506
2004-06-25,5.010582,5.010582,3.888889,4.886243,3.581477,7174818
2004-06-28,4.89418,4.89418,4.714286,4.759259,3.488402,675108
2004-06-29,4.759259,4.814815,4.714286,4.812169,3.527184,543942
2004-06-30,4.825397,4.846561,4.732804,4.767196,3.494219,1313550
2004-07-01,4.746032,4.746032,4.544974,4.544974,3.331337,1181250
2004-07-02,4.513228,4.513228,4.280423,4.346561,3.185906,1652616
2004-07-06,4.304233,4.304233,4.164021,4.171958,3.057926,1393308
2004-07-07,4.214286,4.470899,4.198413,4.452381,3.263469,2140614
2004-07-08,4.388889,4.388889,4.253968,4.26455,3.125794,738234
2004-07-09,4.272487,4.383598,4.261905,4.309524,3.158758,924210
2004-07-12,4.272487,4.298942,4.153439,4.187831,3.069561,858816
2004-07-13,4.174603,4.335979,4.140212,4.291005,3.145185,1480248
2004-07-14,4.291005,4.304233,4.137566,4.216931,3.09089,1112454
2004-07-15,4.206349,4.272487,4.193122,4.21164,3.087012,3164616
2004-07-16,4.634921,4.857143,4.563492,4.740741,3.474828,4099032
2004-07-19,4.698413,4.703704,4.619048,4.650794,3.4089,2178792
2004-07-20,4.708995,4.708995,4.563492,4.656085,3.412778,4742388
2004-07-21,4.661376,4.761905,4.616402,4.62963,3.393389,1481760
