Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,0.764,0.728,0.728,0.467882,378125
1980-03-18,0.0,0.728,0.708,0.72,0.46274,215625
1980-03-19,0.0,0.736,0.72,0.72,0.46274,153125
1980-03-20,0.0,0.728,0.72,0.72,0.46274,43750
1980-03-21,0.0,0.72,0.688,0.688,0.442174,556250
1980-03-24,0.0,0.692,0.632,0.64,0.411325,384375
1980-03-25,0.0,0.624,0.592,0.616,0.3959,325000
1980-03-26,0.0,0.64,0.62,0.64,0.411325,100000
1980-03-27,0.0,0.624,0.596,0.604,0.388188,512500
1980-03-28,0.0,0.64,0.616,0.64,0.411325,246875
1980-03-31,0.0,0.64,0.628,0.64,0.411325,62500
1980-04-01,0.0,0.648,0.64,0.64,0.411325,50000
1980-04-02,0.0,0.664,0.64,0.656,0.421608,128125
1980-04-03,0.0,0.664,0.648,0.648,0.416467,128125
1980-04-07,0.0,0.644,0.62,0.62,0.398471,265625
1980-04-08,0.0,0.632,0.616,0.632,0.406183,96875
1980-04-09,0.0,0.644,0.636,0.64,0.411325,50000
1980-04-10,0.0,0.656,0.64,0.656,0.421608,53125
1980-04-11,0.0,0.656,0.644,0.652,0.419037,243750
1980-04-14,0.0,0.644,0.632,0.632,0.406183,162500
1980-04-15,0.0,0.64,0.624,0.624,0.401042,37500
1980-04-16,0.0,0.645,0.625,0.63,0.404898,142500
1980-04-17,0.0,0.625,0.61,0.62,0.398471,182500
1980-04-18,0.0,0.63,0.605,0.605,0.388831,397500
1980-04-21,0.0,0.615,0.605,0.605,0.388831,25000
1980-04-22,0.0,0.645,0.61,0.645,0.414538,390000
1980-04-23,0.0,0.655,0.64,0.655,0.420965,505000
1980-04-24,0.0,0.655,0.64,0.645,0.414538,232500
1980-04-25,0.0,0.65,0.64,0.65,0.417752,147500
1980-04-28,0.0,0.665,0.65,0.66,0.424179,167500
1980-04-29,0.0,0.665,0.655,0.655,0.420965,35000
1980-04-30,0.0,0.665,0.65,0.66,0.424179,102500
1980-05-01,0.0,0.66,0.65,0.65,0.417752,217500
1980-05-02,0.0,0.655,0.64,0.645,0.414538,222500
1980-05-05,0.0,0.65,0.635,0.65,0.417752,267500
1980-05-06,0.0,0.645,0.64,0.64,0.411325,87500
1980-05-07,0.0,0.64,0.625,0.64,0.411325,137500
1980-05-08,0.0,0.64,0.63,0.635,0.408111,110000
1980-05-09,0.0,0.645,0.625,0.625,0.401684,65000
1980-05-12,0.0,0.66,0.635,0.65,0.417752,180000
1980-05-13,0.0,0.66,0.645,0.66,0.424179,75000
1980-05-14,0.0,0.68,0.65,0.68,0.437033,407500
1980-05-15,0.0,0.685,0.675,0.68,0.437033,145000
1980-05-16,0.0,0.69,0.675,0.69,0.44346,147500
1980-05-19,0.0,0.72,0.695,0.715,0.459527,320000
1980-05-20,0.0,0.78,0.71,0.78,0.501302,400000
1980-05-21,0.0,0.78,0.755,0.765,0.491662,295000
1980-05-22,0.0,0.765,0.75,0.75,0.482021,155000
1980-05-23,0.0,0.785,0.755,0.76,0.488448,142500
1980-05-27,0.0,0.79,0.77,0.77,0.494875,195000
1980-05-28,0.0,0.785,0.77,0.78,0.501302,142500
1980-05-29,0.0,0.795,0.775,0.78,0.501302,262500
1980-05-30,0.0,0.785,0.77,0.78,0.501302,100000
1980-06-02,0.0,0.78,0.77,0.77,0.494875,35000
1980-06-03,0.0,0.775,0.765,0.775,0.498089,372500
1980-06-04,0.0,0.775,0.765,0.77,0.494875,277500
1980-06-05,0.0,0.82,0.775,0.805,0.51737,320000
1980-06-06,0.0,0.835,0.8,0.83,0.533437,535000
1980-06-09,0.0,0.87,0.83,0.835,0.53665,425000
1980-06-10,0.0,0.835,0.825,0.825,0.530223,132500
1980-06-11,0.0,0.84,0.825,0.84,0.539864,212500
1980-06-12,0.0,0.845,0.83,0.83,0.533437,410000
1980-06-13,0.0,0.855,0.83,0.855,0.549504,335000
1980-06-16,0.0,0.865,0.85,0.85,0.546291,260000
1980-06-17,0.0,0.845,0.835,0.84,0.539864,135000
1980-06-18,0.0,0.845,0.83,0.845,0.543077,80000
1980-06-19,0.0,0.85,0.83,0.83,0.533437,232500
1980-06-20,0.0,0.815,0.8,0.81,0.520583,110000
1980-06-23,0.0,0.845,0.81,0.845,0.543077,185000
1980-06-24,0.0,0.86,0.84,0.85,0.546291,75000
1980-06-25,0.0,0.85,0.83,0.85,0.546291,317500
1980-06-26,0.0,0.895,0.845,0.87,0.559145,635000
1980-06-27,0.0,0.885,0.865,0.875,0.562358,127500
1980-06-30,0.0,0.88,0.865,0.88,0.565572,472500
1980-07-01,0.0,0.89,0.85,0.85,0.546291,417500
1980-07-02,0.0,0.865,0.85,0.86,0.552718,105000
1980-07-03,0.0,0.89,0.87,0.88,0.565572,77500
1980-07-07,0.0,0.89,0.87,0.89,0.571999,212500
1980-07-08,0.0,0.905,0.895,0.9,0.578426,195000
1980-07-09,0.0,0.9,0.875,0.88,0.565572,317500
1980-07-10,0.0,0.87,0.855,0.86,0.552718,95000
1980-07-11,0.0,0.875,0.855,0.875,0.562358,67500
1980-07-14,0.0,0.93,0.88,0.92,0.59128,252500
1980-07-15,0.0,0.96,0.94,0.95,0.61056,230000
1980-07-16,0.0,0.975,0.945,0.96,0.616987,295000
1980-07-17,0.0,0.965,0.955,0.96,0.616987,542500
1980-07-18,0.0,0.98,0.96,0.96,0.616987,412500
1980-07-21,0.0,0.995,0.955,0.995,0.639482,300000
1980-07-22,0.0,1.0,0.98,0.99,0.636268,510000
1980-07-23,0.0,1.0,0.99,1.0,0.642695,115000
1980-07-24,0.0,1.0,0.99,1.0,0.642695,192500
1980-07-25,0.0,0.995,0.98,0.985,0.633055,187500
1980-07-28,0.0,0.98,0.97,0.98,0.629841,142500
1980-07-29,0.0,1.0,0.97,0.99,0.636268,187500
1980-07-30,0.0,1.055,0.99,1.045,0.671616,420000
1980-07-31,0.0,1.115,1.05,1.115,0.716605,332500
1980-08-01,0.0,1.24,1.175,1.24,0.796942,1190000
1980-08-04,0.0,1.235,1.15,1.185,0.761594,667500
1980-08-05,0.0,1.2,1.17,1.19,0.764807,247500
1980-08-06,0.0,1.19,1.18,1.19,0.764807,275000
1980-08-07,0.0,1.21,1.19,1.21,0.777662,210000
1980-08-08,0.0,1.21,1.19,1.19,0.764807,440000
1980-08-11,0.0,1.225,1.2,1.2,0.771234,477500
1980-08-12,0.0,1.22,1.21,1.21,0.777662,160000
1980-08-13,0.0,1.22,1.195,1.195,0.768021,300000
1980-08-14,0.0,1.195,1.175,1.175,0.755166,57500
1980-08-15,0.0,1.21,1.185,1.2,0.771234,240000
1980-08-18,0.0,1.21,1.18,1.2,0.771234,297500
1980-08-19,0.0,1.215,1.19,1.215,0.780874,212500
1980-08-20,0.0,1.24,1.225,1.24,0.796942,172500
1980-08-21,0.0,1.3,1.23,1.29,0.829077,722500
1980-08-22,0.0,1.355,1.31,1.33,0.854784,645000
1980-08-25,0.0,1.38,1.34,1.38,0.886919,255000
1980-08-26,0.0,1.44,1.36,1.42,0.912627,440000
1980-08-27,0.0,1.415,1.39,1.395,0.89656,312500
1980-08-28,0.0,1.39,1.245,1.245,0.800156,792500
1980-08-29,0.0,1.22,1.16,1.19,0.764807,740000
1980-09-02,0.0,1.24,1.17,1.21,0.777662,675000
1980-09-03,0.0,1.24,1.205,1.24,0.796942,200000
1980-09-04,0.0,1.29,1.235,1.255,0.806582,267500
1980-09-05,0.0,1.275,1.26,1.27,0.816223,102500
1980-09-08,0.0,1.275,1.255,1.265,0.813009,105000
1980-09-09,0.0,1.265,1.25,1.26,0.809796,55000
1980-09-10,0.0,1.275,1.265,1.265,0.813009,147500
1980-09-11,0.0,1.27,1.245,1.255,0.806582,145000
1980-09-12,0.0,1.275,1.26,1.275,0.819436,197500
