Date,Open,High,Low,Close,Adj Close,Volume
1994-08-10,5.5,5.75,5.375,5.6875,3.83672,8654400
1994-08-11,5.6875,5.6875,5.25,5.3125,3.58375,1704400
1994-08-12,5.3125,5.4375,5.3125,5.4375,3.668072,276800
1994-08-15,5.4375,5.4375,5.15625,5.375,3.625909,242000
1994-08-16,5.4375,5.621094,5.308594,5.3125,3.58375,382400
1994-08-17,5.4375,5.4375,5.3125,5.4375,3.668072,299200
1994-08-18,5.4375,5.4375,5.3125,5.4375,3.668072,359600
1994-08-19,5.3125,5.4375,5.3125,5.4375,3.668072,259600
1994-08-22,5.4375,5.4375,5.25,5.375,3.625909,400400
1994-08-23,5.375,5.375,5.25,5.375,3.625909,252800
1994-08-24,5.4375,5.625,5.3125,5.625,3.794557,505200
1994-08-25,5.625,5.625,5.5,5.625,3.794557,242000
1994-08-26,5.625,6.4375,5.5625,6.265625,4.226715,1368400
1994-08-29,6.3125,6.9375,6.25,6.875,4.637792,1600000
1994-08-30,6.9375,7.25,6.8125,7.125,4.806439,1066800
1994-08-31,7.125,7.125,6.625,6.8125,4.595633,676400
1994-09-01,6.6875,6.75,6.625,6.75,4.553471,308000
1994-09-02,6.75,6.75,6.625,6.75,4.553471,236800
1994-09-06,6.625,6.75,6.625,6.75,4.553471,215200
1994-09-07,6.9375,7.0625,6.875,6.875,4.637792,320400
1994-09-08,7.0,7.1875,6.875,7.0,4.722116,309200
1994-09-09,7.1875,7.1875,6.996094,7.1875,4.848601,237600
1994-09-12,7.0625,7.1875,6.9375,6.9375,4.679954,330400
1994-09-13,7.0,7.1875,6.9375,7.0625,4.764276,281600
1994-09-14,7.1875,7.4375,7.0,7.4375,5.017248,308000
1994-09-15,7.4375,7.5625,7.25,7.5625,5.101572,338400
1994-09-16,7.5,7.6875,7.375,7.53125,5.08049,230400
1994-09-19,7.5625,7.625,7.4375,7.5625,5.101572,344000
1994-09-20,7.5,7.5,7.375,7.375,4.975086,509600
1994-09-21,7.375,7.625,7.375,7.5,5.059411,264000
1994-09-22,7.625,7.6875,7.5,7.6875,5.185894,200000
1994-09-23,7.75,8.25,7.625,8.1875,5.52319,419600
1994-09-26,8.375,8.75,8.3125,8.6875,5.860484,348000
1994-09-27,8.8125,8.8125,8.5,8.71875,5.881564,644400
1994-09-28,8.75,8.75,8.5625,8.6875,5.860484,586800
1994-09-29,8.6875,8.6875,8.4375,8.625,5.818318,205200
1994-09-30,8.5,8.625,8.375,8.40625,5.670753,164000
1994-10-03,8.375,8.5,7.75,7.875,5.312379,476400
1994-10-04,7.8125,8.1875,7.625,7.8125,5.270218,486800
1994-10-05,7.5,7.625,7.25,7.625,5.143735,626400
1994-10-06,7.5625,7.6875,7.5625,7.5625,5.101572,72800
1994-10-07,7.6875,7.6875,7.558594,7.5625,5.101572,55200
1994-10-10,7.6875,7.9375,7.5625,7.75,5.228057,276000
1994-10-11,7.8125,8.125,7.75,7.9375,5.354543,364400
1994-10-12,7.8125,7.9375,7.75,7.75,5.228057,110800
1994-10-13,7.875,7.9375,7.75,7.84375,5.291302,218000
1994-10-14,7.9375,8.0,7.75,8.0,5.396703,276400
1994-10-17,8.0,8.375,8.0,8.28125,5.586432,243600
1994-10-18,8.625,8.6875,8.1875,8.1875,5.52319,346800
1994-10-19,8.3125,8.3125,8.0,8.1875,5.52319,402000
1994-10-20,8.1875,8.1875,7.6875,7.6875,5.185894,292000
1994-10-21,7.6875,7.875,7.625,7.8125,5.270218,193200
1994-10-24,7.8125,7.875,7.625,7.875,5.312379,236400
1994-10-25,7.8125,8.125,7.6875,8.0625,5.438865,131600
1994-10-26,8.125,8.3125,7.9375,8.25,5.565348,285200
