Date,Open,High,Low,Close,Adj Close,Volume
2019-10-24,25.4,25.49,25.290001,25.450001,21.969385,1422300
2019-10-25,25.610001,25.68,25.559999,25.67,22.159298,1088300
2019-10-28,25.68,25.68,25.549999,25.59,22.090239,1128400
2019-10-29,25.610001,25.610001,25.5,25.57,22.072971,497700
2019-10-30,25.530001,25.67,25.5,25.66,22.150665,1517600
2019-10-31,25.73,25.809999,25.65,25.76,22.236988,4931900
2019-11-01,25.74,25.82,25.68,25.700001,22.185192,475400
2019-11-04,25.68,25.700001,25.65,25.67,22.159298,330500
2019-11-05,25.549999,25.639999,25.469999,25.52,22.029814,948500
2019-11-06,25.52,25.59,25.450001,25.530001,22.038446,900700
2019-11-07,25.5,25.5,25.110001,25.200001,21.753576,222400
2019-11-08,25.27,25.370001,25.25,25.34,21.874426,174200
2019-11-11,25.389999,25.42,25.35,25.360001,21.891691,88000
2019-11-12,25.389999,25.459999,25.343,25.450001,21.969385,224000
2019-11-13,25.5,25.549999,25.476,25.48,21.995281,168200
2019-11-14,25.57,25.65,25.5,25.549999,22.055706,178200
2019-11-15,25.58,25.584999,25.48,25.530001,22.038446,473200
2019-11-18,25.549999,25.58,25.48,25.549999,22.055706,967500
2019-11-19,25.549999,25.559999,25.469999,25.540001,22.047075,383700
2019-11-20,25.549999,25.625,25.5,25.51,22.021177,244100
2019-11-21,25.540001,25.549999,25.450001,25.51,22.021177,340400
2019-11-22,25.549999,25.549999,25.48,25.48,21.995281,156400
2019-11-25,25.559999,25.57,25.5,25.51,22.021177,93700
2019-11-26,25.549999,25.57,25.5,25.530001,22.038446,150600
2019-11-27,25.43,25.440001,25.219999,25.26,21.805368,167500
2019-11-29,25.33,25.370001,25.209999,25.26,21.805368,180400
2019-12-02,25.280001,25.32,25.200001,25.23,21.77947,170300
2019-12-03,25.24,25.280001,25.15,25.24,21.788101,89600
2019-12-04,25.309999,25.549999,25.25,25.280001,21.822632,139000
2019-12-05,25.280001,25.549999,25.209999,25.26,21.805368,140900
2019-12-06,25.25,25.25,25.17,25.190001,21.744944,69000
2019-12-09,25.24,25.299999,25.219999,25.26,21.805368,65300
2019-12-10,25.299999,25.33,25.24,25.27,21.814003,52800
2019-12-11,25.299999,25.33,25.280001,25.33,21.865795,193400
2019-12-12,25.34,25.389999,25.23,25.290001,21.831268,184500
2019-12-13,25.32,25.4,25.292999,25.389999,21.917589,106500
2019-12-16,25.43,25.530001,25.4,25.5,22.012547,258000
2019-12-17,25.530001,25.610001,25.51,25.6,22.098867,122700
2019-12-18,25.6,25.73,25.549999,25.691999,22.178288,151300
2019-12-19,25.700001,25.780001,25.679001,25.768999,22.244755,89700
2019-12-20,25.75,25.84,25.700001,25.785,22.258568,67200
2019-12-23,25.719999,25.9,25.719999,25.889999,22.349207,59900
2019-12-24,25.889999,25.92,25.799999,25.84,22.306044,24700
2019-12-26,25.860001,25.879999,25.799999,25.799999,22.271519,44300
2019-12-27,25.879999,25.9,25.799999,25.860001,22.323313,51700
2019-12-30,25.879999,25.899,25.76,25.85,22.31468,78300
2019-12-31,25.799999,25.950001,25.77,25.950001,22.401005,88000
2020-01-02,25.950001,26.16,25.940001,26.16,22.582281,136800
2020-01-03,26.15,26.15,26.040001,26.09,22.521856,91400
2020-01-06,26.049999,26.15,25.93,26.01,22.452795,107200
2020-01-07,26.059999,26.059999,25.93,25.952,22.402729,174200
2020-01-08,25.99,26.059999,25.85,25.938,22.390644,225600
2020-01-09,25.860001,26.0,25.860001,25.959999,22.409634,217000
2020-01-10,26.040001,26.040001,25.959999,25.99,22.435532,144800
2020-01-13,26.030001,26.030001,25.77,25.85,22.31468,266800
2020-01-14,25.879999,25.891001,25.860001,25.889999,22.349207,62500
2020-01-15,25.879999,26.01,25.6,25.719999,22.202459,332800
2020-01-16,25.719999,25.778999,25.610001,25.709999,22.193821,137100
2020-01-17,25.709999,25.82,25.68,25.809999,22.280148,72500
2020-01-21,25.85,25.93,25.690001,25.75,22.228354,113000
