Date,Open,High,Low,Close,Adj Close,Volume
1980-03-17,0.0,6.416667,6.083333,6.083333,1.346759,175500
1980-03-18,0.0,6.25,5.875,6.0,1.328311,131400
1980-03-19,0.0,6.25,5.958333,5.958333,1.319086,30900
1980-03-20,0.0,6.0,5.791667,5.916667,1.309862,69600
1980-03-21,0.0,6.083333,5.916667,5.958333,1.319086,23100
1980-03-24,0.0,5.916667,5.708333,5.708333,1.26374,86400
1980-03-25,0.0,5.708333,5.5,5.625,1.245291,133500
1980-03-26,0.0,5.916667,5.666667,5.791667,1.282189,51600
1980-03-27,0.0,5.625,4.666667,5.166667,1.143823,256800
1980-03-28,0.0,5.583333,5.166667,5.291667,1.171496,1689000
1980-03-31,0.0,5.333333,5.0,5.291667,1.171496,257700
1980-04-01,0.0,5.166667,4.958333,5.083333,1.125373,165000
1980-04-02,0.0,5.333333,5.041667,5.25,1.162271,187200
1980-04-03,0.0,5.333333,5.125,5.208333,1.153047,75900
1980-04-07,0.0,5.333333,4.916667,4.916667,1.088477,57600
1980-04-08,0.0,5.208333,4.833333,5.125,1.134598,77100
1980-04-09,0.0,5.5,5.208333,5.5,1.217618,163800
1980-04-10,0.0,5.708333,5.375,5.541667,1.226843,133200
1980-04-11,0.0,5.666667,5.375,5.458333,1.208393,39900
1980-04-14,0.0,5.5,5.208333,5.291667,1.171496,27000
1980-04-15,0.0,5.333333,5.208333,5.25,1.162271,94500
1980-04-16,0.0,5.375,5.166667,5.166667,1.143823,47400
1980-04-17,0.0,5.25,5.125,5.166667,1.143823,45000
1980-04-18,0.0,5.333333,5.208333,5.291667,1.171496,30300
1980-04-21,0.0,5.333333,5.125,5.25,1.162271,48000
1980-04-22,0.0,5.791667,5.375,5.75,1.272964,157500
1980-04-23,0.0,6.0,5.541667,5.625,1.245291,126900
1980-04-24,0.0,5.833333,5.541667,5.666667,1.254516,45300
1980-04-25,0.0,5.75,5.583333,5.666667,1.254516,61800
1980-04-28,0.0,5.75,5.666667,5.666667,1.254516,19500
1980-04-29,0.0,5.791667,5.5,5.666667,1.254516,130800
1980-04-30,0.0,5.75,5.5,5.75,1.272964,30600
1980-05-01,0.0,5.625,5.458333,5.5,1.217618,122400
1980-05-02,0.0,5.583333,5.416667,5.541667,1.226843,35700
1980-05-05,0.0,5.583333,5.5,5.5,1.217618,43800
1980-05-06,0.0,5.541667,5.416667,5.458333,1.208393,53100
1980-05-07,0.0,5.625,5.333333,5.416667,1.199169,66300
1980-05-08,0.0,5.458333,5.208333,5.291667,1.171496,88200
1980-05-09,0.0,5.291667,5.166667,5.208333,1.153047,33600
1980-05-12,0.0,5.25,5.125,5.25,1.162271,73500
1980-05-13,0.0,5.5,5.25,5.333333,1.180721,72900
1980-05-14,0.0,5.583333,5.416667,5.583333,1.236066,165600
1980-05-15,0.0,5.958333,5.541667,5.75,1.272964,132000
1980-05-16,0.0,6.083333,5.75,6.083333,1.346759,94800
1980-05-19,0.0,6.083333,5.833333,5.875,1.300636,45900
1980-05-20,0.0,6.125,5.666667,6.125,1.355983,75300
1980-05-21,0.0,6.083333,5.833333,5.958333,1.319086,25200
1980-05-22,0.0,6.125,5.791667,5.958333,1.319086,61500
1980-05-23,0.0,5.958333,5.791667,5.916667,1.309862,54000
1980-05-27,0.0,6.0,5.833333,5.833333,1.291413,57300
1980-05-28,0.0,6.0,5.708333,6.0,1.328311,93300
1980-05-29,0.0,5.958333,5.708333,5.708333,1.26374,40200
1980-05-30,0.0,5.958333,5.625,5.916667,1.309862,80100
1980-06-02,0.0,6.166667,5.916667,6.0,1.328311,91800
1980-06-03,0.0,5.958333,5.791667,5.875,1.300636,79500
1980-06-04,0.0,6.125,5.916667,6.125,1.355983,96300
1980-06-05,0.0,6.333333,6.083333,6.208333,1.374433,129900
1980-06-06,0.0,6.458333,6.166667,6.458333,1.429778,109200
1980-06-09,0.0,6.833333,6.375,6.625,1.466675,144600
1980-06-10,0.0,7.0,6.375,6.958333,1.540471,218400
1980-06-11,0.0,7.0,6.583333,6.708333,1.485125,170400
1980-06-12,0.0,6.833333,6.458333,6.583333,1.457452,153300
1980-06-13,0.0,6.833333,6.5,6.625,1.466675,40200
1980-06-16,0.0,6.625,6.541667,6.583333,1.457452,13800
1980-06-17,0.0,6.75,6.458333,6.458333,1.429778,28800
