Date,Open,High,Low,Close,Adj Close,Volume
1992-04-16,4.666667,4.75,4.666667,4.666667,3.941301,3240000
1992-04-20,4.666667,4.75,4.666667,4.75,4.011683,291000
1992-04-21,4.666667,4.75,4.666667,4.666667,3.941301,154800
1992-04-22,4.666667,4.75,4.666667,4.75,4.011683,103800
1992-04-23,4.75,4.75,4.666667,4.666667,3.941301,16800
1992-04-24,4.708333,4.916667,4.666667,4.833333,4.082061,177300
1992-04-27,4.916667,4.916667,4.75,4.75,4.011683,9000
1992-04-28,4.75,4.791667,4.75,4.791667,4.046873,30300
1992-04-29,4.791667,4.833333,4.75,4.75,4.011683,81000
1992-04-30,4.916667,5.166667,4.833333,5.0,4.222825,58500
1992-05-01,5.0,5.166667,4.916667,4.916667,4.152443,4200
1992-05-04,4.916667,5.166667,4.916667,5.166667,4.363584,8100
1992-05-05,4.916667,5.166667,4.916667,5.0,4.222825,4200
1992-05-06,5.0,5.041667,4.958333,4.958333,4.187633,265500
1992-05-07,5.166667,5.166667,4.916667,5.166667,4.363584,33900
1992-05-08,4.916667,5.166667,4.916667,5.166667,4.363584,1500
1992-05-11,5.166667,5.166667,4.916667,5.0,4.222825,7800
1992-05-12,4.916667,5.0,4.916667,4.958333,4.187633,20400
1992-05-13,4.916667,5.083333,4.916667,5.083333,4.293202,3300
1992-05-14,4.916667,5.0,4.833333,4.833333,4.082061,258000
1992-05-15,4.75,4.833333,4.666667,4.666667,3.941301,27600
1992-05-18,4.666667,4.75,4.666667,4.666667,3.941301,48000
1992-05-19,4.666667,4.666667,4.583333,4.583333,3.870921,77100
1992-05-20,4.75,4.833333,4.583333,4.583333,3.870921,34800
1992-05-21,4.666667,4.708333,4.583333,4.583333,3.870921,13800
1992-05-22,4.833333,4.833333,4.708333,4.75,4.011683,111000
1992-05-26,4.666667,4.75,4.666667,4.75,4.011683,284700
1992-05-27,4.708333,4.708333,4.708333,4.708333,3.976492,12000
1992-05-28,4.666667,4.666667,4.666667,4.666667,3.941301,15000
1992-05-29,4.583333,4.666667,4.583333,4.666667,3.941301,7500
1992-06-01,4.666667,4.666667,4.583333,4.666667,3.941301,83700
1992-06-02,4.583333,4.833333,4.583333,4.833333,4.082061,13800
1992-06-03,4.583333,4.833333,4.583333,4.833333,4.082061,2700
1992-06-04,4.708333,4.833333,4.583333,4.833333,4.082061,14100
1992-06-05,4.708333,4.833333,4.708333,4.833333,4.082061,2400
1992-06-08,4.583333,4.583333,4.583333,4.583333,3.870921,6000
1992-06-09,4.583333,4.583333,4.583333,4.583333,3.870921,0
1992-06-10,4.583333,4.583333,4.583333,4.583333,3.870921,0
1992-06-11,4.666667,4.666667,4.5,4.583333,3.870921,81300
1992-06-12,4.5,4.5,4.166667,4.166667,3.51902,114000
1992-06-15,4.166667,4.166667,4.166667,4.166667,3.51902,35400
1992-06-16,4.083333,4.166667,3.916667,3.916667,3.307879,33000
1992-06-17,2.791667,2.833333,2.166667,2.416667,2.041031,1768200
1992-06-18,2.416667,2.416667,2.25,2.416667,2.041031,719700
1992-06-19,2.416667,2.416667,1.916667,2.0,1.68913,1639500
1992-06-22,2.083333,2.083333,1.916667,2.083333,1.75951,57300
1992-06-23,2.166667,2.166667,2.0,2.083333,1.75951,102600
1992-06-24,2.083333,2.166667,2.083333,2.083333,1.75951,27600
1992-06-25,2.083333,2.166667,2.0,2.0,1.68913,103200
1992-06-26,2.25,2.25,2.0,2.166667,1.82989,92100
1992-06-29,2.083333,2.166667,2.0,2.0,1.68913,23700
1992-06-30,2.0,2.166667,2.0,2.166667,1.82989,78300
1992-07-01,2.0,2.166667,2.0,2.083333,1.75951,261000
1992-07-02,2.166667,2.166667,2.166667,2.166667,1.82989,10800
1992-07-06,2.083333,2.166667,2.0,2.166667,1.82989,111600
1992-07-07,2.0,2.166667,2.0,2.166667,1.82989,7800
1992-07-08,2.166667,2.25,2.125,2.166667,1.82989,117000
1992-07-09,2.333333,2.333333,2.333333,2.333333,1.97065,2100
1992-07-10,2.166667,2.416667,2.166667,2.416667,2.041031,39600
1992-07-13,2.416667,2.416667,2.333333,2.333333,1.97065,5700
1992-07-14,2.5,2.583333,2.333333,2.583333,2.181792,90000
1992-07-15,2.583333,2.916667,2.583333,2.666667,2.252173,37800
1992-07-16,2.75,2.75,2.583333,2.75,2.322553,4200
1992-07-17,2.75,2.75,2.5,2.583333,2.181792,83700
1992-07-20,2.583333,2.583333,2.5,2.583333,2.181792,12900
1992-07-21,2.583333,2.583333,2.5,2.583333,2.181792,34200
1992-07-22,2.583333,2.583333,2.416667,2.416667,2.041031,5700
1992-07-23,2.333333,2.333333,2.333333,2.333333,1.97065,30900
1992-07-24,2.333333,2.416667,2.333333,2.416667,2.041031,66000
1992-07-27,2.333333,2.5,2.333333,2.5,2.111413,15600
1992-07-28,2.333333,2.416667,2.166667,2.25,1.90027,30600
1992-07-29,2.333333,2.333333,2.166667,2.25,1.90027,42000
1992-07-30,2.166667,2.333333,2.166667,2.333333,1.97065,2100
1992-07-31,2.25,2.25,2.25,2.25,1.90027,1200
1992-08-03,2.333333,2.333333,2.166667,2.25,1.90027,4200
1992-08-04,2.333333,2.333333,2.166667,2.333333,1.97065,5700
1992-08-05,2.333333,2.333333,2.333333,2.333333,1.97065,0
1992-08-06,2.416667,2.5,2.333333,2.5,2.111413,18600
1992-08-07,2.333333,2.5,2.333333,2.416667,2.041031,12300
1992-08-10,2.5,2.5,2.416667,2.416667,2.041031,6300
1992-08-11,2.333333,2.5,2.333333,2.416667,2.041031,983400
1992-08-12,2.416667,2.5,2.416667,2.5,2.111413,6000
1992-08-13,2.416667,2.416667,2.416667,2.416667,2.041031,10500
1992-08-14,2.416667,2.416667,2.416667,2.416667,2.041031,10500
1992-08-17,2.416667,2.583333,2.416667,2.416667,2.041031,93600
1992-08-18,2.416667,2.416667,2.166667,2.166667,1.82989,1785000
1992-08-19,2.25,2.333333,2.166667,2.333333,1.97065,1050600
1992-08-20,2.25,2.416667,2.208333,2.208333,1.86508,32400
1992-08-21,2.291667,2.291667,2.291667,2.291667,1.935461,21000
1992-08-24,2.166667,2.333333,2.166667,2.25,1.90027,6000
1992-08-25,2.333333,2.333333,2.166667,2.333333,1.97065,18300
1992-08-26,2.291667,2.291667,2.291667,2.291667,1.935461,2700
1992-08-27,2.416667,2.416667,2.416667,2.416667,2.041031,300
1992-08-28,2.166667,2.416667,2.166667,2.416667,2.041031,19800
1992-08-31,2.416667,2.416667,2.416667,2.416667,2.041031,300
1992-09-01,2.166667,2.208333,2.166667,2.208333,1.86508,105000
1992-09-02,2.208333,2.208333,2.208333,2.208333,1.86508,0
1992-09-03,2.416667,2.416667,2.416667,2.416667,2.041031,1500
1992-09-04,2.291667,2.291667,2.291667,2.291667,1.935461,6300
