Date,Open,High,Low,Close,Adj Close,Volume
2019-09-27,25.0,25.0,24.799999,24.91,19.388382,6105500
2019-09-30,24.940001,25.129999,24.92,25.049999,19.497351,1281500
2019-10-01,25.049999,25.08,24.98,25.049999,19.497351,983100
2019-10-02,25.1,25.1,24.98,25.040001,19.489563,362200
2019-10-03,25.049999,25.15,25.0,25.139999,19.567398,369500
2019-10-04,25.15,25.200001,25.1,25.110001,19.54405,329800
2019-10-07,25.139999,25.15,25.059999,25.120001,19.55183,466500
2019-10-08,25.120001,25.25,25.110001,25.25,19.653015,404100
2019-10-09,25.25,25.290001,25.200001,25.25,19.653015,169200
2019-10-10,25.25,25.27,25.1,25.110001,19.54405,231700
2019-10-11,25.15,25.17,25.07,25.07,19.512915,184900
2019-10-14,25.129999,25.190001,25.1,25.18,19.598532,118400
2019-10-15,25.18,25.23,25.120001,25.190001,19.606314,164500
2019-10-16,25.23,25.23,25.120001,25.18,19.598532,178400
2019-10-17,25.17,25.23,25.15,25.23,19.637447,164300
2019-10-18,25.24,25.24,25.16,25.17,19.590748,31400
2019-10-21,25.200001,25.209999,25.15,25.15,19.575178,246300
2019-10-22,25.200001,25.200001,25.16,25.18,19.598532,135100
2019-10-23,25.200001,25.280001,25.183001,25.24,19.645233,153500
2019-10-24,25.27,25.4,25.25,25.4,19.769766,123200
2019-10-25,25.360001,25.41,25.299999,25.4,19.769766,170500
2019-10-28,25.370001,25.42,25.25,25.42,19.785334,327000
2019-10-29,25.34,25.459999,25.34,25.434999,19.797005,161300
2019-10-30,25.412001,25.65,25.35,25.65,19.96435,400300
2019-10-31,25.525,25.82,25.5,25.73,20.026619,1894700
2019-11-01,25.610001,25.65,25.51,25.549999,19.886517,90900
2019-11-04,25.540001,25.57,25.450001,25.514999,19.859276,121600
2019-11-05,25.5,25.525,25.450001,25.495001,19.843708,85100
2019-11-06,25.49,25.6,25.450001,25.540001,19.878731,250700
2019-11-07,25.509001,25.59,25.4,25.58,19.909868,101400
2019-11-08,25.542999,25.688999,25.514,25.632999,19.95112,91900
2019-11-11,25.68,25.700001,25.636,25.639999,19.956568,22200
2019-11-12,25.629999,25.700001,25.610001,25.639999,19.956568,39500
