Date,Open,High,Low,Close,Adj Close,Volume
2013-05-08,11.5,11.68,11.25,11.58,6.553877,4633900
2013-05-09,11.66,11.66,11.5,11.55,6.5369,275800
2013-05-10,11.55,11.6,11.5,11.6,6.565196,277100
2013-05-13,11.63,11.65,11.55,11.65,6.593496,147400
2013-05-14,11.6,11.6,11.5,11.53,6.525577,184100
2013-05-15,11.6,11.6,11.54,11.6,6.565196,76800
2013-05-16,11.62,11.74,11.54,11.74,6.64443,170300
2013-05-17,11.7,11.85,11.7,11.76,6.65575,305400
2013-05-20,11.76,11.83,11.63,11.73,6.638771,46800
2013-05-21,11.76,11.84,11.61,11.83,6.695366,77000
2013-05-22,11.84,11.84,11.68,11.75,6.650091,90200
2013-05-23,11.64,11.79,11.54,11.61,6.570856,75400
2013-05-24,11.57,11.73,11.55,11.7,6.621793,63400
2013-05-28,11.73,11.78,11.57,11.58,6.553877,212400
2013-05-29,11.51,11.67,11.2,11.25,6.367109,447000
2013-05-30,11.58,11.65,11.47,11.55,6.5369,453300
2013-05-31,11.6,11.8,11.47,11.47,6.491621,109400
2013-06-03,11.68,11.68,11.3,11.52,6.51992,143200
2013-06-04,11.56,11.63,11.46,11.51,6.514259,115000
2013-06-05,11.58,11.59,11.25,11.55,6.5369,78100
2013-06-06,11.51,11.7,11.5,11.62,6.576515,121700
2013-06-07,11.67,11.68,11.52,11.6,6.565196,52300
2013-06-10,11.6,11.67,11.5,11.65,6.593496,167200
2013-06-11,11.56,11.6,11.35,11.56,6.542558,117500
2013-06-12,11.55,11.56,11.45,11.49,6.502939,162100
2013-06-13,11.48,11.55,11.3,11.49,6.502939,63600
2013-06-14,11.49,11.49,11.3,11.45,6.480302,73100
2013-06-17,11.48,11.65,11.4,11.55,6.5369,73300
2013-06-18,11.55,11.6,11.39,11.51,6.514259,149700
2013-06-19,11.48,11.48,11.22,11.3,6.395406,80300
2013-06-20,11.25,11.3,11.13,11.13,6.299191,203100
2013-06-21,11.17,11.27,11.12,11.27,6.378428,287900
2013-06-24,11.2,11.29,10.7,11.22,6.350131,151500
2013-06-25,11.28,11.4,10.98,11.38,6.440683,95600
2013-06-26,11.44,11.46,10.9,11.38,6.440683,173900
2013-06-27,11.33,11.54,11.2,11.46,6.53188,153300
2013-06-28,11.43,11.78,11.37,11.78,6.714271,1659800
2013-07-01,11.74,11.84,11.41,11.67,6.651575,103800
2013-07-02,11.7,11.8,11.45,11.71,6.674375,98600
