Date,Open,High,Low,Close,Adj Close,Volume
2022-02-08,9.76,9.76,9.76,9.76,9.76,100
2022-02-09,9.76,9.76,9.76,9.76,9.76,0
2022-02-10,9.76,9.76,9.76,9.76,9.76,0
2022-02-11,9.88,9.88,9.88,9.88,9.88,100
2022-02-14,9.88,9.88,9.88,9.88,9.88,0
2022-02-15,9.88,9.88,9.88,9.88,9.88,0
2022-02-16,9.88,9.88,9.88,9.88,9.88,0
2022-02-17,9.88,9.88,9.88,9.88,9.88,0
2022-02-18,9.88,9.88,9.88,9.88,9.88,0
2022-02-22,9.83,9.83,9.83,9.83,9.83,500
2022-02-23,9.85,9.85,9.85,9.85,9.85,500
2022-02-24,9.85,9.85,9.85,9.85,9.85,0
2022-02-25,9.84,9.86,9.84,9.86,9.86,275500
2022-02-28,9.86,9.86,9.86,9.86,9.86,0
2022-03-01,9.855,9.865,9.855,9.865,9.865,11700
2022-03-02,9.86,9.86,9.86,9.86,9.86,1000
2022-03-03,9.86,9.87,9.85,9.87,9.87,57700
2022-03-04,9.87,9.87,9.87,9.87,9.87,500
2022-03-07,9.87,9.87,9.87,9.87,9.87,0
2022-03-08,9.87,9.87,9.87,9.87,9.87,0
2022-03-09,9.87,9.87,9.87,9.87,9.87,1600
2022-03-10,9.87,9.87,9.87,9.87,9.87,0
2022-03-11,9.87,9.87,9.87,9.87,9.87,24800
2022-03-14,9.87,9.87,9.87,9.87,9.87,0
2022-03-15,9.87,9.87,9.86,9.87,9.87,297200
2022-03-16,9.87,9.87,9.87,9.87,9.87,0
2022-03-17,9.88,9.88,9.88,9.88,9.88,11000
2022-03-18,9.91,9.92,9.91,9.92,9.92,4900
2022-03-21,9.92,9.92,9.92,9.92,9.92,300
2022-03-22,9.92,9.92,9.92,9.92,9.92,0
2022-03-23,9.92,9.92,9.92,9.92,9.92,0
2022-03-24,9.87,9.92,9.87,9.92,9.92,71100
2022-03-25,9.92,9.92,9.92,9.92,9.92,100
2022-03-28,9.92,9.92,9.92,9.92,9.92,0
2022-03-29,9.9,9.9,9.9,9.9,9.9,9000
2022-03-30,9.92,9.92,9.9,9.9,9.9,32900
2022-03-31,9.92,9.92,9.92,9.92,9.92,2500
2022-04-01,9.92,9.92,9.9,9.91,9.91,91400
2022-04-04,9.9,9.91,9.9,9.903,9.903,133200
2022-04-05,9.915,9.915,9.9,9.91,9.91,550900
2022-04-06,9.91,9.91,9.91,9.91,9.91,0
2022-04-07,9.91,9.91,9.91,9.91,9.91,0
2022-04-08,9.91,9.91,9.91,9.91,9.91,0
2022-04-11,9.91,9.91,9.91,9.91,9.91,0
2022-04-12,9.91,9.93,9.91,9.91,9.91,10100
2022-04-13,9.93,9.93,9.91,9.93,9.93,24100
2022-04-14,9.93,9.93,9.93,9.93,9.93,500100
2022-04-18,9.93,9.93,9.93,9.93,9.93,0
2022-04-19,9.93,9.93,9.93,9.93,9.93,0
2022-04-20,9.95,9.95,9.95,9.95,9.95,200
2022-04-21,9.93,9.93,9.93,9.93,9.93,300
2022-04-22,9.93,9.93,9.93,9.93,9.93,0
2022-04-25,9.94,9.94,9.94,9.94,9.94,102200
2022-04-26,9.94,9.96,9.91,9.94,9.94,2125100
2022-04-27,9.96,9.96,9.95,9.96,9.96,143800
2022-04-28,9.97,9.97,9.96,9.96,9.96,2500
2022-04-29,9.96,9.96,9.96,9.96,9.96,0
2022-05-02,9.96,9.96,9.96,9.96,9.96,9600
2022-05-03,9.95,9.95,9.93,9.93,9.93,4700
2022-05-04,9.98,9.98,9.98,9.98,9.98,100
2022-05-05,9.98,9.98,9.98,9.98,9.98,100
2022-05-06,9.94,9.94,9.94,9.94,9.94,200
2022-05-09,9.92,9.92,9.92,9.92,9.92,300
2022-05-10,9.92,9.92,9.92,9.92,9.92,0
2022-05-11,10.01,10.01,10.01,10.01,10.01,200
2022-05-12,10.01,10.01,10.01,10.01,10.01,0
2022-05-13,10.01,10.01,10.01,10.01,10.01,0
2022-05-16,10.01,10.01,10.01,10.01,10.01,100
2022-05-17,9.94,9.94,9.94,9.94,9.94,2000000
2022-05-18,9.96,9.96,9.88,9.96,9.96,4700
2022-05-19,9.96,9.96,9.96,9.96,9.96,0
2022-05-20,9.86,9.86,9.86,9.86,9.86,29300
2022-05-23,9.86,9.86,9.86,9.86,9.86,0
2022-05-24,9.86,9.86,9.86,9.86,9.86,0
2022-05-25,9.86,9.86,9.86,9.86,9.86,0
2022-05-26,9.88,9.88,9.88,9.88,9.88,800
2022-05-27,9.88,9.88,9.88,9.88,9.88,0
2022-05-31,9.9,9.9,9.9,9.9,9.9,150000
2022-06-01,9.9,9.9,9.9,9.9,9.9,0
2022-06-02,9.92,9.93,9.92,9.93,9.93,102100
2022-06-03,9.93,9.93,9.93,9.93,9.93,0
2022-06-06,9.93,9.93,9.92,9.92,9.92,10600
2022-06-07,9.92,9.92,9.92,9.92,9.92,24400
2022-06-08,9.9,9.9,9.9,9.9,9.9,500000
2022-06-09,9.9,9.9,9.9,9.9,9.9,0
2022-06-10,9.94,9.94,9.94,9.94,9.94,10100
2022-06-13,9.925,9.95,9.91,9.95,9.95,25500
2022-06-14,9.93,9.93,9.92,9.93,9.93,3300
2022-06-15,9.93,9.93,9.93,9.93,9.93,2900
