Date,Open,High,Low,Close,Adj Close,Volume
2006-12-15,13.5,14.29,13.36,14.29,12.146295,5134619.0
2006-12-18,13.9,14.22,13.53,13.99,11.891296,425813.0
2006-12-19,13.702,13.8,13.702,13.8,11.729804,288968.0
2006-12-20,13.5,13.8,13.5,13.75,11.687303,155302.0
2006-12-21,13.7,14.55,13.6,14.55,12.36729,184637.0
2006-12-22,14.05,14.49,13.81,14.19,12.061296,40886.0
2006-12-26,13.71,14.0,13.5,14.0,11.899796,88260.0
2006-12-27,13.69,14.15,13.67,14.06,11.950796,46418.0
2006-12-28,13.73,14.04,13.65,13.86,11.780804,42901.0
2006-12-29,13.75,14.05,13.75,14.05,11.942297,32355.0
2007-01-03,14.0,14.16,13.4,14.15,12.027294,76764.0
2007-01-04,13.42,14.02,13.42,13.86,11.780804,60666.0
2007-01-05,13.51,14.09,13.51,13.85,11.7723,40058.0
2007-01-08,13.6,14.0,13.5,13.93,11.840302,28644.0
2007-01-09,13.62,14.0,13.57,14.0,11.899796,27518.0
2007-01-10,13.62,14.0,13.62,13.9,11.814797,37609.0
2007-01-11,13.78,14.01,13.64,14.0,11.899796,59390.0
2007-01-12,13.87,14.0,13.66,13.92,11.831798,210223.0
2007-01-16,14.28,14.6,14.08,14.33,12.180294,118596.0
2007-01-17,14.25,14.7,14.25,14.56,12.375792,49144.0
2007-01-18,14.42,14.7,14.35,14.41,12.24829,91717.0
2007-01-19,14.4,14.61,14.4,14.44,12.27379,60925.0
2007-01-22,14.4,14.44,14.2,14.36,12.205792,52851.0
2007-01-23,14.33,14.5,14.25,14.35,12.197295,84081.0
2007-01-24,14.65,15.0,14.2,14.405,12.244042,485393.0
2007-01-25,14.5,14.55,14.25,14.46,12.29079,51862.0
2007-01-26,14.4,14.45,14.35,14.37,12.214292,199932.0
2007-01-29,13.97,14.4,13.97,14.4,12.239794,74818.0
2007-01-30,14.35,14.46,14.27,14.35,12.197295,99938.0
2007-01-31,14.24,14.47,14.24,14.47,12.299292,313257.0
2007-02-01,14.25,14.8,14.25,14.68,12.477792,153823.0
2007-02-02,14.54,15.5,14.54,15.25,12.962282,233349.0
2007-02-05,15.2,15.53,15.13,15.38,13.072778,148261.0
2007-02-06,15.25,15.69,15.25,15.58,13.242777,94046.0
2007-02-07,15.8,15.9,15.33,15.89,13.506269,86242.0
2007-02-08,15.85,16.290001,15.52,16.030001,13.625271,57672.0
2007-02-09,16.09,16.5,16.09,16.299999,13.854766,78843.0
2007-02-12,16.15,16.15,14.5,15.85,13.472273,64968.0
