Date,Open,High,Low,Close,Adj Close,Volume
2020-11-25,26.360001,26.938,26.35,26.938,23.562807,95000
2020-11-27,27.950001,27.950001,26.879999,27.24,23.826965,375200
2020-11-30,27.200001,27.59,27.129999,27.25,23.835714,1229800
2020-12-01,27.25,27.25,26.940001,26.99,23.60829,54200
2020-12-02,26.959999,26.969999,26.92,26.950001,23.573301,93400
2020-12-03,26.950001,27.040001,26.93,26.950001,23.573301,61400
2020-12-04,27.030001,27.030001,26.940001,26.99,23.60829,63200
2020-12-07,26.969999,27.02,26.93,27.0,23.617039,11600
2020-12-08,26.959999,26.98,26.93,26.98,23.599543,13600
2020-12-09,26.969999,26.975,26.92,26.959999,23.582048,153900
2020-12-10,27.040001,27.040001,26.870001,26.950001,23.573301,14700
2020-12-11,26.950001,26.969999,26.950001,26.959999,23.582048,11200
2020-12-14,26.969999,27.049999,26.940001,26.950001,23.573301,24000
2020-12-15,27.030001,27.040001,26.92,26.959999,23.582048,112400
2020-12-16,26.959999,26.969999,26.950001,26.969999,23.590796,81100
2020-12-17,26.969999,27.110001,26.969999,27.059999,23.669519,351400
2020-12-18,27.025999,27.040001,26.940001,26.940001,23.564558,10700
2020-12-21,26.83,26.98,26.83,26.84,23.477083,11200
2020-12-22,26.9,27.01,26.549999,26.700001,23.354626,24400
2020-12-23,26.889999,26.98,26.664,26.780001,23.424603,12200
2020-12-24,26.85,26.969999,26.74,26.875,23.507696,7300
2020-12-28,26.940001,26.940001,26.82,26.860001,23.494579,9700
2020-12-29,26.84,26.860001,26.725,26.799999,23.442097,35900
2020-12-30,26.84,27.02,26.73,26.940001,23.564558,28100
2020-12-31,26.855,27.360001,26.855,27.360001,23.931931,62200
2021-01-04,27.299999,27.299999,27.02,27.040001,23.652025,10500
2021-01-05,26.969999,27.0,26.93,26.950001,23.573301,3600
2021-01-06,26.889999,26.889999,26.1,26.52,23.197178,11000
2021-01-07,26.469999,26.629999,26.26,26.5,23.179686,13700
2021-01-08,26.5,26.51,26.346001,26.5,23.179686,6600
2021-01-11,26.139999,26.25,26.125,26.17,22.891031,6100
2021-01-12,25.969999,26.219999,25.9,26.049999,22.786064,12000
2021-01-13,26.0,26.655001,26.0,26.6,23.267157,98300
2021-01-14,26.540001,26.700001,26.469999,26.6,23.267157,15500
2021-01-15,26.209999,26.65,26.209999,26.58,23.24966,8700
2021-01-19,26.66,26.66,26.459999,26.517,23.194553,3900
2021-01-20,26.584,26.639999,26.584,26.639999,23.302141,1800
2021-01-21,26.530001,26.639999,26.530001,26.6,23.267157,5000
2021-01-22,26.450001,26.559999,26.450001,26.559999,23.232166,1200
2021-01-25,26.51,26.73,26.51,26.6,23.267157,2900
2021-01-26,26.65,26.65,26.450001,26.540001,23.214676,7300
2021-01-27,26.43,26.57,26.02,26.02,22.759827,8800
2021-01-28,26.1,26.389999,26.1,26.389999,23.083467,5800
2021-01-29,26.33,26.440001,26.110001,26.440001,23.127201,29100
2021-02-01,26.379999,26.444,26.17,26.4,23.092215,3700
2021-02-02,26.440001,26.559999,26.41,26.43,23.118458,5300
2021-02-03,26.33,26.528,26.200001,26.200001,22.917273,2800
2021-02-04,26.41,26.49,26.120001,26.440001,23.127201,8500
2021-02-05,26.4,26.450001,26.219999,26.33,23.030983,5100
2021-02-08,26.389999,26.4,26.34,26.34,23.039734,3600
2021-02-09,26.450001,26.450001,26.385,26.41,23.100962,1800
2021-02-10,26.549999,26.549999,26.219999,26.360001,23.057224,7000
2021-02-11,26.32,26.355,26.07,26.190001,22.908524,17500
2021-02-12,26.16,26.16,26.030001,26.120001,22.847296,7100
2021-02-16,26.07,26.07,25.68,25.68,22.462427,25000
2021-02-17,25.709999,25.827,25.639999,25.639999,22.427437,5900
2021-02-18,25.68,25.83,25.559999,25.83,22.593632,107600
2021-02-19,25.780001,25.780001,25.549999,25.549999,22.348715,11600
2021-02-22,25.59,25.59,25.35,25.35,22.173773,6600
2021-02-23,25.360001,25.370001,25.209999,25.34,22.165028,11800
2021-02-24,25.34,25.34,25.049999,25.23,22.068808,10800
2021-02-25,25.18,25.197001,24.559999,24.59,21.508995,31200
2021-02-26,25.0,25.1,24.798,25.1,21.955095,10300
2021-03-01,25.129999,25.190001,25.059999,25.18,22.025074,14700
2021-03-02,25.139999,25.26,25.110001,25.110001,21.963842,7600
2021-03-03,25.17,25.35,25.0,25.1,21.955095,11400
2021-03-04,25.32,25.365,24.950001,25.07,21.928854,32900
2021-03-05,25.290001,25.290001,24.978001,25.09,21.946348,21100
2021-03-08,25.09,25.09,24.950001,24.950001,21.823893,19800
2021-03-09,25.049999,25.167999,25.049999,25.059999,21.920111,15200
2021-03-10,25.16,25.200001,25.120001,25.120001,21.972595,38500
2021-03-11,25.200001,25.299999,25.1,25.17,22.016325,43000
2021-03-12,25.17,25.17,24.879999,24.99,21.858877,47500
2021-03-15,25.02,25.02,24.93,24.940001,21.815144,79400
2021-03-16,25.040001,25.16,25.01,25.09,21.946348,26500
2021-03-17,25.1,25.200001,25.0,25.139999,21.990082,48700
2021-03-18,25.1,25.1,24.98,25.0,21.867626,32100
2021-03-19,25.049999,25.190001,25.030001,25.07,21.928854,21800
2021-03-22,25.16,25.358999,25.16,25.299999,22.130035,13300
