Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,10.1,10.15,10.01,10.11,10.11,3815900
2021-07-01,10.1,10.1,10.01,10.01,10.01,429700
2021-07-02,10.1,10.1,10.03,10.04,10.04,222100
2021-07-06,10.1,10.124,10.03,10.04,10.04,174100
2021-07-07,10.04,10.04,9.99,10.0,10.0,205200
2021-07-08,10.01,10.04,9.99,10.0,10.0,55800
2021-07-09,10.04,10.04,9.99,9.99,9.99,171300
2021-07-12,10.02,10.04,9.99,10.01,10.01,443700
2021-07-13,9.99,10.04,9.99,10.0,10.0,69700
2021-07-14,10.03,10.04,9.99,10.0,10.0,30200
2021-07-15,9.993,10.03,9.98,9.99,9.99,696000
2021-07-16,10.03,10.03,9.913,9.94,9.94,39500
2021-07-19,9.92,9.96,9.84,9.9,9.9,65000
2021-07-20,9.93,9.95,9.86,9.86,9.86,80000
2021-07-21,9.87,9.95,9.86,9.9,9.9,8700
2021-07-22,9.914,9.96,9.87,9.96,9.96,41100
2021-07-23,9.94,9.94,9.894,9.94,9.94,22900
2021-07-26,9.93,9.93,9.84,9.88,9.88,222600
2021-07-27,9.88,9.89,9.84,9.86,9.86,69500
2021-07-28,9.88,9.89,9.82,9.85,9.85,61800
2021-07-29,9.875,9.888,9.84,9.85,9.85,36800
2021-07-30,9.87,9.89,9.845,9.845,9.845,12500
2021-08-02,9.88,9.9,9.85,9.85,9.85,80000
2021-08-03,9.84,9.87,9.84,9.87,9.87,18400
2021-08-04,9.85,9.89,9.82,9.87,9.87,336600
2021-08-05,9.88,9.88,9.83,9.87,9.87,22700
2021-08-06,9.83,9.86,9.8,9.84,9.84,155400
2021-08-09,9.87,9.87,9.8,9.835,9.835,659200
2021-08-10,9.83,9.85,9.82,9.83,9.83,36400
2021-08-11,9.83,9.85,9.81,9.83,9.83,11300
2021-08-12,9.835,9.848,9.82,9.848,9.848,2600
2021-08-13,9.83,9.84,9.8,9.825,9.825,14500
2021-08-16,9.81,9.85,9.8,9.84,9.84,29000
2021-08-17,9.81,9.84,9.81,9.84,9.84,16400
2021-08-18,9.84,9.85,9.8,9.85,9.85,23900
2021-08-19,9.76,9.85,9.76,9.84,9.84,117200
2021-08-20,9.84,9.84,9.75,9.8,9.8,341400
2021-08-23,9.81,9.82,9.75,9.8,9.8,24500
2021-08-24,9.8,9.8,9.76,9.79,9.79,11000
2021-08-25,9.78,9.79,9.714,9.72,9.72,14200
2021-08-26,9.79,9.79,9.71,9.73,9.73,11900
2021-08-27,9.735,9.76,9.71,9.755,9.755,9100
2021-08-30,9.76,9.78,9.71,9.77,9.77,16200
2021-08-31,9.76,9.77,9.72,9.77,9.77,3200
2021-09-01,9.77,9.78,9.71,9.74,9.74,32100
2021-09-02,9.73,9.85,9.73,9.83,9.83,44700
2021-09-03,9.85,9.88,9.78,9.88,9.88,74400
2021-09-07,9.83,9.88,9.8,9.87,9.87,65900
2021-09-08,9.88,9.89,9.83,9.89,9.89,70600
2021-09-09,9.89,9.91,9.807,9.85,9.85,93200
2021-09-10,9.825,9.87,9.811,9.86,9.86,4500
2021-09-13,9.87,9.91,9.865,9.87,9.87,5200
2021-09-14,9.85,9.87,9.8,9.87,9.87,56200
2021-09-15,9.822,9.94,9.822,9.87,9.87,64600
2021-09-16,9.91,9.91,9.76,9.85,9.85,46700
2021-09-17,9.88,9.88,9.814,9.85,9.85,14800
2021-09-20,9.85,9.9,9.8,9.82,9.82,150700
2021-09-21,9.91,9.91,9.82,9.83,9.83,147900
2021-09-22,9.83,9.88,9.79,9.84,9.84,229700
2021-09-23,9.85,9.9,9.76,9.76,9.76,174000
2021-09-24,9.8,9.84,9.78,9.79,9.79,49600
2021-09-27,9.79,9.9,9.784,9.85,9.85,150500
2021-09-28,9.827,9.91,9.81,9.88,9.88,31200
2021-09-29,9.819,9.96,9.819,9.85,9.85,64500
2021-09-30,9.9,9.95,9.85,9.95,9.95,77900
2021-10-01,9.9,9.92,9.79,9.81,9.81,404700
2021-10-04,9.86,9.87,9.775,9.8,9.8,284800
2021-10-05,9.85,9.86,9.8,9.81,9.81,246700
2021-10-06,9.83,9.85,9.79,9.83,9.83,46700
2021-10-07,9.84,9.84,9.8,9.82,9.82,120700
2021-10-08,9.79,9.84,9.79,9.82,9.82,13200
2021-10-11,9.795,9.82,9.79,9.8,9.8,49500
2021-10-12,9.78,9.84,9.78,9.8,9.8,63700
2021-10-13,9.815,9.83,9.8,9.8,9.8,9900
2021-10-14,9.8,9.85,9.79,9.85,9.85,73900
2021-10-15,9.86,9.88,9.85,9.87,9.87,4000
2021-10-18,9.87,9.88,9.84,9.84,9.84,13300
2021-10-19,9.85,9.88,9.85,9.88,9.88,19100
2021-10-20,9.86,9.88,9.76,9.84,9.84,147400
2021-10-21,9.83,9.86,9.8,9.85,9.85,51100
2021-10-22,9.87,9.9,9.85,9.89,9.89,276800
2021-10-25,9.94,9.94,9.88,9.9,9.9,57400
2021-10-26,9.93,9.95,9.92,9.94,9.94,230400
2021-10-27,9.94,9.94,9.91,9.92,9.92,10100
2021-10-28,9.92,9.95,9.92,9.93,9.93,13000
2021-10-29,9.935,9.94,9.92,9.939,9.939,4300
2021-11-01,9.95,9.98,9.935,9.97,9.97,226000
2021-11-02,9.94,9.97,9.94,9.97,9.97,2500
2021-11-03,9.95,10.03,9.941,9.99,9.99,2420600
2021-11-04,10.0,10.031,9.95,9.97,9.97,11700
2021-11-05,9.98,10.02,9.95,9.95,9.95,22100
2021-11-08,9.99,9.99,9.84,9.9,9.9,37000
2021-11-09,9.95,10.04,9.88,9.99,9.99,19500
2021-11-10,9.92,10.03,9.92,9.97,9.97,19700
2021-11-11,9.917,10.0,9.917,10.0,10.0,8200
2021-11-12,9.94,10.0,9.91,9.99,9.99,17700
2021-11-15,10.0,10.01,9.91,9.99,9.99,293500
2021-11-16,9.925,10.0,9.925,9.99,9.99,11300
2021-11-17,9.939,10.0,9.939,9.99,9.99,55900
2021-11-18,9.99,10.04,9.99,9.99,9.99,29400
2021-11-19,10.0,10.005,9.99,10.0,10.0,161600
2021-11-22,10.034,10.04,10.0,10.0,10.0,22500
2021-11-23,10.0,10.03,9.93,9.93,9.93,657500
2021-11-24,9.98,10.01,9.93,9.93,9.93,11900
2021-11-26,9.9,9.93,9.9,9.9,9.9,16300
2021-11-29,9.9,9.92,9.9,9.91,9.91,2200
2021-11-30,9.935,9.94,9.92,9.94,9.94,58200
2021-12-01,9.91,9.94,9.91,9.92,9.92,6200
2021-12-02,9.91,9.92,9.91,9.91,9.91,20600
2021-12-03,9.912,9.93,9.88,9.89,9.89,362300
2021-12-06,9.88,9.93,9.86,9.88,9.88,14400
2021-12-07,9.89,9.95,9.89,9.925,9.925,38400
2021-12-08,9.93,9.94,9.9,9.9,9.9,3800
2021-12-09,9.93,9.93,9.892,9.91,9.91,8900
2021-12-10,9.92,9.95,9.89,9.9,9.9,7700
2021-12-13,9.9,9.95,9.9,9.9,9.9,15200
2021-12-14,9.9,9.9,9.885,9.9,9.9,21600
2021-12-15,9.878,9.92,9.84,9.85,9.85,29100
2021-12-16,9.84,9.88,9.84,9.84,9.84,5700
2021-12-17,9.84,9.88,9.8,9.82,9.82,8300
2021-12-20,9.83,9.83,9.81,9.82,9.82,10300
2021-12-21,9.83,9.862,9.83,9.85,9.85,17600
2021-12-22,9.84,9.87,9.84,9.87,9.87,1800
2021-12-23,9.88,9.88,9.85,9.88,9.88,2200
2021-12-27,9.9,9.9,9.851,9.9,9.9,3600
2021-12-28,9.86,9.89,9.86,9.87,9.87,2500
