Date,Open,High,Low,Close,Adj Close,Volume
2019-04-09,57.950001,58.73,57.669998,58.040001,57.788258,10608300
2019-04-10,56.970001,57.939999,56.880001,57.299999,57.051464,5456400
2019-04-11,55.82,56.02,55.23,55.599998,55.358837,5487400
2019-04-12,54.060001,54.810001,53.779999,54.43,54.193916,4701600
2019-04-15,55.09,56.220001,54.73,55.75,55.50819,4369900
2019-04-16,55.84,57.240002,55.290001,57.02,56.772682,4322500
2019-04-17,56.68,57.5,56.310001,56.610001,56.364456,4112400
2019-04-18,55.18,55.75,55.130001,55.330002,55.090012,3893400
2019-04-22,54.709999,55.194,54.650002,55.0,54.761444,1878900
2019-04-23,54.459999,56.029999,54.41,55.849998,55.607754,5069900
2019-04-24,55.740002,57.029999,55.439999,56.650002,56.404285,4645000
2019-04-25,57.599998,58.689999,57.549999,57.880001,57.628952,2945600
2019-04-26,57.689999,58.23,57.34,58.119999,57.867908,1001200
2019-04-29,57.330002,57.959999,57.02,57.419998,57.170944,1503800
2019-04-30,57.34,58.209999,57.18,58.200001,57.947563,906100
2019-05-01,58.299999,58.790001,58.0,58.119999,57.867908,1584900
2019-05-02,58.48,59.759998,58.43,59.639999,59.381317,2314300
2019-05-03,59.279999,59.349998,58.029999,58.5,58.246262,1892200
2019-05-06,58.200001,59.73,58.060001,59.549999,59.291706,1449700
2019-05-07,59.259998,59.259998,57.880001,58.330002,58.077,1150700
2019-05-08,58.970001,61.0,58.900002,60.68,60.416805,2246700
2019-05-09,59.639999,61.119999,59.529999,60.689999,60.426762,1956300
2019-05-10,61.040001,63.73,61.029999,63.330002,63.055313,1944500
2019-05-13,62.580002,62.879002,61.490002,61.639999,61.372643,1544700
2019-05-14,60.950001,61.060001,59.610001,59.860001,59.600365,1281800
2019-05-15,59.98,61.400002,59.970001,60.849998,60.586067,870500
2019-05-16,61.75,62.09,60.860001,61.139999,60.874809,1066000
2019-05-17,61.299999,61.549999,60.630001,60.939999,60.675678,803500
2019-05-20,59.549999,60.369999,59.290001,59.610001,59.351448,1208900
2019-05-21,59.419998,59.636002,58.939999,59.009998,58.754047,811000
2019-05-22,58.59,59.169998,58.529999,58.84,58.584785,690800
2019-05-23,58.919998,59.139999,58.632,58.799999,58.54496,658400
2019-05-24,58.709999,59.060001,58.66,59.0,58.744091,536400
2019-05-28,58.060001,58.459999,57.880001,57.880001,57.628952,1281500
2019-05-29,58.080002,58.720001,57.84,58.68,58.425484,902600
2019-05-30,58.860001,59.060001,58.419998,58.619999,58.365738,498800
2019-05-31,58.080002,58.470001,57.824001,58.18,57.927647,851900
2019-06-03,58.490002,59.605,58.445999,59.169998,58.913357,884500
2019-06-04,58.869999,59.080002,58.700001,58.950001,58.694309,1017700
2019-06-05,58.93,59.049999,58.560001,58.66,58.405567,848900
2019-06-06,58.509998,58.91,58.200001,58.59,58.335873,837900
2019-06-07,58.91,59.259998,58.73,58.82,58.564873,516300
2019-06-10,58.57,59.349998,58.448002,59.110001,58.853615,461200
2019-06-11,59.34,59.470001,59.040001,59.23,58.973095,563100
2019-06-12,59.009998,59.439999,58.779999,59.330002,59.072662,659300
2019-06-13,58.869999,59.139999,58.541,59.029999,58.773964,772900
2019-06-14,58.09,58.349998,57.779999,57.900002,57.648865,755500
2019-06-17,57.66,58.509998,57.650002,58.310001,58.057087,814400
2019-06-18,58.599998,59.16,58.470001,58.5,58.246262,1129200
2019-06-19,58.860001,59.34,58.560001,59.25,58.993008,739600
2019-06-20,59.43,59.98,59.349998,59.57,59.311623,779200
2019-06-21,59.299999,59.990002,59.150002,59.82,59.560535,1352300
2019-06-24,59.5,59.860001,59.27,59.529999,59.271793,536400
2019-06-25,59.0,59.43,58.689999,58.959999,58.704266,1184200
2019-06-26,59.240002,60.23,59.195999,60.040001,59.779583,1252100
2019-06-27,59.700001,60.369999,59.669998,60.240002,59.978714,1344500
2019-06-28,61.080002,62.25,61.080002,62.049999,61.780861,1859600
2019-07-01,61.599998,62.259998,61.5,61.740002,61.47221,1235000
2019-07-02,61.619999,62.560001,61.509998,62.419998,62.149258,1473500
2019-07-03,62.810001,62.950001,62.290001,62.41,62.139305,567700
2019-07-05,61.5,61.610001,60.82,60.860001,60.596027,641200
2019-07-08,60.759998,61.360001,60.689999,61.099998,60.834984,570900
2019-07-09,60.66,60.93,60.299999,60.689999,60.426762,878500
2019-07-10,60.869999,61.200001,60.759998,61.130001,60.864857,792400
2019-07-11,61.639999,61.73,61.134998,61.529999,61.263119,715800
2019-07-12,60.959999,61.459999,60.880001,61.41,61.143639,570300
2019-07-15,61.07,61.240002,60.900002,61.02,60.755329,524000
2019-07-16,60.849998,60.91,60.279999,60.5,60.237587,848500
2019-07-17,60.959999,61.099998,60.709999,60.740002,60.476547,742000
2019-07-18,60.290001,60.950001,60.212002,60.900002,60.635853,440100
