Date,Open,High,Low,Close,Adj Close,Volume
1973-05-03,3.625,3.8125,3.625,3.625,2.028797,2000
1973-05-04,3.625,3.8125,3.625,3.625,2.028797,1600
1973-05-07,3.625,3.8125,3.625,3.625,2.028797,1600
1973-05-08,3.6875,3.875,3.6875,3.6875,2.063777,1600
1973-05-09,3.6875,3.875,3.6875,3.6875,2.063777,6000
1973-05-10,3.6875,3.875,3.6875,3.6875,2.063777,2000
1973-05-11,3.6875,3.875,3.6875,3.6875,2.063777,1200
1973-05-14,3.6875,3.8125,3.6875,3.6875,2.063777,6000
1973-05-15,3.6875,3.875,3.6875,3.6875,2.063777,1600
1973-05-16,3.75,3.9375,3.75,3.75,2.098756,708800
1973-05-17,4.0625,4.25,4.0625,4.0625,2.273652,6000
1973-05-18,3.875,3.875,3.6875,3.6875,2.063777,6800
1973-05-21,3.6875,3.75,3.5625,3.5625,1.993818,9200
1973-05-22,3.625,3.8125,3.625,3.625,2.028797,3200
1973-05-23,3.75,3.9375,3.75,3.75,2.098756,2800
1973-05-24,3.875,4.0625,3.875,3.875,2.168714,8000
1973-05-25,4.0625,4.25,4.0625,4.0625,2.273652,3200
1973-05-29,4.0625,4.25,4.0625,4.0625,2.273652,7200
1973-05-30,4.0625,4.1875,4.0,4.0,2.238673,4400
1973-05-31,4.0,4.1875,4.0,4.0,2.238673,400
1973-06-01,4.0,4.125,3.9375,3.9375,2.203694,9200
1973-06-04,3.9375,3.9375,3.6875,3.6875,2.063777,6400
1973-06-05,3.75,3.9375,3.75,3.75,2.098756,2800
1973-06-06,3.75,3.875,3.6875,3.6875,2.063777,2800
1973-06-07,3.6875,3.875,3.6875,3.6875,2.063777,3200
1973-06-08,3.8125,4.0,3.8125,3.8125,2.133735,3600
1973-06-11,3.8125,3.9375,3.75,3.75,2.098756,7600
1973-06-12,3.75,3.9375,3.75,3.75,2.098756,5200
1973-06-13,3.75,3.9375,3.75,3.75,2.098756,5600
1973-06-14,3.75,3.9375,3.75,3.75,2.098756,400
1973-06-15,3.75,3.9375,3.75,3.75,2.098756,7200
1973-06-18,3.75,3.9375,3.75,3.75,2.098756,14800
1973-06-19,3.75,3.875,3.6875,3.6875,2.063777,3200
1973-06-20,3.6875,3.875,3.6875,3.6875,2.063777,2000
1973-06-21,3.6875,3.8125,3.625,3.625,2.028797,4000
1973-06-22,3.625,3.6875,3.5,3.5,1.958838,13600
1973-06-25,3.5,3.6875,3.5,3.5,1.958838,1600
1973-06-26,3.5,3.6875,3.5,3.5,1.958838,2400
1973-06-27,3.5,3.6875,3.5,3.5,1.958838,1200
1973-06-28,3.5,3.6875,3.5,3.5,1.958838,2000
1973-06-29,3.5,3.5,3.3125,3.3125,1.853901,10800
1973-07-02,3.3125,3.5,3.3125,3.3125,1.853901,84800
1973-07-03,3.375,3.5625,3.375,3.375,1.88888,4800
1973-07-05,3.375,3.5625,3.375,3.375,1.88888,400
1973-07-06,3.375,3.5625,3.375,3.375,1.88888,14400
1973-07-09,3.375,3.5625,3.375,3.375,1.88888,26000
1973-07-10,3.4375,3.625,3.4375,3.4375,1.923859,2400
1973-07-11,3.625,3.8125,3.625,3.625,2.028797,7200
1973-07-12,3.625,3.6875,3.5,3.5,1.958838,7200
1973-07-13,3.5,3.6875,3.5,3.5,1.958838,4400
1973-07-16,3.5,3.6875,3.5,3.5,1.958838,400
1973-07-17,3.5,3.6875,3.5,3.5,1.958838,400
1973-07-18,3.5,3.6875,3.5,3.5,1.958838,6400
1973-07-19,3.6875,3.875,3.6875,3.6875,2.063777,2800
1973-07-20,3.75,3.9375,3.75,3.75,2.098756,6800
1973-07-23,3.75,3.9375,3.75,3.75,2.098756,2800
1973-07-24,3.75,3.875,3.6875,3.6875,2.063777,4000
1973-07-25,3.875,4.0625,3.875,3.875,2.168714,5200
1973-07-26,3.875,4.0625,3.875,3.875,2.168714,400
1973-07-27,3.875,4.0,3.8125,3.8125,2.133735,9600
1973-07-30,3.8125,4.0,3.8125,3.8125,2.133735,9200
1973-07-31,3.8125,4.0,3.8125,3.8125,2.133735,400
1973-08-01,3.8125,3.9375,3.75,3.75,2.098756,400
1973-08-02,3.75,3.875,3.6875,3.6875,2.063777,1600
1973-08-03,3.6875,3.875,3.6875,3.6875,2.063777,400
1973-08-06,3.6875,3.8125,3.625,3.625,2.028797,7200
1973-08-07,3.6875,3.875,3.6875,3.6875,2.063777,400
1973-08-08,3.6875,3.8125,3.625,3.625,2.028797,1600
1973-08-09,3.625,3.8125,3.625,3.625,2.028797,1200
1973-08-10,3.625,3.75,3.5625,3.5625,1.993818,5200
1973-08-13,3.5625,3.75,3.5625,3.5625,1.993818,1200
1973-08-14,3.625,3.8125,3.625,3.625,2.028797,3200
1973-08-15,3.625,3.8125,3.625,3.625,2.028797,2400
1973-08-16,3.625,3.8125,3.625,3.625,2.028797,800
1973-08-17,3.6875,3.875,3.6875,3.6875,2.063777,12000
1973-08-20,3.6875,3.875,3.6875,3.6875,2.063777,12400
1973-08-21,3.75,3.9375,3.75,3.75,2.098756,7600
1973-08-22,3.8125,4.0,3.8125,3.8125,2.133735,3200
1973-08-23,3.875,4.0625,3.875,3.875,2.168714,800
1973-08-24,3.875,4.0,3.8125,3.8125,2.133735,2400
1973-08-27,3.8125,4.0,3.8125,3.8125,2.133735,8400
1973-08-28,3.8125,4.0,3.8125,3.8125,2.133735,7600
1973-08-29,3.8125,4.0,3.8125,3.8125,2.133735,2800
1973-08-30,3.8125,4.0,3.8125,3.8125,2.133735,4800
1973-08-31,3.8125,4.0,3.8125,3.8125,2.133735,5200
1973-09-04,3.8125,3.9375,3.75,3.75,2.098756,2000
1973-09-05,3.8125,4.0,3.8125,3.8125,2.133735,8400
1973-09-06,3.8125,3.9375,3.75,3.75,2.098756,3200
1973-09-07,3.8125,4.0,3.8125,3.8125,2.133735,400
1973-09-10,3.8125,4.0,3.8125,3.8125,2.133735,5200
1973-09-11,3.8125,4.0,3.8125,3.8125,2.133735,800
1973-09-12,3.8125,4.0,3.8125,3.8125,2.133735,8400
1973-09-13,3.8125,3.9375,3.75,3.75,2.098756,2800
1973-09-14,3.75,3.9375,3.75,3.75,2.098756,400
1973-09-17,3.75,3.9375,3.75,3.75,2.098756,2800
1973-09-18,3.75,3.875,3.6875,3.6875,2.063777,11600
1973-09-19,3.6875,3.8125,3.625,3.625,2.028797,5600
1973-09-20,3.625,3.8125,3.625,3.625,2.028797,7600
1973-09-21,3.625,3.8125,3.625,3.625,2.028797,4800
1973-09-24,3.625,3.75,3.5625,3.5625,1.993818,2400
1973-09-25,3.5625,3.75,3.5625,3.5625,1.993818,2400
1973-09-26,3.5625,3.75,3.5625,3.5625,1.993818,7200
1973-09-27,3.5625,3.6875,3.5,3.5,1.958838,8800
1973-09-28,3.5,3.625,3.4375,3.4375,1.923859,102000
1973-10-01,3.5,3.6875,3.5,3.5,1.958838,1200
1973-10-02,3.5625,3.75,3.5625,3.5625,1.993818,17600
1973-10-03,3.5625,3.75,3.5625,3.5625,1.993818,16800
1973-10-04,3.5625,3.75,3.5625,3.5625,1.993818,5200
1973-10-05,3.5625,3.6875,3.5,3.5,1.958838,13600
1973-10-08,3.5,3.625,3.4375,3.4375,1.923859,800
1973-10-09,3.4375,3.625,3.4375,3.4375,1.923859,4400
1973-10-10,3.4375,3.625,3.4375,3.4375,1.923859,11600
1973-10-11,3.5,3.6875,3.5,3.5,1.958838,2000
1973-10-12,3.5,3.6875,3.5,3.5,1.958838,2000
1973-10-15,3.5,3.625,3.4375,3.4375,1.923859,800
1973-10-16,3.4375,3.5625,3.375,3.375,1.88888,4000
1973-10-17,3.5,3.6875,3.5,3.5,1.958838,48000
1973-10-18,3.5,3.6875,3.5,3.5,1.958838,800
1973-10-19,3.5,3.6875,3.5,3.5,1.958838,5600
1973-10-22,3.5,3.625,3.4375,3.4375,1.923859,8400
1973-10-23,3.4375,3.625,3.4375,3.4375,1.923859,3600
1973-10-24,3.5,3.6875,3.5,3.5,1.958838,26000
1973-10-25,3.5,3.6875,3.5,3.5,1.958838,800
1973-10-26,3.5,3.6875,3.5,3.5,1.958838,13200
1973-10-29,3.4375,3.625,3.4375,3.4375,1.923859,2000
1973-10-30,3.4375,3.5625,3.375,3.375,1.88888,1600
1973-10-31,3.375,3.5625,3.375,3.375,1.88888,4000
1973-11-01,3.375,3.5625,3.375,3.375,1.88888,800
1973-11-02,3.375,3.375,3.375,3.375,1.88888,0
1973-11-05,3.375,3.4375,3.25,3.25,1.818922,3600
1973-11-06,3.25,3.4375,3.25,3.25,1.818922,1200
1973-11-07,3.375,3.5625,3.375,3.375,1.88888,4800
1973-11-08,3.4375,3.625,3.4375,3.4375,1.923859,7600
1973-11-09,3.5,3.6875,3.5,3.5,1.958838,9200
1973-11-12,3.5,3.625,3.4375,3.4375,1.923859,2800
1973-11-13,3.4375,3.5625,3.375,3.375,1.88888,3200
1973-11-14,3.375,3.5,3.3125,3.3125,1.853901,18000
1973-11-15,3.3125,3.5,3.3125,3.3125,1.853901,8800
1973-11-16,3.3125,3.4375,3.25,3.25,1.818922,11200
1973-11-19,3.3125,3.5,3.3125,3.3125,1.853901,2400
1973-11-20,3.3125,3.5,3.3125,3.3125,1.853901,9200
1973-11-21,3.3125,3.5,3.3125,3.3125,1.853901,5200
1973-11-23,3.3125,3.5,3.3125,3.3125,1.853901,800
1973-11-26,3.3125,3.4375,3.25,3.25,1.818922,4400
1973-11-27,3.25,3.4375,3.25,3.25,1.818922,3200
1973-11-28,3.25,3.375,3.1875,3.1875,1.783942,6000
1973-11-29,3.1875,3.3125,3.125,3.125,1.748963,2000
1973-11-30,3.125,3.25,3.0625,3.0625,1.713984,3600
1973-12-03,3.0625,3.25,3.0625,3.0625,1.713984,2400
1973-12-04,3.0625,3.125,2.9375,2.9375,1.644025,14000
1973-12-05,2.9375,3.125,2.9375,2.9375,1.644025,10800
1973-12-06,2.9375,3.125,2.9375,2.9375,1.644025,400
1973-12-07,3.0625,3.25,3.0625,3.0625,1.713984,17200
1973-12-10,3.125,3.3125,3.125,3.125,1.748963,3600
1973-12-11,3.125,3.25,3.0625,3.0625,1.713984,6800
1973-12-12,3.0625,3.1875,3.0,3.0,1.679005,2400
1973-12-13,3.0,3.1875,3.0,3.0,1.679005,5200
1973-12-14,3.0,3.1875,3.0,3.0,1.679005,7200
1973-12-17,3.0,3.1875,3.0,3.0,1.679005,6800
1973-12-18,3.0,3.1875,3.0,3.0,1.679005,800
1973-12-19,3.0,3.1875,3.0,3.0,1.679005,6000
1973-12-20,3.0625,3.25,3.0625,3.0625,1.713984,5600
1973-12-21,3.1875,3.375,3.1875,3.1875,1.783942,9200
1973-12-24,3.25,3.4375,3.25,3.25,1.818922,400
