Date,Open,High,Low,Close,Adj Close,Volume
1993-03-19,11.75,12.75,11.75,12.25,8.132283,1462900
1993-03-22,12.5,12.75,12.0,12.0,7.966314,297900
1993-03-23,12.375,12.75,12.25,12.25,8.132283,241600
1993-03-24,12.25,12.75,12.0,12.25,8.132283,146400
1993-03-25,12.75,12.75,12.0,12.0,7.966314,100100
1993-03-26,12.0,12.5,12.0,12.25,8.132283,41700
1993-03-29,12.0,12.5,12.0,12.0,7.966314,45400
1993-03-30,12.5,12.5,11.875,11.875,7.883335,41700
1993-03-31,11.75,12.25,11.75,11.75,7.800357,40300
1993-04-01,12.0,12.125,11.75,11.75,7.800357,16700
1993-04-02,11.75,12.25,11.75,11.75,7.800357,79900
1993-04-05,12.25,12.25,11.75,11.875,7.883335,94600
1993-04-06,11.75,11.875,11.625,11.625,7.717372,22300
1993-04-07,11.625,12.125,11.625,11.75,7.800357,25900
1993-04-08,12.0,12.125,11.375,12.125,8.049303,12100
1993-04-12,11.75,12.25,11.75,12.25,8.132283,15000
1993-04-13,12.0,12.25,11.75,11.875,7.883335,41400
1993-04-14,11.75,12.25,11.75,11.75,7.800357,10700
1993-04-15,11.75,12.75,11.75,12.75,8.464214,63100
1993-04-16,12.75,12.75,12.25,12.25,8.132283,9500
1993-04-19,12.25,12.75,12.25,12.75,8.464214,6800
1993-04-20,12.25,13.0,12.0,12.0,7.966314,32800
1993-04-21,12.5,12.75,12.25,12.5,8.298248,23900
1993-04-22,12.5,13.75,12.5,13.0,8.630181,32800
1993-04-23,13.0,13.75,13.0,13.0,8.630181,23900
1993-04-26,13.0,13.0,12.75,12.75,8.516628,3000
1993-04-27,12.75,13.5,12.75,12.75,8.516628,29300
1993-04-28,12.5,13.25,12.5,13.25,8.850608,3600
1993-04-29,12.75,13.0,12.75,12.75,8.516628,19000
1993-04-30,12.875,13.25,12.75,13.25,8.850608,2000
1993-05-03,13.25,13.25,12.75,12.75,8.516628,7800
1993-05-04,13.25,13.25,12.75,13.0,8.683619,33800
1993-05-05,12.75,13.25,12.75,13.25,8.850608,8400
1993-05-06,13.25,13.25,13.0,13.0,8.683619,2200
1993-05-07,12.75,13.25,12.75,12.75,8.516628,96700
1993-05-10,13.25,14.0,12.75,13.75,9.184599,16100
1993-05-11,14.0,14.25,13.5,13.5,9.01761,42600
1993-05-12,14.25,14.25,13.5,13.75,9.184599,14200
1993-05-13,14.25,14.25,13.5,13.75,9.184599,54300
1993-05-14,13.875,14.0,13.75,14.0,9.351586,3900
1993-05-17,14.0,14.0,13.25,13.75,9.184599,12200
1993-05-18,14.0,14.0,13.25,13.25,8.850608,81600
1993-05-19,13.25,13.25,13.25,13.25,8.850608,2100
1993-05-20,13.5,14.0,13.5,14.0,9.351586,11600
1993-05-21,13.75,14.0,13.5,13.5,9.01761,15800
1993-05-24,13.5,13.75,13.5,13.5,9.01761,12400
1993-05-25,13.5,14.0,13.5,13.875,9.2681,10500
1993-05-26,14.0,14.0,13.25,13.25,8.850608,17000
1993-05-27,13.25,13.875,13.25,13.875,9.2681,30200
1993-05-28,13.25,13.25,13.25,13.25,8.850608,600
1993-06-01,13.25,13.75,13.25,13.5,9.01761,9200
1993-06-02,13.25,13.25,13.25,13.25,8.850608,4600
1993-06-03,13.0,13.75,13.0,13.0,8.683619,22500
1993-06-04,13.0,13.5,13.0,13.5,9.01761,5800
1993-06-07,13.75,13.75,13.25,13.75,9.184599,20800
1993-06-08,13.625,13.625,13.25,13.5,9.01761,51000
1993-06-09,13.25,13.25,13.25,13.25,8.850608,400
1993-06-10,13.25,13.75,13.25,13.5,9.01761,18100
1993-06-11,13.75,13.75,13.5,13.5,9.01761,29900
1993-06-14,13.75,13.75,13.625,13.625,9.101098,5400
1993-06-15,13.5,13.75,13.25,13.75,9.184599,17300
1993-06-16,13.25,13.75,13.25,13.75,9.184599,600
1993-06-17,13.75,13.75,13.625,13.75,9.184599,24200
1993-06-18,14.0,14.0,14.0,14.0,9.351586,500
1993-06-21,13.75,14.25,13.75,13.75,9.184599,56200
1993-06-22,14.25,15.25,14.25,14.5,9.685574,21600
1993-06-23,14.25,15.0,14.25,15.0,10.019555,2200
1993-06-24,15.0,15.0,14.25,14.625,9.769069,9300
1993-06-25,15.0,15.0,14.25,14.25,9.518578,900
1993-06-28,14.25,15.0,14.25,15.0,10.019555,9200
1993-06-29,15.25,15.25,15.25,15.25,10.186553,1400
1993-06-30,15.0,15.0,15.0,15.0,10.019555,1900
1993-07-01,14.5,15.25,14.5,15.25,10.186553,16100
1993-07-02,15.25,15.25,15.25,15.25,10.186553,400
1993-07-06,15.25,15.25,14.5,14.5,9.685574,700
1993-07-07,14.625,14.625,14.625,14.625,9.769069,1500
1993-07-08,14.5,14.5,14.5,14.5,9.685574,1700
1993-07-09,14.5,15.25,14.5,15.25,10.186553,600
1993-07-12,15.25,15.25,15.25,15.25,10.186553,0
1993-07-13,15.25,15.25,15.25,15.25,10.186553,0
1993-07-14,14.5,14.5,14.5,14.5,9.685574,2300
1993-07-15,14.5,15.25,14.5,15.25,10.186553,1700
1993-07-16,14.5,15.25,14.5,15.25,10.186553,1200
1993-07-19,15.0,16.0,15.0,15.5,10.353541,18800
1993-07-20,15.5,15.5,15.5,15.5,10.353541,0
1993-07-21,15.25,16.0,15.25,15.25,10.186553,15800
1993-07-22,15.5,16.25,15.25,15.25,10.186553,17400
1993-07-23,15.25,15.25,15.25,15.25,10.186553,400
1993-07-26,15.25,15.25,15.25,15.25,10.186553,300
1993-07-27,15.25,15.25,15.25,15.25,10.240273,0
1993-07-28,15.25,15.25,15.25,15.25,10.240273,1000
1993-07-29,16.25,16.25,16.25,16.25,10.911762,100
1993-07-30,15.75,15.75,15.75,15.75,10.576015,900
1993-08-02,15.25,16.0,15.25,15.25,10.240273,3400
1993-08-03,15.25,15.5,15.0,15.0,10.0724,11300
1993-08-04,15.0,15.25,14.5,15.0,10.0724,5300
1993-08-05,15.25,15.25,14.5,14.5,9.736652,6200
1993-08-06,15.25,15.5,14.5,14.5,9.736652,9200
1993-08-09,14.625,15.5,14.625,15.5,10.408141,2400
1993-08-10,15.5,15.5,14.5,14.625,9.820586,3600
1993-08-11,14.75,15.5,14.75,15.125,10.156334,4200
1993-08-12,14.75,15.5,14.75,15.5,10.408141,1800
1993-08-13,14.75,15.5,14.75,15.5,10.408141,800
1993-08-16,15.5,15.5,15.5,15.5,10.408141,300
1993-08-17,14.75,15.5,14.75,14.875,9.988464,2000
1993-08-18,15.5,15.5,15.0,15.0,10.0724,3900
1993-08-19,15.5,15.5,15.0,15.5,10.408141,800
1993-08-20,15.25,15.5,15.25,15.25,10.240273,31700
1993-08-23,14.875,15.0,13.75,14.0,9.400903,199800
1993-08-24,14.5,14.5,14.0,14.375,9.652713,3500
1993-08-25,13.875,14.25,13.0,13.0,8.729415,69700
1993-08-26,13.25,13.25,12.25,12.625,8.477603,96000
1993-08-27,12.25,13.0,12.25,13.0,8.729415,26400
1993-08-30,13.0,13.25,13.0,13.25,8.897281,6100
1993-08-31,13.5,13.75,13.375,13.5,9.065159,23400
1993-09-01,13.75,14.25,13.75,14.25,9.568776,3000
1993-09-02,14.5,14.5,14.375,14.5,9.736652,12700
1993-09-03,14.25,15.0,14.25,14.75,9.904523,28100
1993-09-07,14.0,14.5,14.0,14.0,9.400903,22100
1993-09-08,13.75,13.75,13.0,13.5,9.065159,13500
1993-09-09,13.375,13.5,13.375,13.5,9.065159,9000
1993-09-10,13.75,13.75,13.0,13.75,9.233031,4500
1993-09-13,13.0,13.5,12.75,13.375,8.981219,31900
1993-09-14,13.0,13.25,13.0,13.25,8.897281,34900
1993-09-15,13.25,13.25,13.25,13.25,8.897281,0
