Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,1.91,2.01,1.69,1.7,1.7,45600
2021-02-01,4.302,5.2,1.8,2.05,2.05,39700
2021-02-02,2.09,2.717,1.85,2.39,2.39,508100
2021-02-03,2.12,2.36,1.95,2.05,2.05,738500
2021-02-04,2.24,2.24,1.95,2.05,2.05,48500
2021-02-05,2.1,2.3,1.95,2.12,2.12,212800
2021-02-08,2.29,2.29,1.91,2.045,2.045,200300
2021-02-09,2.06,2.12,1.95,2.08,2.08,99200
2021-02-10,2.05,2.2,2.0,2.2,2.2,263900
2021-02-11,2.1,2.23,2.0,2.05,2.05,71900
2021-02-12,2.06,2.23,2.0,2.05,2.05,180900
2021-02-16,2.15,2.33,2.01,2.14,2.14,381600
2021-02-17,2.2,2.43,2.2,2.35,2.35,367800
2021-02-18,3.58,3.65,3.22,3.65,3.65,1891900
2021-02-19,4.24,4.47,3.7,4.26,4.26,1385700
2021-02-22,4.95,5.72,4.49,4.56,4.56,971400
2021-02-23,3.87,4.1,3.5,3.84,3.84,748300
2021-02-24,3.99,4.1,3.78,3.78,3.78,281300
2021-02-25,3.51,3.74,3.15,3.19,3.19,354400
2021-02-26,3.38,3.59,2.78,3.0,3.0,655600
2021-03-01,3.45,3.45,3.02,3.1,3.1,446700
2021-03-02,3.18,3.18,2.82,3.0,3.0,936900
2021-03-03,2.8,2.95,2.61,2.74,2.74,972100
2021-03-04,2.48,2.66,1.9,2.09,2.09,1179300
2021-03-05,2.23,2.23,1.51,2.1,2.1,1089800
2021-03-08,2.07,2.17,1.9,1.92,1.92,398800
2021-03-09,2.1,2.1,1.9,1.94,1.94,371700
2021-03-10,2.0,2.09,1.95,2.02,2.02,360900
2021-03-11,2.08,2.65,2.06,2.35,2.35,596500
2021-03-12,2.45,2.7,2.1,2.56,2.56,301200
2021-03-15,2.67,2.67,2.25,2.45,2.45,455100
2021-03-16,2.55,2.55,2.12,2.43,2.43,314300
2021-03-17,2.15,2.22,2.05,2.1,2.1,476400
2021-03-18,2.16,2.205,2.03,2.06,2.06,310000
2021-03-19,2.09,2.09,1.96,2.02,2.02,243100
2021-03-22,2.0,2.03,1.9,1.95,1.95,256900
2021-03-23,1.97,1.975,1.65,1.68,1.68,530200
2021-03-24,1.75,1.78,1.47,1.55,1.55,393200
2021-03-25,1.45,1.51,1.25,1.5,1.5,347700
2021-03-26,1.7,2.05,1.515,1.89,1.89,358900
2021-03-29,1.85,1.94,1.72,1.83,1.83,211900
2021-03-30,1.75,1.86,1.63,1.69,1.69,182400
2021-03-31,1.99,1.99,1.58,1.7,1.7,173700
2021-04-01,1.71,1.765,1.65,1.69,1.69,223900
