Date,Open,High,Low,Close,Adj Close,Volume
2021-08-05,10.55,10.89,10.46,10.63,9.616817,153200
2021-08-06,10.65,11.49,10.24,11.49,10.394847,407200
2021-08-09,11.43,11.99,11.26,11.88,10.747676,353000
2021-08-10,11.9,11.99,11.15,11.52,10.421988,408000
2021-08-11,11.58,12.13,11.5,12.05,10.901472,891000
2021-08-12,12.25,12.3,11.9,12.02,10.874331,783200
2021-08-13,12.11,12.36,12.0,12.15,10.99194,711600
2021-08-16,12.28,12.43,11.68,11.75,10.630066,468800
2021-08-17,11.6,11.8,11.25,11.41,10.322472,365100
2021-08-18,11.41,11.49,11.1,11.25,10.177723,424100
2021-08-19,11.24,11.85,11.01,11.58,10.47627,524500
2021-08-20,11.52,12.0,11.52,11.88,10.747676,252700
2021-08-23,11.99,12.12,11.75,11.81,10.684347,776900
2021-08-24,11.31,11.8,10.79,11.67,10.557692,989200
2021-08-25,11.59,11.97,11.12,11.48,10.3858,700000
2021-08-26,11.37,11.52,10.95,11.17,10.105348,1653400
2021-08-27,11.11,11.21,10.84,10.9,9.861082,1260200
2021-08-30,11.23,11.235,10.71,10.83,9.797754,950600
2021-08-31,10.73,10.81,10.63,10.71,9.689191,519100
2021-09-01,10.62,10.83,10.59,10.77,9.743473,1466200
2021-09-02,10.68,10.85,10.6,10.84,9.806801,1513100
2021-09-03,10.7,11.25,10.67,11.17,10.105348,878300
2021-09-07,11.18,11.28,10.7,10.71,9.689191,791000
2021-09-08,10.73,10.81,10.66,10.74,9.716332,413700
2021-09-09,10.74,10.83,10.42,10.46,9.46302,1447100
2021-09-10,10.58,10.61,10.36,10.47,9.472067,972800
2021-09-13,10.65,10.65,10.45,10.57,9.562535,966000
2021-09-14,10.57,10.57,10.45,10.5,9.499207,812700
2021-09-15,10.42,10.6,10.41,10.52,9.517302,1205000
2021-09-16,10.48,10.49,10.291,10.35,9.363504,1243700
2021-09-17,10.33,10.56,10.33,10.49,9.49016,1790300
2021-09-20,10.25,10.43,10.12,10.27,9.29113,1982400
2021-09-21,10.38,10.4,10.13,10.14,9.17352,347600
2021-09-22,10.14,10.49,10.1,10.45,9.453974,563200
2021-09-23,10.55,10.55,10.08,10.09,9.128286,1603800
2021-09-24,10.1,10.3,9.84,9.99,9.037817,1996300
2021-09-27,10.09,10.16,9.9,10.12,9.155427,750200
2021-09-28,10.05,10.08,9.89,9.95,9.00163,620300
2021-09-29,9.88,10.09,9.82,10.04,9.083053,930600
2021-09-30,10.08,10.13,9.85,9.96,9.010676,1599400
2021-10-01,9.98,10.01,9.77,9.93,8.983537,1116800
2021-10-04,9.83,10.0,9.61,9.77,8.838787,1276200
2021-10-05,9.77,9.99,9.73,9.94,8.992582,740000
2021-10-06,10.0,10.2,9.8,10.19,9.218754,1069800
2021-10-07,10.15,10.31,9.99,10.05,9.092098,852200
2021-10-08,10.07,10.15,9.92,9.94,8.992582,482100
2021-10-11,10.02,10.36,10.02,10.12,9.155427,453500
2021-10-12,10.08,10.38,10.06,10.18,9.209708,609900
2021-10-13,10.36,10.36,9.95,9.95,9.00163,811800
2021-10-14,10.02,10.05,9.73,9.9,8.956395,794400
2021-10-15,10.01,10.03,9.68,9.77,8.838787,515800
2021-10-18,9.69,9.86,9.56,9.71,8.784506,798800
2021-10-19,9.71,9.89,9.63,9.75,8.820692,937800
2021-10-20,9.73,10.07,9.68,9.99,9.037817,585400
2021-10-21,9.98,10.09,9.91,9.98,9.02877,733000
2021-10-22,9.97,10.12,9.85,9.95,9.00163,679200
2021-10-25,9.79,9.88,9.34,9.39,8.495007,709500
2021-10-26,9.5,9.6,9.265,9.34,8.449772,1083100
2021-10-27,9.31,9.59,9.24,9.54,8.630708,773600
2021-10-28,10.2,10.2,9.82,9.86,8.920208,1197000
2021-10-29,9.91,9.99,9.76,9.85,8.911162,757800
2021-11-01,9.74,9.88,9.65,9.7,8.775458,1279200
2021-11-02,9.65,9.73,9.54,9.62,8.703083,367000
2021-11-03,9.57,9.75,9.51,9.7,8.775458,387700
2021-11-04,9.62,9.705,9.48,9.6,8.684991,394500
2021-11-05,9.61,9.75,9.5,9.65,8.730224,1268400
2021-11-08,9.71,9.74,9.49,9.62,8.703083,778100
2021-11-09,9.65,9.68,9.51,9.64,8.721178,449000
2021-11-10,9.6,9.66,9.58,9.66,8.739271,405000
2021-11-11,9.81,9.86,9.61,9.74,8.811646,596900
2021-11-12,9.78,9.79,9.58,9.63,8.712131,1127000
2021-11-15,9.64,9.72,9.54,9.58,8.666897,656800
2021-11-16,9.52,9.74,9.52,9.72,8.793552,2695300
2021-11-17,9.73,9.875,9.65,9.68,8.757365,620800
2021-11-18,9.66,9.68,9.46,9.6,8.684991,588200
2021-11-19,9.63,9.66,9.473,9.6,8.684991,639800
2021-11-22,9.73,9.955,9.71,9.87,8.929255,1619200
2021-11-23,9.87,9.94,9.485,9.5,8.594521,673200
2021-11-24,9.45,9.66,9.38,9.57,8.657848,909400
2021-11-26,9.43,9.72,9.43,9.61,8.694036,470400
2021-11-29,9.61,9.92,9.56,9.67,8.748318,904500
2021-11-30,9.61,9.67,9.335,9.35,8.458818,822100
2021-12-01,9.35,9.47,9.06,9.08,8.214552,783500
2021-12-02,9.23,9.34,9.13,9.32,8.431677,417300
2021-12-03,9.32,9.52,9.235,9.42,8.522146,682200
2021-12-06,9.4,9.71,9.39,9.65,8.730224,1524600
2021-12-07,9.7,9.76,9.57,9.6,8.684991,1202500
2021-12-08,9.6,9.64,9.465,9.5,8.594521,414800
2021-12-09,9.42,9.52,9.3,9.33,8.440724,391700
2021-12-10,9.34,9.49,9.28,9.41,8.5131,1110200
2021-12-13,9.38,9.455,9.17,9.25,8.36835,575500
2021-12-14,9.15,9.27,9.05,9.07,8.205506,750200
2021-12-15,9.05,9.18,8.86,9.06,8.196459,1200100
2021-12-16,9.06,9.22,8.82,8.89,8.042663,1394800
2021-12-17,8.85,9.01,8.6,8.63,7.807445,6294700
2021-12-20,8.53,8.76,8.38,8.7,7.870772,2576400
2021-12-21,8.79,9.06,8.62,9.0,8.142178,2805500
2021-12-22,9.05,9.1,8.85,8.93,8.078851,1608300
2021-12-23,8.95,9.06,8.81,8.89,8.042663,1104800
2021-12-27,8.92,9.065,8.79,8.84,7.997428,772900
2021-12-28,8.78,8.89,8.75,8.83,7.988381,897600
2021-12-29,8.84,8.84,8.73,8.81,7.970288,1107300
2021-12-30,8.78,8.945,8.74,8.85,8.006474,944400
2021-12-31,8.86,9.07,8.8,9.03,8.169318,1282300
2022-01-03,9.025,9.18,8.97,9.04,8.178366,1097100
2022-01-04,9.0,9.125,8.68,8.73,7.897912,1881700
2022-01-05,8.71,8.77,8.46,8.53,7.716976,1170300
2022-01-06,8.57,8.68,8.48,8.54,7.726022,1136800
2022-01-07,8.52,8.74,8.45,8.66,7.834584,725700
2022-01-10,8.64,8.64,8.39,8.5,7.689835,856900
2022-01-11,8.45,8.745,8.44,8.7,7.870772,742400
2022-01-12,8.69,8.78,8.61,8.74,7.90696,568600
2022-01-13,8.8,9.05,8.8,8.97,8.115037,1245800
2022-01-14,8.89,9.035,8.74,8.86,8.015522,1444200
2022-01-18,8.9,8.98,8.59,8.75,7.916007,995900
2022-01-19,8.81,9.05,8.78,9.0,8.142178,1235800
2022-01-20,9.11,9.15,8.88,8.91,8.060756,1311000
2022-01-21,9.05,9.15,8.655,8.75,7.916007,1154200
2022-01-24,8.63,8.86,8.385,8.83,7.988381,1424700
2022-01-25,8.72,8.76,8.37,8.55,7.735069,1253200
2022-01-26,8.55,8.69,8.43,8.53,7.716976,618700
2022-01-27,8.59,8.925,8.49,8.7,7.870772,1168800
2022-01-28,8.74,9.25,8.67,9.14,8.268835,1821500
2022-01-31,9.2,9.8,9.18,9.63,8.712131,3799400
2022-02-01,9.74,9.775,9.56,9.65,8.730224,1323700
2022-02-02,9.72,9.76,9.47,9.49,8.585475,1581600
2022-02-03,9.4,9.52,9.28,9.35,8.458818,1247000
2022-02-04,9.35,9.43,9.285,9.32,8.431677,789700
2022-02-07,9.33,9.43,9.13,9.16,8.286928,1195800
2022-02-08,9.2,9.49,9.169,9.46,8.558333,1031600
2022-02-09,9.5,9.57,9.415,9.44,8.540239,740200
2022-02-10,9.3,9.48,9.19,9.29,8.404536,1001500
2022-02-11,9.285,9.47,9.13,9.25,8.36835,1046700
2022-02-14,9.19,9.26,9.1,9.19,8.314068,445500
2022-02-15,9.25,9.4,9.24,9.29,8.404536,1024300
2022-02-16,9.305,9.38,9.24,9.35,8.458818,895000
2022-02-17,9.27,9.38,9.12,9.12,8.25074,414700
2022-02-18,9.08,9.2,9.04,9.09,8.223599,576000
2022-02-22,9.0,9.1,8.9,8.92,8.069804,1010400
2022-02-23,9.0,9.02,8.725,8.74,7.90696,757600
2022-02-24,8.51,8.6,8.16,8.54,7.726022,2478800
2022-02-25,8.52,8.73,8.48,8.71,7.87982,1297900
2022-02-28,8.54,8.59,8.23,8.31,7.517944,1664300
2022-03-01,8.37,8.37,7.75,7.76,7.020367,1925400
2022-03-02,7.75,8.02,7.71,7.94,7.183211,1439500
2022-03-03,7.94,8.16,7.915,8.11,7.337007,1316500
2022-03-04,8.0,8.0,7.65,7.83,7.083694,1913700
2022-03-07,7.8,7.81,7.145,7.17,6.486602,1947100
2022-03-08,7.15,7.665,7.01,7.3,6.604211,1585600
2022-03-09,7.59,7.78,7.51,7.69,6.957039,1080500
2022-03-10,7.53,7.66,7.42,7.6,6.875617,1018900
2022-03-11,7.74,7.975,7.69,7.88,7.128929,1087000
2022-03-14,7.96,8.22,7.93,8.0,7.237492,1339600
2022-03-15,8.07,8.18,7.955,8.18,7.400336,928400
2022-03-16,8.27,8.47,8.265,8.47,7.662694,1302200
2022-03-17,8.39,8.57,8.38,8.56,7.744117,1236500
2022-03-18,8.47,8.8,8.385,8.8,7.961242,3747300
2022-03-21,8.69,8.8,8.47,8.59,7.771257,703700
2022-03-22,8.64,8.755,8.52,8.57,7.753163,761800
2022-03-23,8.45,8.54,8.29,8.38,7.581273,736900
2022-03-24,8.36,8.4,8.223,8.35,7.554132,1029500
2022-03-25,8.38,8.53,8.265,8.52,7.707929,1106600
2022-03-28,8.5,8.53,8.263,8.39,7.590319,507600
2022-03-29,8.55,8.59,8.39,8.51,7.698883,686300
2022-03-30,8.505,8.55,8.22,8.24,7.454617,504700
2022-03-31,8.2,8.23,8.12,8.13,7.355101,576200
2022-04-01,8.23,8.39,8.19,8.3,7.508898,775600
2022-04-04,8.27,8.33,8.21,8.28,7.490804,423200
2022-04-05,8.25,8.33,8.2,8.27,7.481757,491500
2022-04-06,8.2,8.235,8.02,8.08,7.309866,783300
2022-04-07,8.1,8.13,7.99,8.04,7.273679,413600
2022-04-08,8.0,8.11,7.96,8.03,7.264632,581100
2022-04-11,7.97,8.055,7.91,7.91,7.15607,727700
2022-04-12,7.95,8.055,7.9,7.94,7.183211,848600
2022-04-13,7.91,8.05,7.91,8.02,7.255586,933900
2022-04-14,7.97,8.05,7.89,7.94,7.183211,817600
2022-04-18,7.89,7.99,7.82,7.85,7.101789,609000
2022-04-19,7.86,8.08,7.821,8.05,7.282726,630900
2022-04-20,8.13,8.23,8.09,8.22,7.436522,462000
2022-04-21,8.3,8.3,7.9,7.93,7.174163,455200
2022-04-22,7.93,7.97,7.76,7.87,7.119882,865500
2022-04-25,7.78,7.81,7.51,7.57,6.848477,1148200
2022-04-26,7.5,7.6,7.0,7.0,6.332806,972000
2022-04-27,7.0,7.21,6.9,6.99,6.323758,1504800
2022-04-28,7.145,7.17,6.44,6.82,6.169962,2064800
2022-04-29,6.73,7.22,6.69,7.13,6.450414,1743500
2022-05-02,7.15,7.44,7.045,7.1,6.423274,1792400
2022-05-03,7.15,7.215,7.0,7.04,6.368993,1486900
2022-05-04,7.1,7.26,6.74,7.17,6.486602,2266100
2022-05-05,7.11,7.12,6.57,6.61,5.979978,1804100
2022-05-06,6.53,7.12,6.53,6.91,6.251383,4651200
2022-05-09,6.77,6.82,6.3,6.38,5.7719,2784200
2022-05-10,6.5,6.68,6.22,6.25,5.65429,2548700
2022-05-11,6.27,6.412,6.06,6.2,5.609056,2232400
2022-05-12,6.16,6.41,5.96,6.19,5.600009,3744300
2022-05-13,6.28,6.595,6.27,6.3,5.699525,2570100
2022-05-16,6.35,6.41,6.2,6.34,5.735712,2092600
2022-05-17,6.5,6.51,6.28,6.37,5.762852,3315400
2022-05-18,6.31,6.34,5.83,5.86,5.301463,3159600
2022-05-19,5.85,6.075,5.78,5.97,5.400978,2351200
2022-05-20,6.04,6.055,5.64,5.67,5.129573,2653500
2022-05-23,5.75,5.81,5.58,5.75,5.201947,3914300
2022-05-24,5.69,5.69,5.365,5.41,4.894353,3029800
2022-05-25,5.41,5.67,5.35,5.61,5.075291,2065700
2022-05-26,5.64,6.055,5.64,6.0,5.428119,1973000
2022-05-27,5.99,6.25,5.99,6.21,5.618103,1365100
2022-05-31,6.18,6.205,6.025,6.04,5.464306,1361300
2022-06-01,6.03,6.82,6.03,6.51,5.889509,4061300
2022-06-02,6.51,6.72,6.4,6.58,5.952837,2432100
2022-06-03,6.65,6.76,6.5,6.75,6.106633,2634600
2022-06-06,6.97,7.0,6.67,6.79,6.142821,2519100
2022-06-07,6.75,6.9,6.75,6.88,6.224243,2696600
2022-06-08,6.88,6.92,6.662,6.87,6.215196,2935500
2022-06-09,6.66,6.735,6.26,6.34,5.735712,3821800
2022-06-10,6.21,6.28,6.1,6.24,5.645244,1908500
2022-06-13,6.03,6.23,5.8,5.9,5.514394,2830300
2022-06-14,5.87,6.08,5.71,5.72,5.346158,2879000
2022-06-15,5.77,6.149,5.77,6.11,5.710668,1445600
2022-06-16,5.96,6.12,5.84,5.87,5.486354,2070400
2022-06-17,5.91,6.01,5.83,5.99,5.598511,1808600
2022-06-21,6.1,6.255,6.01,6.21,5.804133,4237000
