Date,Open,High,Low,Close,Adj Close,Volume
2001-02-07,3.521,3.521,3.521,3.521,2.253196,600.0
2001-02-08,3.521,3.625,3.521,3.625,2.319749,28200.0
2001-02-09,3.645,3.7085,3.625,3.7085,2.373183,6000.0
2001-02-12,3.73,3.9375,3.6875,3.8335,2.453175,106200.0
2001-02-13,3.81,3.8335,3.6145,3.6145,2.31303,29400.0
2001-02-14,3.645,3.729,3.198,3.271,2.093214,384600.0
2001-02-15,3.27,3.4375,3.25,3.2915,2.106333,459000.0
2001-02-16,3.29,3.4585,3.1665,3.375,2.159766,42000.0
2001-02-20,3.29,3.2915,3.1875,3.1875,2.039779,11400.0
2001-02-21,3.165,3.1665,3.094,3.094,1.979946,218400.0
2001-02-22,3.105,3.1665,3.0415,3.1665,2.026342,49800.0
2001-02-23,3.06,3.1875,2.979,3.0,1.919792,33600.0
2001-02-26,3.0,3.0,3.0,3.0,1.919792,600.0
2001-02-27,3.0,3.0,2.979,3.0,1.919792,46800.0
2001-02-28,3.0,3.0315,2.9165,3.021,1.933231,97200.0
2001-03-01,2.995,2.995,2.875,2.875,1.839802,20400.0
2001-03-02,2.885,2.8855,2.7915,2.8335,1.813244,27600.0
2001-03-05,2.8335,2.8335,2.8335,2.8335,1.813244,7800.0
2001-03-06,2.915,3.0,2.896,2.9375,1.879797,28200.0
2001-03-07,2.975,3.0,2.9585,2.9895,1.913074,4200.0
2001-03-08,2.9585,2.9585,2.9375,2.9375,1.879797,10200.0
2001-03-09,2.895,2.969,2.875,2.9375,1.879797,13800.0
2001-03-12,2.935,2.9375,2.802,2.802,1.793087,19800.0
2001-03-13,2.7815,2.7915,2.7815,2.7815,1.779967,18000.0
2001-03-14,2.78,2.7815,2.646,2.646,1.693257,36600.0
2001-03-15,2.645,2.719,2.6145,2.6145,1.673099,12600.0
2001-03-16,2.605,2.6875,2.594,2.6875,1.719814,52200.0
2001-03-19,2.71,2.875,2.6875,2.7915,1.786367,37200.0
2001-03-20,2.875,2.927,2.729,2.729,1.746371,49800.0
2001-03-21,2.665,2.75,2.6145,2.6145,1.673099,24600.0
2001-03-22,2.635,2.6355,2.4165,2.5,1.599827,100800.0
2001-03-23,2.5,2.5835,2.448,2.5835,1.653261,25800.0
2001-03-26,2.46,2.5,2.4585,2.4585,1.57327,42600.0
2001-03-27,2.4895,2.4895,2.4375,2.4375,1.559832,22800.0
2001-03-28,2.415,2.4165,2.375,2.375,1.519836,62400.0
2001-03-29,2.395,2.396,2.3125,2.3125,1.47984,88200.0
2001-03-30,2.3125,2.427,2.3125,2.427,1.553112,8400.0
2001-04-02,2.4165,2.521,2.4165,2.427,1.553112,52200.0
2001-04-03,2.385,2.4165,2.344,2.4165,1.546393,123000.0
2001-04-04,2.375,2.4375,2.3645,2.375,1.519836,51600.0
2001-04-05,2.396,2.5105,2.396,2.4585,1.57327,18000.0
2001-04-06,2.54,2.5415,2.4375,2.479,1.586389,25800.0
2001-04-09,2.5165,2.5165,2.5165,2.5165,1.610386,1800.0
2001-04-10,2.5165,2.7085,2.5165,2.7085,1.733253,42000.0
2001-04-11,2.68,2.68,2.68,2.68,1.715015,16800.0
2001-04-12,2.68,2.7085,2.68,2.6965,1.725574,16800.0
2001-04-16,2.6965,2.7035,2.6965,2.7035,1.730053,10800.0
2001-04-17,2.7285,2.7285,2.7215,2.7215,1.741572,1200.0
2001-04-18,2.7665,2.945,2.7665,2.8335,1.813244,24600.0
2001-04-19,2.8,2.8,2.7715,2.7835,1.781248,6000.0
2001-04-20,2.7585,2.7585,2.6415,2.6415,1.690378,22200.0
2001-04-23,2.74,2.7415,2.555,2.7,1.727814,43200.0
2001-04-24,2.7,2.855,2.7,2.7235,1.742851,22200.0
2001-04-25,2.7165,2.7165,2.7165,2.7165,1.738372,4200.0
2001-04-26,2.835,2.9985,2.8335,2.875,1.839802,30000.0
2001-04-27,2.915,2.9835,2.9085,2.9335,1.877237,8400.0
2001-04-30,2.8665,3.0585,2.8665,2.9335,1.877237,16800.0
2001-05-01,3.06,3.0665,3.0,3.0,1.919792,15000.0
2001-05-02,3.0,3.2415,3.0,3.2415,2.074335,21000.0
2001-05-03,3.225,3.2665,3.225,3.225,2.063778,5400.0
2001-05-04,3.2265,3.2265,3.2265,3.2265,2.064737,2400.0
2001-05-07,3.225,3.2835,3.2185,3.2185,2.059618,33600.0
2001-05-08,3.25,3.3085,3.25,3.3085,2.117211,7800.0
2001-05-09,3.2185,3.2185,3.15,3.1585,2.021221,34200.0
2001-05-10,3.315,3.3335,3.27,3.3335,2.133209,50400.0
2001-05-11,3.31,3.3115,3.245,3.2665,2.090334,7800.0
2001-05-14,3.26,3.3335,3.2585,3.2665,2.090334,8400.0
2001-05-15,3.2585,3.2585,3.2585,3.2585,2.085215,1800.0
2001-05-16,3.245,3.245,3.1915,3.2435,2.075616,13200.0
2001-05-17,3.32,3.3915,3.3185,3.3565,2.147928,27600.0
2001-05-18,3.42,3.5835,3.3535,3.5835,2.293192,61200.0
