Date,Open,High,Low,Close,Adj Close,Volume
2022-09-15,9.01,26.01,8.9,10.0,10.0,366100
2022-09-16,15.73,16.799999,7.9,8.3,8.3,6142900
2022-09-19,8.4,9.15,5.64,5.9,5.9,1139700
2022-09-20,5.7,14.0,5.66,11.0,11.0,28643900
2022-09-21,9.6,10.399,7.5,9.45,9.45,3518500
2022-09-22,9.78,12.5,9.014,11.54,11.54,9096000
2022-09-23,11.05,15.39,10.42,12.94,12.94,13147100
2022-09-26,12.31,13.7,11.12,12.75,12.75,2724100
2022-09-27,12.87,13.55,11.69,11.91,11.91,1118100
2022-09-28,11.2,11.75,9.912,10.84,10.84,757300
2022-09-29,10.61,10.84,9.43,9.62,9.62,222900
2022-09-30,9.61,10.29,9.15,9.224,9.224,250700
2022-10-03,9.0,9.51,8.65,8.83,8.83,194700
2022-10-04,8.8,9.81,8.8,9.39,9.39,248200
2022-10-05,9.1,9.6,8.75,8.91,8.91,237600
2022-10-06,9.06,9.25,8.009,8.06,8.06,420300
2022-10-07,8.21,8.45,6.76,6.99,6.99,352300
2022-10-10,7.13,7.9,6.81,7.49,7.49,318900
2022-10-11,7.69,9.1,7.2,7.2,7.2,678000
2022-10-12,7.39,7.4,6.62,7.12,7.12,134000
2022-10-13,7.15,7.37,6.7,6.95,6.95,139300
2022-10-14,7.01,7.47,6.61,6.65,6.65,161800
2022-10-17,6.59,6.689,6.0,6.08,6.08,273200
2022-10-18,6.0,6.32,6.0,6.21,6.21,98100
2022-10-19,6.36,11.52,6.279,11.01,11.01,16282500
2022-10-20,10.91,11.14,8.77,9.45,9.45,7915700
2022-10-21,9.5,12.49,8.7,11.11,11.11,9405300
2022-10-24,10.89,12.55,10.67,11.65,11.65,5012100
2022-10-25,11.38,12.24,10.56,11.2,11.2,1827400
2022-10-26,11.38,12.15,11.1,12.15,12.15,1456900
2022-10-27,11.71,12.218,10.77,10.97,10.97,1575900
2022-10-28,11.24,11.84,10.95,11.39,11.39,421900
2022-10-31,11.38,11.65,11.06,11.51,11.51,272300
2022-11-01,11.78,12.25,10.99,11.74,11.74,964400
2022-11-02,11.87,11.9,10.51,10.68,10.68,489500
2022-11-03,10.7,11.04,10.22,10.48,10.48,223900
