Date,Open,High,Low,Close,Adj Close,Volume
2005-11-18,9.02,9.17,8.12,9.0,4.664743,3272500
2005-11-21,9.08,9.4,8.83,9.3,4.820233,695900
2005-11-22,8.92,9.2,8.92,9.19,4.763221,329400
2005-11-23,9.21,9.28,9.01,9.22,4.778769,111800
2005-11-25,9.22,9.5,9.02,9.5,4.923895,39000
2005-11-28,10.05,10.05,9.21,9.78,5.069019,189800
2005-11-29,9.9,9.93,9.58,9.85,5.105302,109000
2005-11-30,9.95,9.95,9.8,9.83,5.094935,39300
2005-12-01,9.7,10.0,9.6,9.9,5.131217,150000
2005-12-02,10.14,10.14,9.65,9.94,5.151947,103800
2005-12-05,10.38,10.38,9.65,10.05,5.208962,107400
2005-12-06,10.19,10.24,9.83,9.96,5.162316,30400
2005-12-07,10.0,10.15,9.8,9.94,5.151947,26900
2005-12-08,9.66,10.05,9.66,9.99,5.177864,30300
2005-12-09,10.04,10.98,10.0,10.38,5.380004,45100
2005-12-12,10.5,10.5,10.1,10.4,5.390369,14500
2005-12-13,10.3,10.44,10.0,10.2,5.286705,10300
2005-12-14,10.34,10.34,10.04,10.3,5.338538,7600
2005-12-15,10.4,10.4,9.29,9.9,5.131217,244800
2005-12-16,9.51,10.45,9.51,10.45,5.416284,48100
2005-12-19,10.01,10.95,10.0,10.44,5.4111,50800
2005-12-20,10.6,10.6,9.67,10.0,5.183048,267900
2005-12-21,10.0,10.24,9.82,10.24,5.30744,10500
2005-12-22,10.2,10.2,9.7,9.8,5.079386,14500
2005-12-23,9.7,10.0,9.5,9.58,4.965358,21500
2005-12-27,9.65,9.7,9.41,9.55,4.94981,24800
2005-12-28,9.41,10.15,9.35,10.1,5.234879,42600
2005-12-29,10.27,10.27,10.0,10.13,5.250428,29900
2005-12-30,10.13,10.28,10.0,10.07,5.219327,19700
2006-01-03,10.08,10.14,9.7,9.8,5.079386,32000
2006-01-04,10.0,10.06,9.5,9.75,5.05347,57900
2006-01-05,9.87,10.12,9.65,9.91,5.136401,23500
2006-01-06,9.95,10.1,9.91,10.1,5.234879,13000
2006-01-09,10.12,10.39,10.01,10.16,5.265975,2500
2006-01-10,10.12,10.17,10.02,10.17,5.27116,24700
2006-01-11,10.1,10.15,10.0,10.02,5.193413,7000
2006-01-12,9.9,10.15,9.87,10.05,5.208962,12700
2006-01-13,10.2,10.2,10.0,10.14,5.255611,7000
2006-01-17,9.9,10.16,9.9,9.97,5.167499,13300
2006-01-18,9.89,10.13,9.89,10.0,5.183048,17200
2006-01-19,10.0,10.12,10.0,10.1,5.234879,13800
2006-01-20,10.1,10.1,9.9,10.0,5.183048,45200
2006-01-23,10.0,10.06,9.95,9.96,5.162316,55500
2006-01-24,10.0,10.09,9.91,10.09,5.229695,64600
2006-01-25,10.0,10.09,9.98,10.0,5.183048,25100
