Date,Open,High,Low,Close,Adj Close,Volume
2018-10-18,30.0,30.0,30.0,30.0,29.499184,267
2018-10-19,26.25,26.25,26.25,26.25,25.811789,233
2018-10-22,26.25,26.25,26.25,26.25,25.811789,0
2018-10-23,26.25,26.25,26.25,26.25,25.811789,0
2018-10-24,29.700001,29.700001,29.700001,29.700001,29.204195,100
2018-10-25,27.1,27.1,27.1,27.1,26.647596,300
2018-10-26,27.1,27.1,25.0,25.0,24.582655,2600
2018-10-29,24.379999,24.379999,24.379999,24.379999,23.973001,200
2018-10-30,22.799999,23.01,21.0,21.0,20.649427,4600
2018-10-31,21.0,23.0,20.25,21.389999,21.032915,6700
2018-11-01,21.6,21.6,19.0,19.51,19.184303,2400
2018-11-02,20.5,21.209999,20.5,20.92,20.570766,1100
2018-11-05,21.0,21.0,21.0,21.0,20.649427,100
2018-11-06,21.49,21.49,20.059999,20.34,20.000448,800
2018-11-07,20.540001,20.540001,16.75,17.200001,16.912868,5000
2018-11-08,16.950001,19.0,16.950001,19.0,18.682816,4400
2018-11-09,19.0,19.0,19.0,19.0,18.682816,100
2018-11-12,19.0,19.0,19.0,19.0,18.682816,0
2018-11-13,17.0,17.0,17.0,17.0,16.716208,700
2018-11-14,16.879999,16.879999,16.879999,16.879999,16.598207,300
2018-11-15,16.75,16.75,15.8,16.75,16.470379,3800
2018-11-16,16.75,16.75,16.75,16.75,16.470379,100
2018-11-19,16.0,16.0,15.63,16.0,15.732897,2300
2018-11-20,16.0,16.0,16.0,16.0,15.732897,0
2018-11-21,15.91,15.93,15.91,15.93,15.664067,600
2018-11-23,16.0,16.0,15.27,15.27,15.015086,1200
2018-11-26,15.1,15.14,11.94,12.9,12.684649,16900
2018-11-27,13.1,15.43,13.1,14.84,14.592264,13700
2018-11-28,15.01,16.719999,15.0,16.719999,16.44088,2400
2018-11-29,16.0,16.23,15.77,16.23,15.959057,2000
2018-11-30,16.0,16.0,15.99,16.0,15.732897,2100
2018-12-03,15.84,16.719999,15.84,16.0,15.732897,900
2018-12-04,15.25,15.25,15.1,15.1,14.847921,900
2018-12-06,15.1,15.27,13.5,14.0,13.766287,2600
2018-12-07,14.05,14.05,14.05,14.05,13.815452,200
2018-12-10,14.12,16.700001,14.12,14.46,14.218607,600
2018-12-11,19.0,19.950001,14.25,14.34,14.10061,29300
2018-12-12,14.44,14.5,13.0,13.04,12.822311,1900
2018-12-13,13.04,13.04,13.04,13.04,12.822311,100
2018-12-14,13.17,13.17,11.75,11.75,11.553848,1300
2018-12-17,11.83,11.83,10.65,10.65,10.47221,500
2018-12-18,10.88,12.0,10.66,12.0,11.799673,2100
2018-12-19,13.2,13.25,13.0,13.0,12.782979,552900
2018-12-20,13.02,13.08,13.0,13.0,12.782979,60700
2018-12-21,13.06,13.5,13.0,13.45,13.225467,28800
2018-12-24,13.75,13.75,13.0,13.15,12.930475,9500
2018-12-26,13.25,13.25,12.95,13.0,12.782979,8500
2018-12-27,13.0,13.24,13.0,13.13,12.91081,6100
2018-12-28,13.1,13.25,13.01,13.01,12.792813,9600
2018-12-31,13.25,13.5,13.01,13.01,12.792813,12100
2019-01-02,13.04,13.37,13.0,13.34,13.117304,3000
2019-01-03,13.13,13.5,13.0,13.0,12.782979,22900
2019-01-04,13.06,13.36,13.0,13.21,12.989474,11400
2019-01-07,13.04,13.35,13.04,13.1,12.88131,11000
2019-01-08,13.12,13.3,13.1,13.18,12.959976,39100
2019-01-09,13.5,14.09,13.14,13.97,13.736788,50000
2019-01-10,13.98,13.99,13.44,13.69,13.461461,23400
2019-01-11,13.6,13.99,13.55,13.99,13.756453,15100
2019-01-14,13.7,13.95,13.54,13.94,13.707288,8100
2019-01-15,13.98,13.98,13.25,13.5,13.274633,44800
2019-01-16,13.46,13.5,13.05,13.2,12.979641,30300
2019-01-17,13.17,13.25,12.98,13.25,13.028806,60900
2019-01-18,13.29,13.8,13.02,13.5,13.274633,162200
2019-01-22,13.14,13.77,13.03,13.58,13.353297,27700
2019-01-23,13.55,13.55,11.83,13.55,13.323798,78500
2019-01-24,13.6,13.6,13.22,13.4,13.176302,28400
2019-01-25,13.42,13.49,13.15,13.47,13.245134,13700
2019-01-28,13.18,13.43,13.18,13.25,13.028806,2600
2019-01-29,13.35,13.5,13.35,13.48,13.254967,34100
2019-01-30,13.55,14.4,13.55,13.99,13.756453,125100
2019-01-31,13.76,14.1,13.5,13.91,13.677788,31400
2019-02-01,14.01,14.1,13.91,13.95,13.71712,15700
2019-02-04,13.94,14.09,13.9,14.02,13.785953,24700
2019-02-05,14.13,14.25,14.0,14.0,13.766287,18800
2019-02-06,14.0,14.65,13.87,14.64,14.395603,64700
2019-02-07,14.5,14.7,14.21,14.44,14.198939,19100
2019-02-08,14.21,15.5,14.21,15.0,14.749592,44600
2019-02-11,15.0,16.25,14.66,15.45,15.19208,31900
2019-02-12,15.6,15.8,15.04,15.27,15.015086,28900
2019-02-13,15.15,15.98,14.7,15.39,15.133081,46800
2019-02-14,15.4,15.75,15.05,15.5,15.241245,14400
2019-02-15,15.3,15.85,15.18,15.55,15.290411,41300
2019-02-19,15.65,15.99,15.35,15.69,15.428073,48500
2019-02-20,15.81,15.99,15.01,15.38,15.123248,56500
2019-02-21,15.37,15.98,15.3,15.98,15.713231,24900
2019-02-22,16.0,16.5,15.31,15.99,15.723065,38900
2019-02-25,15.83,15.83,15.0,15.4,15.142914,38500
2019-02-26,15.35,15.75,15.2,15.75,15.487072,14900
2019-02-27,15.74,15.75,15.3,15.7,15.437905,22200
2019-02-28,15.9,15.9,15.31,15.75,15.487072,11700
2019-03-01,15.36,15.84,15.27,15.61,15.349408,35800
2019-03-04,15.27,15.48,15.21,15.45,15.19208,27900
2019-03-05,15.53,15.53,15.01,15.17,14.916754,26400
2019-03-06,15.13,15.3,14.7,14.85,14.602098,21500
2019-03-07,14.86,14.99,14.75,14.75,14.503766,17300
2019-03-08,14.54,15.0,14.3,14.75,14.503766,37600
2019-03-11,14.96,14.96,13.5,14.05,13.815452,59500
2019-03-12,14.09,14.2,13.95,13.95,13.71712,14100
2019-03-13,13.95,14.4,13.95,14.28,14.041612,32500
2019-03-14,14.28,14.7,14.15,14.39,14.149776,12900
2019-03-15,14.25,14.35,13.54,13.99,13.756453,73200
2019-03-18,14.18,14.9,14.17,14.7,14.4546,18300
2019-03-19,14.6,14.6,14.31,14.5,14.25794,11800
2019-03-20,14.68,14.68,14.15,14.48,14.238273,11500
2019-03-21,14.21,14.39,13.9,14.39,14.149776,37000
2019-03-22,14.37,14.37,13.8,14.18,13.943282,12100
2019-03-25,14.17,14.17,13.8,14.0,13.766287,10400
2019-03-26,14.18,14.18,13.7,13.72,13.49096,21800
2019-03-27,13.85,14.0,13.6,13.86,13.628622,21600
2019-03-28,14.01,14.19,13.72,13.85,13.618792,9800
2019-03-29,13.97,14.06,13.85,13.93,13.697454,18500
2019-04-01,13.96,14.85,13.73,14.73,14.484098,14900
2019-04-02,14.75,15.45,14.36,15.45,15.19208,12700
2019-04-03,15.44,15.61,14.25,14.91,14.661094,12400
2019-04-04,14.92,15.98,14.92,15.5,15.241245,11500
2019-04-05,15.5,16.110001,15.06,16.0,15.732897,12200
2019-04-08,15.6,16.0,15.6,15.95,15.683733,10400
2019-04-09,15.09,15.87,15.09,15.87,15.60507,16100
2019-04-10,15.61,15.85,15.06,15.85,15.585403,10500
2019-04-11,15.05,15.75,14.77,15.68,15.418241,30600
2019-04-12,15.65,15.9,15.06,15.9,15.634567,18900
2019-04-15,15.9,16.299999,15.45,16.299999,16.027889,23000
2019-04-16,16.5,16.5,15.82,16.09,15.821397,25700
2019-04-17,16.02,16.5,15.75,15.75,15.487072,19400
2019-04-18,15.8,15.99,15.35,15.98,15.713231,22300
2019-04-22,15.71,16.4,15.7,16.360001,16.086889,9100
2019-04-23,16.32,16.32,15.55,15.7,15.437905,20500
2019-04-24,15.84,16.35,15.01,15.35,15.09375,35100
2019-04-25,15.28,15.45,15.08,15.3,15.044583,14000
2019-04-26,16.299999,16.299999,15.27,15.8,15.536238,26000
2019-04-29,15.92,16.469999,15.6,16.4,16.126223,11900
2019-04-30,16.4,17.65,16.34,17.51,17.217691,40200
2019-05-01,17.389999,17.950001,16.58,17.950001,17.650347,114300
