Date,Open,High,Low,Close,Adj Close,Volume
2022-02-11,9.8,9.85,9.8,9.85,9.85,20000
2022-02-14,9.85,9.89,9.84,9.89,9.89,108100
2022-02-15,9.9,9.9,9.88,9.9,9.9,1766000
2022-02-16,9.89,9.9,9.89,9.89,9.89,223100
2022-02-17,9.88,9.9,9.85,9.85,9.85,25500
2022-02-18,9.89,9.9,9.89,9.9,9.9,21000
2022-02-22,9.9,9.9,9.9,9.9,9.9,13900
2022-02-23,9.89,9.9,9.88,9.88,9.88,106100
2022-02-24,9.9,9.91,9.895,9.91,9.91,16100
2022-02-25,9.9,9.9,9.875,9.875,9.875,7800
2022-02-28,9.91,9.91,9.91,9.91,9.91,1000
2022-03-01,9.9,9.9,9.85,9.9,9.9,7300
2022-03-02,9.89,9.91,9.85,9.89,9.89,141900
2022-03-03,9.92,9.92,9.89,9.9,9.9,82900
2022-03-04,9.92,9.94,9.9,9.94,9.94,84000
2022-03-07,9.94,9.94,9.94,9.94,9.94,0
2022-03-08,9.94,9.94,9.94,9.94,9.94,0
2022-03-09,9.94,9.94,9.92,9.92,9.92,301600
2022-03-10,9.92,9.92,9.92,9.92,9.92,79500
2022-03-11,9.92,9.92,9.92,9.92,9.92,251200
2022-03-14,9.92,9.92,9.92,9.92,9.92,0
2022-03-15,9.92,9.92,9.87,9.89,9.89,14500
2022-03-16,9.89,9.89,9.89,9.89,9.89,0
2022-03-17,9.9,9.92,9.9,9.9,9.9,73800
2022-03-18,9.9,9.9,9.9,9.9,9.9,0
2022-03-21,9.93,9.94,9.93,9.94,9.94,5000
2022-03-22,9.94,9.94,9.94,9.94,9.94,0
2022-03-23,9.94,9.94,9.94,9.94,9.94,0
2022-03-24,9.93,9.93,9.91,9.91,9.91,55700
2022-03-25,9.92,9.94,9.92,9.94,9.94,20300
2022-03-28,9.94,9.94,9.94,9.94,9.94,0
2022-03-29,9.96,9.96,9.96,9.96,9.96,5000
2022-03-30,9.96,9.96,9.96,9.96,9.96,0
2022-03-31,9.94,9.94,9.94,9.94,9.94,3800
2022-04-01,9.94,9.94,9.94,9.94,9.94,0
2022-04-04,9.94,9.94,9.94,9.94,9.94,0
2022-04-05,9.94,9.94,9.94,9.94,9.94,0
2022-04-06,9.94,9.94,9.94,9.94,9.94,0
2022-04-07,9.95,9.95,9.95,9.95,9.95,4800
2022-04-08,9.95,9.95,9.95,9.95,9.95,0
2022-04-11,9.95,9.95,9.94,9.95,9.95,51500
2022-04-12,9.96,9.96,9.96,9.96,9.96,800
2022-04-13,9.96,9.96,9.96,9.96,9.96,0
2022-04-14,9.96,9.96,9.96,9.96,9.96,0
2022-04-18,9.96,9.97,9.96,9.97,9.97,15200
2022-04-19,9.98,9.98,9.97,9.97,9.97,16200
2022-04-20,9.97,9.97,9.97,9.97,9.97,3600
2022-04-21,9.97,9.97,9.97,9.97,9.97,0
2022-04-22,9.97,9.97,9.97,9.97,9.97,0
2022-04-25,9.97,9.97,9.97,9.97,9.97,203600
2022-04-26,9.98,9.995,9.921,9.99,9.99,424500
2022-04-27,9.97,9.99,9.97,9.97,9.97,223000
2022-04-28,9.97,9.97,9.96,9.97,9.97,84600
2022-04-29,9.97,9.99,9.96,9.99,9.99,94000
2022-05-02,9.99,9.99,9.98,9.98,9.98,6100
2022-05-03,9.98,9.98,9.98,9.98,9.98,18200
2022-05-04,9.98,9.98,9.97,9.98,9.98,5500
2022-05-05,9.98,9.98,9.98,9.98,9.98,0
2022-05-06,9.98,9.98,9.98,9.98,9.98,0
2022-05-09,9.98,9.98,9.98,9.98,9.98,0
2022-05-10,9.98,9.98,9.98,9.98,9.98,0
2022-05-11,9.98,9.98,9.98,9.98,9.98,0
2022-05-12,9.9,9.9,9.9,9.9,9.9,1900
2022-05-13,9.92,9.92,9.92,9.92,9.92,2100
2022-05-16,9.92,9.92,9.92,9.92,9.92,0
2022-05-17,9.92,9.92,9.92,9.92,9.92,0
2022-05-18,9.92,9.92,9.92,9.92,9.92,0
2022-05-19,9.92,9.92,9.92,9.92,9.92,0
2022-05-20,9.92,9.92,9.92,9.92,9.92,0
2022-05-23,9.93,9.95,9.93,9.95,9.95,8700
2022-05-24,9.95,9.95,9.95,9.95,9.95,0
2022-05-25,9.95,9.97,9.94,9.97,9.97,110500
2022-05-26,9.95,9.97,9.95,9.96,9.96,6300
2022-05-27,9.96,9.98,9.96,9.98,9.98,35200
2022-05-31,9.98,9.98,9.98,9.98,9.98,0
2022-06-01,9.98,9.98,9.98,9.98,9.98,0
2022-06-02,9.98,9.98,9.98,9.98,9.98,0
2022-06-03,9.98,9.98,9.98,9.98,9.98,0
2022-06-06,9.98,9.98,9.98,9.98,9.98,0
2022-06-07,9.98,9.98,9.98,9.98,9.98,300
2022-06-08,9.98,9.98,9.98,9.98,9.98,300
