Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,9.62,9.62,9.62,9.62,9.62,600000
2021-10-07,9.62,9.62,9.62,9.62,9.62,0
2021-10-08,9.62,9.62,9.62,9.62,9.62,0
2021-10-11,9.62,9.62,9.62,9.62,9.62,0
2021-10-12,9.8,9.8,9.705,9.705,9.705,1700
2021-10-13,9.66,9.66,9.66,9.66,9.66,500
2021-10-14,10.76,10.76,9.7,9.74,9.74,6000
2021-10-15,9.74,9.74,9.74,9.74,9.74,0
2021-10-18,9.8,9.8,9.8,9.8,9.8,200
2021-10-19,9.8,9.8,9.8,9.8,9.8,0
2021-10-20,9.8,9.8,9.8,9.8,9.8,100
2021-10-21,9.71,9.71,9.71,9.71,9.71,220000
2021-10-22,9.71,9.71,9.71,9.71,9.71,0
2021-10-25,9.76,9.76,9.76,9.76,9.76,300
2021-10-26,9.75,9.752,9.75,9.75,9.75,200000
2021-10-27,9.75,9.75,9.75,9.75,9.75,0
2021-10-28,9.75,9.75,9.75,9.75,9.75,0
2021-10-29,9.72,9.72,9.72,9.72,9.72,300
2021-11-01,9.685,9.69,9.67,9.68,9.68,88500
2021-11-02,9.68,9.68,9.68,9.68,9.68,0
2021-11-03,9.7,9.7,9.68,9.68,9.68,2200
2021-11-04,9.68,9.68,9.68,9.68,9.68,0
2021-11-05,9.68,9.68,9.68,9.68,9.68,0
2021-11-08,9.67,9.7,9.67,9.7,9.7,7800
2021-11-09,9.695,9.695,9.695,9.695,9.695,100
2021-11-10,9.67,9.67,9.67,9.67,9.67,300
2021-11-11,9.67,9.67,9.67,9.67,9.67,0
2021-11-12,9.68,9.73,9.675,9.7,9.7,7700
2021-11-15,9.7,9.7,9.7,9.7,9.7,0
2021-11-16,9.695,9.75,9.695,9.75,9.75,6400
2021-11-17,9.7,9.75,9.7,9.75,9.75,7000
2021-11-18,9.75,9.75,9.75,9.75,9.75,0
2021-11-19,9.75,9.75,9.75,9.75,9.75,0
2021-11-22,9.75,9.75,9.75,9.75,9.75,0
2021-11-23,9.73,9.75,9.715,9.74,9.74,6700
2021-11-24,9.74,9.74,9.74,9.74,9.74,0
2021-11-26,9.74,9.74,9.74,9.74,9.74,0
2021-11-29,9.7,9.7,9.7,9.7,9.7,300
2021-11-30,9.7,9.84,9.7,9.84,9.84,2200
