Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,150.0,165.0,150.0,150.0,150.0,2737027
2017-06-30,149.699997,151.5,137.550003,140.100006,140.100006,827007
2017-07-03,142.199997,145.050003,133.199997,145.050003,145.050003,284700
2017-07-05,144.0,144.449997,131.699997,132.600006,132.600006,340253
2017-07-06,132.449997,132.600006,119.25,120.900002,120.900002,836460
2017-07-07,121.650002,123.599998,110.400002,115.949997,115.949997,546633
2017-07-10,117.150002,124.800003,114.300003,122.099998,122.099998,363347
2017-07-11,114.0,118.199997,106.199997,107.099998,107.099998,438260
2017-07-12,106.949997,114.599998,106.5,113.400002,113.400002,234360
2017-07-13,110.400002,117.0,110.324997,111.0,111.0,132793
2017-07-14,109.650002,112.349998,108.0,110.400002,110.400002,105013
2017-07-17,103.199997,103.5,96.75,98.849998,98.849998,555013
2017-07-18,98.550003,99.300003,93.449997,95.400002,95.400002,339553
2017-07-19,95.849998,103.199997,95.25,99.75,99.75,267687
2017-07-20,99.0,100.949997,96.300003,97.800003,97.800003,100447
2017-07-21,97.349998,100.199997,96.75,98.25,98.25,73860
2017-07-24,108.300003,117.974998,105.0,111.150002,111.150002,1071407
2017-07-25,117.150002,117.599998,110.849998,112.5,112.5,308760
2017-07-26,111.315002,111.599998,101.25,101.25,101.25,302193
2017-07-27,103.5,104.25,98.550003,100.800003,100.800003,140460
2017-07-28,103.199997,103.5,99.75,101.099998,101.099998,129220
2017-07-31,103.349998,103.5,98.849998,99.150002,99.150002,93093
2017-08-01,100.050003,100.5,94.5,95.550003,95.550003,141147
2017-08-02,95.550003,95.550003,90.75,93.0,93.0,255527
2017-08-03,93.75,96.300003,90.75,93.300003,93.300003,185427
2017-08-04,94.050003,95.25,85.5,87.449997,87.449997,506180
2017-08-07,88.5,89.084999,87.0,87.75,87.75,242960
2017-08-08,87.0,89.25,85.949997,87.150002,87.150002,155313
2017-08-09,85.800003,98.25,82.650002,93.599998,93.599998,326873
2017-08-10,80.699997,85.5,75.449997,77.099998,77.099998,1107767
2017-08-11,76.199997,78.0,75.0,76.800003,76.800003,219873
2017-08-14,76.199997,81.75,75.449997,80.400002,80.400002,214807
2017-08-15,81.75,87.300003,79.650002,84.75,84.75,213327
2017-08-16,85.199997,85.800003,82.050003,82.5,82.5,102887
2017-08-17,81.900002,85.349998,79.949997,80.849998,80.849998,171013
2017-08-18,79.5,80.400002,76.800003,79.650002,79.650002,101373
2017-08-21,79.349998,79.410004,76.199997,78.599998,78.599998,113353
2017-08-22,77.099998,79.650002,76.650002,78.75,78.75,211100
2017-08-23,78.0,83.25,77.400002,82.050003,82.050003,117420
2017-08-24,81.599998,84.75,81.300003,82.199997,82.199997,112187
2017-08-25,81.75,82.949997,79.949997,80.849998,80.849998,78680
2017-08-28,80.25,81.824997,77.760002,80.699997,80.699997,73333
2017-08-29,79.5,80.699997,77.400002,77.550003,77.550003,106293
2017-08-30,78.0,80.25,77.699997,79.949997,79.949997,60467
2017-08-31,81.449997,82.050003,78.300003,78.599998,78.599998,72767
2017-09-01,78.300003,78.870003,77.400002,78.300003,78.300003,66713
