Date,Open,High,Low,Close,Adj Close,Volume
2009-12-29,3.89,3.94,3.86,3.87,2.446481,9200
2009-12-30,3.9,3.9,3.8,3.84,2.427516,7400
2009-12-31,3.87,3.88,3.84,3.86,2.440159,5200
2010-01-04,3.96,3.97,3.96,3.97,2.509697,12000
2010-01-05,4.01,4.07,3.97,4.02,2.541306,7400
2010-01-06,4.07,4.07,3.97,3.97,2.509697,5500
2010-01-07,3.93,4.0,3.92,3.96,2.503376,6800
2010-01-08,4.03,4.05,4.01,4.03,2.547627,16200
2010-01-11,4.13,4.27,4.13,4.2,2.655096,39500
2010-01-12,4.13,4.2,4.07,4.13,2.610844,56700
2010-01-13,4.16,4.23,4.16,4.18,2.642452,28000
2010-01-14,4.29,4.31,4.29,4.31,2.724633,2000
2010-01-15,4.37,4.43,4.35,4.43,2.800493,25300
2010-01-19,4.39,4.4,4.28,4.36,2.756241,74100
2010-01-20,4.27,4.27,4.2,4.2,2.655096,6600
2010-01-21,4.28,4.28,4.03,4.14,2.617165,16100
2010-01-22,4.1,4.1,4.02,4.04,2.553949,6000
2010-01-25,4.12,4.12,4.02,4.03,2.547627,9600
2010-01-26,3.95,3.97,3.9,3.97,2.509697,7000
2010-01-27,3.91,3.97,3.9,3.9,2.465446,9500
2010-01-28,3.91,3.91,3.71,3.79,2.395908,13700
2010-01-29,3.91,3.96,3.83,3.83,2.421194,14900
2010-02-01,3.88,3.99,3.88,3.97,2.509697,11700
2010-02-02,3.99,4.1,3.99,4.1,2.591879,5700
2010-02-03,4.16,4.16,4.09,4.1,2.591879,12400
2010-02-04,4.05,4.07,4.01,4.05,2.560271,23500
2010-02-05,4.04,4.08,4.0,4.04,2.553949,23800
2010-02-08,4.06,4.07,4.04,4.07,2.572914,1600
2010-02-09,4.04,4.04,3.96,3.96,2.503376,14800
2010-02-10,3.95,3.95,3.91,3.92,2.478089,6300
2010-02-11,3.93,3.95,3.92,3.95,2.497054,8300
2010-02-12,3.91,3.95,3.89,3.93,2.484411,12200
2010-02-16,4.06,4.11,4.06,4.11,2.598201,14100
2010-02-17,4.04,4.08,4.04,4.06,2.566592,8800
2010-02-18,4.05,4.05,3.98,3.98,2.516019,3600
