Date,Open,High,Low,Close,Adj Close,Volume
2005-02-04,13.05,14.6,13.0,13.75,11.811258,7476300
2005-02-07,13.85,14.0,13.63,13.8,11.854208,323400
2005-02-08,13.75,14.2,13.75,13.9,11.940106,90800
2005-02-09,13.9,13.93,13.11,13.11,11.261497,368300
2005-02-10,13.12,13.21,13.0,13.0,11.167006,554900
2005-02-11,13.03,13.3,13.02,13.3,11.424707,273300
2005-02-14,13.38,13.55,13.38,13.52,11.613688,63900
2005-02-15,13.52,13.6,13.2,13.26,11.390349,105800
2005-02-16,13.24,13.24,13.0,13.2,11.338807,73000
2005-02-17,13.15,13.34,13.05,13.15,11.295858,56800
2005-02-18,13.15,13.29,13.0,13.1,11.252908,107100
2005-02-22,13.2,13.42,13.2,13.35,11.467657,48700
2005-02-23,13.25,13.68,13.2,13.65,11.725357,73700
2005-02-24,13.6,14.05,13.6,14.05,12.068958,41200
2005-02-25,14.1,14.3,14.02,14.3,12.283708,126800
2005-02-28,14.28,14.45,14.05,14.45,12.412557,56700
2005-03-01,14.5,14.7,14.3,14.7,12.627309,45200
2005-03-02,14.6,14.6,14.35,14.38,12.352429,37600
2005-03-03,14.45,14.45,14.08,14.15,12.154858,74900
2005-03-04,14.18,14.83,14.15,14.4,12.369607,156400
2005-03-07,14.25,14.6,14.22,14.6,12.541408,91300
2005-03-08,14.55,14.75,14.35,14.39,12.361018,37300
2005-03-09,14.35,14.35,14.05,14.1,12.11191,25400
2005-03-10,14.1,14.25,13.85,13.95,11.983057,57800
2005-03-11,13.9,13.96,13.7,13.82,11.871387,57900
2005-03-14,13.92,13.93,13.5,13.82,11.871387,40800
2005-03-15,13.8,14.11,13.66,14.11,12.120497,69000
2005-03-16,14.11,14.25,13.93,14.25,12.240757,54000
2005-03-17,14.25,14.37,14.25,14.35,12.326658,23800
2005-03-18,14.35,15.0,14.35,15.0,12.88501,405200
2005-03-21,15.0,15.0,14.75,14.95,12.842058,59900
2005-03-22,14.9,15.0,14.75,14.76,12.678847,189400
2005-03-23,14.75,14.97,14.74,14.95,12.842058,135600
2005-03-24,14.98,15.64,14.98,15.23,13.08258,271600
2005-03-28,15.25,15.31,15.1,15.22,13.073989,111700
2005-03-29,15.15,15.39,15.1,15.2,13.056808,173600
2005-03-30,15.21,15.35,15.15,15.27,13.116938,111200
2005-03-31,15.3,15.39,14.34,14.35,12.326658,824600
2005-04-01,14.65,14.85,13.85,14.75,12.670259,439400
2005-04-04,14.75,14.85,14.72,14.76,12.678847,57500
2005-04-05,14.76,14.88,14.61,14.88,12.781927,42200
2005-04-06,14.95,15.4,14.91,15.12,12.988091,353700
2005-04-07,15.08,15.25,15.0,15.15,13.01386,13300
2005-04-08,15.1,15.2,14.85,15.15,13.01386,20100
2005-04-11,15.14,15.18,14.95,15.01,12.893599,44600
2005-04-12,15.01,15.05,14.9,15.0,12.88501,342200
2005-04-13,15.0,15.0,14.63,14.73,12.653076,54200
2005-04-14,14.59,14.59,14.12,14.43,12.395378,61000
2005-04-15,14.43,14.55,14.15,14.34,12.318069,28800
2005-04-18,14.3,14.59,14.26,14.58,12.524228,100600
2005-04-19,14.65,15.15,14.65,14.9,12.799107,79900
2005-04-20,14.9,15.18,14.79,14.94,12.833467,45600
2005-04-21,14.97,15.45,14.9,15.35,13.185658,62400
2005-04-22,15.3,15.31,13.77,14.25,12.240757,79300
2005-04-25,14.3,14.93,14.3,14.9,12.799107,43000
