Date,Open,High,Low,Close,Adj Close,Volume
2012-11-28,19.75,20.0,19.75,20.0,8.186627,1077300
2012-11-29,19.950001,20.0,19.91,20.0,8.186627,219900
2012-11-30,20.0,20.01,19.950001,20.0,8.186627,106000
2012-12-03,20.01,20.01,20.0,20.0,8.186627,24700
2012-12-04,20.0,20.01,19.950001,20.0,8.186627,135900
2012-12-05,19.98,20.0,19.98,20.0,8.186627,97700
2012-12-06,20.35,20.4,20.0,20.0,8.186627,23800
2012-12-07,20.0,20.1,20.0,20.030001,8.198907,33400
2012-12-10,20.0,20.25,20.0,20.190001,8.264406,62200
2012-12-11,20.0,20.15,20.0,20.059999,8.211192,15300
2012-12-12,20.1,20.1,20.030001,20.09,8.223469,11600
2012-12-13,20.030001,20.1,20.0,20.0,8.186627,49100
2012-12-14,20.0,20.030001,19.950001,20.0,8.186627,40100
2012-12-17,20.1,20.1,20.049999,20.1,8.227568,4800
2012-12-18,20.290001,20.290001,19.530001,20.0,8.186627,9800
2012-12-19,20.0,20.01,19.959999,20.0,8.186627,28200
2012-12-20,20.15,20.15,20.0,20.01,8.190725,14000
2012-12-21,20.0,20.01,20.0,20.0,8.186627,38900
2012-12-24,20.040001,20.040001,20.0,20.0,8.186627,1300
2012-12-26,20.02,20.049999,20.02,20.049999,8.207098,3300
2012-12-27,20.049999,20.049999,19.950001,20.0,8.186627,21400
2012-12-28,20.01,20.07,20.01,20.01,8.190725,10900
2012-12-31,20.0,20.120001,20.0,20.01,8.190725,10100
2013-01-02,20.0,20.07,20.0,20.01,8.190725,28500
2013-01-03,20.01,20.08,20.0,20.01,8.190725,14000
2013-01-04,20.0,20.0,20.0,20.0,8.186627,17800
2013-01-07,20.0,20.290001,19.959999,20.16,8.252123,53300
2013-01-08,19.9,19.9,19.780001,19.809999,8.108856,255000
2013-01-09,19.799999,20.02,19.799999,20.02,8.194817,86200
2013-01-10,20.0,20.049999,19.85,19.950001,8.166165,143800
2013-01-11,19.9,19.99,19.700001,19.99,8.182539,68000
2013-01-14,19.9,19.959999,19.68,19.75,8.084298,39900
2013-01-15,19.889999,19.889999,19.4,19.42,7.949217,80300
2013-01-16,19.74,19.75,19.24,19.34,7.916473,88600
2013-01-17,19.34,19.59,19.34,19.4,7.941034,19700
2013-01-18,19.42,19.6,19.42,19.6,8.022893,19800
2013-01-22,19.65,19.65,19.299999,19.57,8.01062,51900
2013-01-23,19.6,19.6,19.370001,19.4,7.988794,4000
2013-01-24,19.35,19.5,19.33,19.35,7.968204,63000
2013-01-25,19.34,19.52,19.15,19.200001,7.906437,100000
2013-01-28,19.459999,19.459999,19.08,19.15,7.88584,107900
2013-01-29,19.120001,19.27,19.09,19.25,7.927026,81600
2013-01-30,19.23,19.6,19.18,19.41,7.992915,51300
2013-01-31,19.5,19.5,19.1,19.219999,7.91467,98300
2013-02-01,19.290001,19.309999,19.110001,19.299999,7.947614,24300
2013-02-04,19.27,19.27,19.08,19.219999,7.91467,53300
2013-02-05,19.25,19.25,19.110001,19.200001,7.906437,48500
2013-02-06,19.17,19.24,19.139999,19.23,7.918787,55600
2013-02-07,19.139999,19.25,19.110001,19.25,7.927026,55700
2013-02-08,19.25,19.309999,19.120001,19.209999,7.910553,58200
2013-02-11,19.25,19.27,19.120001,19.27,7.935261,21400
2013-02-12,19.209999,19.41,19.209999,19.32,7.955849,21100
2013-02-13,19.309999,19.49,19.200001,19.41,7.992915,30400
2013-02-14,19.389999,19.4,19.280001,19.389999,8.033092,6800
2013-02-15,19.43,19.450001,19.27,19.309999,7.999949,18000
2013-02-19,19.43,20.0,19.42,19.48,8.070384,43400
2013-02-20,19.700001,19.73,19.48,19.58,8.111809,99200
2013-02-21,19.68,19.82,19.51,19.709999,8.165668,60900
2013-02-22,19.780001,19.85,19.48,19.57,8.107672,61800
2013-02-25,19.58,19.65,19.450001,19.5,8.078669,99900
2013-02-26,19.52,19.549999,19.42,19.450001,8.057956,31600
2013-02-27,19.48,19.610001,19.459999,19.530001,8.0911,29200
2013-02-28,19.75,19.75,19.540001,19.67,8.149096,32100
2013-03-01,19.68,19.84,19.610001,19.799999,8.202963,34800
2013-03-04,19.76,19.82,19.620001,19.639999,8.136668,35200
2013-03-05,19.690001,19.790001,19.6,19.66,8.144956,42100
2013-03-06,19.639999,19.700001,19.540001,19.6,8.120098,28500
2013-03-07,19.6,19.68,19.5,19.610001,8.124239,38300
2013-03-08,19.59,19.75,19.51,19.559999,8.103525,50800
2013-03-11,19.68,19.68,19.52,19.59,8.115959,30100
2013-03-12,19.51,19.59,19.469999,19.5,8.078669,68600
2013-03-13,19.58,19.58,19.41,19.459999,8.062098,121400
2013-03-14,19.51,19.799999,19.51,19.73,8.173956,37200
2013-03-15,19.73,19.83,19.43,19.48,8.070384,35600
2013-03-18,19.48,19.68,19.450001,19.639999,8.136668,47400
2013-03-19,19.58,19.610001,19.51,19.530001,8.139589,5200
2013-03-20,19.5,19.66,19.41,19.549999,8.147925,54200
2013-03-21,19.450001,19.58,19.42,19.57,8.156261,50000
2013-03-22,19.68,19.68,19.450001,19.5,8.127085,60800
2013-03-25,19.5,19.639999,19.4,19.5,8.127085,83500
2013-03-26,19.450001,19.59,19.440001,19.58,8.16042,90700
2013-03-27,19.6,19.82,19.5,19.719999,8.218777,107200
2013-03-28,19.780001,20.0,19.620001,20.0,8.335473,342100
2013-04-01,19.98,20.209999,19.870001,19.98,8.327133,51500
2013-04-02,19.969999,20.01,19.870001,20.01,8.33964,54600
2013-04-03,19.940001,20.0,19.85,19.98,8.327133,47600
2013-04-04,19.950001,19.99,19.790001,19.99,8.331305,72200
2013-04-05,19.9,19.99,19.73,19.99,8.331305,39100
2013-04-08,19.969999,20.0,19.75,20.0,8.335473,111200
2013-04-09,19.959999,19.959999,19.73,19.83,8.264617,54600
2013-04-10,19.799999,19.98,19.67,19.82,8.260454,122100
2013-04-11,19.889999,19.93,19.719999,19.84,8.268787,65000
