Date,Open,High,Low,Close,Adj Close,Volume
2009-09-24,19.049999,19.200001,18.5,18.5,4.501169,0
2009-09-25,18.66,18.83,18.26,18.83,4.581459,1012100
2009-09-28,18.84,18.84,18.370001,18.5,4.501169,339100
2009-09-29,18.66,18.709999,18.15,18.48,4.496301,500000
2009-09-30,18.360001,18.450001,18.25,18.299999,4.452506,428500
2009-10-01,18.200001,18.290001,18.120001,18.15,4.41601,726800
2009-10-02,18.23,18.41,18.15,18.299999,4.452506,238900
2009-10-05,18.4,18.440001,18.34,18.41,4.479269,131500
2009-10-06,18.440001,18.530001,18.299999,18.450001,4.489004,135900
2009-10-07,18.35,18.35,18.200001,18.25,4.440341,153900
2009-10-08,18.25,18.4,18.110001,18.379999,4.471971,215500
2009-10-09,18.360001,18.360001,18.209999,18.219999,4.433042,97200
2009-10-12,18.280001,18.280001,17.559999,18.110001,4.406279,310400
2009-10-13,18.1,18.5,18.09,18.450001,4.489004,422100
2009-10-14,18.57,18.57,18.219999,18.35,4.464671,109500
2009-10-15,18.34,18.549999,18.309999,18.5,4.501169,212700
2009-10-16,18.34,18.799999,18.33,18.57,4.518199,233900
2009-10-19,18.5,18.5,18.34,18.440001,4.48657,85400
2009-10-20,18.32,18.440001,18.25,18.4,4.476838,121400
2009-10-21,18.32,18.559999,18.25,18.32,4.457373,78900
2009-10-22,18.280001,18.49,18.129999,18.450001,4.489004,82200
2009-10-23,18.4,18.450001,18.219999,18.34,4.462239,67100
2009-10-26,18.200001,18.299999,18.16,18.23,4.435474,113100
2009-10-27,18.15,18.309999,18.120001,18.16,4.418442,127500
2009-10-28,18.15,18.16,18.01,18.030001,4.386813,113400
2009-10-29,18.07,18.120001,17.75,18.08,4.398978,175200
2009-10-30,17.91,18.02,17.9,17.91,4.357617,79300
2009-11-02,17.92,17.959999,17.66,17.780001,4.325987,126400
2009-11-03,17.51,18.07,17.51,18.049999,4.39168,176900
2009-11-04,18.4,18.42,17.99,18.25,4.440341,176300
2009-11-05,18.24,18.309999,18.200001,18.209999,4.430609,89600
2009-11-06,18.01,18.1,17.01,18.1,4.403846,82500
2009-11-09,17.950001,18.200001,17.950001,18.09,4.401412,60600
2009-11-10,18.02,18.02,17.620001,17.860001,4.345453,81200
2009-11-11,17.860001,18.01,17.709999,17.98,4.374649,78900
2009-11-12,17.870001,17.889999,17.700001,17.74,4.316255,59700
2009-11-13,17.76,17.84,17.75,17.77,4.323552,42000
2009-11-16,17.77,17.82,17.719999,17.75,4.318688,70300
2009-11-17,17.75,17.84,17.629999,17.700001,4.306523,66300
2009-11-18,17.799999,17.82,17.549999,17.620001,4.287059,73900
2009-11-19,17.700001,17.75,17.309999,17.620001,4.287059,84500
2009-11-20,17.67,17.67,17.42,17.459999,4.248129,98300
2009-11-23,17.530001,17.719999,17.379999,17.42,4.238396,116300
2009-11-24,17.440001,17.709999,17.440001,17.52,4.262727,137900
2009-11-25,17.6,17.6,17.35,17.4,4.233531,107300
2009-11-27,17.049999,17.35,17.049999,17.280001,4.204333,33400
2009-11-30,17.290001,17.34,17.120001,17.280001,4.204333,82700
2009-12-01,17.23,17.49,17.200001,17.4,4.233531,178000
2009-12-02,17.299999,17.49,17.25,17.43,4.24083,47200
2009-12-03,17.450001,17.52,17.360001,17.469999,4.250563,65400
2009-12-04,17.48,17.67,17.43,17.59,4.279758,87400
2009-12-07,17.59,17.66,17.35,17.66,4.296791,51000
2009-12-08,17.65,17.67,17.459999,17.620001,4.287059,67900
2009-12-09,17.870001,17.870001,17.549999,17.709999,4.308956,65500
2009-12-10,17.809999,17.879999,17.719999,17.809999,4.333285,101000
2009-12-11,17.77,17.93,17.68,17.76,4.321121,149500
2009-12-14,17.879999,17.950001,17.77,17.91,4.357617,80900
2009-12-15,17.98,17.98,17.780001,17.93,4.362483,143900
2009-12-16,17.93,18.02,17.879999,17.93,4.362483,171000
2009-12-17,17.75,18.0,17.75,17.92,4.360051,149800
2009-12-18,17.879999,18.299999,17.879999,18.0,4.379515,1370600
2009-12-21,17.950001,18.0,17.85,17.950001,4.36735,165800
2009-12-22,18.0,18.030001,17.82,17.959999,4.369781,247300
2009-12-23,18.0,18.16,17.98,18.120001,4.408711,109000
2009-12-24,18.139999,18.25,18.139999,18.18,4.42331,19400
2009-12-28,18.15,18.18,17.860001,18.120001,4.408711,173400
2009-12-29,18.1,18.16,17.959999,18.129999,4.411144,80800
2009-12-30,18.09,18.1,17.940001,18.09,4.401412,104700
2009-12-31,18.01,18.08,17.959999,17.99,4.377082,114100
2010-01-04,18.16,18.190001,18.1,18.15,4.41601,76700
2010-01-05,18.18,18.18,17.99,18.030001,4.386813,76400
2010-01-06,18.01,18.09,18.0,18.0,4.379515,42400
2010-01-07,17.98,18.09,17.940001,18.030001,4.386813,54200
2010-01-08,18.02,18.08,17.84,18.059999,4.394114,83900
2010-01-11,18.040001,18.1,17.969999,18.07,4.396545,28500
2010-01-12,17.950001,18.09,17.950001,17.959999,4.369781,32100
2010-01-13,17.98,18.0,17.950001,17.959999,4.369781,28800
2010-01-14,17.950001,18.139999,17.940001,17.950001,4.36735,88000
2010-01-15,18.0,18.049999,17.84,17.9,4.355185,192500
2010-01-19,17.93,18.09,17.92,17.98,4.374649,40700
2010-01-20,17.93,18.059999,17.799999,17.92,4.360051,102900
2010-01-21,17.92,17.959999,17.709999,17.790001,4.328422,73300
2010-01-22,17.82,17.91,17.65,17.73,4.313821,63500
2010-01-25,17.83,18.0,17.549999,17.6,4.282191,85600
2010-01-26,17.540001,17.68,17.51,17.67,4.299222,65100
2010-01-27,17.620001,17.67,17.51,17.57,4.274892,87400
2010-01-28,17.65,17.67,17.43,17.52,4.262727,61900
2010-01-29,17.67,17.889999,17.6,17.67,4.299222,106800
2010-02-01,17.67,17.77,17.469999,17.549999,4.270026,67300
2010-02-02,17.52,17.639999,17.459999,17.49,4.255429,61500
2010-02-03,17.43,17.59,17.41,17.52,4.262727,34400
2010-02-04,17.559999,17.93,17.559999,17.83,4.338153,171800
2010-02-05,17.879999,17.879999,17.65,17.68,4.301656,83600
2010-02-08,17.67,17.75,17.530001,17.620001,4.287059,48800
2010-02-09,17.719999,17.790001,17.540001,17.65,4.294358,49600
2010-02-10,17.559999,17.559999,17.41,17.52,4.262727,43500
2010-02-11,17.459999,17.77,17.450001,17.65,4.294358,56600
2010-02-12,17.66,17.860001,17.66,17.860001,4.345453,24600
2010-02-16,17.93,18.0,17.809999,18.0,4.379515,34100
2010-02-17,18.0,18.0,17.93,18.0,4.379515,30400
2010-02-18,18.0,18.08,17.84,18.0,4.379515,45500
2010-02-19,18.0,18.0,17.83,17.92,4.360051,26200
2010-02-22,17.98,18.01,17.9,17.959999,4.369781,24000
2010-02-23,17.98,17.98,17.719999,17.91,4.357617,32200
2010-02-24,17.91,17.91,17.68,17.719999,4.31139,63500
2010-02-25,17.67,17.82,17.59,17.77,4.323552,42100
2010-02-26,17.77,17.780001,17.65,17.74,4.316255,84200
2010-03-01,17.790001,17.93,17.639999,17.690001,4.30409,65200
2010-03-02,17.68,17.700001,17.629999,17.700001,4.306523,72500
2010-03-03,17.65,17.82,17.6,17.77,4.323552,64300
