Date,Open,High,Low,Close,Adj Close,Volume
2013-08-01,13.5,13.7,13.29,13.5,11.41272,3359300
2013-08-02,13.5,13.75,13.38,13.75,11.624065,379500
2013-08-05,13.75,13.75,13.48,13.75,11.624065,182900
2013-08-06,13.75,13.9,13.7,13.84,11.70015,243900
2013-08-07,13.8,13.85,13.73,13.75,11.624065,157700
2013-08-08,13.75,13.78,13.74,13.75,11.624065,119200
2013-08-09,13.75,13.89,13.75,13.8,11.666335,115100
2013-08-12,13.8,13.8,13.74,13.8,11.666335,138200
2013-08-13,13.62,13.92,13.6,13.92,11.767784,169800
2013-08-14,13.91,13.91,13.77,13.85,11.708605,150600
2013-08-15,13.9,13.97,13.75,13.97,11.810052,206600
2013-08-16,13.95,14.02,13.88,13.95,11.793143,403600
2013-08-19,13.83,13.87,13.74,13.84,11.70015,87000
2013-08-20,13.85,13.88,13.81,13.85,11.708605,94200
2013-08-21,13.85,13.87,13.82,13.85,11.708605,94400
2013-08-22,13.87,14.01,13.85,14.0,11.835413,237900
2013-08-23,14.02,14.05,13.55,13.71,11.59025,81700
2013-08-26,13.78,14.0,13.69,13.78,11.649427,111300
2013-08-27,13.7,13.88,13.65,13.82,11.683245,60100
2013-08-28,13.89,14.05,13.6,13.88,11.733965,94100
2013-08-29,13.97,14.01,13.71,13.74,11.615612,56500
2013-08-30,13.8,13.84,13.65,13.66,11.547982,11500
2013-09-03,13.75,13.8,13.22,13.51,11.421173,135900
2013-09-04,13.45,13.46,13.27,13.46,11.378905,45100
2013-09-05,13.31,13.52,13.27,13.51,11.421173,35900
2013-09-06,13.52,13.52,13.12,13.41,11.336636,140100
2013-09-09,13.46,13.52,13.2,13.4,11.32818,53400
2013-09-10,13.27,13.51,13.27,13.5,11.41272,105200
2013-09-11,13.46,13.6,13.46,13.59,11.488805,29400
2013-09-12,13.6,13.61,13.48,13.58,11.48035,21000
2013-09-13,13.4,13.58,13.37,13.55,11.45499,29700
2013-09-16,13.61,13.61,13.38,13.48,11.395812,37000
2013-09-17,13.45,13.46,13.23,13.29,11.235188,43300
2013-09-18,13.19,13.19,12.75,12.9,10.905485,139100
