Date,Open,High,Low,Close,Adj Close,Volume
2022-05-13,39.0,39.400002,23.9,24.0,24.0,392270
2022-05-16,22.9,22.9,19.5,19.5,19.5,87470
2022-05-17,18.6,20.4,18.0,19.5,19.5,114420
2022-05-18,20.0,20.0,18.1,18.4,18.4,30320
2022-05-19,18.0,18.0,15.81,15.9,15.9,73490
2022-05-20,16.4,16.6,14.35,15.1,15.1,46590
2022-05-23,15.0,15.3,14.1,14.7,14.7,24130
2022-05-24,14.0,14.3,13.1,13.3,13.3,25280
2022-05-25,12.9,14.4,12.8,14.0,14.0,18890
2022-05-26,14.1,15.3,13.6,14.5,14.5,13900
2022-05-27,14.5,14.8,14.0,14.2,14.2,7840
2022-05-31,13.9,14.8,13.5,14.5,14.5,4180
2022-06-01,14.8,14.8,13.9,14.3,14.3,12130
2022-06-02,14.5,14.5,14.0,14.2,14.2,4650
2022-06-03,14.7,14.7,13.8,14.4,14.4,3250
2022-06-06,14.5,14.8,12.8,13.5,13.5,21820
2022-06-07,13.2,13.7,12.7,13.6,13.6,4220
2022-06-08,13.1,14.4,13.1,14.4,14.4,13560
2022-06-09,14.1,14.4,13.79,14.4,14.4,6190
2022-06-10,14.3,14.3,13.19,13.53,13.53,7060
2022-06-13,13.4,14.4,12.9,14.0,14.0,16930
2022-06-14,13.35,16.700001,13.35,16.1,16.1,32030
2022-06-15,16.0,17.5,14.2,17.1,17.1,47840
2022-06-16,17.1,17.9,15.8,16.9,16.9,13750
2022-06-17,16.9,17.200001,15.0,15.2,15.2,11360
2022-06-21,15.8,17.200001,15.2,17.0,17.0,14340
2022-06-22,16.5,19.0,15.92,18.9,18.9,34230
2022-06-23,15.5,18.08,15.0,17.4,17.4,25900
2022-06-24,17.01,17.700001,16.4,16.5,16.5,7560
2022-06-27,16.120001,16.4,15.1,15.7,15.7,6860
2022-06-28,15.7,16.9,14.3,16.6,16.6,9060
2022-06-29,16.299999,17.1,15.95,17.0,17.0,5640
2022-06-30,17.01,17.01,16.0,16.700001,16.700001,12080
2022-07-01,17.0,17.799999,16.4,16.6,16.6,13870
2022-07-05,17.5,18.200001,16.91,17.9,17.9,8320
2022-07-06,17.959999,17.959999,17.299999,17.65,17.65,1820
2022-07-07,17.5,17.5,16.799999,17.0,17.0,11010
2022-07-08,17.9,18.700001,16.5,18.6,18.6,14230
2022-07-11,19.0,19.6,18.5,18.9,18.9,10100
2022-07-12,18.709999,18.950001,14.5,16.1,16.1,27220
2022-07-13,15.6,15.6,14.1,14.2,14.2,11690
2022-07-14,14.0,14.0,13.2,13.6,13.6,5960
2022-07-15,13.6,14.1,12.71,13.2,13.2,11650
2022-07-18,13.2,13.43,12.1,12.8,12.8,6270
2022-07-19,12.6,13.2,12.0,12.8,12.8,10370
2022-07-20,12.9,13.5,12.4,13.3,13.3,12060
2022-07-21,13.8,13.8,12.7,13.5,13.5,6850
2022-07-22,13.7,13.7,13.2,13.6,13.6,1860
2022-07-25,13.1,13.8,12.2,13.7,13.7,5450
2022-07-26,13.6,13.8,13.2,13.7,13.7,2040
2022-07-27,13.7,14.0,12.9,13.1,13.1,3680
2022-07-28,12.6,15.1,12.6,14.9,14.9,8080
2022-07-29,14.8,16.4,14.8,15.2,15.2,21180
2022-08-01,15.74,16.5,15.28,16.0,16.0,13490
2022-08-02,16.299999,16.299999,14.8,15.05,15.05,13880
2022-08-03,15.0,17.5,14.8,15.5,15.5,50310
2022-08-04,15.29,16.0,14.3,15.7,15.7,13430
2022-08-05,15.5,16.709999,15.0,15.7,15.7,26400
2022-08-08,15.5,15.5,14.6,15.3,15.3,12440
2022-08-09,15.2,15.2,13.7,13.9,13.9,17850
2022-08-10,14.3,14.9,13.74,14.7,14.7,10740
2022-08-11,14.6,14.99,14.0,14.4,14.4,9160
2022-08-12,14.8,14.8,13.0,13.3,13.3,29680
2022-08-15,13.5,14.0,12.82,13.7,13.7,6310
2022-08-16,13.7,14.2,13.0,13.9,13.9,3860
2022-08-17,13.9,13.9,13.0,13.2,13.2,3450
2022-08-18,13.2,15.0,12.99,13.7,13.7,25990
2022-08-19,13.72,13.72,13.0,13.3,13.3,4890
2022-08-22,13.0,13.6,13.0,13.5,13.5,5950
2022-08-23,13.6,14.1,13.2,13.6,13.6,3920
2022-08-24,13.44,13.9,13.4,13.7,13.7,2270
2022-08-25,13.4,13.9,13.2,13.6,13.6,3210
2022-08-26,13.5,13.7,13.1,13.4,13.4,1620
2022-08-29,13.15,13.5,12.7,13.1,13.1,132090
2022-08-30,12.8,13.2,11.2,11.9,11.9,44020
2022-08-31,11.6,13.8,11.3,13.0,13.0,22520
2022-09-01,12.7,13.6,11.5,13.0,13.0,5710
2022-09-02,12.81,12.88,11.91,12.2,12.2,4120
2022-09-06,11.9,12.2,11.5,11.9,11.9,4420
2022-09-07,11.9,12.5,11.8,12.5,12.5,6380
2022-09-08,13.0,13.0,12.1,12.1,12.1,3340
2022-09-09,12.5,12.9,12.2,12.9,12.9,2860
2022-09-12,12.7,12.9,12.2,12.7,12.7,1230
2022-09-13,12.45,12.9,12.1,12.9,12.9,1360
2022-09-14,12.5,12.6,11.9,12.3,12.3,2330
2022-09-15,11.8,12.77,11.8,12.5,12.5,1650
2022-09-16,12.1,12.3,12.0,12.3,12.3,4130
2022-09-19,12.0,12.2,11.7,12.0,12.0,2280
2022-09-20,12.0,12.3,11.7,11.8,11.8,3130
2022-09-21,11.8,12.0,11.6,11.7,11.7,3630
2022-09-22,11.67,11.7,9.3,9.68,9.68,9430
2022-09-23,9.33,9.33,8.31,8.46,8.46,10970
2022-09-26,8.58,8.58,7.8,8.1,8.1,2030
2022-09-27,8.2,8.55,8.11,8.52,8.52,1070
2022-09-28,8.13,8.4,8.0,8.3,8.3,520
2022-09-29,8.0,8.51,8.0,8.35,8.35,1720
2022-09-30,8.4,9.5,8.4,8.75,8.75,1890
2022-10-03,9.09,9.09,8.4,9.0,9.0,1690
2022-10-04,9.0,9.0,8.58,8.99,8.99,640
2022-10-05,8.5,8.5,7.9,8.5,8.5,820
2022-10-06,8.6,8.6,8.2,8.21,8.21,1880
2022-10-07,8.24,8.41,7.5,7.9,7.9,2020
2022-10-10,7.5,7.8,7.22,7.6,7.6,3070
2022-10-11,7.6,9.9,7.6,8.47,8.47,6070
2022-10-12,7.56,8.47,7.56,8.2,8.2,1360
2022-10-13,8.18,8.19,7.79,8.18,8.18,200
2022-10-14,8.2,8.91,8.2,8.4,8.4,230
2022-10-17,8.04,8.23,7.8,7.83,7.83,530
2022-10-18,7.51,8.8,7.51,8.38,8.38,1200
2022-10-19,9.6,9.7,7.5,7.5,7.5,1230
2022-10-20,7.7,8.08,6.3,7.0,7.0,6350
2022-10-21,6.9,6.9,6.7,6.8,6.8,160
2022-10-24,6.6,7.5,6.6,6.71,6.71,2260
2022-10-25,7.0,7.4,6.4,7.3,7.3,4110
2022-10-26,7.2,7.27,6.4,6.8,6.8,480
2022-10-27,8.4,8.4,7.7,7.7,7.7,170
2022-10-28,7.5,7.5,7.25,7.25,7.25,430
2022-10-31,6.94,7.39,6.4,6.64,6.64,12060
2022-11-01,6.5,6.61,6.4,6.51,6.51,2660
2022-11-02,6.51,6.51,6.2,6.32,6.32,3720
2022-11-03,6.4,6.75,6.2,6.6,6.6,2280
2022-11-04,6.8,6.8,6.6,6.6,6.6,440
2022-11-07,6.48,6.68,6.48,6.6,6.6,310
2022-11-08,6.68,6.7,6.21,6.45,6.45,3290
2022-11-09,6.5,6.5,6.3,6.32,6.32,2070
2022-11-10,6.4,7.0,6.4,6.9,6.9,2800
2022-11-11,6.75,7.9,6.25,7.9,7.9,5260
2022-11-14,8.37,8.37,6.0,6.1,6.1,4390
2022-11-15,6.6,6.6,6.21,6.22,6.22,1690
2022-11-16,6.01,6.56,5.0,5.3,5.3,7430
2022-11-17,5.41,6.15,5.41,5.8,5.8,2230
2022-11-18,6.2,6.65,5.73,6.0,6.0,1370
2022-11-21,5.51,5.66,5.5,5.5,5.5,2010
2022-11-22,6.0,6.42,5.7,5.91,5.91,25430
2022-11-23,6.0,6.85,5.69,6.85,6.85,7270
2022-11-25,6.85,6.85,5.96,6.06,6.06,1550
2022-11-28,6.42,6.5,6.06,6.5,6.5,1280
2022-11-29,5.9,6.5,5.9,5.9,5.9,3420
2022-11-30,6.11,6.11,5.6,5.78,5.78,2530
2022-12-01,5.85,6.3,5.7,5.81,5.81,1800
2022-12-02,6.3,6.3,6.0,6.0,6.0,80
2022-12-05,6.0,6.0,6.0,6.0,6.0,1520
2022-12-06,5.73,5.9,5.71,5.85,5.85,810
2022-12-07,5.52,5.71,5.21,5.5,5.5,2750
2022-12-08,5.5,6.0,5.5,5.67,5.67,1240
2022-12-09,5.4,5.5,5.3,5.4,5.4,4920
2022-12-12,5.22,5.65,4.61,5.0,5.0,10210
2022-12-13,5.05,5.3,5.05,5.13,5.13,420
2022-12-14,5.13,5.58,5.13,5.2,5.2,500
2022-12-15,5.1,5.28,4.7,4.8,4.8,2420
2022-12-16,5.04,5.04,5.04,5.04,5.04,50
2022-12-19,5.04,5.04,4.5,4.5,4.5,5480
2022-12-20,4.5,4.63,4.48,4.54,4.54,880
2022-12-21,4.5,4.7,4.4,4.61,4.61,950
2022-12-22,4.2,4.69,4.2,4.21,4.21,3740
2022-12-23,4.3,5.07,4.3,4.86,4.86,130
2022-12-27,4.31,4.45,4.3,4.3,4.3,740
2022-12-28,4.3,4.5,4.27,4.3,4.3,4100
2022-12-29,4.3,4.7,4.3,4.48,4.48,3550
2022-12-30,4.4,5.0,4.0,4.77,4.77,5260
2023-01-03,5.5,5.5,4.41,4.72,4.72,1190
2023-01-04,5.05,5.3,4.77,5.01,5.01,2910
2023-01-05,5.0,5.23,5.0,5.0,5.0,100
2023-01-06,4.6,4.61,4.6,4.6,4.6,70
2023-01-09,4.6,4.6,4.6,4.6,4.6,0
2023-01-10,4.87,4.87,4.71,4.71,4.71,100
2023-01-11,4.7,5.0,4.7,4.96,4.96,680
2023-01-12,4.92,4.92,4.7,4.9,4.9,770
2023-01-13,4.9,4.9,4.77,4.85,4.85,3480
2023-01-17,4.9,6.5,4.8,6.0,6.0,8100
2023-01-18,5.9,6.0,4.9,5.01,5.01,3950
2023-01-19,5.0,5.0,4.9,4.96,4.96,1240
2023-01-20,6.0,6.0,5.03,5.03,5.03,1490
2023-01-23,5.03,5.25,5.0,5.25,5.25,110
2023-01-24,5.25,6.0,5.2,5.65,5.65,1530
2023-01-25,5.65,6.9,5.65,6.67,6.67,12650
2023-01-26,6.47,6.5,6.3,6.5,6.5,4050
2023-01-27,6.4,6.5,6.3,6.5,6.5,3840
2023-01-30,6.5,6.5,5.37,6.5,6.5,3590
2023-01-31,6.4,6.4,5.6,5.6,5.6,4740
2023-02-01,5.86,6.32,5.8,6.15,6.15,4810
2023-02-02,6.15,6.2,5.9,6.05,6.05,6340
2023-02-03,5.91,6.2,5.91,6.2,6.2,2280
2023-02-06,6.2,6.2,6.1,6.1,6.1,2250
2023-02-07,6.0,6.7,5.7,6.6,6.6,21220
2023-02-08,6.6,6.75,6.0,6.2,6.2,7440
2023-02-09,6.1,6.2,5.51,5.6,5.6,8750
2023-02-10,5.38,5.5,5.2,5.2,5.2,4680
2023-02-13,5.4,5.5,5.13,5.13,5.13,4960
2023-02-14,5.2,5.2,5.0,5.1,5.1,3610
2023-02-15,5.11,5.11,4.8,4.9,4.9,3770
2023-02-16,4.9,4.9,4.7,4.8,4.8,2590
2023-02-17,4.8,5.0,4.61,4.8,4.8,900
2023-02-21,4.8,4.8,4.61,4.61,4.61,2380
2023-02-22,4.5,4.7,4.3,4.44,4.44,2250
2023-02-23,4.41,4.53,3.77,4.0,4.0,14370
2023-02-24,3.88,3.96,3.71,3.88,3.88,2100
2023-02-27,5.0,5.0,3.9,4.0,4.0,2400
2023-02-28,3.81,4.95,3.71,4.8,4.8,11300
2023-03-01,4.8,6.0,4.8,5.1,5.1,32940
2023-03-02,4.95,5.33,4.52,5.1,5.1,6170
2023-03-03,5.32,6.0,5.2,5.7,5.7,11990
2023-03-06,5.9,5.9,5.0,5.43,5.43,5610
2023-03-07,5.14,5.42,4.65,5.31,5.31,2260
2023-03-08,4.98,5.41,4.5,5.2,5.2,6480
2023-03-09,4.9,5.5,4.65,5.0,5.0,1430
2023-03-10,4.75,4.75,4.0,4.1,4.1,7380
2023-03-13,5.4,5.4,4.1,4.95,4.95,4440
2023-03-14,4.3,5.0,4.08,5.0,5.0,7870
2023-03-15,4.05,4.7,4.05,4.7,4.7,110
2023-03-16,4.39,5.0,3.71,4.62,4.62,10940
2023-03-17,4.49,4.7,3.71,3.96,3.96,17990
2023-03-20,3.84,4.14,3.7,3.76,3.76,7570
2023-03-21,3.76,3.87,3.76,3.76,3.76,2770
2023-03-22,3.76,3.8,3.6,3.6,3.6,2740
2023-03-23,3.6,4.0,3.6,3.61,3.61,1850
2023-03-24,3.8,3.8,3.6,3.6,3.6,1850
2023-03-27,3.8,3.8,3.6,3.71,3.71,800
2023-03-28,3.6,3.6,3.6,3.6,3.6,280
2023-03-29,3.7,3.7,3.5,3.5,3.5,2680
2023-03-30,3.6,3.66,3.0,3.28,3.28,7810
2023-03-31,3.28,3.7,3.1,3.2,3.2,1230
2023-04-03,3.2,3.7,3.0,3.07,3.07,3690
2023-04-04,3.07,3.28,3.05,3.2,3.2,1460
2023-04-05,3.2,3.29,3.05,3.05,3.05,2550
2023-04-06,3.05,3.3,3.05,3.05,3.05,2190
2023-04-10,3.21,3.3,3.2,3.21,3.21,1530
2023-04-11,3.45,3.45,3.2,3.2,3.2,4050
2023-04-12,3.2,3.2,3.02,3.02,3.02,430
2023-04-13,3.02,3.2,3.0,3.02,3.02,2300
2023-04-14,3.0,3.2,3.0,3.0,3.0,4340
2023-04-17,3.2,3.2,3.1,3.1,3.1,260
2023-04-18,3.0,3.95,3.0,3.6,3.6,19670
2023-04-19,3.1,5.4,3.1,3.78,3.78,425300
2023-04-20,3.65,3.74,3.04,3.18,3.18,38600
2023-04-21,2.938,3.179,2.91,3.009,3.009,23200
2023-04-24,2.95,3.06,2.63,2.88,2.88,33100
2023-04-25,2.92,3.15,2.77,2.81,2.81,94200
2023-04-26,2.85,3.085,2.782,2.82,2.82,34800
2023-04-27,2.98,3.4,2.9,3.24,3.24,29000
2023-04-28,3.26,3.48,3.25,3.44,3.44,15100
2023-05-01,3.61,3.95,2.8,3.04,3.04,62200
2023-05-02,2.93,9.58,2.62,6.51,6.51,2271300
2023-05-03,3.38,4.85,3.16,3.58,3.58,436900
2023-05-04,3.67,11.26,3.5,5.03,5.03,8742200
2023-05-05,4.25,5.37,3.65,4.21,4.21,969700
2023-05-08,3.89,4.7,3.61,3.7,3.7,136300
