Date,Open,High,Low,Close,Adj Close,Volume
2021-04-26,9.8,9.8,9.8,9.8,9.8,1000
2021-04-27,9.845,9.85,9.845,9.85,9.85,800
2021-04-28,9.85,9.85,9.8,9.8,9.8,800
2021-04-29,9.84,9.84,9.84,9.84,9.84,1400
2021-04-30,9.82,9.84,9.76,9.84,9.84,41500
2021-05-03,9.81,9.84,9.81,9.84,9.84,5000
2021-05-04,9.8,9.98,9.8,9.8,9.8,11900
2021-05-05,9.83,9.85,9.8,9.85,9.85,28200
2021-05-06,9.83,9.83,9.83,9.83,9.83,8300
2021-05-07,9.81,9.855,9.81,9.855,9.855,700
2021-05-10,9.81,9.81,9.8,9.8,9.8,600
2021-05-11,9.82,9.86,9.8,9.86,9.86,5900
2021-05-12,9.86,9.9,9.86,9.9,9.9,1500
2021-05-13,9.9,9.9,9.9,9.9,9.9,0
2021-05-14,9.9,9.9,9.9,9.9,9.9,0
2021-05-17,9.9,9.9,9.9,9.9,9.9,0
2021-05-18,9.9,9.9,9.9,9.9,9.9,0
2021-05-19,9.9,9.9,9.9,9.9,9.9,0
2021-05-20,9.8,9.8,9.8,9.8,9.8,100
2021-05-21,9.8,9.8,9.8,9.8,9.8,0
2021-05-24,9.8,9.8,9.8,9.8,9.8,0
2021-05-25,9.8,9.8,9.8,9.8,9.8,0
2021-05-26,9.86,9.87,9.86,9.87,9.87,600
2021-05-27,9.87,9.87,9.87,9.87,9.87,0
2021-05-28,9.87,9.87,9.87,9.87,9.87,0
2021-06-01,9.83,9.86,9.75,9.76,9.76,2000
2021-06-02,9.76,9.795,9.76,9.77,9.77,4800
2021-06-03,9.77,9.77,9.77,9.77,9.77,0
2021-06-04,9.77,9.77,9.77,9.77,9.77,0
2021-06-07,9.8,9.8,9.8,9.8,9.8,200
2021-06-08,9.8,9.8,9.8,9.8,9.8,0
2021-06-09,9.85,9.85,9.85,9.85,9.85,10800
2021-06-10,9.9,9.9,9.86,9.9,9.9,24300
2021-06-11,9.93,9.93,9.92,9.92,9.92,400
2021-06-14,9.9,9.9,9.9,9.9,9.9,5400
2021-06-15,9.92,9.92,9.84,9.9,9.9,27300
2021-06-16,9.9,9.9,9.9,9.9,9.9,0
2021-06-17,9.9,9.9,9.9,9.9,9.9,30200
2021-06-18,9.9,9.9,9.9,9.9,9.9,0
2021-06-21,9.9,9.9,9.9,9.9,9.9,0
2021-06-22,9.9,9.9,9.9,9.9,9.9,0
2021-06-23,9.9,9.9,9.9,9.9,9.9,0
2021-06-24,9.9,9.9,9.9,9.9,9.9,0
2021-06-25,9.81,9.81,9.81,9.81,9.81,600
2021-06-28,9.81,9.81,9.81,9.81,9.81,0
2021-06-29,9.8,9.8,9.75,9.8,9.8,27800
2021-06-30,9.77,9.78,9.75,9.75,9.75,10800
2021-07-01,9.71,9.78,9.71,9.75,9.75,6300
2021-07-02,9.71,9.73,9.71,9.72,9.72,450900
2021-07-06,9.71,9.75,9.71,9.75,9.75,37000
2021-07-07,9.73,9.77,9.72,9.77,9.77,6500
2021-07-08,9.71,9.77,9.7,9.77,9.77,8200
2021-07-09,9.77,9.77,9.77,9.77,9.77,5100
2021-07-12,9.77,9.77,9.77,9.77,9.77,0
2021-07-13,9.77,9.77,9.77,9.77,9.77,0
2021-07-14,9.825,9.825,9.825,9.825,9.825,300
2021-07-15,9.86,9.86,9.7,9.7,9.7,14500
2021-07-16,9.668,9.73,9.668,9.71,9.71,6700
2021-07-19,9.74,9.74,9.69,9.73,9.73,3400
2021-07-20,9.73,9.73,9.73,9.73,9.73,0
2021-07-21,9.725,9.725,9.725,9.725,9.725,1600
2021-07-22,9.725,9.725,9.725,9.725,9.725,0
2021-07-23,9.705,9.705,9.705,9.705,9.705,300
2021-07-26,9.75,9.75,9.75,9.75,9.75,500
2021-07-27,9.72,9.72,9.72,9.72,9.72,2000
2021-07-28,9.72,9.72,9.72,9.72,9.72,0
2021-07-29,9.72,9.72,9.72,9.72,9.72,0
2021-07-30,9.72,9.72,9.72,9.72,9.72,0
2021-08-02,9.67,9.7,9.67,9.7,9.7,400
2021-08-03,9.7,9.7,9.7,9.7,9.7,0
2021-08-04,9.7,9.7,9.7,9.7,9.7,0
2021-08-05,9.7,9.71,9.7,9.71,9.71,85500
2021-08-06,9.72,9.75,9.72,9.75,9.75,1100
2021-08-09,9.78,9.78,9.72,9.75,9.75,37700
2021-08-10,9.76,9.91,9.72,9.87,9.87,83900
2021-08-11,9.87,9.918,9.76,9.86,9.86,8900
2021-08-12,9.83,9.91,9.75,9.79,9.79,7000
2021-08-13,9.75,9.755,9.75,9.755,9.755,400
2021-08-16,9.755,9.755,9.755,9.755,9.755,0
2021-08-17,9.755,9.755,9.755,9.755,9.755,0
2021-08-18,9.75,9.86,9.68,9.68,9.68,92800
2021-08-19,9.7,9.7,9.7,9.7,9.7,300
2021-08-20,9.7,9.7,9.7,9.7,9.7,0
2021-08-23,9.7,9.7,9.7,9.7,9.7,0
2021-08-24,9.66,9.66,9.66,9.66,9.66,100
2021-08-25,9.66,9.66,9.66,9.66,9.66,100
2021-08-26,9.66,9.66,9.66,9.66,9.66,0
2021-08-27,9.66,9.66,9.66,9.66,9.66,0
2021-08-30,9.65,9.65,9.65,9.65,9.65,300
2021-08-31,9.77,9.77,9.66,9.68,9.68,10800
2021-09-01,9.8,9.8,9.65,9.65,9.65,600
2021-09-02,9.65,9.65,9.65,9.65,9.65,4300
2021-09-03,9.65,9.74,9.65,9.68,9.68,38000
2021-09-07,9.75,9.75,9.65,9.7,9.7,243600
2021-09-08,9.68,9.85,9.68,9.85,9.85,500
2021-09-09,9.85,9.85,9.85,9.85,9.85,0
2021-09-10,9.685,9.765,9.68,9.765,9.765,17000
2021-09-13,9.72,9.75,9.68,9.73,9.73,6400
2021-09-14,9.72,9.84,9.7,9.84,9.84,98100
2021-09-15,9.73,9.8,9.71,9.8,9.8,4200
2021-09-16,9.8,9.8,9.8,9.8,9.8,0
2021-09-17,9.8,9.8,9.8,9.8,9.8,0
2021-09-20,9.69,9.8,9.68,9.8,9.8,54600
2021-09-21,9.75,9.78,9.75,9.77,9.77,453100
2021-09-22,9.76,9.77,9.76,9.77,9.77,800
2021-09-23,9.77,9.77,9.77,9.77,9.77,0
2021-09-24,9.77,9.77,9.77,9.77,9.77,0
2021-09-27,9.72,9.79,9.72,9.78,9.78,503500
2021-09-28,9.77,9.83,9.77,9.8,9.8,600
2021-09-29,9.73,9.85,9.73,9.77,9.77,2800
2021-09-30,9.69,9.77,9.69,9.74,9.74,6900
2021-10-01,9.77,9.8,9.74,9.8,9.8,3300
2021-10-04,9.8,9.8,9.73,9.8,9.8,2400
2021-10-05,9.8,9.8,9.8,9.8,9.8,0
2021-10-06,9.77,9.8,9.77,9.8,9.8,322700
2021-10-07,9.8,9.8,9.77,9.77,9.77,1200
2021-10-08,9.73,9.73,9.73,9.73,9.73,100
2021-10-11,9.73,9.73,9.73,9.73,9.73,0
2021-10-12,9.78,9.78,9.78,9.78,9.78,100
2021-10-13,9.78,9.78,9.78,9.78,9.78,0
2021-10-14,9.78,9.78,9.76,9.76,9.76,500
2021-10-15,9.76,9.76,9.76,9.76,9.76,0
2021-10-18,9.73,9.78,9.73,9.78,9.78,42800
2021-10-19,9.78,9.78,9.78,9.78,9.78,300
2021-10-20,9.78,9.78,9.78,9.78,9.78,0
2021-10-21,9.74,9.78,9.74,9.78,9.78,3600
2021-10-22,9.78,9.78,9.78,9.78,9.78,0
2021-10-25,9.78,9.78,9.74,9.74,9.74,600
2021-10-26,9.74,9.77,9.74,9.77,9.77,1300
2021-10-27,9.74,9.77,9.74,9.77,9.77,600
2021-10-28,9.77,9.77,9.77,9.77,9.77,0
2021-10-29,9.74,9.74,9.74,9.74,9.74,1500
2021-11-01,9.74,9.77,9.74,9.74,9.74,1900
2021-11-02,9.76,9.79,9.74,9.79,9.79,15100
2021-11-03,9.74,9.78,9.74,9.78,9.78,600
2021-11-04,9.75,9.77,9.74,9.76,9.76,116400
2021-11-05,9.76,9.76,9.76,9.76,9.76,0
2021-11-08,9.75,9.77,9.75,9.77,9.77,4700
2021-11-09,9.77,9.77,9.77,9.77,9.77,500
2021-11-10,9.75,9.75,9.75,9.75,9.75,200
2021-11-11,9.76,9.77,9.75,9.77,9.77,6300
2021-11-12,9.74,9.74,9.74,9.74,9.74,200000
2021-11-15,9.74,9.74,9.74,9.74,9.74,0
2021-11-16,9.74,9.74,9.74,9.74,9.74,0
2021-11-17,9.75,9.78,9.75,9.78,9.78,1400
2021-11-18,9.775,9.85,9.77,9.85,9.85,135500
2021-11-19,9.85,9.85,9.81,9.81,9.81,1500
2021-11-22,9.81,9.81,9.81,9.81,9.81,0
2021-11-23,9.85,9.85,9.8,9.85,9.85,9200
2021-11-24,9.85,9.85,9.85,9.85,9.85,0
2021-11-26,9.85,9.85,9.85,9.85,9.85,0
2021-11-29,9.85,9.85,9.85,9.85,9.85,0
2021-11-30,9.77,9.82,9.77,9.82,9.82,18800
2021-12-01,9.82,9.82,9.75,9.82,9.82,35600
2021-12-02,9.75,9.8,9.75,9.8,9.8,2400
2021-12-03,9.77,9.77,9.77,9.77,9.77,100
2021-12-06,9.76,9.76,9.76,9.76,9.76,300
2021-12-07,9.85,9.85,9.76,9.79,9.79,2300
2021-12-08,9.77,9.81,9.76,9.77,9.77,3000
2021-12-09,9.78,9.78,9.78,9.78,9.78,210000
2021-12-10,9.78,9.78,9.78,9.78,9.78,0
2021-12-13,9.78,9.78,9.78,9.78,9.78,0
2021-12-14,9.76,9.77,9.75,9.77,9.77,12600
2021-12-15,9.745,9.77,9.745,9.77,9.77,1300
2021-12-16,9.74,9.75,9.74,9.75,9.75,18600
2021-12-17,9.73,9.74,9.73,9.74,9.74,500
2021-12-20,9.74,9.74,9.74,9.74,9.74,900
2021-12-21,9.74,9.74,9.74,9.74,9.74,0
2021-12-22,9.74,9.75,9.73,9.75,9.75,11200
2021-12-23,9.75,9.75,9.75,9.75,9.75,0
2021-12-27,9.75,9.75,9.75,9.75,9.75,0
2021-12-28,9.71,9.75,9.71,9.72,9.72,4000
2021-12-29,9.72,9.72,9.72,9.72,9.72,0
2021-12-30,9.72,9.76,9.72,9.76,9.76,5600
