Date,Open,High,Low,Close,Adj Close,Volume
1998-08-05,21.25,21.6875,21.0,21.375,13.714405,107900
1998-08-06,21.3125,21.8125,21.25,21.75,13.955005,90700
1998-08-07,21.75,22.125,21.75,22.0,14.115407,89800
1998-08-10,22.125,22.25,22.0625,22.25,14.275811,73300
1998-08-11,21.25,21.5,21.125,21.5,13.794601,101500
1998-08-12,20.9375,21.0,20.625,20.75,13.313396,69200
1998-08-13,19.4375,20.1875,19.4375,20.0,12.832191,61500
1998-08-14,20.125,20.375,20.0,20.3125,13.032687,28700
1998-08-17,20.4375,20.4375,20.125,20.375,13.072794,40000
1998-08-18,20.25,20.375,20.125,20.3125,13.032687,20100
1998-08-19,20.25,20.25,19.75,19.75,12.671786,58000
1998-08-20,19.9375,20.0,19.25,19.75,12.671786,76700
1998-08-21,19.625,20.0,19.5,19.9375,12.792084,102700
1998-08-24,19.875,19.875,19.0625,19.75,12.671786,73500
1998-08-25,19.0,19.5,18.8125,18.875,12.110375,53200
1998-08-26,18.375,18.375,17.5,17.5625,11.268267,112300
1998-08-27,17.0,17.125,16.5,16.8125,10.787059,98400
1998-08-28,16.5625,17.125,16.0,16.3125,10.466254,109400
1998-08-31,17.171875,17.171875,16.0625,16.25,10.426154,117300
1998-09-01,17.5,18.6875,17.375,18.6875,11.990077,109600
1998-09-02,18.0625,18.6875,17.8125,18.5,11.869776,45700
1998-09-03,18.125,20.6875,18.0625,20.625,13.233193,246900
1998-09-04,20.3125,22.5,20.3125,21.75,13.955005,214700
1998-09-08,22.0,22.5,20.0,21.0,13.473799,150700
1998-09-09,20.8125,21.0,20.4375,20.9375,13.433699,52400
1998-09-10,22.375,24.0625,22.25,23.375,14.99762,308300
1998-09-11,24.0625,24.375,22.625,22.625,14.516411,217700
1998-09-14,22.5,22.5,21.3125,22.0,14.115407,97000
1998-09-15,22.25,22.4375,22.125,22.25,14.275811,29300
1998-09-16,22.0,22.25,21.0,21.0625,13.5139,148500
1998-09-17,22.25,22.6875,22.0,22.5,14.436212,74000
1998-09-18,22.5,22.5,21.75,22.125,14.195607,35400
1998-09-21,22.625,22.625,22.125,22.1875,14.235706,99000
1998-09-22,21.75,22.0,21.5625,21.5625,13.834703,46800
1998-09-23,21.5625,21.5625,20.75,21.25,13.634202,136400
1998-09-24,21.5,23.75,21.5,23.6875,15.198123,276000
1998-09-25,25.0,25.375,24.4375,25.125,16.120438,348100
1998-09-28,24.5,26.3125,24.375,26.25,16.842251,299000
1998-09-29,26.375,26.875,26.375,26.625,17.08285,133200
1998-09-30,26.5,27.125,26.125,26.875,17.243254,173900
1998-10-01,28.0,29.25,27.25,29.125,18.686872,489000
1998-10-02,29.25,29.625,28.8125,29.25,18.767075,491300
1998-10-05,28.5,28.5,26.875,27.0,17.323454,166500
1998-10-06,26.75,27.875,26.5625,27.75,17.804659,140400
1998-10-07,28.5,30.25,28.5,30.0625,19.288383,299000
1998-10-08,31.0,31.0,29.8125,30.125,19.328489,417100
1998-10-09,29.5,29.5,27.75,28.0625,18.005163,169400
1998-10-12,27.6875,27.6875,25.0625,25.5,16.361034,235600
1998-10-13,25.75,26.0,25.0625,25.125,16.120438,277300
1998-10-14,25.0625,25.375,24.875,24.9375,16.000134,168100
1998-10-15,25.5625,26.0,24.625,25.1875,16.16054,270800
1998-10-16,26.75,26.75,25.375,26.0625,16.721941,198400
1998-10-19,25.8125,25.875,25.125,25.25,16.200638,67600
1998-10-20,25.5,25.75,25.375,25.5,16.361034,96600
1998-10-21,25.5,25.6875,25.4375,25.5,16.361034,20300
1998-10-22,24.625,24.8125,24.5,24.625,15.799634,58900
1998-10-23,24.875,24.875,24.625,24.625,15.799634,22700
1998-10-26,24.5,24.625,24.4375,24.5,15.719429,84900
1998-10-27,25.125,25.875,25.125,25.875,16.601645,189100
1998-10-28,25.625,25.6875,25.3125,25.5625,16.401146,41700
1998-10-29,25.6875,25.9375,25.375,25.5625,16.401146,93200
1998-10-30,25.4375,25.4375,24.9375,25.0,16.040236,73500
1998-11-02,24.9375,25.0625,24.5,24.625,15.799634,46200
1998-11-03,24.25,24.25,23.5625,24.0,15.398623,128300
1998-11-04,24.0,24.75,23.5,24.4375,15.679328,248100
1998-11-05,24.6875,25.125,24.0,24.5625,15.75953,315100
1998-11-06,24.5625,24.9375,24.125,24.125,15.478826,220100
1998-11-09,24.0625,24.0625,23.75,24.0,15.398623,30900
1998-11-10,23.5625,24.0,23.375,23.6875,15.198123,48400
1998-11-11,23.5,23.625,23.0,23.0,14.757018,87500
1998-11-12,23.0,24.0,22.625,23.9375,15.358527,187900
1998-11-13,24.25,24.75,23.75,23.8125,15.278325,117000
1998-11-16,23.9375,24.125,23.625,24.0,15.398623,78900
1998-11-17,23.8125,24.25,23.75,24.0625,15.438727,15500
1998-11-18,24.75,25.5,24.6875,25.0,16.040236,215800
1998-11-19,25.875,25.875,24.8125,24.875,15.960035,111500
1998-11-20,25.1875,25.1875,24.4375,24.4375,15.679328,68800
1998-11-23,24.375,24.4375,24.0,24.1875,15.518926,119100
1998-11-24,24.5,24.5,24.125,24.125,15.478826,60900
1998-11-25,24.125,24.5,24.0,24.375,15.639228,72800
1998-11-27,24.125,24.3125,24.0625,24.3125,15.599125,32500
1998-11-30,24.125,24.125,22.5625,22.5625,14.476314,254900
1998-12-01,22.75,23.125,21.75,22.0,14.115407,159700
1998-12-02,22.0,22.0,21.0625,21.3125,13.6743,109300
1998-12-03,20.9375,21.375,20.875,21.0625,13.5139,78400
1998-12-04,20.8125,20.9375,19.375,19.625,12.591579,164200
1998-12-07,20.125,20.625,20.125,20.3125,13.032687,262600
1998-12-08,20.375,20.375,19.5,19.5625,12.551484,174000
1998-12-09,19.625,20.0,19.625,19.8125,12.711884,181500
1998-12-10,20.3125,20.75,20.3125,20.75,13.313396,195400
1998-12-11,20.125,20.1875,19.6875,19.875,12.751988,110400
1998-12-14,19.75,20.1875,19.75,19.9375,12.792084,53200
1998-12-15,20.5625,20.625,20.125,20.125,12.912392,86300
1998-12-16,20.6875,21.125,20.5,21.0625,13.5139,116500
1998-12-17,21.875,21.875,20.5,20.625,13.233193,122600
1998-12-18,20.0,20.8125,20.0,20.4375,13.112886,89300
1998-12-21,20.4375,20.4375,19.5,19.6875,12.631688,214800
1998-12-22,19.75,19.75,18.625,18.75,12.030176,202300
1998-12-23,18.875,19.4375,18.25,19.4375,12.471282,320300
1998-12-24,19.4375,19.8125,19.4375,19.8125,12.711884,30800
1998-12-28,19.8125,20.0,19.125,19.1875,12.310881,59700
1998-12-29,19.375,19.6875,19.3125,19.5,12.511379,99300
1998-12-30,19.5625,19.875,19.125,19.125,12.270782,76800
1998-12-31,19.125,19.6875,19.125,19.5625,12.551484,47400
1999-01-04,19.9375,19.9375,19.375,19.5625,12.551484,83800
1999-01-05,19.8125,20.3125,19.75,20.125,12.912392,29300
1999-01-06,20.875,21.75,20.875,21.625,13.874802,101500
1999-01-07,21.6875,22.5,21.6875,22.3125,14.315906,134100
1999-01-08,22.0625,22.0625,21.625,21.75,13.955005,171400
1999-01-11,21.5625,22.4375,21.5,22.140625,14.20563,251100
1999-01-12,22.25,22.25,21.5625,21.75,13.955005,171600
1999-01-13,21.25,21.5,20.9375,21.3125,13.6743,61100
1999-01-14,21.0625,21.125,20.75,20.9375,13.433699,83200
1999-01-15,20.875,21.9375,20.875,21.875,14.035206,84400
1999-01-19,21.75,21.75,21.1875,21.5,13.794601,106100
1999-01-20,21.0625,21.1875,20.875,21.0,13.473799,156100
1999-01-21,21.125,21.25,20.875,21.0,13.473799,146700
1999-01-22,20.875,20.875,20.375,20.375,13.072794,156800
1999-01-25,20.375,20.6875,20.375,20.375,13.072794,212900
1999-01-26,20.4375,20.5,19.9375,20.125,12.912392,147300
1999-01-27,20.6875,20.6875,19.75,19.875,12.751988,116000
1999-01-28,19.75,20.125,19.5625,19.875,12.751988,98600
1999-01-29,20.25,20.25,19.875,20.0,12.832191,207500
1999-02-01,20.75,20.75,20.25,20.375,13.072794,152800
1999-02-02,20.0,20.5625,20.0,20.4375,13.112886,86100
1999-02-03,20.1875,20.25,19.875,19.9375,12.792084,35700
1999-02-04,20.25,20.5,19.9375,20.375,13.072794,164000
1999-02-05,20.4375,20.625,20.3125,20.375,13.072794,70400
1999-02-08,20.5,21.125,20.375,20.75,13.313396,98700
1999-02-09,20.4375,20.4375,20.0,20.0,12.832191,50900
1999-02-10,20.125,20.125,19.25,19.25,12.350984,91500
1999-02-11,19.75,20.0,19.625,19.6875,12.631688,114300
1999-02-12,20.125,20.125,19.4375,19.5625,12.551484,65000
1999-02-16,19.1875,19.3125,19.0,19.3125,12.391084,100200
1999-02-17,18.875,19.125,18.75,19.0,12.624638,190600
1999-02-18,19.25,19.4375,19.1875,19.375,12.873808,17900
1999-02-19,19.25,19.375,19.0,19.25,12.790754,70500
1999-02-22,19.25,19.25,18.3125,18.5625,12.333937,37000
1999-02-23,18.625,18.6875,18.375,18.4375,12.250879,54100
1999-02-24,18.3125,18.5,18.0625,18.0625,12.001713,63600
1999-02-25,18.3125,18.5625,18.125,18.5625,12.333937,75400
1999-02-26,18.5,18.5,18.125,18.125,12.043241,27400
1999-03-01,18.5,18.6875,18.3125,18.4375,12.250879,69000
1999-03-02,18.875,19.25,18.875,19.0,12.624638,75000
1999-03-03,19.0625,19.4375,19.0625,19.4375,12.915336,63200
1999-03-04,19.9375,20.3125,19.9375,20.3125,13.49673,52900
1999-03-05,20.0625,20.375,20.0625,20.1875,13.413677,29400
1999-03-08,20.625,21.1875,20.5,21.125,14.0366,69000
1999-03-09,21.3125,21.875,21.25,21.6875,14.410361,221600
1999-03-10,21.25,21.75,21.25,21.625,14.368827,35100
1999-03-11,22.4375,22.875,22.0625,22.6875,15.074819,121600
1999-03-12,21.875,21.875,21.4375,21.4375,14.244247,66800
1999-03-15,20.75,20.75,20.125,20.125,13.372149,37800
1999-03-16,20.375,20.375,19.25,19.9375,13.247559,147200
1999-03-17,20.1875,20.25,19.5,19.8125,13.164505,45000
1999-03-18,19.625,19.625,19.375,19.375,12.873808,65200
1999-03-19,19.375,19.5,19.1875,19.3125,12.832281,32200
1999-03-22,19.4375,19.4375,19.125,19.25,12.790754,46400
1999-03-23,19.25,19.375,19.0625,19.25,12.790754,48400
1999-03-24,19.4375,19.4375,19.125,19.375,12.873808,38100
1999-03-25,19.375,19.6875,19.375,19.5625,12.998393,74000
1999-03-26,19.5625,19.5625,18.875,19.0,12.624638,82200
1999-03-29,19.1875,19.1875,18.75,19.125,12.707692,96800
1999-03-30,19.5,19.5,19.25,19.5,12.956861,115100
1999-03-31,19.5,20.125,19.5,20.125,13.372149,79100
1999-04-01,20.1875,20.375,20.0,20.125,13.372149,81400
1999-04-05,20.0625,20.125,19.875,19.875,13.206037,65200
1999-04-06,19.6875,20.0625,19.5625,20.0,13.289094,55500
1999-04-07,19.8125,20.0,19.75,19.875,13.206037,81900
1999-04-08,20.0,20.0,19.625,19.875,13.206037,28900
1999-04-09,19.875,19.9375,19.375,19.6875,13.081454,40300
1999-04-12,20.0625,20.125,19.875,19.9375,13.247559,43200
1999-04-13,19.9375,20.4375,19.9375,20.3125,13.49673,119700
1999-04-14,20.5,20.5625,19.875,20.0,13.289094,77900
1999-04-15,20.6875,21.75,20.6875,21.6875,14.410361,290900
1999-04-16,22.8125,23.3125,22.6875,23.1875,15.407038,201700
1999-04-19,23.4375,23.4375,23.0,23.0625,15.323985,232300
1999-04-20,23.0,23.25,22.75,22.8125,15.157873,81400
1999-04-21,21.875,22.0625,21.625,22.0,14.618004,63000
1999-04-22,21.5625,21.9375,21.5625,21.875,14.534945,76000
1999-04-23,21.9375,21.9375,21.5625,21.625,14.368827,36100
1999-04-26,21.75,21.75,21.0625,21.0625,13.995077,59900
1999-04-27,21.1875,21.4375,21.125,21.4375,14.244247,162200
1999-04-28,21.625,22.75,21.5625,22.75,15.116344,142600
1999-04-29,22.6875,23.5,22.4375,23.4375,15.573151,280000
1999-04-30,23.5625,24.0625,23.4375,23.875,15.863853,207200
1999-05-03,23.625,24.4375,23.5,24.4375,16.237606,85400
1999-05-04,23.9375,23.9375,22.8125,23.3125,15.490094,79100
1999-05-05,22.9375,24.4375,22.9375,24.25,16.113016,288600
1999-05-06,24.0,24.3125,24.0,24.125,16.029968,286400
1999-05-07,22.8125,23.0,22.5625,22.9375,15.240923,285200
1999-05-10,22.0,22.0,21.125,21.1875,14.078131,220400
1999-05-11,21.4375,22.0,21.375,21.5625,14.327301,146300
1999-05-12,21.5,21.75,21.4375,21.5625,14.327301,38900
1999-05-13,21.625,21.875,21.4375,21.5,14.285774,79800
1999-05-14,21.375,21.8125,21.375,21.625,14.368827,113200
1999-05-17,21.875,21.875,21.3125,21.375,14.20272,58000
1999-05-18,21.3125,21.5,20.75,20.8125,13.82896,118200
1999-05-19,20.25,20.625,20.125,20.3125,13.49673,101600
1999-05-20,20.8125,20.875,20.625,20.6875,13.745907,107100
1999-05-21,20.625,20.6875,20.1875,20.1875,13.413677,130600
1999-05-24,19.75,19.9375,19.5,19.5625,12.998393,226100
1999-05-25,19.5625,19.5625,18.875,19.0625,12.666163,139500
1999-05-26,18.9375,19.4375,18.875,19.125,12.707692,153700
1999-05-27,18.875,19.875,18.75,19.875,13.206037,219100
1999-05-28,19.9375,20.125,19.625,20.125,13.372149,119100
1999-06-01,19.75,19.8125,19.4375,19.75,13.12298,74100
1999-06-02,20.125,20.125,19.4375,19.6875,13.081454,41700
1999-06-03,19.4375,19.9375,19.3125,19.6875,13.081454,60000
1999-06-04,19.5625,19.625,19.25,19.5,12.956861,32500
1999-06-07,19.6875,19.6875,19.3125,19.5625,12.998393,48800
1999-06-08,19.125,19.1875,18.8125,18.8125,12.500051,127100
1999-06-09,18.625,19.0,18.625,18.8125,12.500051,84100
1999-06-10,18.8125,19.375,18.75,19.0,12.624638,117900
1999-06-11,19.0,19.625,19.0,19.5,12.956861,47200
1999-06-14,19.5625,19.5625,19.0625,19.25,12.790754,45100
1999-06-15,19.25,19.25,18.625,18.625,12.375469,59900
1999-06-16,18.5,18.9375,18.5,18.8125,12.500051,53600
1999-06-17,19.125,19.125,18.875,19.125,12.707692,31600
1999-06-18,19.3125,19.375,19.0,19.1875,12.749225,88000
1999-06-21,19.1875,19.3125,18.8125,18.875,12.541577,36900
1999-06-22,18.9375,19.125,18.8125,19.0,12.624638,57000
1999-06-23,19.0,19.9375,19.0,19.875,13.206037,79900
1999-06-24,19.875,20.375,19.8125,20.0,13.289094,113500
1999-06-25,20.1875,20.375,19.8125,20.0625,13.330619,56400
1999-06-28,20.5625,21.125,20.5625,21.0625,13.995077,86100
1999-06-29,21.5,21.5,21.25,21.375,14.20272,102600
1999-06-30,21.3125,21.5,21.25,21.5,14.285774,93200
1999-07-01,21.75,21.875,21.6875,21.875,14.534945,64200
1999-07-02,21.8125,22.0,21.8125,22.0,14.618004,49600
1999-07-06,21.5625,21.5625,20.1875,20.375,13.538263,227900
1999-07-07,20.5625,20.5625,20.1875,20.5,13.621318,114200
1999-07-08,21.0,21.0,20.5625,20.75,13.787432,97800
1999-07-09,21.25,21.25,20.6875,20.8125,13.82896,124700
1999-07-12,20.5625,20.9375,20.3125,20.3125,13.49673,88900
1999-07-13,19.875,19.875,19.3125,19.75,13.12298,134600
1999-07-14,19.5625,19.5625,19.125,19.3125,12.832281,72400
1999-07-15,19.1875,19.3125,19.0,19.1875,12.749225,32000
1999-07-16,19.625,19.9375,19.0625,19.375,12.873808,93100
1999-07-19,19.3125,19.4375,19.125,19.1875,12.749225,62600
1999-07-20,19.3125,20.125,19.3125,20.0,13.289094,82100
1999-07-21,19.9375,20.5,19.9375,20.3125,13.49673,87100
1999-07-22,20.5625,21.875,20.375,20.9375,13.912019,155600
1999-07-23,20.8125,20.9375,20.4375,20.5625,13.662849,29800
1999-07-26,20.6875,20.6875,20.1875,20.25,13.455202,75700
1999-07-27,20.3125,20.4375,20.125,20.3125,13.49673,41800
1999-07-28,20.125,20.5625,20.125,20.5625,13.662849,26000
1999-07-29,20.375,21.5,20.375,21.375,14.20272,181500
1999-07-30,21.3125,21.4375,20.6875,21.125,14.0366,53400
1999-08-02,21.125,21.1875,20.75,21.0,13.953549,38400
1999-08-03,21.3125,22.125,21.3125,22.0,14.618004,163600
1999-08-04,22.375,22.9375,22.3125,22.8125,15.157873,328400
1999-08-05,22.8125,23.0,22.625,22.75,15.116344,449400
1999-08-06,22.875,23.0,22.6875,22.875,15.199397,53600
1999-08-09,22.9375,23.6875,22.875,23.6875,15.739266,137300
1999-08-10,24.5625,24.9375,24.5625,24.875,16.528307,288400
1999-08-11,26.0,27.375,25.875,27.0625,17.981806,495800
1999-08-12,26.5,26.625,26.0,26.25,17.441936,209900
1999-08-13,26.0,26.109375,25.6875,26.0,17.27582,118100
1999-08-16,25.5625,25.625,25.125,25.5,16.943588,101400
1999-08-17,26.0,26.625,26.0,26.5625,17.64957,146700
1999-08-18,26.0,26.1875,25.75,25.75,17.546343,253000
1999-08-19,24.9375,25.25,24.6875,24.875,16.950106,304200
1999-08-20,25.0,25.0,24.6875,25.0,17.035282,234200
1999-08-23,24.5,24.75,24.4375,24.625,16.779751,73100
1999-08-24,24.0625,25.0,24.0625,24.875,16.950106,143600
