Date,Open,High,Low,Close,Adj Close,Volume
2009-05-07,0.9,0.9,0.9,0.9,0.9,6200
2009-05-08,0.95,0.95,0.9,0.9,0.9,7000
2009-05-11,1.0,1.15,1.0,1.14,1.14,37400
2009-05-12,1.25,1.3,1.22,1.25,1.25,150500
2009-05-13,1.3,1.3,1.26,1.3,1.3,8100
2009-05-14,1.5,1.5,1.25,1.25,1.25,14000
2009-05-15,1.3,1.3,1.1,1.2,1.2,66300
2009-05-18,1.3,1.3,1.21,1.23,1.23,138700
2009-05-19,1.25,1.3,1.24,1.25,1.25,154500
2009-05-20,1.5,1.75,1.5,1.75,1.75,17000
2009-05-21,1.4,2.0,1.4,2.0,2.0,300700
2009-05-22,2.0,2.2,2.0,2.2,2.2,38400
2009-05-26,2.0,2.0,2.0,2.0,2.0,200
2009-05-27,2.0,2.0,2.0,2.0,2.0,0
2009-05-28,2.45,2.48,2.45,2.48,2.48,10000
2009-05-29,2.25,2.25,2.25,2.25,2.25,5500
2009-06-01,2.3,2.3,2.2,2.2,2.2,43500
2009-06-02,2.0,2.15,2.0,2.05,2.05,260500
2009-06-03,2.3,2.3,2.01,2.01,2.01,83900
2009-06-04,2.03,2.08,2.0,2.0,2.0,68900
2009-06-05,2.01,2.1,1.99,2.0,2.0,71200
2009-06-08,2.1,2.1,1.95,1.95,1.95,14300
2009-06-09,2.0,2.05,1.94,2.05,2.05,289200
2009-06-10,2.05,2.9,2.02,2.1,2.1,443400
2009-06-11,2.75,2.75,2.3,2.3,2.3,12300
2009-06-12,2.29,2.35,2.29,2.35,2.35,159500
2009-06-15,2.36,2.39,2.36,2.38,2.38,42300
2009-06-16,2.38,2.38,2.38,2.38,2.38,300
2009-06-17,2.5,2.5,2.36,2.36,2.36,13300
2009-06-18,2.89,2.89,2.6,2.6,2.6,600
2009-06-19,2.6,2.6,2.6,2.6,2.6,0
2009-06-22,2.6,2.6,2.6,2.6,2.6,0
2009-06-23,2.55,2.55,2.55,2.55,2.55,1000
2009-06-24,2.55,2.85,2.4,2.85,2.85,1300
2009-06-25,2.79,2.85,2.79,2.85,2.85,500
2009-06-26,2.4,2.4,2.4,2.4,2.4,25300
2009-06-29,2.4,2.4,2.4,2.4,2.4,0
2009-06-30,2.45,2.45,2.45,2.45,2.45,200
2009-07-01,2.6,2.6,2.6,2.6,2.6,1000
2009-07-02,2.6,2.6,2.6,2.6,2.6,0
2009-07-06,2.6,2.6,2.6,2.6,2.6,0
2009-07-07,2.6,2.6,2.6,2.6,2.6,0
2009-07-08,2.5,2.55,2.45,2.45,2.45,10500
2009-07-09,2.4,2.4,2.4,2.4,2.4,1400
2009-07-10,2.4,2.4,2.4,2.4,2.4,0
2009-07-13,2.75,2.75,2.75,2.75,2.75,1000
