Date,Open,High,Low,Close,Adj Close,Volume
2021-03-04,9.95,10.01,9.95,9.97,9.97,6626900
2021-03-05,9.92,10.01,9.92,10.0,10.0,2124100
2021-03-08,10.0,10.04,9.937,10.015,10.015,209200
2021-03-09,10.06,10.06,10.0,10.06,10.06,360200
2021-03-10,10.06,10.06,10.02,10.03,10.03,43100
2021-03-11,10.03,10.03,9.99,9.995,9.995,305400
2021-03-12,9.99,10.015,9.99,10.005,10.005,21000
2021-03-15,10.0,10.0,9.95,9.97,9.97,371800
2021-03-16,10.0,10.21,9.985,10.15,10.15,548500
2021-03-17,10.15,10.21,10.14,10.16,10.16,115500
2021-03-18,10.12,10.19,9.95,9.99,9.99,293900
2021-03-19,9.95,10.42,9.95,10.0,10.0,1344700
2021-03-22,10.24,10.355,10.16,10.22,10.22,560700
2021-03-23,10.2,10.25,10.1,10.2,10.2,750900
2021-03-24,10.1,10.25,10.1,10.2,10.2,1051600
2021-03-25,10.1,10.36,9.865,10.14,10.14,988300
2021-03-26,10.15,10.15,10.15,10.15,10.15,800
2021-03-29,10.68,10.75,10.12,10.3,10.3,24200
2021-03-30,10.265,10.265,10.2,10.25,10.25,6100
2021-03-31,10.25,10.36,10.05,10.35,10.35,245200
2021-04-01,10.19,10.38,10.19,10.3,10.3,900
2021-04-05,10.872,10.872,10.33,10.33,10.33,400
2021-04-06,10.255,10.255,10.255,10.255,10.255,100
2021-04-07,10.255,10.255,10.255,10.255,10.255,0
2021-04-08,10.36,10.36,10.33,10.34,10.34,700
2021-04-09,10.34,10.34,10.34,10.34,10.34,0
2021-04-12,10.05,10.05,10.04,10.05,10.05,52700
2021-04-13,10.07,10.07,10.07,10.07,10.07,100
2021-04-14,10.275,10.5,10.07,10.1,10.1,15600
2021-04-15,10.16,10.16,10.11,10.11,10.11,4900
2021-04-16,10.2,10.8,10.2,10.537,10.537,8900
2021-04-19,10.45,10.55,10.25,10.25,10.25,7600
2021-04-20,10.26,10.3,10.01,10.04,10.04,17100
2021-04-21,10.0,10.01,9.99,10.0,10.0,524900
2021-04-22,10.0,10.0,10.0,10.0,10.0,1100
2021-04-23,10.14,10.14,10.14,10.14,10.14,700
2021-04-26,10.14,10.25,9.94,10.15,10.15,45300
2021-04-27,10.2,10.3,10.125,10.25,10.25,756000
2021-04-28,10.32,10.6,10.25,10.32,10.32,133200
2021-04-29,10.6,10.6,10.58,10.58,10.58,400
2021-04-30,10.26,10.26,10.0,10.2,10.2,450200
2021-05-03,10.6,10.7,10.4,10.7,10.7,106100
2021-05-04,10.88,10.88,10.8,10.8,10.8,24700
2021-05-05,10.8,10.8,10.8,10.8,10.8,1100
2021-05-06,10.76,11.56,10.76,11.42,11.42,5700
2021-05-07,10.44,10.44,10.44,10.44,10.44,200
2021-05-10,10.77,10.79,10.69,10.79,10.79,1200
2021-05-11,10.7,10.8,10.13,10.2,10.2,889400
2021-05-12,10.34,10.35,10.0,10.11,10.11,2587100
2021-05-13,10.5,10.5,10.075,10.1,10.1,63700
2021-05-14,10.12,10.22,10.1,10.2,10.2,483400
2021-05-17,10.25,10.35,9.78,10.25,10.25,185800
2021-05-18,10.2,10.2,10.14,10.14,10.14,1100
2021-05-19,10.1,10.15,10.1,10.14,10.14,13800
2021-05-20,10.15,10.175,10.06,10.06,10.06,21300
2021-05-21,10.18,10.18,10.175,10.175,10.175,1700
2021-05-24,10.13,10.29,10.125,10.2,10.2,5500
2021-05-25,10.2,10.2,10.2,10.2,10.2,1800
2021-05-26,10.19,10.23,10.15,10.15,10.15,2900
2021-05-27,10.31,10.324,10.15,10.324,10.324,2600
2021-05-28,10.171,10.271,10.15,10.23,10.23,7500
2021-06-01,10.19,10.2,10.15,10.15,10.15,10000
2021-06-02,10.25,10.33,10.21,10.22,10.22,1800
2021-06-03,10.3,10.302,10.21,10.24,10.24,12400
2021-06-04,10.15,10.27,10.15,10.27,10.27,246200
2021-06-07,10.36,10.36,10.36,10.36,10.36,300
2021-06-08,10.39,10.4,10.265,10.28,10.28,2400
2021-06-09,10.39,10.39,10.28,10.345,10.345,6200
2021-06-10,10.345,10.345,10.345,10.345,10.345,0
2021-06-11,10.063,10.063,10.063,10.063,10.063,200
2021-06-14,10.5,10.5,10.5,10.5,10.5,100
2021-06-15,10.297,10.297,10.297,10.297,10.297,100
2021-06-16,10.38,10.38,10.36,10.36,10.36,900
2021-06-17,10.36,10.36,10.36,10.36,10.36,0
2021-06-18,10.225,10.35,10.2,10.35,10.35,17700
2021-06-21,10.35,10.35,10.35,10.35,10.35,0
2021-06-22,10.35,10.35,10.35,10.35,10.35,0
2021-06-23,10.258,10.258,10.258,10.258,10.258,200
2021-06-24,10.258,10.258,10.258,10.258,10.258,0
2021-06-25,10.35,10.39,10.27,10.39,10.39,8100
2021-06-28,10.31,10.31,10.3,10.31,10.31,1000
2021-06-29,10.32,10.32,10.32,10.32,10.32,200
2021-06-30,10.395,10.49,10.395,10.42,10.42,1200
2021-07-01,10.29,10.42,10.27,10.41,10.41,29300
2021-07-02,10.4,10.4,10.4,10.4,10.4,200
2021-07-06,10.4,10.4,10.4,10.4,10.4,0
2021-07-07,10.345,10.345,10.345,10.345,10.345,200
2021-07-08,10.345,10.345,10.345,10.345,10.345,0
2021-07-09,10.345,10.345,10.345,10.345,10.345,0
2021-07-12,10.45,10.45,10.45,10.45,10.45,200
2021-07-13,10.45,10.45,10.45,10.45,10.45,0
2021-07-14,10.45,10.45,10.45,10.45,10.45,100
2021-07-15,10.45,10.45,10.355,10.355,10.355,300
2021-07-16,10.28,10.45,10.25,10.25,10.25,6600
2021-07-19,10.25,10.25,10.25,10.25,10.25,40000
2021-07-20,10.43,10.44,10.401,10.43,10.43,1200
2021-07-21,10.43,10.43,10.43,10.43,10.43,100
2021-07-22,10.33,10.437,10.33,10.437,10.437,600
2021-07-23,10.42,10.44,10.42,10.44,10.44,1500
2021-07-26,10.44,10.44,10.44,10.44,10.44,0
2021-07-27,10.44,10.44,10.44,10.44,10.44,0
2021-07-28,10.44,10.44,10.44,10.44,10.44,0
2021-07-29,10.4,10.4,10.4,10.4,10.4,200
2021-07-30,10.28,10.28,10.28,10.28,10.28,45600
2021-08-02,10.23,10.25,10.23,10.25,10.25,2300
2021-08-03,10.25,10.25,10.25,10.25,10.25,900
2021-08-04,10.25,10.25,10.25,10.25,10.25,0
2021-08-05,10.25,10.25,10.25,10.25,10.25,0
2021-08-06,10.25,10.25,10.25,10.25,10.25,0
2021-08-09,10.25,10.25,10.25,10.25,10.25,500
2021-08-10,10.25,10.25,10.25,10.25,10.25,0
2021-08-11,10.25,10.25,10.25,10.25,10.25,0
2021-08-12,10.25,10.25,10.25,10.25,10.25,0
2021-08-13,10.25,10.25,10.25,10.25,10.25,0
2021-08-16,10.25,10.25,10.25,10.25,10.25,0
2021-08-17,10.2,10.2,10.2,10.2,10.2,300
2021-08-18,10.24,10.31,10.24,10.31,10.31,10700
2021-08-19,10.25,10.25,10.175,10.25,10.25,82000
2021-08-20,10.2,10.2,10.15,10.2,10.2,7700
2021-08-23,10.2,10.2,10.2,10.2,10.2,0
2021-08-24,10.2,10.2,10.2,10.2,10.2,0
2021-08-25,10.21,10.21,10.21,10.21,10.21,200
2021-08-26,10.21,10.21,10.21,10.21,10.21,0
2021-08-27,10.38,10.38,10.37,10.38,10.38,3900
2021-08-30,10.38,10.38,10.38,10.38,10.38,0
2021-08-31,10.38,10.38,10.38,10.38,10.38,0
2021-09-01,10.15,10.24,10.13,10.24,10.24,27300
2021-09-02,10.24,10.24,10.24,10.24,10.24,600
2021-09-03,10.31,10.31,10.3,10.3,10.3,400
2021-09-07,10.3,10.3,10.3,10.3,10.3,300
2021-09-08,10.32,10.32,10.32,10.32,10.32,1200
2021-09-09,10.14,10.32,10.14,10.315,10.315,20500
2021-09-10,10.31,10.32,10.3,10.316,10.316,10900
2021-09-13,10.32,10.32,10.32,10.32,10.32,2500
2021-09-14,10.3,10.3,10.26,10.26,10.26,8800
2021-09-15,10.3,10.3,10.25,10.25,10.25,500
2021-09-16,10.31,10.31,10.27,10.27,10.27,11600
2021-09-17,10.32,10.32,10.28,10.28,10.28,9900
2021-09-20,10.28,10.28,10.28,10.28,10.28,0
2021-09-21,10.28,10.28,10.28,10.28,10.28,0
2021-09-22,10.328,10.35,10.328,10.35,10.35,500
2021-09-23,10.35,10.425,10.35,10.42,10.42,2300
2021-09-24,10.34,10.37,10.3,10.3,10.3,17900
2021-09-27,10.3,10.3,10.3,10.3,10.3,0
2021-09-28,10.3,10.35,10.3,10.33,10.33,4200
2021-09-29,10.33,10.33,10.33,10.33,10.33,0
2021-09-30,10.29,10.31,10.29,10.31,10.31,3400
2021-10-01,10.31,10.31,10.31,10.31,10.31,2100
2021-10-04,10.32,10.32,10.32,10.32,10.32,1200
2021-10-05,10.314,10.314,10.314,10.314,10.314,300
2021-10-06,10.3,10.3,10.3,10.3,10.3,1100
2021-10-07,10.27,10.27,10.27,10.27,10.27,100
2021-10-08,10.316,10.316,10.3,10.3,10.3,600
2021-10-11,10.3,10.3,10.3,10.3,10.3,0
2021-10-12,10.35,10.35,10.34,10.35,10.35,8100
2021-10-13,10.35,10.35,10.35,10.35,10.35,0
2021-10-14,10.35,10.35,10.35,10.35,10.35,0
2021-10-15,10.35,10.35,10.35,10.35,10.35,0
2021-10-18,10.35,10.35,10.35,10.35,10.35,0
2021-10-19,10.32,10.32,10.32,10.32,10.32,100
2021-10-20,10.321,10.321,10.321,10.321,10.321,100
2021-10-21,10.4,10.4,10.337,10.337,10.337,800
2021-10-22,10.337,10.337,10.337,10.337,10.337,0
2021-10-25,10.337,10.337,10.337,10.337,10.337,0
2021-10-26,10.4,10.4,10.4,10.4,10.4,600
2021-10-27,10.374,10.374,10.374,10.374,10.374,300
2021-10-28,10.53,10.53,10.53,10.53,10.53,300
2021-10-29,10.96,11.0,10.51,10.51,10.51,1100
