Date,Open,High,Low,Close,Adj Close,Volume
2000-01-05,6.965728,6.965728,6.965728,6.965728,6.029338,35.0
2000-01-06,7.662301,7.662301,7.662301,7.662301,6.63227,431.0
2000-01-07,7.244357,7.244357,7.105043,7.244357,6.27051,585.0
2000-01-10,8.916132,8.916132,8.70716,8.916132,7.717552,340.0
2000-01-11,,,,,,
2000-01-12,,,,,,
2000-01-13,7.522986,7.522986,7.522986,7.522986,6.511683,68.0
2000-01-14,7.383672,7.383672,7.244357,7.383672,6.391098,68.0
2000-01-18,7.383672,7.383672,7.383672,7.383672,6.391098,47.0
2000-01-19,,,,,,
2000-01-20,,,,,,
2000-01-21,7.801616,7.801616,7.801616,7.801616,6.752856,35.0
2000-01-24,7.801616,7.801616,7.801616,7.801616,6.752856,573.0
2000-01-25,8.358874,8.358874,7.522986,8.358874,7.235204,215.0
2000-01-26,7.383672,7.383672,7.383672,7.383672,6.391098,71.0
2000-01-27,,,,,,
2000-01-28,7.522986,7.522986,7.522986,7.522986,6.511683,71.0
2000-01-31,,,,,,
2000-02-01,7.105043,7.105043,7.105043,7.105043,6.149924,71.0
2000-02-02,7.105043,7.105043,7.105043,7.105043,6.149924,71.0
2000-02-03,7.105043,7.105043,6.687099,7.105043,6.149924,71.0
2000-02-04,8.358874,8.358874,7.383672,8.358874,7.235204,932.0
2000-02-07,9.75202,10.169963,8.498188,9.75202,8.441072,563.0
2000-02-08,8.358874,8.358874,8.080245,8.358874,7.235204,107.0
2000-02-09,8.637503,8.916132,8.358874,8.637503,7.47638,359.0
2000-02-10,8.498188,8.498188,8.498188,8.498188,7.355791,71.0
2000-02-11,8.498188,8.637503,8.498188,8.498188,7.355791,323.0
2000-02-14,8.776818,8.776818,7.522986,8.776818,7.596967,448.0
2000-02-15,7.801616,8.080245,7.801616,7.801616,6.752856,287.0
2000-02-16,8.498188,9.194761,8.358874,8.498188,7.355791,1489.0
2000-02-17,8.358874,8.916132,8.358874,8.358874,7.235204,756.0
2000-02-18,8.637503,8.637503,7.94093,8.637503,7.47638,225.0
2000-02-22,8.080245,8.637503,8.080245,8.080245,6.994031,520.0
2000-02-23,8.219559,9.194761,8.080245,8.219559,7.114617,251.0
2000-02-24,7.94093,7.94093,7.94093,7.94093,6.873445,71.0
2000-02-25,7.801616,7.801616,7.801616,7.801616,6.752856,71.0
2000-02-28,7.801616,7.801616,7.801616,7.801616,6.752856,71.0
2000-02-29,,,,,,
