Date,Open,High,Low,Close,Adj Close,Volume
2021-12-03,9.87,9.87,9.87,9.87,9.87,1365200
2021-12-06,9.86,9.86,9.85,9.86,9.86,1157300
2021-12-07,9.85,9.86,9.85,9.86,9.86,122700
2021-12-08,9.86,9.86,9.841,9.85,9.85,2700
2021-12-09,9.85,9.87,9.84,9.87,9.87,185800
2021-12-10,9.92,9.92,9.83,9.88,9.88,103900
2021-12-13,9.87,9.88,9.87,9.88,9.88,108800
2021-12-14,9.87,9.88,9.84,9.85,9.85,768900
2021-12-15,9.84,9.87,9.84,9.86,9.86,137000
2021-12-16,9.845,9.88,9.845,9.86,9.86,52800
2021-12-17,9.86,9.86,9.84,9.86,9.86,200600
2021-12-20,9.86,9.86,9.85,9.86,9.86,7700
2021-12-21,9.87,9.88,9.86,9.87,9.87,6800
2021-12-22,9.85,9.88,9.85,9.85,9.85,145600
2021-12-23,9.85,9.87,9.84,9.84,9.84,2300
2021-12-27,9.83,9.87,9.83,9.87,9.87,800
2021-12-28,9.87,9.87,9.87,9.87,9.87,300
2021-12-29,9.88,9.88,9.87,9.87,9.87,1800
2021-12-30,9.87,9.9,9.87,9.9,9.9,127900
2021-12-31,9.88,9.88,9.88,9.88,9.88,155000
2022-01-03,9.88,9.88,9.87,9.87,9.87,4200
2022-01-04,9.87,9.87,9.87,9.87,9.87,0
2022-01-05,9.9,9.9,9.86,9.87,9.87,111500
2022-01-06,9.86,9.88,9.86,9.86,9.86,19200
2022-01-07,9.875,9.875,9.86,9.86,9.86,3100
2022-01-10,9.86,9.88,9.86,9.88,9.88,27100
2022-01-11,9.86,9.88,9.86,9.88,9.88,19400
2022-01-12,9.87,9.87,9.87,9.87,9.87,2600
2022-01-13,9.87,9.87,9.87,9.87,9.87,0
2022-01-14,9.87,9.88,9.86,9.86,9.86,15000
2022-01-18,9.86,9.86,9.86,9.86,9.86,5000
2022-01-19,9.88,9.88,9.85,9.85,9.85,2400
2022-01-20,9.88,9.88,9.88,9.88,9.88,900
2022-01-21,9.88,9.88,9.865,9.87,9.87,16000
2022-01-24,9.875,9.875,9.875,9.875,9.875,1900
2022-01-25,9.86,9.86,9.86,9.86,9.86,1600
2022-01-26,9.86,9.875,9.86,9.87,9.87,258200
2022-01-27,9.89,9.89,9.85,9.85,9.85,92900
2022-01-28,9.85,9.85,9.85,9.85,9.85,0
2022-01-31,9.86,9.86,9.85,9.85,9.85,6000
2022-02-01,9.875,9.91,9.875,9.91,9.91,4800
2022-02-02,9.915,9.94,9.89,9.89,9.89,24900
2022-02-03,9.895,9.895,9.87,9.87,9.87,2100
2022-02-04,9.88,9.88,9.88,9.88,9.88,1500
2022-02-07,9.88,9.88,9.88,9.88,9.88,100
2022-02-08,9.9,9.9,9.88,9.88,9.88,800
2022-02-09,9.89,9.89,9.87,9.88,9.88,37800
