Date,Open,High,Low,Close,Adj Close,Volume
2007-04-26,20.1,20.120001,20.0,20.01,4.082274,952300
2007-04-27,20.01,20.030001,19.99,20.030001,4.086354,1024000
2007-04-30,20.030001,20.030001,20.0,20.01,4.082274,249400
2007-05-01,20.01,20.15,20.0,20.139999,4.108797,432600
2007-05-02,20.15,20.26,20.1,20.26,4.133276,337800
2007-05-03,20.26,20.48,20.190001,20.469999,4.176118,308200
2007-05-04,20.5,20.549999,20.33,20.4,4.161839,218700
2007-05-07,20.42,20.42,20.26,20.379999,4.157758,179500
2007-05-08,20.33,20.4,20.15,20.280001,4.137359,194000
2007-05-09,20.299999,20.389999,20.15,20.389999,4.1598,189700
2007-05-10,20.389999,20.389999,20.219999,20.299999,4.141435,140100
2007-05-11,20.309999,20.4,20.26,20.290001,4.139398,122200
2007-05-14,20.370001,20.370001,20.26,20.33,4.147559,168400
2007-05-15,20.379999,20.379999,20.200001,20.209999,4.123075,129700
2007-05-16,20.27,20.27,20.01,20.040001,4.088398,166900
2007-05-17,20.049999,20.08,19.76,20.0,4.080231,388700
2007-05-18,20.040001,20.040001,20.0,20.0,4.080231,482200
2007-05-21,20.01,20.01,20.0,20.01,4.082274,232700
2007-05-22,20.0,20.01,20.0,20.0,4.080231,211900
2007-05-23,20.01,20.01,20.0,20.01,4.082274,188100
2007-05-24,20.0,20.01,20.0,20.0,4.080231,303700
2007-05-25,20.0,20.01,20.0,20.0,4.080231,238900
2007-05-29,20.0,20.01,20.0,20.01,4.082274,310800
2007-05-30,20.0,20.01,20.0,20.01,4.082274,834800
2007-05-31,20.0,20.01,20.0,20.01,4.082274,230300
2007-06-01,20.0,20.01,19.99,20.0,4.080231,928300
2007-06-04,20.0,20.1,20.0,20.1,4.100636,357700
2007-06-05,20.1,20.1,20.0,20.0,4.080231,336900
2007-06-06,20.01,20.02,20.0,20.0,4.080231,292000
2007-06-07,20.01,20.01,20.0,20.0,4.080231,787900
2007-06-08,20.0,20.01,20.0,20.0,4.080231,632600
2007-06-11,20.0,20.0,19.450001,19.620001,4.002711,228500
2007-06-12,19.6,19.620001,19.01,19.1,3.896622,211300
2007-06-13,19.200001,19.219999,18.129999,18.959999,3.868062,450900
2007-06-14,18.83,19.4,18.690001,19.059999,3.914684,215200
2007-06-15,19.01,19.25,18.83,19.01,3.904416,186100
2007-06-18,19.01,19.1,18.620001,18.65,3.830476,199300
2007-06-19,18.610001,18.780001,18.51,18.73,3.846907,319300
2007-06-20,18.58,18.75,18.469999,18.58,3.816099,253500
2007-06-21,18.74,18.75,18.370001,18.65,3.830476,260800
2007-06-22,18.9,18.9,18.290001,18.4,3.77913,265300
2007-06-25,18.549999,18.549999,18.07,18.219999,3.742158,360300
2007-06-26,18.219999,18.35,18.049999,18.280001,3.754483,300300
2007-06-27,18.17,18.290001,18.0,18.27,3.75243,295900
2007-06-28,18.190001,18.68,18.129999,18.549999,3.809938,182300
2007-06-29,18.549999,18.700001,18.299999,18.59,3.818153,161000
2007-07-02,18.6,18.75,18.35,18.700001,3.840744,111000
2007-07-03,18.58,19.0,18.58,18.98,3.898253,82700
2007-07-05,19.02,19.469999,19.01,19.360001,3.976302,134900
2007-07-06,19.48,19.48,19.01,19.24,3.951655,95300
2007-07-09,19.290001,19.59,19.1,19.15,3.933169,225000
2007-07-10,19.1,19.219999,19.0,19.0,3.902362,121800
2007-07-11,19.049999,19.35,18.940001,19.01,3.904416,131100
2007-07-12,19.15,19.25,18.700001,18.790001,3.859229,156700
2007-07-13,18.75,18.99,18.58,18.860001,3.87361,148100
2007-07-16,18.799999,18.950001,18.360001,18.450001,3.789401,210900
2007-07-17,18.450001,18.639999,18.219999,18.59,3.818153,207100
2007-07-18,18.51,18.51,18.07,18.290001,3.756536,305300
2007-07-19,18.309999,18.33,18.049999,18.309999,3.786941,212700
2007-07-20,18.32,18.370001,18.0,18.15,3.753849,185700
2007-07-23,18.059999,18.190001,17.75,17.93,3.708349,287500
2007-07-24,17.84,17.870001,17.120001,17.370001,3.592524,602300
2007-07-25,17.27,17.49,16.629999,17.209999,3.559433,579800
2007-07-26,16.950001,17.280001,16.5,17.280001,3.573913,562300
2007-07-27,17.48,17.549999,16.799999,16.93,3.501524,354700
2007-07-30,17.0,17.290001,16.639999,17.290001,3.57598,255900
2007-07-31,17.290001,17.549999,17.129999,17.530001,3.625619,257600
2007-08-01,17.1,17.219999,16.690001,17.209999,3.559433,325800
2007-08-02,17.26,17.299999,16.91,17.139999,3.544957,266900
2007-08-03,16.940001,17.030001,16.5,16.73,3.460159,297200
2007-08-06,16.73,16.790001,16.02,16.26,3.36295,474900
2007-08-07,16.200001,16.299999,15.0,16.299999,3.371226,626200
2007-08-08,16.299999,17.049999,16.299999,17.049999,3.526343,309400
2007-08-09,16.629999,17.16,16.299999,16.75,3.464295,221200
2007-08-10,16.309999,16.5,15.95,16.290001,3.369157,258500
2007-08-13,16.290001,16.5,15.95,16.190001,3.348473,365200
2007-08-14,16.190001,16.35,15.6,15.71,3.249198,490300
2007-08-15,15.5,15.88,15.1,15.25,3.15406,501200
2007-08-16,14.3,15.05,13.76,14.9,3.107552,872100
2007-08-17,15.85,16.209999,15.22,15.85,3.305682,383600
2007-08-20,15.8,16.25,15.61,16.18,3.374508,291200
2007-08-21,15.95,16.639999,15.94,16.5,3.441247,361000
2007-08-22,16.6,16.799999,16.23,16.35,3.409962,276600
2007-08-23,16.73,16.780001,16.200001,16.27,3.393278,331000
2007-08-24,16.4,16.799999,16.32,16.65,3.47253,273500
2007-08-27,16.74,16.82,16.389999,16.559999,3.45376,347100
2007-08-28,16.299999,16.42,16.0,16.18,3.374508,390000
2007-08-29,16.059999,16.290001,15.91,16.09,3.355739,320700
2007-08-30,15.92,16.059999,15.84,15.97,3.330709,242800
2007-08-31,16.07,16.67,16.02,16.57,3.455847,267200
2007-09-04,16.549999,16.719999,16.35,16.709999,3.485043,147800
2007-09-05,16.35,16.49,16.23,16.360001,3.412051,218700
2007-09-06,16.360001,16.57,16.18,16.35,3.409962,238100
2007-09-07,16.15,16.219999,15.67,16.0,3.336967,305600
2007-09-10,16.0,16.15,15.6,15.73,3.280656,233600
2007-09-11,15.73,15.93,15.6,15.64,3.261884,349000
2007-09-12,15.61,15.81,15.55,15.7,3.274397,254900
2007-09-13,15.69,16.0,15.69,15.81,3.297339,360800
2007-09-14,15.79,16.15,15.66,16.07,3.351567,245000
