Date,Open,High,Low,Close,Adj Close,Volume
2019-05-09,15.12,15.99,13.51,13.8,13.8,1636300
2019-05-10,13.77,14.0,12.75,13.92,13.92,214200
2019-05-13,13.84,14.1,12.6,13.95,13.95,158300
2019-05-14,13.98,14.198,13.11,14.09,14.09,164700
2019-05-15,14.08,14.3,13.34,13.75,13.75,84800
2019-05-16,13.76,14.0,13.23,13.87,13.87,104600
2019-05-17,13.76,14.056,13.2,13.8,13.8,84900
2019-05-20,13.74,14.1,13.6,14.06,14.06,74400
2019-05-21,14.04,14.49,13.85,14.4,14.4,103700
2019-05-22,14.21,14.5,14.01,14.28,14.28,27700
2019-05-23,14.3,14.3,13.57,14.0,14.0,30800
2019-05-24,13.94,14.45,13.66,14.18,14.18,37100
2019-05-28,14.15,14.5,13.78,14.2,14.2,94900
2019-05-29,14.0,14.245,13.35,13.71,13.71,48900
2019-05-30,14.0,14.2,13.65,14.2,14.2,16300
2019-05-31,14.2,14.429,13.52,14.27,14.27,48900
2019-06-03,13.96,15.253,13.67,14.77,14.77,80000
2019-06-04,14.91,15.04,14.339,14.95,14.95,62000
2019-06-05,14.97,15.05,14.35,14.92,14.92,56300
2019-06-06,14.64,14.84,14.0,14.4,14.4,26600
2019-06-07,14.67,14.78,13.94,14.17,14.17,131900
2019-06-10,14.1,14.27,12.0,13.18,13.18,94500
2019-06-11,13.04,13.2,12.71,12.87,12.87,13300
2019-06-12,12.24,13.32,12.24,12.62,12.62,61800
2019-06-13,12.69,13.18,12.69,12.82,12.82,14900
2019-06-14,12.47,12.585,10.91,10.96,10.96,22100
2019-06-17,10.98,11.0,9.78,9.95,9.95,54600
2019-06-18,10.32,10.736,9.59,9.82,9.82,42900
2019-06-19,9.78,10.57,9.77,10.1,10.1,51900
2019-06-20,10.11,10.5,9.8,10.08,10.08,44100
2019-06-21,9.975,10.5,9.76,9.95,9.95,140500
2019-06-24,9.955,10.56,9.93,9.93,9.93,85600
2019-06-25,9.81,10.15,9.03,9.2,9.2,50600
2019-06-26,9.43,9.62,8.12,8.51,8.51,38900
2019-06-27,9.35,9.5,8.91,9.12,9.12,36300
2019-06-28,9.57,11.2,9.25,9.31,9.31,236900
2019-07-01,9.07,9.5,8.51,8.7,8.7,119900
2019-07-02,8.63,8.921,8.31,8.75,8.75,43300
2019-07-03,8.81,9.2,8.81,9.04,9.04,9800
2019-07-05,8.94,9.6,8.94,9.26,9.26,7700
2019-07-08,9.845,9.865,8.75,8.79,8.79,6300
2019-07-09,8.92,8.92,8.0,8.15,8.15,69000
2019-07-10,8.15,8.62,8.05,8.31,8.31,10900
2019-07-11,8.31,9.626,8.04,8.21,8.21,72300
2019-07-12,8.23,8.48,7.705,7.89,7.89,49800
2019-07-15,7.91,8.1,7.78,7.9,7.9,6300
2019-07-16,7.89,7.95,7.75,7.88,7.88,9300
2019-07-17,7.89,8.045,7.3,7.77,7.77,24500
2019-07-18,7.76,8.16,7.515,8.11,8.11,5100
2019-07-19,8.12,8.38,7.585,7.71,7.71,25100
2019-07-22,7.538,7.599,7.12,7.36,7.36,9900
2019-07-23,7.38,7.66,7.38,7.52,7.52,6800
2019-07-24,7.48,7.78,6.83,7.32,7.32,15300
2019-07-25,7.46,7.82,7.275,7.48,7.48,5600
2019-07-26,7.46,8.81,7.46,8.08,8.08,6900
2019-07-29,8.48,8.51,7.825,8.28,8.28,5800
2019-07-30,8.0,8.7,8.0,8.21,8.21,27400
2019-07-31,8.18,8.736,8.07,8.48,8.48,16800
2019-08-01,8.45,8.45,6.1,7.07,7.07,40100
2019-08-02,6.71,7.68,6.3,7.42,7.42,20300
2019-08-05,7.65,8.0,6.7,7.08,7.08,8300
2019-08-06,7.79,7.97,7.571,7.75,7.75,3500
2019-08-07,7.8,7.81,7.42,7.5,7.5,2900
2019-08-08,7.86,8.0,7.56,7.56,7.56,3100
2019-08-09,7.49,7.625,7.25,7.26,7.26,5600
2019-08-12,7.02,7.29,6.955,7.0,7.0,7600
2019-08-13,8.4,8.81,7.31,7.68,7.68,7100
2019-08-14,7.67,7.94,7.3,7.94,7.94,2800
2019-08-15,8.0,8.35,7.5,7.6,7.6,91900
2019-08-16,7.61,7.91,7.4,7.91,7.91,2600
2019-08-19,7.93,7.95,7.6,7.94,7.94,6200
2019-08-20,7.912,7.92,7.5,7.92,7.92,3600
2019-08-21,7.89,8.11,7.615,8.11,8.11,4900
2019-08-22,8.17,8.17,7.88,7.91,7.91,3300
2019-08-23,7.75,7.8,7.6,7.79,7.79,6500
2019-08-26,7.9,7.9,7.9,7.9,7.9,700
2019-08-27,7.9,7.9,7.6,7.815,7.815,1900
2019-08-28,7.73,7.9,7.6,7.73,7.73,1500
2019-08-29,7.73,7.995,7.035,7.16,7.16,9200
2019-08-30,7.15,7.23,6.85,6.93,6.93,8300
2019-09-03,6.784,7.0,6.75,7.0,7.0,3300
2019-09-04,7.0,7.25,6.75,7.24,7.24,4200
2019-09-05,7.26,7.26,6.565,6.9,6.9,8700
