Date,Open,High,Low,Close,Adj Close,Volume
2013-11-07,25.049999,25.24,24.9,25.0,11.715098,340200
2013-11-08,25.0,25.049999,24.950001,24.99,11.710411,61200
2013-11-11,25.040001,27.450001,25.040001,25.25,11.832249,13700
2013-11-12,25.25,25.5,25.01,25.01,11.719783,40600
2013-11-13,25.110001,25.49,25.110001,25.209999,11.813502,6300
2013-11-14,25.49,25.5,25.35,25.450001,11.925962,25300
2013-11-15,25.450001,25.75,25.25,25.299999,11.855677,27300
2013-11-18,25.719999,28.6,25.049999,25.389999,11.897848,223700
2013-11-19,25.98,25.98,25.129999,25.700001,12.043118,16500
2013-11-20,25.98,25.98,25.51,25.799999,12.089977,2900
2013-11-21,25.35,25.799999,25.299999,25.68,12.033747,6700
2013-11-22,25.950001,25.950001,25.299999,25.299999,11.855677,10300
2013-11-25,25.15,25.389999,25.120001,25.200001,11.808818,10500
2013-11-26,25.25,25.25,24.01,25.049999,11.738529,30100
2013-11-27,25.1,25.1,24.98,25.0,11.715098,10200
2013-11-29,24.91,25.09,24.91,25.09,11.75727,800
2013-12-02,25.24,25.440001,25.030001,25.440001,11.921285,17100
2013-12-03,25.35,25.440001,25.049999,25.34,11.874422,9400
2013-12-04,25.24,25.35,25.059999,25.35,11.879107,6700
2013-12-05,25.1,25.5,25.1,25.389999,11.897848,27400
2013-12-06,25.16,25.4,25.1,25.209999,11.813502,11300
2013-12-09,25.209999,25.209999,25.0,25.200001,11.808818,20900
2013-12-10,25.209999,25.209999,25.01,25.09,11.75727,8400
2013-12-11,25.15,25.209999,24.9,24.9,11.668236,18400
2013-12-12,24.9,25.1,24.26,25.0,11.715098,55000
2013-12-13,25.1,25.1,24.26,24.700001,11.574516,12100
2013-12-16,25.08,25.1,24.85,24.85,11.644805,11900
2013-12-17,24.66,25.0,24.66,24.9,11.668236,30200
2013-12-18,25.0,25.6,24.65,25.02,11.724466,22900
2013-12-19,25.200001,25.4,24.9,24.9,11.800294,11700
2013-12-20,25.1,25.1,24.25,24.5,11.610731,20800
2013-12-23,24.290001,25.0,24.290001,24.620001,11.667599,14400
2013-12-24,24.6,25.0,24.290001,24.9,11.800294,7400
2013-12-26,24.530001,25.0,24.530001,24.9,11.800294,16700
2013-12-27,24.9,25.07,24.51,24.85,11.776596,22800
2013-12-30,24.950001,25.0,24.41,24.709999,11.710253,37600
2013-12-31,25.57,25.57,24.51,24.559999,11.639167,19800
2014-01-02,24.75,25.030001,24.59,24.690001,11.700774,12600
2014-01-03,24.799999,24.809999,24.75,24.75,11.72921,1600
2014-01-06,24.620001,24.950001,24.299999,24.780001,11.743425,20500
2014-01-07,24.4,24.85,24.4,24.799999,11.752903,50700
2014-01-08,24.99,25.0,24.549999,24.6,11.658122,7900
2014-01-09,25.0,25.0,24.6,24.65,11.681813,22400
2014-01-10,24.85,24.889999,24.65,24.719999,11.714989,20100
2014-01-13,24.709999,24.799999,24.65,24.65,11.681813,14000
2014-01-14,24.75,24.969999,24.700001,24.85,11.776596,34600
2014-01-15,24.700001,24.9,24.700001,24.85,11.776596,34800
2014-01-16,25.0,25.280001,24.85,24.91,11.805032,40400
2014-01-17,25.030001,25.25,24.950001,24.950001,11.82399,6900
2014-01-21,24.950001,25.440001,24.799999,25.1,11.895076,11100
2014-01-22,25.440001,25.440001,24.9,25.18,11.932985,17300
2014-01-23,25.0,25.0,24.809999,25.0,11.847683,75300
2014-01-24,24.9,25.09,24.799999,24.9,11.800294,16100
2014-01-27,27.67,27.67,24.809999,24.809999,11.757644,7100
2014-01-28,25.15,25.15,24.799999,25.0,11.847683,23900
2014-01-29,24.77,25.1,24.77,25.0,11.847683,12500
2014-01-30,25.0,25.15,24.809999,25.139999,11.914029,26000
2014-01-31,24.91,25.1,24.799999,25.09,11.890333,30600
2014-02-03,25.0,25.0,24.459999,24.93,11.814511,32000
2014-02-04,24.889999,24.940001,24.700001,24.809999,11.757644,24100
2014-02-05,24.790001,24.91,24.65,24.85,11.776596,28600
2014-02-06,24.959999,24.959999,24.549999,24.690001,11.700774,29700
2014-02-07,25.0,25.1,24.76,25.09,11.890333,18300
2014-02-10,24.85,24.969999,24.65,24.690001,11.700774,21100
2014-02-11,24.73,24.940001,24.73,24.940001,11.819247,6100
2014-02-12,25.1,25.1,24.540001,24.940001,11.819247,11500
2014-02-13,24.860001,25.0,24.52,24.99,11.842945,13000
2014-02-14,25.0,25.0,24.98,25.0,11.847683,3900
2014-02-18,25.0,25.0,24.870001,24.889999,11.795555,20300
2014-02-19,24.85,25.0,24.51,24.65,11.681813,10200
2014-02-20,24.6,24.940001,24.6,24.65,11.681813,30600
2014-02-21,24.65,24.9,24.5,24.700001,11.705512,5200
2014-02-24,25.0,25.0,24.5,24.5,11.610731,14300
2014-02-25,24.309999,24.5,23.9,24.32,11.525428,88500
2014-02-26,24.559999,24.6,24.120001,24.6,11.658122,21400
2014-02-27,24.59,25.1,24.5,25.0,11.847683,39000
2014-02-28,24.889999,25.0,24.65,24.99,11.842945,25400
2014-03-03,24.5,25.0,24.5,24.99,11.842945,15300
2014-03-04,24.799999,25.0,24.309999,24.889999,11.795555,23000
2014-03-05,24.700001,24.98,24.370001,24.459999,11.591775,14800
2014-03-06,24.65,24.940001,24.65,24.940001,11.819247,8800
2014-03-07,24.809999,25.0,24.67,24.99,11.842945,18800
2014-03-10,24.75,24.9,24.299999,24.549999,11.634424,11700
2014-03-11,24.65,24.75,24.35,24.360001,11.544382,19200
2014-03-12,24.620001,25.0,24.360001,24.459999,11.591775,27400
2014-03-13,24.200001,24.950001,24.1,24.51,11.857862,11100
2014-03-14,24.360001,24.9,24.360001,24.530001,11.867537,17400
2014-03-17,24.34,25.0,24.309999,24.76,11.978811,11800
2014-03-18,24.950001,25.15,24.85,25.0,12.094923,82700
2014-03-19,24.99,25.52,24.58,25.0,12.094923,27300
2014-03-20,25.200001,25.200001,24.780001,24.91,12.051383,16500
2014-03-21,25.049999,25.200001,24.77,25.01,12.099762,12200
2014-03-24,25.08,25.57,25.01,25.1,12.143306,31000
2014-03-25,25.290001,25.57,25.0,25.16,12.17233,32600
2014-03-26,25.200001,25.549999,25.01,25.02,12.1046,15400
2014-03-27,25.15,25.15,24.91,24.91,12.051383,23000
2014-03-28,25.049999,25.049999,24.809999,24.91,12.051383,4500
2014-03-31,25.27,25.27,24.51,24.58,11.891731,10400
2014-04-01,25.299999,25.299999,24.610001,24.780001,11.988488,18200
2014-04-02,25.23,25.23,24.860001,25.0,12.094923,3800
2014-04-03,25.0,25.299999,24.860001,25.200001,12.191683,13500
2014-04-04,25.200001,25.200001,24.870001,25.0,12.094923,10700
2014-04-07,24.85,25.280001,24.75,24.85,12.022353,9200
2014-04-08,25.0,25.0,24.5,25.0,12.094923,15600
2014-04-09,25.0,25.0,24.51,24.530001,11.867537,14500
2014-04-10,24.76,25.200001,24.639999,24.639999,11.920755,11300
2014-04-11,24.75,25.17,24.75,25.08,12.13363,3600
2014-04-14,25.1,25.1,24.709999,24.879999,12.036867,5900
2014-04-15,24.709999,25.110001,24.709999,24.73,11.964295,11300
2014-04-16,24.709999,25.200001,24.709999,25.1,12.143306,9900
2014-04-17,25.18,25.26,25.049999,25.1,12.143306,4100
2014-04-21,25.1,25.299999,25.01,25.01,12.099762,8800
2014-04-22,25.15,25.299999,25.15,25.290001,12.235227,3800
2014-04-23,25.18,25.18,24.860001,24.91,12.051383,21200
2014-04-24,24.85,25.09,24.75,24.99,12.090085,14100
2014-04-25,25.290001,25.290001,24.9,25.09,12.138463,8600
2014-04-28,25.0,25.02,24.85,25.0,12.094923,3700
2014-04-29,25.120001,25.120001,24.860001,25.0,12.094923,6300
2014-04-30,24.85,25.4,24.75,25.0,12.094923,67400
2014-05-01,24.75,24.75,24.75,24.75,11.973974,800
2014-05-02,24.790001,25.4,24.75,25.200001,12.191683,8300
2014-05-05,25.200001,25.4,24.85,25.389999,12.283604,6900
2014-05-06,24.75,25.290001,24.75,25.1,12.143306,7400
2014-05-07,25.4,25.4,25.0,25.0,12.094923,11700
2014-05-08,25.0,25.4,24.790001,24.9,12.046544,21400
2014-05-09,24.700001,25.15,24.700001,25.1,12.143306,14600
2014-05-12,25.34,25.690001,25.15,25.15,12.167491,18100
2014-05-13,25.690001,25.690001,24.719999,25.139999,12.162655,13600
2014-05-14,24.969999,25.1,24.950001,24.99,12.090085,8500
2014-05-15,24.950001,25.42,24.950001,25.24,12.211035,12600
2014-05-16,25.24,25.459999,25.15,25.299999,12.240064,23100
2014-05-19,25.18,25.35,25.110001,25.15,12.167491,8900
2014-05-20,25.26,25.26,25.1,25.1,12.143306,5300
2014-05-21,25.1,25.200001,25.1,25.110001,12.148143,10100
2014-05-22,25.1,25.25,25.1,25.190001,12.186846,12400
2014-05-23,25.15,25.52,25.15,25.25,12.215874,17200
2014-05-27,25.120001,25.690001,25.049999,25.27,12.225549,12800
2014-05-28,25.549999,25.639999,25.049999,25.58,12.375525,26100
2014-05-29,25.5,25.67,25.27,25.5,12.336819,18500
2014-05-30,25.5,25.75,25.299999,25.299999,12.240064,25500
2014-06-02,25.610001,25.75,25.41,25.74,12.452936,9900
2014-06-03,25.74,25.75,25.15,25.4,12.288442,17300
2014-06-04,25.209999,26.51,25.209999,26.15,12.651288,11300
2014-06-05,25.99,26.0,25.49,25.6,12.3852,10000
2014-06-06,25.959999,26.16,25.559999,26.1,12.627096,6300
2014-06-09,26.24,26.35,25.74,25.74,12.452936,16300
2014-06-10,26.110001,26.25,25.59,26.200001,12.675482,13800
2014-06-11,25.51,26.049999,25.51,25.57,12.611363,11800
2014-06-12,25.75,25.75,25.549999,25.549999,12.601501,9300
2014-06-13,25.719999,25.9,25.59,25.82,12.734666,6400
2014-06-16,25.98,26.15,25.549999,25.719999,12.685345,10000
2014-06-17,25.6,26.030001,25.6,25.799999,12.724801,13000
2014-06-18,25.799999,26.469999,25.5,26.02,12.833302,28100
2014-06-19,25.959999,26.1,25.530001,25.77,12.710004,12300
2014-06-20,26.120001,26.549999,25.52,25.549999,12.601501,61400
2014-06-23,25.77,26.139999,25.360001,25.360001,12.507794,23300
2014-06-24,25.48,25.48,24.9,25.26,12.458468,5000
2014-06-25,25.32,25.59,25.219999,25.25,12.453535,9000
2014-06-26,25.1,25.58,24.969999,25.530001,12.591636,24900
2014-06-27,25.6,26.129999,25.51,25.52,12.586698,22500
2014-06-30,25.75,25.75,25.0,25.379999,12.51765,7700
2014-07-01,25.389999,25.98,25.309999,25.98,12.813577,10200
2014-07-02,26.299999,26.549999,25.51,26.5,13.070046,18200
2014-07-03,26.280001,27.23,26.0,26.84,13.23774,18500
2014-07-07,26.559999,26.559999,26.15,26.15,12.897421,5700
2014-07-08,26.4,26.5,26.01,26.030001,12.838243,5800
2014-07-09,26.190001,26.190001,25.559999,25.93,12.788916,9200
2014-07-10,25.950001,25.950001,25.700001,25.790001,12.719872,6900
2014-07-11,25.719999,26.5,25.309999,25.35,12.502857,16800
2014-07-14,25.48,25.690001,25.450001,25.549999,12.601501,14000
2014-07-15,25.68,25.700001,25.360001,25.49,12.571906,11500
2014-07-16,25.4,26.09,25.35,25.389999,12.522589,6000
2014-07-17,25.48,26.0,25.26,25.34,12.497925,7900
2014-07-18,25.5,26.5,25.27,25.27,12.463399,9200
2014-07-21,25.26,26.49,25.049999,25.709999,12.680412,26200
2014-07-22,25.6,26.030001,25.5,26.0,12.823441,10600
2014-07-23,25.76,25.76,24.92,25.49,12.571906,31400
2014-07-24,25.59,25.59,25.049999,25.1,12.379553,3300
2014-07-25,25.209999,25.209999,25.049999,25.190001,12.423943,11400
2014-07-28,25.030001,25.5,25.0,25.5,12.576834,6500
2014-07-29,24.93,25.559999,24.93,25.559999,12.60643,22700
