Date,Open,High,Low,Close,Adj Close,Volume
2021-10-13,0.852,1.24,0.852,1.19,1.19,283800
2021-10-14,1.5,1.5,1.14,1.15,1.15,99300
2021-10-15,1.02,1.18,1.02,1.09,1.09,27500
2021-10-18,1.03,1.19,1.03,1.04,1.04,19200
2021-10-19,1.11,1.126,0.995,1.04,1.04,32100
2021-10-20,0.96,0.97,0.9,0.948,0.948,33300
2021-10-21,0.948,1.05,0.9,0.946,0.946,10000
2021-10-22,0.9,0.955,0.85,0.944,0.944,9500
2021-10-25,0.89,0.9,0.82,0.873,0.873,15500
2021-10-26,0.83,0.87,0.83,0.858,0.858,18100
2021-10-27,0.86,1.05,0.86,0.95,0.95,39300
2021-10-28,0.96,1.02,0.95,0.985,0.985,14600
2021-10-29,1.05,1.12,1.02,1.08,1.08,8100
2021-11-01,1.12,1.33,1.09,1.22,1.22,225100
2021-11-02,1.62,1.8,1.13,1.26,1.26,324100
2021-11-03,1.1,1.16,1.0,1.01,1.01,58200
2021-11-04,1.09,1.09,0.93,0.93,0.93,19900
2021-11-05,0.94,0.97,0.91,0.965,0.965,11400
2021-11-08,0.91,1.04,0.91,0.98,0.98,7500
2021-11-09,1.11,1.11,0.9,0.9,0.9,23400
2021-11-10,0.9,0.94,0.812,0.84,0.84,40500
2021-11-11,0.81,0.82,0.75,0.75,0.75,7500
2021-11-12,0.75,0.75,0.71,0.75,0.75,1300
2021-11-15,0.72,1.49,0.72,0.835,0.835,1258200
2021-11-16,0.751,1.25,0.73,0.8,0.8,601200
2021-11-17,0.8,0.9,0.75,0.86,0.86,72200
2021-11-18,0.76,1.07,0.76,0.79,0.79,99600
2021-11-19,0.865,0.9,0.811,0.835,0.835,15400
2021-11-22,0.81,0.99,0.75,0.78,0.78,220100
2021-11-23,0.819,0.94,0.77,0.784,0.784,90700
2021-11-24,0.77,0.84,0.77,0.781,0.781,19400
2021-11-26,0.75,0.874,0.75,0.77,0.77,13300
2021-11-29,0.83,0.83,0.74,0.741,0.741,66100
2021-11-30,0.76,0.76,0.62,0.69,0.69,47600
2021-12-01,0.66,0.884,0.63,0.64,0.64,93000
2021-12-02,0.7,0.835,0.65,0.659,0.659,96600
2021-12-03,0.65,0.67,0.65,0.65,0.65,9600
2021-12-06,0.65,0.75,0.65,0.65,0.65,9000
2021-12-07,0.67,0.7,0.65,0.681,0.681,4200
2021-12-08,0.69,0.73,0.67,0.67,0.67,7700
2021-12-09,0.72,0.75,0.66,0.681,0.681,26800
2021-12-10,0.72,0.79,0.7,0.73,0.73,16100
2021-12-13,0.73,0.75,0.666,0.73,0.73,6700
2021-12-14,0.726,0.727,0.7,0.7,0.7,2200
2021-12-15,0.727,0.73,0.69,0.72,0.72,6300
2021-12-16,0.72,0.72,0.68,0.68,0.68,2100
2021-12-17,0.69,0.69,0.66,0.66,0.66,9800
2021-12-20,0.708,0.708,0.708,0.708,0.708,200
2021-12-21,0.752,0.752,0.663,0.663,0.663,3300
2021-12-22,0.67,0.67,0.67,0.67,0.67,400
2021-12-23,0.757,0.757,0.747,0.757,0.757,12500
2021-12-27,0.72,0.72,0.68,0.682,0.682,2200
