Date,Open,High,Low,Close,Adj Close,Volume
2011-03-29,20.0,20.01,20.0,20.01,7.762796,1443700
2011-03-30,19.450001,20.030001,19.450001,20.02,7.766676,120000
2011-03-31,20.02,20.049999,20.0,20.01,7.762796,139600
2011-04-01,20.02,20.030001,20.0,20.01,7.762796,95800
2011-04-04,20.040001,20.049999,20.01,20.02,7.766676,90600
2011-04-05,20.02,20.040001,20.0,20.030001,7.770555,111500
2011-04-06,20.040001,20.139999,20.01,20.02,7.766676,128800
2011-04-07,20.049999,20.07,20.01,20.040001,7.774437,93000
2011-04-08,20.1,20.1,20.01,20.040001,7.774437,82000
2011-04-11,20.07,20.09,20.02,20.030001,7.770555,74700
2011-04-12,20.049999,20.07,20.0,20.0,7.758915,66900
2011-04-13,20.030001,20.049999,20.0,20.0,7.758915,36800
2011-04-14,20.0,20.01,20.0,20.0,7.758915,39100
2011-04-15,20.01,20.040001,20.0,20.040001,7.774437,43800
2011-04-18,20.040001,20.040001,20.0,20.0,7.758915,167600
2011-04-19,20.02,20.030001,20.0,20.02,7.766676,74200
2011-04-20,20.040001,20.059999,20.01,20.040001,7.774437,93300
2011-04-21,20.040001,20.040001,20.0,20.01,7.762796,59100
2011-04-25,20.0,20.040001,20.0,20.0,7.758915,75900
2011-04-26,20.0,20.02,20.0,20.0,7.758915,64400
2011-04-27,20.0,20.01,20.0,20.0,7.758915,50800
2011-04-28,20.0,20.030001,20.0,20.0,7.758915,42200
2011-04-29,20.01,20.02,20.0,20.02,7.766676,49000
2011-05-02,20.02,20.030001,20.0,20.0,7.758915,26000
2011-05-03,20.0,20.030001,20.0,20.0,7.758915,119000
2011-05-04,20.0,20.030001,20.0,20.0,7.758915,908800
2011-05-05,20.0,20.030001,20.0,20.0,7.758915,242600
2011-05-06,20.0,20.01,20.0,20.0,7.758915,231700
2011-05-09,20.0,20.01,20.0,20.0,7.758915,213000
2011-05-10,20.0,20.01,20.0,20.0,7.758915,96600
2011-05-11,20.0,20.01,20.0,20.0,7.758915,354200
2011-05-12,20.0,20.030001,20.0,20.01,7.762796,376000
2011-05-13,20.059999,20.059999,19.139999,19.200001,7.44856,300700
2011-05-16,19.1,19.15,18.85,19.110001,7.413647,129600
2011-05-17,18.9,18.950001,18.700001,18.940001,7.347693,181700
2011-05-18,18.940001,19.360001,18.83,19.290001,7.483479,81900
2011-05-19,19.299999,19.4,19.1,19.200001,7.44856,73000
2011-05-20,19.1,19.200001,18.9,19.059999,7.394246,81600
2011-05-23,19.030001,19.030001,18.17,18.540001,7.192521,250400
2011-05-24,18.620001,18.809999,18.25,18.34,7.114927,240500
2011-05-25,18.49,18.709999,18.469999,18.65,7.235191,98300
2011-05-26,18.76,18.889999,18.709999,18.83,7.305022,81900
2011-05-27,18.92,19.049999,18.83,19.0,7.370967,76300
2011-05-31,19.049999,19.08,19.0,19.059999,7.394246,50400
2011-06-01,19.15,19.299999,19.030001,19.07,7.398128,122500
2011-06-02,19.82,19.82,18.959999,19.01,7.374847,84500
2011-06-03,19.01,19.01,18.799999,18.799999,7.293384,58600
2011-06-06,18.860001,18.940001,18.700001,18.860001,7.316658,96700
2011-06-07,18.780001,18.83,18.49,18.790001,7.2895,80100
2011-06-08,18.860001,18.860001,18.52,18.620001,7.223554,77100
2011-06-09,18.65,18.74,18.120001,18.559999,7.200276,135700
2011-06-10,18.559999,18.690001,18.35,18.459999,7.16148,146700
2011-06-13,17.950001,18.15,17.889999,17.91,7.082392,30400
2011-06-14,17.889999,18.129999,17.860001,18.07,7.145662,113600
2011-06-15,18.01,18.030001,17.389999,17.780001,7.030987,170700
2011-06-16,17.530001,17.950001,17.51,17.82,7.0468,154700
2011-06-17,17.85,18.370001,17.5,17.75,7.019123,117000
2011-06-20,17.65,18.08,17.65,18.07,7.145662,65400
2011-06-21,18.200001,18.719999,18.049999,18.67,7.382928,103800
2011-06-22,18.52,18.52,18.23,18.42,7.284068,66800
2011-06-23,18.42,18.42,17.85,18.18,7.189163,111100
2011-06-24,18.18,18.33,18.07,18.209999,7.201024,58900
2011-06-27,18.299999,18.67,17.98,18.01,7.121937,104400
2011-06-28,18.02,18.200001,18.02,18.08,7.14962,71200
2011-06-29,18.1,18.35,18.1,18.34,7.252435,119100
2011-06-30,19.040001,19.040001,18.530001,18.559999,7.339428,116400
2011-07-01,18.59,18.690001,18.4,18.68,7.386883,53000
2011-07-05,18.66,18.85,18.540001,18.76,7.418521,65500
2011-07-06,18.620001,18.969999,18.620001,18.950001,7.493654,70900
2011-07-07,18.959999,19.15,18.93,19.059999,7.537152,109500
2011-07-08,19.01,19.24,18.91,19.120001,7.560877,81300
2011-07-11,18.799999,18.799999,18.5,18.719999,7.4027,97900
2011-07-12,18.66,18.700001,18.6,18.700001,7.394795,61900
2011-07-13,18.73,18.9,18.73,18.77,7.422476,95400
2011-07-14,18.85,18.85,18.6,18.790001,7.430378,83300
2011-07-15,18.83,18.85,18.629999,18.780001,7.426429,64600
2011-07-18,18.719999,18.799999,18.4,18.67,7.382928,79500
2011-07-19,18.67,18.98,18.49,18.790001,7.430378,223600
2011-07-20,18.9,18.92,18.6,18.91,7.477837,120600
2011-07-21,18.91,18.98,18.6,18.68,7.386883,158100
2011-07-22,18.629999,18.91,18.549999,18.68,7.386883,125300
2011-07-25,18.65,18.83,18.32,18.379999,7.268247,101300
2011-07-26,18.32,18.440001,18.120001,18.43,7.288024,195900
