Date,Open,High,Low,Close,Adj Close,Volume
2005-08-30,15.09,15.13,15.01,15.09,3.185686,63500
2005-08-31,15.09,15.12,15.02,15.1,3.187796,69800
2005-09-01,15.15,15.23,15.07,15.14,3.196241,101600
2005-09-02,15.15,15.17,15.06,15.14,3.196241,62800
2005-09-06,15.19,15.2,15.1,15.2,3.208909,47000
2005-09-07,15.2,15.22,15.06,15.14,3.196241,90900
2005-09-08,15.17,15.2,15.05,15.18,3.204685,84400
2005-09-09,15.19,15.22,15.12,15.14,3.196241,43100
2005-09-12,15.1,15.19,15.04,15.13,3.194131,47500
2005-09-13,15.18,15.19,15.08,15.19,3.206798,61100
2005-09-14,15.17,15.17,15.07,15.14,3.196241,41500
2005-09-15,15.1,15.11,15.0,15.0,3.166685,73700
2005-09-16,15.0,15.08,15.0,15.03,3.173021,72000
2005-09-19,15.1,15.11,15.0,15.0,3.166685,75600
2005-09-20,15.01,15.05,15.0,15.01,3.168798,74900
2005-09-21,15.0,15.02,15.0,15.0,3.166685,136100
2005-09-22,15.0,15.01,15.0,15.0,3.166685,102400
2005-09-23,15.01,15.05,15.0,15.0,3.166685,94100
2005-09-26,15.0,15.01,15.0,15.01,3.168798,156200
2005-09-27,15.0,15.01,15.0,15.01,3.168798,60400
2005-09-28,15.0,15.01,15.0,15.0,3.166685,112000
2005-09-29,15.0,15.01,15.0,15.0,3.166685,1011500
2005-09-30,15.0,15.01,15.0,15.0,3.166685,237100
2005-10-03,15.0,15.01,15.0,15.0,3.166685,130300
2005-10-04,15.01,15.01,15.0,15.0,3.166685,226300
2005-10-05,15.0,15.01,15.0,15.0,3.166685,156000
2005-10-06,15.01,15.02,14.5,15.0,3.166685,396600
2005-10-07,14.9,15.0,14.75,14.81,3.126575,79300
2005-10-10,14.77,14.8,14.51,14.8,3.124463,95400
2005-10-11,14.85,14.9,14.52,14.55,3.071686,74100
2005-10-12,14.6,14.9,14.4,14.88,3.141352,130600
2005-10-13,14.81,14.85,14.4,14.44,3.048463,91800
2005-10-14,14.35,14.5,14.01,14.11,2.978795,119500
2005-10-17,14.05,14.5,14.05,14.5,3.061129,57200
2005-10-18,14.37,14.68,14.35,14.46,3.052686,54400
2005-10-19,14.64,14.74,14.47,14.56,3.073797,65100
2005-10-20,14.63,14.64,14.28,14.45,3.050575,82000
2005-10-21,14.35,14.53,14.05,14.11,2.978795,78700
2005-10-24,14.1,14.2,13.74,13.85,2.945198,103400
2005-10-25,13.8,13.89,13.25,13.62,2.896287,170300
2005-10-26,13.72,13.74,13.2,13.58,2.88778,233300
2005-10-27,13.59,13.99,13.59,13.84,2.94307,89700
2005-10-28,13.8,13.9,13.73,13.89,2.953707,52000
2005-10-31,14.15,14.25,13.68,13.79,2.932438,152300
2005-11-01,13.77,13.95,13.69,13.92,2.960083,90000
2005-11-02,13.98,14.0,13.85,13.9,2.955829,110200
2005-11-03,13.98,14.02,13.8,14.02,2.981348,106300
2005-11-04,14.02,14.02,13.9,14.02,2.981348,61900
2005-11-07,14.02,14.1,13.93,14.04,2.9856,96400
2005-11-08,14.09,14.17,13.96,13.97,2.970714,71100
2005-11-09,14.07,14.11,13.92,13.97,2.970714,85200
2005-11-10,13.87,14.07,13.87,13.96,2.990424,89500
2005-11-11,13.96,14.02,13.54,13.69,2.932585,99800
2005-11-14,13.76,13.77,13.38,13.55,2.902595,131300
2005-11-15,13.55,13.6,13.04,13.29,2.846899,202000
2005-11-16,13.29,13.29,13.07,13.14,2.814766,265800
2005-11-17,13.08,13.44,13.04,13.42,2.874748,235800
2005-11-18,13.42,13.6,13.15,13.35,2.859753,192400
2005-11-21,13.2,13.3,12.9,13.09,2.804055,343200
2005-11-22,13.14,13.45,12.75,13.1,2.806198,317400
2005-11-23,13.05,13.34,12.91,13.08,2.801917,242100
2005-11-25,13.17,13.5,13.17,13.5,2.891884,75200
2005-11-28,13.5,13.7,13.3,13.44,2.879033,195000
2005-11-29,13.27,13.59,13.18,13.25,2.838331,262100
2005-11-30,13.22,13.27,13.06,13.19,2.825479,265500
2005-12-01,13.25,13.4,13.13,13.36,2.861895,249300
2005-12-02,13.42,13.58,13.23,13.37,2.864037,167500
2005-12-05,13.39,13.58,13.09,13.24,2.83619,189600
2005-12-06,13.14,13.34,13.11,13.25,2.838331,313600
2005-12-07,13.18,13.3,13.04,13.19,2.825479,239500
2005-12-08,13.1,13.19,12.83,13.05,2.795489,281500
2005-12-09,12.95,13.15,12.83,13.07,2.799774,213200
2005-12-12,13.05,13.16,12.82,12.95,2.774069,347500
2005-12-13,12.85,12.9,12.61,12.62,2.724837,290800
2005-12-14,12.65,12.93,12.61,12.64,2.729157,323600
2005-12-15,12.66,12.85,12.52,12.75,2.752908,409700
2005-12-16,12.65,12.82,12.57,12.66,2.733475,389000
2005-12-19,12.61,12.88,12.41,12.45,2.688135,502300
2005-12-20,12.5,12.5,12.16,12.21,2.636314,615500
2005-12-21,12.25,12.5,12.22,12.47,2.692451,640300
2005-12-22,12.3,12.95,12.3,12.95,2.796089,612500
2005-12-23,12.8,12.98,12.55,12.88,2.780977,473100
2005-12-27,13.0,13.0,12.51,12.79,2.761545,521300
2005-12-28,12.63,12.91,12.63,12.74,2.750749,385600
2005-12-29,12.66,12.89,12.64,12.75,2.752908,391700
2005-12-30,12.7,12.85,12.53,12.8,2.763702,520600
2006-01-03,12.89,13.1,12.87,13.1,2.828479,243500
2006-01-04,13.15,13.43,13.1,13.42,2.89757,254600
2006-01-05,13.41,13.56,13.28,13.42,2.89757,276000
2006-01-06,13.5,13.7,13.45,13.6,2.936434,204200
2006-01-09,13.62,13.73,13.51,13.68,2.953708,242500
2006-01-10,13.63,13.76,13.52,13.76,2.970981,247900
2006-01-11,13.78,13.87,13.69,13.84,2.988253,220400
2006-01-12,13.64,13.78,13.42,13.68,2.975639,171700
2006-01-13,13.74,13.8,13.6,13.69,2.977813,164500
2006-01-17,13.7,13.89,13.45,13.54,2.945185,202100
2006-01-18,13.35,13.75,13.16,13.65,2.969113,227700
2006-01-19,13.55,13.8,13.42,13.53,2.943011,200600
2006-01-20,13.66,13.74,13.55,13.65,2.969113,269000
2006-01-23,13.79,13.85,13.55,13.56,2.949537,288500
2006-01-24,13.63,13.64,13.4,13.44,2.923434,237600
2006-01-25,13.38,13.42,13.26,13.35,2.903857,250100
2006-01-26,13.45,13.55,13.35,13.41,2.916909,282100
2006-01-27,13.46,13.46,13.27,13.33,2.899507,209200
2006-01-30,13.39,13.64,13.34,13.49,2.93431,256000
2006-01-31,13.59,13.74,13.4,13.5,2.936484,269000
2006-02-01,13.65,13.94,13.63,13.92,3.027843,310600
2006-02-02,13.93,13.96,13.7,13.89,3.021317,243000
2006-02-03,13.9,14.14,13.75,14.02,3.049593,263500
2006-02-06,14.05,14.1,13.93,13.99,3.04307,238200
2006-02-07,13.89,14.06,13.84,14.0,3.045245,211400
2006-02-08,14.05,14.18,13.96,14.04,3.053944,191300
2006-02-09,14.04,14.1,13.86,14.0,3.045245,201100
2006-02-10,14.05,14.09,13.86,14.04,3.053944,147900
2006-02-13,14.03,14.09,13.69,13.86,3.036855,212600
2006-02-14,13.79,14.05,13.79,13.91,3.047809,190200
2006-02-15,13.94,13.94,13.62,13.7,3.001797,186900
2006-02-16,13.81,13.84,13.66,13.74,3.010562,155800
2006-02-17,13.75,13.76,13.66,13.67,2.995224,170000
2006-02-21,13.85,13.9,13.62,13.68,2.997415,271400
2006-02-22,13.74,13.8,13.64,13.7,3.001797,224400
2006-02-23,13.77,13.85,13.61,13.71,3.003987,280200
