Date,Open,High,Low,Close,Adj Close,Volume
1986-07-24,29.625,29.625,29.25,29.25,4.137663,7367
1986-07-25,29.25,29.625,29.25,29.625,4.190711,7533
1986-07-28,29.625,29.625,29.25,29.25,4.137663,1433
1986-07-29,29.25,29.625,29.25,29.25,4.137663,4200
1986-07-30,29.25,29.625,29.25,29.625,4.190711,2100
1986-07-31,29.625,29.625,29.25,29.25,4.137663,4067
1986-08-01,29.25,29.25,29.25,29.25,4.137663,1067
1986-08-04,29.25,29.25,29.25,29.25,4.137663,433
1986-08-05,28.875,28.875,28.5,28.875,4.084617,1100
1986-08-06,28.875,28.875,28.5,28.875,4.084617,2800
1986-08-07,28.875,28.875,28.5,28.5,4.031569,2267
1986-08-08,28.5,29.25,28.5,28.5,4.031569,2100
1986-08-11,28.5,28.875,28.5,28.875,4.084617,100
1986-08-12,28.875,28.875,28.5,28.875,4.084617,1800
1986-08-13,28.875,29.25,28.875,29.25,4.137663,400
1986-08-14,28.875,28.875,28.875,28.875,4.084617,67
1986-08-15,28.875,29.25,28.875,28.875,4.084617,567
1986-08-18,28.875,28.875,28.5,28.875,4.084617,1167
1986-08-19,28.875,28.875,28.5,28.875,4.084617,1033
1986-08-20,28.875,28.875,28.5,28.5,4.031569,700
1986-08-21,28.875,28.875,28.875,28.875,4.084617,300
1986-08-22,28.875,28.875,28.5,28.875,4.084617,1267
1986-08-25,29.25,29.25,29.25,29.25,4.137663,2567
1986-08-26,29.25,29.25,28.875,28.875,4.084617,967
1986-08-27,29.25,29.25,29.25,29.25,4.137663,233
1986-08-28,28.875,28.875,28.875,28.875,4.084617,67
1986-08-29,29.25,29.25,29.25,29.25,4.137663,167
1986-09-02,29.25,29.25,29.25,29.25,4.137663,167
1986-09-03,29.25,29.625,29.25,29.25,4.137663,2000
1986-09-04,29.25,30.0,29.25,30.0,4.243757,1067
1986-09-05,30.375,30.375,30.375,30.375,4.296804,33
1986-09-08,30.375,30.75,30.375,30.75,4.349853,933
1986-09-09,30.75,30.75,30.375,30.375,4.296804,433
1986-09-10,30.375,30.75,30.0,30.0,4.243757,2333
1986-09-11,30.0,30.0,30.0,30.0,4.243757,333
1986-09-12,30.0,30.375,29.25,29.625,4.190711,700
1986-09-15,29.625,30.0,29.625,30.0,4.243757,533
1986-09-16,30.0,30.0,29.625,30.0,4.243757,533
1986-09-17,30.0,30.0,29.625,29.625,4.190711,567
1986-09-18,29.625,29.625,29.25,29.625,4.190711,200
1986-09-19,29.625,29.625,29.625,29.625,4.190711,0
1986-09-22,29.625,29.625,29.625,29.625,4.190711,133
1986-09-23,29.625,29.625,29.625,29.625,4.190711,133
1986-09-24,28.875,28.875,28.875,28.875,4.084617,333
1986-09-25,29.25,29.625,29.25,29.625,4.190711,100
1986-09-26,29.625,29.625,29.625,29.625,4.190711,0
1986-09-29,29.25,29.25,29.25,29.25,4.137663,267
1986-09-30,29.625,30.375,29.625,30.0,4.243757,1200
1986-10-01,30.0,30.0,30.0,30.0,4.243757,233
