Date,Open,High,Low,Close,Adj Close,Volume
2020-05-21,31.436001,31.436001,31.436001,31.436001,26.838596,413400
2020-05-22,50.099998,51.75,31.436001,31.436001,26.838596,3128900
2020-05-26,51.25,52.0,31.436001,31.436001,26.838596,1666400
2020-05-27,49.75,50.349998,31.436001,31.436001,26.838596,2945900
2020-05-28,51.290001,52.0,31.436001,31.436001,26.838596,1044700
2020-05-29,52.0,52.0,31.436001,31.436001,26.838596,573600
2020-06-01,52.220001,52.389999,51.709999,52.09,44.472023,282200
2020-06-02,52.099998,52.099998,51.299999,51.799999,44.224438,452800
2020-06-03,51.790001,51.950001,51.400002,51.950001,44.352501,318400
2020-06-04,51.75,52.099998,51.400002,51.990002,44.38665,591500
2020-06-05,55.09,55.09,51.700001,51.849998,44.267113,623600
2020-06-08,52.0,52.740002,51.84,52.669998,44.967201,199400
2020-06-09,54.0,54.0,51.240002,51.349998,43.840244,514600
2020-06-10,51.43,51.75,51.220001,51.25,43.754868,980100
2020-06-11,51.0,51.32,49.990002,50.139999,42.807201,1427100
2020-06-12,53.279999,53.279999,49.950001,50.23,42.884037,1343800
2020-06-15,50.5,50.93,49.619999,50.720001,43.302383,732300
2020-06-16,50.98,51.669998,50.834,50.959999,43.507278,737300
2020-06-17,53.75,53.75,50.950001,51.189999,43.703644,142900
2020-06-18,52.549999,52.549999,50.752998,50.82,43.387753,346700
2020-06-19,50.82,51.389999,50.82,51.349998,43.840244,535700
2020-06-22,51.84,51.84,50.5,51.0,43.541431,423600
2020-06-23,52.52,52.52,51.25,51.5,43.968311,291900
2020-06-24,52.25,52.25,50.029999,50.82,43.387753,413600
2020-06-25,50.709999,50.720001,49.540001,50.369999,43.003571,924000
2020-06-26,50.5,51.198002,50.25,51.139999,43.660957,258000
2020-06-29,51.139999,51.139999,50.32,51.0,43.541431,1044200
2020-06-30,50.669998,53.240002,50.57,53.200001,45.419689,5405200
2020-07-01,53.139999,53.764999,52.855,53.610001,45.76973,223800
2020-07-02,53.400002,54.443001,53.169998,54.049999,46.145374,81100
2020-07-06,54.779999,55.77,54.779999,55.599998,47.468697,190500
2020-07-07,55.110001,55.700001,55.110001,55.5,47.383324,71500
2020-07-08,55.055,56.125,54.880001,55.610001,47.477238,541900
2020-07-09,54.599998,56.740002,54.599998,56.5,48.23708,77500
2020-07-10,58.674999,58.674999,54.889999,56.470001,48.211464,387700
2020-07-13,56.470001,57.18,56.257999,56.400002,48.151707,247500
2020-07-14,57.0,57.25,56.299999,57.189999,48.826164,19300
2020-07-15,58.0,58.189999,57.505001,58.080002,49.58601,576100
2020-07-16,57.77,58.490002,57.77,57.970001,49.492088,71700
2020-07-17,58.169998,60.869999,56.529999,56.529999,48.262691,525100
2020-07-20,57.049999,60.389999,57.049999,58.220001,49.70554,194600
2020-07-21,58.810001,60.889999,58.59,58.889999,50.27755,281500
2020-07-22,58.939999,59.5,58.939999,59.080002,50.439762,143100
2020-07-23,58.970001,60.849998,58.860001,59.330002,50.653198,257600
2020-07-24,59.09,59.119999,58.810001,58.880001,50.269009,40200
2020-07-27,59.400002,59.740002,58.505001,59.549999,50.841022,157600
2020-07-28,59.830002,59.939999,58.91,58.91,50.294628,55100
2020-07-29,59.27,60.02,59.189999,59.689999,50.960552,201400
2020-07-30,59.52,59.540001,58.970001,59.310001,50.636124,84800
2020-07-31,59.509998,60.34,59.32,60.299999,51.481331,188300
2020-08-03,60.560001,60.900002,59.009998,60.09,51.302052,70200
2020-08-04,60.349998,60.77,59.595001,60.450001,51.609402,81600
2020-08-05,61.080002,61.080002,60.360001,60.529999,51.677696,221800
2020-08-06,58.279999,58.959999,56.474998,56.650002,48.365147,275000
2020-08-07,56.93,57.150002,56.099998,56.290001,48.057793,539700
2020-08-10,56.470001,58.035,56.0,56.369999,48.126087,291900
2020-08-11,56.82,56.93,56.139999,56.139999,47.929726,173300
2020-08-12,56.759998,57.450001,56.029999,56.029999,47.835815,377900
2020-08-13,55.650002,56.240002,55.380001,56.02,48.51302,179900
2020-08-14,56.130001,56.139999,55.02,55.18,47.785587,26500
2020-08-17,55.200001,56.395,55.130001,55.599998,48.149303,24700
2020-08-18,56.049999,56.919998,55.779999,56.610001,49.023956,226300
2020-08-19,56.32,56.404999,55.900002,56.240002,48.703541,34500
2020-08-20,55.740002,56.18,55.709999,55.75,48.279198,41700
2020-08-21,55.349998,55.779999,55.349998,55.599998,48.149303,108600
2020-08-24,55.869999,56.0,55.25,55.32,47.906822,100800
2020-08-25,55.470001,55.689999,55.25,55.389999,47.967445,258700
2020-08-26,55.349998,55.580002,54.75,55.32,47.906822,36500
2020-08-27,53.200001,54.650002,52.200001,54.32,47.040829,690000
2020-08-28,54.75,56.619999,53.52,53.98,46.746387,710800
2020-08-31,53.900002,54.07,53.43,53.43,46.270092,228300
2020-09-01,53.419998,54.029999,52.990002,53.41,46.252777,291600
2020-09-02,53.970001,54.080002,53.57,53.919998,46.694431,243200
2020-09-03,54.25,54.25,52.150002,52.310001,45.300186,66600
2020-09-04,52.73,52.889999,51.900002,52.0,45.031723,40000
2020-09-08,52.0,52.43,51.950001,52.07,45.092342,111100
