Date,Open,High,Low,Close,Adj Close,Volume
1983-12-06,0.0,3.3125,3.25,3.25,2.569382,343200
1983-12-07,0.0,3.375,3.25,3.25,2.569382,100400
1983-12-08,0.0,3.375,3.25,3.25,2.569382,90000
1983-12-09,0.0,3.375,3.25,3.25,2.569382,40000
1983-12-12,0.0,3.5625,3.375,3.375,2.668204,28800
1983-12-13,0.0,3.5,3.375,3.375,2.668204,53200
1983-12-14,0.0,3.8125,3.625,3.625,2.865848,101200
1983-12-15,0.0,3.6875,3.5,3.5,2.767026,30800
1983-12-16,0.0,3.75,3.5625,3.5625,2.816436,8800
1983-12-19,0.0,3.8125,3.625,3.625,2.865848,30000
1983-12-20,0.0,4.0,3.8125,3.8125,3.014082,43200
1983-12-21,0.0,4.125,3.875,3.875,3.063492,28000
1983-12-22,0.0,4.5625,4.0625,4.0625,3.211726,77600
1983-12-23,0.0,4.5625,4.0625,4.0625,3.211726,46800
1983-12-27,0.0,4.5625,4.0625,4.0625,3.211726,4400
1983-12-28,0.0,4.5,4.0,4.0,3.162315,2000
1983-12-29,0.0,4.3125,3.9375,3.9375,3.112904,10400
1983-12-30,0.0,4.3125,4.0,4.0,3.162315,21200
1984-01-03,0.0,4.5625,4.125,4.125,3.261137,12800
1984-01-04,0.0,4.6875,4.25,4.25,3.35996,22400
1984-01-05,0.0,4.875,4.4375,4.4375,3.508193,38000
1984-01-06,0.0,4.8125,4.5,4.5,3.557605,73600
1984-01-09,0.0,5.0625,4.6875,4.6875,3.705837,49200
1984-01-10,0.0,5.0625,4.625,4.625,3.656426,60000
1984-01-11,0.0,5.0,4.5625,4.5625,3.607016,60800
1984-01-12,0.0,5.125,4.875,4.875,3.854073,73200
1984-01-13,0.0,5.3125,4.9375,4.9375,3.903482,32000
1984-01-16,0.0,5.875,5.5,5.5,4.348184,101200
1984-01-17,0.0,5.875,5.5,5.5,4.348184,78000
1984-01-18,0.0,6.125,5.6875,5.6875,4.496417,93600
1984-01-19,0.0,6.375,6.0,6.0,4.743474,98800
1984-01-20,0.0,6.3125,5.9375,5.9375,4.694061,81200
1984-01-23,0.0,6.0625,5.75,5.75,4.545828,18400
1984-01-24,0.0,6.125,5.8125,5.8125,4.595239,48800
1984-01-25,0.0,6.25,5.875,5.875,4.644651,53200
1984-01-26,0.0,6.25,5.875,5.875,4.644651,186800
1984-01-27,0.0,6.25,5.875,5.875,4.644651,11200
1984-01-30,0.0,6.125,5.875,5.875,4.644651,25600
1984-01-31,0.0,6.125,5.75,5.75,4.545828,75600
1984-02-01,0.0,5.875,5.5,5.5,4.348184,40400
1984-02-02,0.0,5.6875,5.4375,5.4375,4.298771,38800
1984-02-03,0.0,5.625,5.3125,5.3125,4.199952,6000
1984-02-06,0.0,5.5,5.1875,5.1875,4.101129,36000
1984-02-07,0.0,5.4375,5.1875,5.1875,4.101129,40000
1984-02-08,0.0,5.375,5.0625,5.0625,4.002305,42000
1984-02-09,0.0,5.125,4.8125,4.8125,3.80466,32800
1984-02-10,0.0,5.125,4.875,4.875,3.854073,28800
1984-02-13,0.0,5.1875,4.875,4.875,3.854073,28800
1984-02-14,0.0,5.25,4.9375,4.9375,3.903482,34000
1984-02-15,0.0,5.25,5.0,5.0,3.952893,32000
1984-02-16,0.0,5.0625,4.8125,4.8125,3.80466,78000
1984-02-17,0.0,5.0625,4.875,4.875,3.854073,15200
1984-02-21,0.0,5.25,5.0625,5.0625,4.002305,27200
1984-02-22,0.0,5.25,5.0,5.0,3.952893,23600
1984-02-23,0.0,5.25,5.0,5.0,3.952893,19600
1984-02-24,0.0,5.625,5.25,5.25,4.15054,22400
1984-02-27,0.0,5.6875,5.5,5.5,4.348184,30000
1984-02-28,0.0,5.6875,5.3125,5.3125,4.199952,21600
1984-02-29,0.0,5.625,5.3125,5.3125,4.199952,9600
1984-03-01,0.0,5.625,5.3125,5.3125,4.199952,2400
1984-03-02,0.0,5.625,5.375,5.375,4.249361,8400
1984-03-05,0.0,5.625,5.375,5.375,4.249361,12800
1984-03-06,0.0,5.5625,5.375,5.375,4.249361,22000
1984-03-07,0.0,5.5625,5.25,5.25,4.15054,6400
1984-03-08,0.0,6.0,5.75,5.75,4.545828,22000
1984-03-09,0.0,6.0,5.6875,5.6875,4.496417,16800
1984-03-12,0.0,6.0,5.8125,5.8125,4.595239,30000
1984-03-13,0.0,6.5,6.25,6.25,4.941116,49200
1984-03-14,0.0,6.4375,6.25,6.25,4.941116,36000
1984-03-15,0.0,6.4375,6.1875,6.1875,4.891706,25200
1984-03-16,0.0,6.625,6.3125,6.3125,4.990527,94400
1984-03-19,0.0,6.5625,6.25,6.25,4.941116,21600
1984-03-20,0.0,6.625,6.25,6.25,4.941116,2800
1984-03-21,0.0,6.5,6.25,6.25,4.941116,19200
1984-03-22,0.0,6.5,6.1875,6.1875,4.891706,8800
1984-03-23,0.0,6.5,6.1875,6.1875,4.891706,4400
1984-03-26,0.0,6.375,6.125,6.125,4.842295,14400
1984-03-27,0.0,6.3125,6.125,6.125,4.842295,2800
1984-03-28,0.0,6.375,6.1875,6.1875,4.891706,32000
1984-03-29,0.0,6.5,6.25,6.25,4.941116,29600
1984-03-30,0.0,6.5,6.25,6.25,4.941116,17600
1984-04-02,0.0,6.25,6.0,6.0,4.743474,32000
1984-04-03,0.0,6.25,5.875,5.875,4.644651,10400
1984-04-04,0.0,6.1875,5.875,5.875,4.644651,7600
1984-04-05,0.0,6.1875,5.875,5.875,4.644651,6800
1984-04-06,0.0,6.1875,5.875,5.875,4.644651,9600
1984-04-09,0.0,6.1875,5.875,5.875,4.644651,16400
1984-04-10,0.0,6.125,5.8125,5.8125,4.595239,6800
1984-04-11,0.0,6.125,5.8125,5.8125,4.595239,5600
1984-04-12,0.0,6.0625,5.875,5.875,4.644651,23200
