Date,Open,High,Low,Close,Adj Close,Volume
2021-12-14,24.950001,25.02,24.85,24.98,23.02763,189700
2021-12-15,24.9,25.120001,24.74,25.09,23.129034,99300
2021-12-16,24.93,25.290001,24.93,25.18,23.211998,208000
2021-12-17,25.0,25.48,25.0,25.25,23.276525,149100
2021-12-20,25.209999,25.32,25.129999,25.24,23.267309,129500
2021-12-21,25.15,25.35,25.15,25.25,23.276525,65800
2021-12-22,25.309999,25.450001,25.25,25.35,23.368713,110500
2021-12-23,25.365,25.450001,25.280001,25.445,23.456285,51900
2021-12-27,25.440001,25.5,25.358999,25.5,23.50699,145700
2021-12-28,25.415001,25.49,25.35,25.49,23.49777,137000
2021-12-29,25.48,25.6,25.4,25.52,23.525427,292400
2021-12-30,25.6,26.450001,25.5,25.91,23.884945,301500
2021-12-31,25.98,26.389999,25.76,26.25,24.19837,2016800
2022-01-03,26.24,27.01,26.139999,26.209999,24.161495,67800
2022-01-04,26.360001,26.360001,25.93,26.040001,24.004786,77000
2022-01-05,26.040001,26.219999,25.35,25.35,23.368713,28000
2022-01-06,25.450001,25.915001,25.26,25.73,23.719011,21900
2022-01-07,25.4,25.799999,25.370001,25.709999,23.700575,30000
2022-01-10,25.639999,25.709999,25.299999,25.42,23.433241,37600
2022-01-11,25.51,25.735001,25.15,25.41,23.424021,74800
2022-01-12,25.57,25.809999,25.33,25.540001,23.543861,71900
2022-01-13,25.620001,25.76,25.389999,25.440001,23.451677,58400
2022-01-14,25.440001,25.5,25.389999,25.4,23.414803,9500
2022-01-18,25.280001,25.299999,24.969999,25.139999,23.175123,19200
2022-01-19,25.15,25.17,24.870001,25.02,23.064507,22500
2022-01-20,25.09,25.32,25.07,25.23,23.258091,13500
2022-01-21,25.280001,25.280001,25.129999,25.129999,23.165905,4200
2022-01-24,25.059999,25.129999,24.76,25.07,23.110596,11900
2022-01-25,25.049999,25.200001,25.02,25.139999,23.175123,26000
2022-01-26,25.190001,25.24,24.860001,24.93,22.981537,17900
2022-01-27,24.98,25.1,23.75,24.02,22.142662,17000
2022-01-28,24.18,24.18,23.299999,23.85,21.985947,8900
2022-01-31,23.790001,24.33,23.5,24.18,22.290155,36900
2022-02-01,24.24,24.24,23.4,24.209999,22.31781,19500
2022-02-02,24.27,24.809999,23.309999,23.870001,22.004385,21900
2022-02-03,23.65,23.870001,23.469999,23.58,21.737051,15500
2022-02-04,23.559999,23.559999,22.780001,23.120001,21.313002,45900
2022-02-07,23.200001,23.200001,23.0,23.0,21.202379,1500
2022-02-08,22.950001,23.360001,22.610001,22.82,21.036451,20700
2022-02-09,23.0,23.0,22.690001,22.92,21.128633,27300
2022-02-10,22.780001,22.9,22.469999,22.75,20.971922,57400
2022-02-11,22.690001,22.84,22.57,22.629999,20.8613,19300
2022-02-14,22.719999,22.75,21.530001,21.91,20.197573,12300
2022-02-15,22.17,22.450001,21.76,22.379999,20.630838,32700
2022-02-16,22.5,22.5,21.969999,22.450001,20.69537,8700
2022-02-17,22.450001,22.450001,22.299999,22.43,20.676931,3500
2022-02-18,22.709999,22.709999,22.059999,22.4,20.649275,19900
2022-02-22,22.469999,22.469999,21.795,22.219999,20.483345,27100
2022-02-23,22.4,22.4,21.76,22.0,20.28054,13700
2022-02-24,21.370001,21.73,21.370001,21.620001,19.930239,12100
2022-02-25,21.780001,22.200001,21.780001,22.09,20.363506,3200
2022-02-28,22.0,22.388,21.93,21.93,20.216009,30800
2022-03-01,22.09,22.540001,22.09,22.48,20.723024,24600
2022-03-02,22.48,22.49,22.27,22.455,20.699978,4100
2022-03-03,22.57,22.66,22.450001,22.66,20.888954,8200
2022-03-04,22.68,22.68,22.41,22.440001,20.68615,21400
2022-03-07,22.440001,22.440001,22.099001,22.110001,20.381943,23700
2022-03-08,22.1,22.1,21.73,22.059999,20.335848,15400
2022-03-09,22.059999,22.059999,21.68,21.700001,20.003986,24700
2022-03-10,21.690001,21.700001,21.049999,21.049999,19.404787,18500
2022-03-11,21.299999,21.299999,21.059999,21.16,19.506191,21800
2022-03-14,21.299999,21.299999,20.379999,20.690001,19.072926,16000
2022-03-15,20.809999,20.98,20.540001,20.719999,19.100578,17000
2022-03-16,20.719999,21.09,20.719999,20.950001,19.312605,16700
2022-03-17,21.0,21.719999,21.0,21.67,19.976332,17400
2022-03-18,21.860001,21.860001,21.6,21.719999,20.022423,4600
2022-03-21,21.719999,21.93,21.540001,21.73,20.031641,22600
2022-03-22,21.76,21.76,21.690001,21.690001,19.994766,7500
2022-03-23,21.709999,21.726999,21.219999,21.24,19.579939,57200
2022-03-24,21.299999,21.459999,21.110001,21.35,19.681341,11300
2022-03-25,21.43,21.43,20.73,20.76,19.137455,8300
2022-03-28,20.93,20.98,20.559999,20.83,19.201984,17500
2022-03-29,20.9,21.08,20.809999,20.860001,19.229641,30100
2022-03-30,20.84,21.190001,20.84,20.870001,19.238857,50000
2022-03-31,21.16,22.25,21.15,22.18,20.44647,145400
2022-04-01,22.07,22.08,21.82,22.02,20.298977,16700
2022-04-04,21.9,22.110001,21.790001,21.9,20.188354,15500
2022-04-05,21.940001,21.940001,21.389999,21.450001,19.773525,12200
2022-04-06,21.16,21.23,20.76,20.76,19.137455,42700
2022-04-07,20.68,20.993,20.450001,20.52,18.91621,11400
2022-04-08,20.42,20.42,19.871,20.01,18.446072,31700
2022-04-11,19.950001,20.01,19.559999,19.559999,18.03124,26600
2022-04-12,19.620001,19.870001,19.34,19.49,17.966713,36300
2022-04-13,19.15,19.459999,18.959999,19.379999,18.313517,59100
2022-04-14,19.379999,19.51,19.059999,19.360001,18.294619,30800
2022-04-18,19.309999,19.629999,18.99,19.34,18.275721,35600
2022-04-19,19.360001,19.360001,18.959999,19.040001,17.992229,29700
2022-04-20,19.040001,19.219999,19.040001,19.08,18.030027,15800
2022-04-21,19.200001,19.200001,18.690001,18.709999,17.680386,13600
2022-04-22,18.809999,18.85,18.51,18.52,17.500845,6600
2022-04-25,18.469999,18.482,18.386,18.482,17.464935,11500
2022-04-26,18.540001,18.709999,18.27,18.35,17.340199,39400
2022-04-27,18.4,18.48,17.93,17.93,16.943312,26000
2022-04-28,18.059999,18.35,18.0,18.35,17.340199,21000
