Date,Open,High,Low,Close,Adj Close,Volume
2012-09-26,20.0,20.0,19.950001,20.0,8.386324,1848800
2012-09-27,20.0,20.02,19.98,20.0,8.386324,348400
2012-09-28,20.0,20.09,20.0,20.049999,8.407292,119800
2012-10-01,20.0,20.049999,19.99,20.0,8.386324,172700
2012-10-02,20.0,20.030001,20.0,20.0,8.386324,41300
2012-10-03,20.0,20.1,20.0,20.049999,8.407292,99100
2012-10-04,20.18,20.18,20.0,20.0,8.386324,51800
2012-10-05,20.01,20.15,20.0,20.0,8.386324,79600
2012-10-08,20.0,20.049999,20.0,20.0,8.386324,102100
2012-10-09,20.02,20.08,20.0,20.07,8.415683,24400
2012-10-10,20.0,20.049999,20.0,20.0,8.386324,115200
2012-10-11,20.09,20.09,20.0,20.0,8.386324,49300
2012-10-12,20.049999,20.049999,20.0,20.0,8.386324,29400
2012-10-15,20.0,20.040001,20.0,20.030001,8.398911,55800
2012-10-16,20.01,20.01,20.0,20.0,8.386324,41400
2012-10-17,20.0,20.01,20.0,20.01,8.390519,44000
2012-10-18,20.049999,20.049999,20.0,20.0,8.386324,152100
2012-10-19,20.0,20.01,20.0,20.0,8.386324,83200
2012-10-22,20.01,20.01,20.0,20.0,8.386324,44600
2012-10-23,20.01,20.01,20.0,20.0,8.386324,31500
2012-10-24,20.0,20.190001,20.0,20.01,8.390519,52100
2012-10-25,20.0,20.040001,20.0,20.0,8.386324,158200
2012-10-26,20.0,20.02,20.0,20.0,8.386324,91800
2012-10-31,20.030001,20.040001,20.0,20.0,8.386324,115100
2012-11-01,20.0,20.09,20.0,20.0,8.386324,17700
2012-11-02,20.0,20.02,19.92,19.950001,8.36536,847700
2012-11-05,19.950001,20.0,19.950001,19.950001,8.36536,121000
2012-11-06,19.959999,20.01,19.9,19.93,8.356976,295900
2012-11-07,19.9,19.940001,19.9,19.9,8.344397,148900
2012-11-08,19.9,20.07,19.9,19.9,8.344397,111900
2012-11-09,19.950001,20.01,19.950001,20.0,8.386324,113800
2012-11-12,19.76,19.879999,19.5,19.709999,8.264725,92500
2012-11-13,19.950001,19.950001,19.23,19.5,8.17667,135100
2012-11-14,19.299999,19.450001,18.620001,19.41,8.138928,205500
2012-11-15,18.98,19.16,18.75,19.1,8.008943,116700
2012-11-16,19.01,19.17,18.66,19.01,7.971206,44800
2012-11-19,19.549999,19.549999,18.77,18.82,7.891532,83500
2012-11-20,18.799999,19.1,18.73,18.93,7.937663,120400
2012-11-21,18.620001,19.440001,18.610001,19.35,8.113771,89400
2012-11-23,19.4,19.4,18.77,18.950001,7.946047,58200
2012-11-26,18.91,19.1,18.5,18.67,7.828636,243300
2012-11-27,18.870001,18.9,18.219999,18.77,7.870573,294500
2012-11-28,18.85,19.23,18.450001,19.01,7.971206,204300
2012-11-29,19.049999,19.219999,19.0,19.110001,8.013134,136400
2012-11-30,19.370001,19.370001,18.780001,19.280001,8.08442,115100
2012-12-03,19.17,19.26,18.870001,19.049999,7.987977,107400
2012-12-04,18.91,19.290001,18.91,19.139999,8.025714,96200
2012-12-05,19.07,19.17,18.82,18.9,7.925076,177200
2012-12-06,18.860001,18.940001,18.610001,18.790001,7.878953,195700
2012-12-07,18.67,18.99,18.67,18.950001,7.946047,112500
