Date,Open,High,Low,Close,Adj Close,Volume
2021-02-18,2.45,2.5,2.3,2.46,2.46,87900
2021-02-19,2.46,2.47,2.23,2.27,2.27,119700
2021-02-22,2.27,2.51,2.0,2.2,2.2,806500
2021-02-23,2.03,2.2,1.9,1.93,1.93,168000
2021-02-24,3.21,3.25,2.62,3.09,3.09,3731700
2021-02-25,3.1,3.25,2.6,2.65,2.65,858500
2021-02-26,3.21,3.21,2.25,2.82,2.82,840000
2021-03-01,3.1,3.1,2.5,2.58,2.58,350400
2021-03-02,2.64,2.64,2.05,2.08,2.08,509900
2021-03-03,2.15,2.25,1.91,1.984,1.984,400900
2021-03-04,1.95,2.14,1.68,1.783,1.783,582500
2021-03-05,1.88,1.95,1.57,1.85,1.85,390800
2021-03-08,1.93,1.99,1.72,1.745,1.745,282300
2021-03-09,2.0,2.085,1.8,2.08,2.08,508500
2021-03-10,2.12,2.13,1.91,2.04,2.04,88000
2021-03-11,2.07,2.12,1.97,2.11,2.11,883800
2021-03-12,2.0,2.1,2.0,2.08,2.08,112100
2021-03-15,2.15,2.97,1.78,2.42,2.42,2162600
2021-03-16,2.37,2.37,2.05,2.16,2.16,93400
2021-03-17,2.15,2.15,2.027,2.15,2.15,206100
2021-03-18,2.16,2.37,2.095,2.17,2.17,97400
2021-03-19,2.2,2.25,2.06,2.24,2.24,229000
2021-03-22,2.4,2.4,2.18,2.24,2.24,96500
2021-03-23,2.31,2.31,1.99,2.13,2.13,166400
2021-03-24,2.13,2.13,1.93,1.93,1.93,201900
2021-03-25,1.62,2.0,1.59,2.0,2.0,405400
2021-03-26,2.0,2.19,1.86,1.91,1.91,22700
2021-03-29,2.0,2.1,1.99,2.01,2.01,198500
2021-03-30,1.92,2.02,1.84,2.0,2.0,61800
2021-03-31,1.98,2.07,1.91,1.98,1.98,56900
2021-04-01,2.0,2.03,1.94,2.03,2.03,58300
2021-04-05,2.1,2.1,1.93,2.0,2.0,11900
2021-04-06,2.18,2.18,1.87,2.0,2.0,48500
2021-04-07,2.05,2.05,1.87,1.94,1.94,51600
2021-04-08,1.87,1.95,1.84,1.92,1.92,28600
2021-04-09,1.95,1.96,1.86,1.96,1.96,40800
2021-04-12,1.95,1.951,1.85,1.85,1.85,40600
2021-04-13,1.78,1.96,1.78,1.9,1.9,59500
2021-04-14,1.9,1.906,1.66,1.69,1.69,211600
2021-04-15,1.7,1.72,1.6,1.61,1.61,32600
2021-04-16,1.61,1.65,1.55,1.62,1.62,55800
2021-04-19,1.61,1.725,1.31,1.4,1.4,134600
2021-04-20,1.38,1.59,1.28,1.4,1.4,71400
2021-04-21,1.25,1.53,1.25,1.41,1.41,96600
2021-04-22,1.6,1.69,1.51,1.66,1.66,63600
2021-04-23,1.69,1.7,1.54,1.65,1.65,64400
