Date,Open,High,Low,Close,Adj Close,Volume
2007-05-25,20.01,20.049999,20.0,20.0,4.034078,1427900
2007-05-29,20.0,20.01,19.6,20.0,4.034078,469100
2007-05-30,20.02,20.190001,20.01,20.110001,4.056264,188900
2007-05-31,20.219999,20.219999,20.01,20.01,4.036096,133900
2007-06-01,20.040001,20.139999,20.0,20.0,4.034078,125800
2007-06-04,20.02,20.07,20.0,20.0,4.034078,186300
2007-06-05,20.08,20.08,20.0,20.0,4.034078,108500
2007-06-06,20.02,20.030001,20.0,20.0,4.034078,152000
2007-06-07,20.01,20.01,20.0,20.01,4.036096,254800
2007-06-08,20.01,20.01,20.0,20.0,4.034078,130200
2007-06-11,20.01,20.01,20.0,20.01,4.036096,155300
2007-06-12,20.0,20.01,20.0,20.0,4.034078,137000
2007-06-13,20.0,20.01,20.0,20.0,4.034078,71500
2007-06-14,20.0,20.01,20.0,20.01,4.036096,397300
2007-06-15,20.0,20.01,20.0,20.0,4.034078,153800
2007-06-18,20.0,20.01,20.0,20.0,4.034078,72600
2007-06-19,20.01,20.01,20.0,20.01,4.036096,188300
2007-06-20,20.01,20.01,20.0,20.0,4.034078,80400
2007-06-21,20.0,20.01,20.0,20.0,4.034078,62600
2007-06-22,20.0,20.01,20.0,20.0,4.034078,169200
2007-06-25,20.0,20.01,20.0,20.0,4.034078,491100
2007-06-26,20.0,20.01,20.0,20.0,4.034078,334700
2007-06-27,20.0,20.01,20.0,20.0,4.034078,349400
2007-06-28,20.0,20.01,20.0,20.0,4.034078,116800
2007-06-29,20.0,20.01,20.0,20.0,4.034078,2570800
2007-07-02,20.0,20.01,20.0,20.0,4.034078,500900
2007-07-03,20.0,20.01,20.0,20.0,4.034078,266300
2007-07-05,19.99,20.01,19.99,20.0,4.034078,255100
2007-07-06,20.0,20.01,20.0,20.0,4.034078,322800
2007-07-09,19.99,20.0,19.5,19.76,3.98567,183000
2007-07-10,19.74,19.799999,19.52,19.68,3.969534,97200
2007-07-11,19.629999,19.77,19.6,19.700001,3.973567,87000
2007-07-12,19.700001,19.969999,19.700001,19.969999,4.028027,114900
2007-07-13,19.77,19.98,19.76,19.889999,4.01189,96500
2007-07-16,19.98,19.98,19.65,19.74,3.981635,129200
2007-07-17,19.799999,19.969999,19.799999,19.969999,4.028027,106600
2007-07-18,19.940001,19.940001,19.65,19.780001,3.989702,106900
2007-07-19,19.93,19.93,19.709999,19.780001,3.989702,71300
2007-07-20,19.75,19.75,19.51,19.65,3.963481,136500
2007-07-23,19.49,19.73,19.16,19.4,3.943562,156700
2007-07-24,19.49,19.49,18.889999,18.91,3.843956,205200
2007-07-25,19.139999,19.15,17.469999,18.379999,3.736221,350200
2007-07-26,18.1,18.299999,17.5,17.98,3.654908,436100
2007-07-27,17.540001,18.43,17.540001,18.299999,3.719956,177300
2007-07-30,18.450001,18.450001,17.75,18.26,3.711827,171400
2007-07-31,18.540001,18.719999,17.76,18.4,3.740283,219000
2007-08-01,18.110001,18.549999,18.01,18.540001,3.768743,165100
2007-08-02,18.610001,18.65,18.219999,18.4,3.740283,239500
2007-08-03,18.35,18.74,18.25,18.389999,3.738252,152200
2007-08-06,17.940001,18.290001,17.58,18.25,3.709794,340200
2007-08-07,18.26,18.440001,18.0,18.25,3.709794,231900
2007-08-08,18.35,18.700001,18.25,18.4,3.740283,199300
2007-08-09,18.129999,18.700001,18.1,18.59,3.778907,271500
2007-08-10,18.110001,18.25,17.540001,18.02,3.66304,222900
2007-08-13,18.299999,18.299999,17.5,17.57,3.601948,181900
2007-08-14,17.57,17.690001,16.35,16.620001,3.407192,452500
2007-08-15,16.35,16.49,14.72,15.45,3.167334,697700
2007-08-16,14.05,15.59,14.0,15.59,3.196036,1214500
2007-08-17,16.15,17.299999,15.6,16.9,3.464594,582900
2007-08-20,16.85,17.32,16.629999,17.09,3.503547,355800
2007-08-21,17.110001,17.379999,16.85,17.07,3.499444,279000
2007-08-22,17.440001,17.459999,16.940001,17.440001,3.575298,396700
2007-08-23,17.440001,17.639999,17.25,17.360001,3.558898,282800
2007-08-24,17.4,17.76,17.15,17.75,3.63885,227600
2007-08-27,17.98,18.0,17.6,17.93,3.675752,272400
2007-08-28,18.0,18.040001,17.15,17.18,3.521998,285400
2007-08-29,17.040001,17.530001,17.040001,17.309999,3.548646,242900
2007-08-30,17.299999,17.540001,17.24,17.540001,3.595801,197300
2007-08-31,17.540001,17.860001,17.370001,17.799999,3.6491,153800
2007-09-04,17.700001,18.43,17.35,18.17,3.724952,286300
2007-09-05,17.9,18.299999,17.85,18.24,3.739301,248500
2007-09-06,17.99,18.49,17.99,18.27,3.745451,203900
2007-09-07,18.0,18.379999,17.75,18.08,3.706501,193500
2007-09-10,18.02,18.379999,17.719999,17.780001,3.644999,226600
2007-09-11,17.809999,18.299999,17.57,18.18,3.727001,247200
2007-09-12,17.76,18.0,17.51,17.870001,3.694336,295500
2007-09-13,17.809999,18.0,17.77,17.780001,3.675731,172800
2007-09-14,17.629999,17.780001,17.5,17.559999,3.630249,233800
2007-09-17,17.51,17.700001,17.01,17.110001,3.537219,326600
2007-09-18,17.1,17.49,16.9,17.34,3.584768,340800
2007-09-19,17.49,17.82,17.27,17.35,3.586835,404900
2007-09-20,17.360001,17.65,17.360001,17.440001,3.605442,212100
2007-09-21,17.389999,17.530001,17.299999,17.42,3.601306,254900
2007-09-24,17.59,17.59,17.17,17.450001,3.607508,334400
2007-09-25,17.4,17.450001,17.139999,17.370001,3.59097,274300
2007-09-26,17.370001,17.49,17.209999,17.26,3.56823,329600
2007-09-27,17.26,17.49,17.209999,17.42,3.601306,284200
2007-09-28,17.49,17.690001,17.440001,17.58,3.634384,249900
2007-10-01,17.6,18.01,17.52,18.0,3.721215,272600
2007-10-02,18.01,18.1,17.85,18.0,3.721215,241100
2007-10-03,17.77,18.18,17.76,17.959999,3.712944,258600
2007-10-04,18.08,18.190001,17.99,18.17,3.756359,245700
2007-10-05,18.190001,18.58,18.15,18.540001,3.832849,390100
2007-10-08,18.549999,18.700001,18.43,18.57,3.839052,371500
2007-10-09,18.469999,18.799999,18.35,18.75,3.876262,372100
2007-10-10,18.790001,18.860001,18.59,18.73,3.872128,250100
2007-10-11,18.74,18.74,18.200001,18.290001,3.8121,254800
2007-10-12,18.15,18.34,17.959999,18.120001,3.77667,265200
2007-10-15,18.01,18.4,17.870001,17.98,3.74749,243300
2007-10-16,17.68,17.809999,17.629999,17.68,3.684961,263000
2007-10-17,17.68,17.870001,17.52,17.77,3.703723,243800
