Date,Open,High,Low,Close,Adj Close,Volume
2001-11-28,15.0,15.05,15.0,15.0,3.318838,1063500
2001-11-29,15.01,15.01,15.0,15.01,3.321055,86400
2001-11-30,15.0,15.01,15.0,15.0,3.318838,55100
2001-12-03,15.02,15.03,15.0,15.02,3.323265,239800
2001-12-04,15.0,15.05,15.0,15.05,3.329903,86300
2001-12-05,15.02,15.04,15.0,15.03,3.325477,75100
2001-12-06,15.0,15.06,15.0,15.02,3.323265,94900
2001-12-07,15.0,15.02,15.0,15.01,3.321055,48500
2001-12-10,15.0,15.03,15.0,15.03,3.325477,70200
2001-12-11,15.0,15.02,15.0,15.01,3.321055,87600
2001-12-12,15.0,15.02,15.0,15.01,3.321055,40600
2001-12-13,15.0,15.02,15.0,15.0,3.318838,90500
2001-12-14,15.0,15.12,15.0,15.0,3.318838,42600
2001-12-17,15.0,15.03,15.0,15.01,3.321055,26400
2001-12-18,15.0,15.03,15.0,15.01,3.321055,60900
2001-12-19,15.01,15.06,15.0,15.02,3.323265,75000
2001-12-20,15.01,15.03,15.0,15.03,3.325477,70900
2001-12-21,15.0,15.11,15.0,15.01,3.321055,53100
2001-12-24,15.0,15.05,15.0,15.0,3.318838,29900
2001-12-26,15.0,15.06,15.0,15.0,3.318838,57300
2001-12-27,15.0,15.07,15.0,15.07,3.334328,23900
2001-12-28,15.08,15.08,15.0,15.0,3.318838,24200
2001-12-31,15.0,15.06,15.0,15.0,3.318838,62900
2002-01-02,15.0,15.05,15.0,15.0,3.318838,47700
2002-01-03,15.0,15.05,15.0,15.0,3.318838,49000
2002-01-04,15.01,15.05,15.0,15.0,3.318838,31600
2002-01-07,15.0,15.02,14.9,14.9,3.296715,93000
2002-01-08,14.9,14.9,14.8,14.8,3.274589,111900
2002-01-09,14.85,14.9,14.8,14.8,3.274589,45000
2002-01-10,14.8,14.92,14.8,14.92,3.301142,34900
2002-01-11,14.9,15.0,14.9,15.0,3.318838,41800
2002-01-14,14.9,14.99,14.85,14.99,3.316628,35600
2002-01-15,14.93,14.97,14.9,14.9,3.296715,45600
2002-01-16,14.95,14.95,14.9,14.9,3.296715,75300
2002-01-17,14.9,14.95,14.8,14.9,3.296715,69500
2002-01-18,14.95,14.97,14.87,14.95,3.307778,54200
2002-01-22,14.91,14.92,14.55,14.65,3.263229,34200
2002-01-23,14.6,14.75,14.54,14.68,3.269912,26400
2002-01-24,14.75,14.8,14.25,14.25,3.174128,34100
2002-01-25,14.3,14.55,14.05,14.55,3.240955,64000
2002-01-28,14.65,14.65,14.2,14.3,3.185267,76600
2002-01-29,14.4,14.4,14.12,14.2,3.162992,27500
2002-01-30,14.25,14.39,14.01,14.29,3.183042,64800
2002-01-31,14.4,14.4,14.15,14.2,3.162992,34900
2002-02-01,14.32,14.36,14.19,14.3,3.185267,24000
2002-02-04,14.15,14.35,14.12,14.14,3.149629,46500
2002-02-05,14.29,14.35,14.06,14.25,3.174128,53700
2002-02-06,14.15,14.35,14.11,14.24,3.171905,58800
2002-02-07,14.3,14.3,14.11,14.22,3.167448,31400
2002-02-08,14.08,14.3,13.95,14.05,3.12958,54800
2002-02-11,14.12,14.14,14.0,14.14,3.149629,27300
2002-02-12,14.14,14.2,13.81,13.85,3.085032,77100
2002-02-13,13.85,13.92,13.46,13.71,3.076059,109700
2002-02-14,13.65,13.7,13.11,13.52,3.033428,177500
2002-02-15,13.6,13.78,13.45,13.64,3.060349,72900
2002-02-19,13.6,13.79,13.51,13.75,3.085033,47000
2002-02-20,13.8,13.95,13.55,13.7,3.073811,54700
2002-02-21,13.75,13.84,13.6,13.8,3.09625,33300
2002-02-22,13.84,13.94,13.61,13.66,3.064837,56900
2002-02-25,13.81,13.85,13.45,13.7,3.073811,76400
2002-02-26,13.74,13.74,13.15,13.4,3.006502,93400
2002-02-27,13.46,13.71,13.36,13.65,3.062594,68800
2002-02-28,13.74,13.87,13.52,13.7,3.073811,43800
2002-03-01,13.8,14.0,13.8,14.0,3.141124,48600
2002-03-04,13.9,14.0,13.74,13.92,3.123173,32500
2002-03-05,13.99,14.05,13.81,13.98,3.136635,31500
2002-03-06,14.03,14.13,13.81,13.98,3.136635,46000
2002-03-07,13.93,14.05,13.76,13.76,3.087276,44800
2002-03-08,13.66,13.79,13.6,13.6,3.051379,40600
2002-03-11,13.6,14.02,13.6,13.78,3.09176,40800
2002-03-12,13.78,13.88,13.51,13.75,3.085033,46300
2002-03-13,13.7,13.82,13.46,13.8,3.118932,48000
2002-03-14,13.75,13.88,13.65,13.7,3.096331,27800
2002-03-15,13.7,14.0,13.7,13.95,3.152834,27800
2002-03-18,13.95,14.0,13.66,13.8,3.118932,54700
2002-03-19,13.85,13.85,13.41,13.69,3.094072,43000
2002-03-20,13.59,13.59,13.23,13.42,3.03305,62800
2002-03-21,13.3,13.49,13.2,13.26,2.996887,63300
2002-03-22,13.31,13.4,13.13,13.3,3.005927,88300
2002-03-25,13.25,13.39,13.15,13.25,2.994629,80400
2002-03-26,13.19,13.3,13.0,13.0,2.938124,66700
2002-03-27,13.1,13.36,13.1,13.15,2.972027,75900
2002-03-28,13.3,13.3,13.05,13.17,2.976547,60100
2002-04-01,13.23,13.38,13.1,13.38,3.024009,53900
2002-04-02,13.37,13.39,13.15,13.39,3.026267,47200
2002-04-03,13.39,13.54,13.16,13.4,3.028528,90400
2002-04-04,13.46,13.49,13.28,13.35,3.017227,67300
2002-04-05,13.49,13.54,13.32,13.41,3.03079,66100
2002-04-08,13.35,13.49,13.35,13.4,3.028528,49000
2002-04-09,13.46,13.81,13.37,13.81,3.121191,42900
2002-04-10,13.8,13.8,13.36,13.5,3.05113,69200
2002-04-11,13.7,13.8,13.32,13.32,3.032916,53300
2002-04-12,13.47,13.5,13.3,13.45,3.062514,47800
2002-04-15,13.4,13.48,13.26,13.4,3.05113,45100
2002-04-16,13.45,13.7,13.36,13.4,3.05113,53600
2002-04-17,13.38,13.76,13.38,13.55,3.085285,47500
2002-04-18,13.55,13.55,13.26,13.4,3.05113,59500
2002-04-19,13.47,13.5,13.3,13.38,3.046577,77400
2002-04-22,13.37,13.49,13.36,13.46,3.064793,30100
2002-04-23,13.45,14.0,13.35,14.0,3.187747,82900
2002-04-24,14.02,14.02,13.5,13.69,3.117162,81600
2002-04-25,13.69,13.81,13.6,13.79,3.139932,58300
2002-04-26,13.89,13.89,13.55,13.72,3.123991,27100
2002-04-29,13.6,13.95,13.55,13.84,3.151316,53400
2002-04-30,14.0,14.0,13.7,13.96,3.178638,54800
2002-05-01,14.0,14.22,13.85,13.9,3.164979,59500
2002-05-02,14.05,14.14,13.93,13.93,3.171809,30800
2002-05-03,14.18,14.18,14.09,14.1,3.210518,30400
2002-05-06,14.25,14.3,13.65,13.65,3.108054,62600
2002-05-07,13.8,13.8,13.6,13.72,3.123991,50900
2002-05-08,13.79,13.95,13.65,13.76,3.133102,42800
2002-05-09,13.91,13.97,13.8,13.9,3.164979,33100
2002-05-10,14.0,14.07,13.85,13.9,3.164979,46900
2002-05-13,13.8,13.92,13.61,13.81,3.16727,74400
2002-05-14,13.87,13.87,13.6,13.66,3.132869,50200
2002-05-15,13.76,13.8,13.61,13.74,3.151218,35000
