Date,Open,High,Low,Close,Adj Close,Volume
2000-06-28,12.5,12.5,12.3125,12.3125,6.993254,2326700
2000-06-29,12.125,12.25,12.125,12.25,6.957756,372500
2000-06-30,12.1875,12.75,12.1875,12.75,7.241743,213100
2000-07-03,12.75,12.75,12.5,12.625,7.170744,47300
2000-07-05,12.5,12.625,12.5,12.5625,7.135248,90500
2000-07-06,12.5,12.75,12.4375,12.625,7.170744,176000
2000-07-07,12.5,12.875,12.5,12.8125,7.277244,130500
2000-07-10,12.75,12.9375,12.75,12.875,7.312742,95500
2000-07-11,12.75,12.75,12.625,12.625,7.170744,64400
2000-07-12,12.625,12.9375,12.625,12.9375,7.348241,81500
2000-07-13,12.875,12.875,12.875,12.875,7.312742,43700
2000-07-14,12.8125,12.9375,12.8125,12.875,7.312742,62900
2000-07-17,12.875,12.875,12.75,12.8125,7.277244,50900
2000-07-18,12.6875,12.8125,12.625,12.75,7.241743,13800
2000-07-19,12.75,12.75,12.5625,12.5625,7.135248,48300
2000-07-20,12.6875,12.6875,12.625,12.6875,7.206244,17100
2000-07-21,12.625,12.75,12.625,12.75,7.241743,37400
2000-07-24,12.75,12.75,12.625,12.6875,7.206244,47400
2000-07-25,12.625,12.625,12.5,12.5625,7.135248,11800
2000-07-26,12.625,12.6875,12.5625,12.6875,7.206244,48400
2000-07-27,12.6875,12.8125,12.625,12.8125,7.277244,60500
2000-07-28,12.75,12.8125,12.625,12.625,7.170744,36000
2000-07-31,12.625,12.625,12.5625,12.5625,7.135248,27000
2000-08-01,12.5625,12.6875,12.5625,12.625,7.170744,38800
2000-08-02,12.6875,12.75,12.625,12.75,7.241743,45800
2000-08-03,12.625,12.75,12.625,12.75,7.241743,64500
2000-08-04,12.6875,13.0,12.6875,13.0,7.383741,241500
2000-08-07,13.0,13.5,13.0,13.375,7.596733,218700
2000-08-08,13.3125,13.75,13.3125,13.75,7.809722,60300
2000-08-09,13.875,13.875,13.6875,13.6875,7.774225,15300
2000-08-10,13.6875,13.6875,13.5,13.5,7.66773,15200
2000-08-11,13.6875,14.0,13.6875,13.75,7.809722,20100
2000-08-14,13.875,14.0,13.875,14.0,7.95172,23000
2000-08-15,13.9375,14.0,13.9375,13.9375,7.916219,31500
2000-08-16,14.0,14.0,13.9375,13.9375,7.916219,24500
2000-08-17,14.0,14.4375,14.0,14.3125,8.129212,48900
2000-08-18,14.25,14.4375,14.25,14.25,8.093717,49100
2000-08-21,14.375,14.375,14.3125,14.3125,8.129212,7000
2000-08-22,14.375,14.5,14.3125,14.5,8.23571,45100
2000-08-23,14.5,14.625,14.5,14.5625,8.271208,8800
2000-08-24,14.75,15.0,14.75,14.875,8.448705,36300
2000-08-25,14.875,14.875,14.875,14.875,8.448705,5300
2000-08-28,14.875,14.875,14.75,14.875,8.448705,9800
2000-08-29,14.875,14.875,14.875,14.875,8.448705,19800
2000-08-30,14.75,14.75,14.6875,14.6875,8.342207,8000
2000-08-31,14.625,14.625,14.5,14.625,8.306706,9700
2000-09-01,14.5,14.5,14.5,14.5,8.23571,500
2000-09-05,14.375,14.375,14.375,14.375,8.164712,400
2000-09-06,14.625,14.625,14.5,14.5,8.23571,12300
2000-09-07,14.625,15.0,14.625,14.875,8.448705,37700
2000-09-08,14.75,14.75,14.5,14.625,8.306706,15100
2000-09-11,14.5625,14.75,14.5625,14.6875,8.342207,1500
2000-09-12,14.75,14.875,14.75,14.75,8.377703,6200
2000-09-13,14.625,14.75,14.625,14.75,8.377703,9000
2000-09-14,14.75,14.75,14.6875,14.75,8.377703,13300
2000-09-15,14.75,14.75,14.6875,14.75,8.377703,11900
2000-09-18,14.75,14.75,14.625,14.75,8.377703,16700
2000-09-19,14.75,14.75,14.625,14.625,8.306706,8100
2000-09-20,14.625,14.625,14.25,14.4375,8.200212,24000
2000-09-21,14.25,14.375,14.0,14.1875,8.058215,43000
2000-09-22,14.0625,14.125,13.75,14.125,8.022717,45000
2000-09-25,14.0625,14.25,14.0625,14.25,8.093717,21100
2000-09-26,14.125,14.25,14.125,14.25,8.093717,41500
2000-09-27,14.125,14.125,14.125,14.125,8.022717,7000
2000-09-28,14.1875,14.5,14.1875,14.375,8.164712,37600
2000-09-29,14.375,14.375,14.375,14.375,8.164712,1000
2000-10-02,14.5,14.5,14.3125,14.375,8.164712,7800
2000-10-03,14.375,14.375,14.25,14.25,8.093717,5000
2000-10-04,14.25,14.25,14.25,14.25,8.093717,0
2000-10-05,14.25,14.25,14.1875,14.1875,8.058215,1500
2000-10-06,14.3125,14.3125,14.0,14.0,7.95172,16400
2000-10-09,14.0,14.0,13.75,13.875,7.880719,9200
2000-10-10,13.875,14.0,13.875,14.0,7.95172,24000
2000-10-11,13.75,13.75,13.625,13.625,7.738729,29400
2000-10-12,13.75,13.75,13.125,13.125,7.454737,30700
2000-10-13,13.25,13.75,13.0,13.75,7.809722,15900
2000-10-16,13.75,13.75,13.75,13.75,7.809722,5600
2000-10-17,13.5,13.5,13.5,13.5,7.66773,1800
2000-10-18,13.5,13.625,13.5,13.5,7.66773,3100
2000-10-19,13.375,13.375,13.375,13.375,7.596733,800
2000-10-20,13.625,13.625,13.625,13.625,7.738729,5700
2000-10-23,13.5625,13.75,13.5625,13.75,7.809722,24200
2000-10-24,13.6875,13.6875,13.6875,13.6875,7.774225,100
2000-10-25,13.625,13.625,13.625,13.625,7.738729,1500
2000-10-26,13.625,14.0,13.625,14.0,7.95172,12900
2000-10-27,14.125,14.625,14.125,14.5625,8.271208,41500
2000-10-30,14.5,14.75,14.5,14.625,8.306706,15000
2000-10-31,14.625,14.6875,14.625,14.6875,8.342207,9800
2000-11-01,14.75,15.0,14.75,14.875,8.506621,70900
2000-11-02,14.875,15.0,14.875,15.0,8.578104,4000
2000-11-03,15.125,15.125,15.125,15.125,8.64959,100
2000-11-06,15.0625,15.0625,15.0625,15.0625,8.613847,5000
2000-11-07,15.25,15.25,15.0,15.0,8.578104,25600
2000-11-08,14.9375,14.9375,14.9375,14.9375,8.542361,2500
2000-11-09,14.75,14.75,14.75,14.75,8.435136,6000
2000-11-10,14.625,14.8125,14.5,14.5,8.292165,5700
2000-11-13,14.4375,14.4375,14.4375,14.4375,8.256421,2000
2000-11-14,14.625,14.9375,14.625,14.9375,8.542361,4900
2000-11-15,14.9375,15.25,14.9375,15.25,8.721071,53200
2000-11-16,14.75,15.0,14.625,14.75,8.435136,21000
2000-11-17,14.5,14.5,13.5,13.5625,7.756036,179800
2000-11-20,13.625,13.75,13.5,13.5625,7.756036,19800
2000-11-21,13.5,13.5625,13.5,13.5,7.720296,6200
2000-11-22,13.5,13.5,13.125,13.125,7.50584,24000
2000-11-24,13.25,13.25,13.25,13.25,7.577324,200
2000-11-27,13.375,13.5,13.375,13.5,7.720296,9100
2000-11-28,13.5,13.5,13.5,13.5,7.720296,3500
2000-11-29,13.5625,13.5625,13.25,13.375,7.648809,31600
2000-11-30,13.5,13.5,13.1875,13.25,7.577324,9200
2000-12-01,13.375,13.375,13.375,13.375,7.648809,16900
