Date,Open,High,Low,Close,Adj Close,Volume
1985-06-20,2.64,2.84,2.64,2.72,2.071694,5722500
1985-06-21,2.72,2.76,2.68,2.72,2.071694,1330000
1985-06-24,2.72,3.02,2.72,3.02,2.300189,1098125
1985-06-25,3.02,3.18,3.0,3.08,2.345888,1204375
1985-06-26,3.08,3.18,3.02,3.12,2.376354,775000
1985-06-27,3.12,3.18,3.12,3.14,2.391587,371250
1985-06-28,3.14,3.16,2.96,3.08,2.345888,503125
1985-07-01,3.08,3.18,3.06,3.16,2.40682,520625
1985-07-02,3.16,3.2,3.12,3.18,2.422053,199375
1985-07-03,3.18,3.2,3.16,3.16,2.40682,80625
1985-07-05,3.16,3.2,3.16,3.2,2.437286,101250
1985-07-08,3.18,3.18,3.06,3.06,2.330654,128125
1985-07-09,3.06,3.1,3.04,3.04,2.315422,137500
1985-07-10,3.04,3.04,2.9,3.0,2.284956,300000
1985-07-11,3.02,3.1,3.02,3.02,2.300189,86250
1985-07-12,3.02,3.08,3.0,3.0,2.284956,120625
1985-07-15,3.0,3.02,2.96,3.0,2.284956,139375
1985-07-16,3.0,3.0,2.98,3.0,2.284956,125000
1985-07-17,3.0,3.04,2.98,3.02,2.300189,63125
1985-07-18,3.02,3.06,2.98,2.98,2.269723,375625
1985-07-19,2.98,3.18,2.98,3.1,2.36112,102500
1985-07-22,3.1,3.16,3.08,3.14,2.391587,92500
1985-07-23,3.14,3.16,3.04,3.04,2.315422,82500
1985-07-24,3.04,3.16,3.0,3.14,2.391587,142500
1985-07-25,3.14,3.18,3.14,3.16,2.40682,50625
1985-07-26,3.16,3.16,3.12,3.12,2.376354,69375
1985-07-29,3.12,3.16,3.04,3.04,2.315422,60625
1985-07-30,3.04,3.08,2.94,3.04,2.315422,246250
1985-07-31,3.04,3.24,3.04,3.2,2.437286,254375
1985-08-01,3.28,3.5,3.28,3.48,2.650549,175000
1985-08-02,3.48,3.5,3.38,3.4,2.589617,129375
1985-08-05,3.4,3.4,3.32,3.32,2.528684,132500
1985-08-06,3.32,3.38,3.32,3.36,2.55915,138125
1985-08-07,3.32,3.32,3.2,3.24,2.467752,191875
1985-08-08,3.24,3.3,3.22,3.26,2.482985,75000
1985-08-09,3.24,3.24,3.2,3.22,2.452519,40625
1985-08-12,3.16,3.16,2.96,3.06,2.330654,141875
1985-08-13,3.06,3.12,3.0,3.04,2.315422,52500
1985-08-14,3.04,3.06,2.96,3.04,2.315422,121875
1985-08-15,3.04,3.06,3.02,3.02,2.300189,30625
1985-08-16,3.02,3.04,2.96,2.98,2.269723,66250
1985-08-19,2.98,2.98,2.88,2.88,2.193557,164375
1985-08-20,2.88,2.94,2.82,2.94,2.239257,100625
1985-08-21,2.94,3.0,2.94,3.0,2.284956,22500
1985-08-22,3.0,3.02,2.96,3.02,2.300189,40000
1985-08-23,3.0,3.0,2.94,2.94,2.239257,92500
1985-08-26,2.98,3.0,2.98,3.0,2.284956,6875
1985-08-27,3.0,3.02,3.0,3.0,2.284956,45625
1985-08-28,3.0,3.0,2.98,3.0,2.284956,3125
1985-08-29,3.0,3.02,2.98,3.02,2.300189,100000
1985-08-30,3.02,3.02,3.0,3.02,2.300189,40000
