Date,Open,High,Low,Close,Adj Close,Volume
2022-01-28,9.81,9.99,9.8,9.8,9.8,152800
2022-01-31,9.99,9.99,9.92,9.98,9.98,2400
2022-02-01,9.98,9.98,9.98,9.98,9.98,0
2022-02-02,9.88,9.88,9.87,9.87,9.87,300
2022-02-03,9.9,9.9,9.9,9.9,9.9,100
2022-02-04,9.9,9.9,9.9,9.9,9.9,0
2022-02-07,9.9,9.9,9.9,9.9,9.9,0
2022-02-08,9.87,9.87,9.85,9.85,9.85,3000
2022-02-09,9.85,9.85,9.85,9.85,9.85,4400
2022-02-10,9.85,9.85,9.85,9.85,9.85,0
2022-02-11,9.78,9.82,9.78,9.8,9.8,100100
2022-02-14,9.8,9.83,9.8,9.83,9.83,1100
2022-02-15,9.83,9.83,9.83,9.83,9.83,0
2022-02-16,9.83,9.83,9.83,9.83,9.83,0
2022-02-17,9.83,9.83,9.83,9.83,9.83,0
2022-02-18,9.83,9.83,9.82,9.83,9.83,76200
2022-02-22,9.83,9.85,9.83,9.85,9.85,126000
2022-02-23,9.85,9.85,9.85,9.85,9.85,0
2022-02-24,9.85,9.85,9.85,9.85,9.85,0
2022-02-25,9.85,9.85,9.85,9.85,9.85,70100
2022-02-28,9.85,9.85,9.85,9.85,9.85,0
2022-03-01,9.85,9.85,9.85,9.85,9.85,0
2022-03-02,9.86,9.86,9.855,9.86,9.86,20000
2022-03-03,9.86,9.87,9.86,9.87,9.87,41000
2022-03-04,9.87,9.89,9.87,9.89,9.89,12000
2022-03-07,9.89,9.89,9.89,9.89,9.89,0
2022-03-08,9.87,9.87,9.87,9.87,9.87,25900
2022-03-09,9.87,9.87,9.87,9.87,9.87,0
2022-03-10,9.87,9.87,9.87,9.87,9.87,150000
2022-03-11,9.87,9.87,9.87,9.87,9.87,0
2022-03-14,9.86,9.87,9.85,9.87,9.87,495400
2022-03-15,9.85,9.86,9.85,9.86,9.86,320600
2022-03-16,9.89,9.89,9.89,9.89,9.89,100
2022-03-17,9.875,9.89,9.875,9.89,9.89,300
2022-03-18,9.88,9.88,9.88,9.88,9.88,2100
2022-03-21,9.89,9.89,9.89,9.89,9.89,2000
2022-03-22,9.89,9.89,9.89,9.89,9.89,0
2022-03-23,9.89,9.89,9.89,9.89,9.89,0
2022-03-24,9.88,9.91,9.88,9.91,9.91,2900
2022-03-25,9.91,9.91,9.91,9.91,9.91,0
2022-03-28,9.91,9.91,9.91,9.91,9.91,0
2022-03-29,9.88,9.88,9.88,9.88,9.88,2500
2022-03-30,9.88,9.88,9.88,9.88,9.88,0
2022-03-31,9.89,9.92,9.88,9.88,9.88,670200
2022-04-01,9.93,9.93,9.88,9.88,9.88,9400
2022-04-04,9.88,9.88,9.88,9.88,9.88,0
2022-04-05,9.9,9.9,9.89,9.89,9.89,124800
2022-04-06,9.89,9.89,9.89,9.89,9.89,0
2022-04-07,9.89,9.91,9.89,9.9,9.9,300
2022-04-08,9.9,9.9,9.9,9.9,9.9,0
2022-04-11,9.9,9.9,9.9,9.9,9.9,0
2022-04-12,9.9,9.9,9.9,9.9,9.9,0
2022-04-13,9.9,9.9,9.9,9.9,9.9,0
2022-04-14,9.91,9.93,9.91,9.92,9.92,23200
2022-04-18,9.92,9.92,9.92,9.92,9.92,0
2022-04-19,9.96,9.97,9.96,9.97,9.97,1900
2022-04-20,9.93,9.94,9.93,9.94,9.94,3600
2022-04-21,9.94,9.94,9.94,9.94,9.94,100
2022-04-22,9.93,9.95,9.93,9.95,9.95,2000
2022-04-25,9.95,9.96,9.945,9.951,9.951,44200
2022-04-26,9.951,9.951,9.951,9.951,9.951,0
2022-04-27,9.951,9.951,9.951,9.951,9.951,100
2022-04-28,9.93,9.93,9.93,9.93,9.93,200
2022-04-29,9.96,9.96,9.96,9.96,9.96,1800
2022-05-02,9.92,9.94,9.92,9.93,9.93,271100
2022-05-03,9.94,9.97,9.93,9.97,9.97,30000
2022-05-04,9.97,9.97,9.97,9.97,9.97,0
2022-05-05,9.93,9.95,9.93,9.935,9.935,101600
2022-05-06,9.935,9.935,9.935,9.935,9.935,0
2022-05-09,9.93,9.93,9.93,9.93,9.93,108700
2022-05-10,9.93,9.93,9.93,9.93,9.93,0
2022-05-11,9.92,9.93,9.92,9.93,9.93,10700
2022-05-12,9.93,9.93,9.93,9.93,9.93,0
2022-05-13,9.93,9.93,9.93,9.93,9.93,0
2022-05-16,9.89,9.93,9.89,9.93,9.93,5400
2022-05-17,9.92,9.94,9.92,9.94,9.94,202500
2022-05-18,9.94,9.94,9.94,9.94,9.94,0
2022-05-19,9.94,9.94,9.94,9.94,9.94,0
2022-05-20,9.94,9.94,9.94,9.94,9.94,0
2022-05-23,9.94,9.94,9.94,9.94,9.94,0
