Date,Open,High,Low,Close,Adj Close,Volume
1987-04-06,0.0,19.0,18.375,18.625,6.629331,157000
1987-04-07,18.625,18.625,18.0,18.0,6.406864,295600
1987-04-08,18.25,18.875,18.25,18.75,6.673822,479700
1987-04-09,18.75,18.75,17.875,17.875,6.362376,850800
1987-04-10,17.875,18.25,17.875,18.125,6.451363,224000
1987-04-13,18.125,18.125,17.5,17.625,6.273393,304700
1987-04-14,17.5,17.5,15.875,16.125,5.739486,168300
1987-04-15,16.375,17.5,16.375,17.5,6.228898,414500
1987-04-16,17.75,18.125,17.75,18.0,6.406864,229400
1987-04-20,18.0,18.0,17.75,17.75,6.317883,135800
1987-04-21,17.75,17.875,17.5,17.625,6.273393,282200
1987-04-22,17.625,17.75,17.0,17.25,6.13992,284900
1987-04-23,17.375,17.625,17.25,17.375,6.184407,219200
1987-04-24,17.25,17.5,16.875,16.875,6.006442,139700
1987-04-27,16.625,16.75,16.0,16.5,5.872963,466500
1987-04-28,17.125,17.5,16.5,17.125,6.138204,272200
1987-04-29,17.375,17.5,17.25,17.25,6.183012,374500
1987-04-30,17.25,18.0,17.25,18.0,6.451832,845800
1987-05-01,18.125,18.375,17.875,18.0,6.451832,713800
1987-05-04,18.0,18.625,18.0,18.5,6.631054,212200
1987-05-05,18.5,19.375,18.0,19.375,6.944682,1040000
1987-05-06,19.375,20.75,19.25,20.75,7.437537,1030000
1987-05-07,22.0,22.375,21.875,22.25,7.97518,1470000
1987-05-08,22.0,22.125,21.625,21.875,7.840773,365400
1987-05-11,22.0,23.375,21.875,22.5,8.064795,815000
1987-05-12,22.625,22.625,22.25,22.5,8.064795,422900
1987-05-13,22.5,22.625,21.625,21.875,7.840773,231300
1987-05-14,21.75,22.0,21.5,21.75,7.795968,341500
1987-05-15,21.5,22.0,21.125,21.375,7.661552,408700
1987-05-18,21.0,21.125,20.5,21.0,7.52714,386200
1987-05-19,21.0,21.0,20.625,20.75,7.437537,270200
1987-05-20,20.375,20.625,20.125,20.125,7.213512,308100
1987-05-21,20.25,20.5,19.75,20.375,7.303122,258900
1987-05-22,20.375,20.75,20.25,20.75,7.437537,255700
1987-05-26,21.0,22.0,20.625,21.75,7.795968,400600
1987-05-27,21.75,21.875,21.5,21.625,7.751164,211500
1987-05-28,21.5,21.625,20.5,21.5,7.706361,165000
1987-05-29,21.625,21.875,21.25,21.875,7.840773,288100
1987-06-01,21.875,22.125,21.75,21.875,7.840773,363100
1987-06-02,21.875,21.875,21.5,21.625,7.751164,215500
1987-06-03,21.5,21.875,21.5,21.75,7.795968,442000
1987-06-04,21.75,22.0,21.75,22.0,7.885573,576100
1987-06-05,22.0,22.125,21.75,21.875,7.840773,294100
1987-06-08,21.875,22.25,21.875,22.25,7.97518,310200
1987-06-09,22.25,22.375,21.875,22.0,7.885573,853800
1987-06-10,22.125,22.75,22.0,22.0,7.885573,340700
1987-06-11,22.0,22.125,21.75,21.75,7.795968,89100
1987-06-12,21.5,21.75,21.125,21.25,7.616752,378700
1987-06-15,21.375,22.0,21.25,21.75,7.795968,269300
1987-06-16,21.75,21.875,21.625,21.875,7.840773,160300
1987-06-17,21.875,22.0,21.75,21.75,7.795968,276100
1987-06-18,21.625,21.625,21.25,21.375,7.661552,59300
1987-06-19,21.625,21.875,21.375,21.875,7.840773,284500
1987-06-22,22.125,22.25,21.75,22.0,7.885573,544800
1987-06-23,21.875,22.0,21.625,22.0,7.885573,442000
1987-06-24,21.75,21.875,21.5,21.75,7.795968,241800
1987-06-25,21.75,22.0,21.625,21.875,7.840773,179500
1987-06-26,21.875,22.0,21.5,21.5,7.706361,389200
1987-06-29,21.875,22.5,21.875,22.375,8.019988,1020000
1987-06-30,22.5,23.375,22.5,22.75,8.154402,693400
1987-07-01,23.0,24.25,23.0,24.125,8.647249,560600
1987-07-02,24.375,24.875,24.25,24.625,8.826469,635100
1987-07-06,24.875,25.25,24.75,25.25,9.050491,786500
1987-07-07,25.875,26.375,25.25,26.25,9.40893,1090000
1987-07-08,26.0,26.5,25.375,25.75,9.22971,1010000
1987-07-09,26.0,26.75,25.875,26.75,9.588148,992200
1987-07-10,26.625,26.625,26.0,26.25,9.40893,466900
1987-07-13,26.625,26.625,25.625,26.0,9.319314,441800
1987-07-14,25.875,26.125,25.5,26.125,9.364122,853500
1987-07-15,25.875,26.875,25.75,26.375,9.453732,818800
1987-07-16,26.5,26.875,26.25,26.875,9.63295,392400
1987-07-17,26.875,27.25,26.625,27.25,9.767362,1070000
1987-07-20,27.0,27.25,26.875,27.0,9.677756,403300
