Date,Open,High,Low,Close,Adj Close,Volume
1988-07-22,0.0,30.0,30.0,30.0,1.969395,207033
1988-07-25,30.0,30.0,30.0,30.0,1.969395,54433
1988-07-26,30.0,30.0,30.0,30.0,1.969395,31200
1988-07-27,30.0,30.0,30.0,30.0,1.969395,11667
1988-07-28,30.0,30.0,30.0,30.0,1.969395,78867
1988-07-29,30.0,30.0,30.0,30.0,1.969395,4133
1988-08-01,30.0,30.0,30.0,30.0,1.969395,12733
1988-08-02,30.0,30.375,30.0,30.0,1.969395,38000
1988-08-03,30.0,30.0,30.0,30.0,1.969395,7600
1988-08-04,30.0,30.0,30.0,30.0,1.969395,5767
1988-08-05,30.0,30.0,30.0,30.0,1.969395,15967
1988-08-08,30.0,30.0,30.0,30.0,1.969395,34867
1988-08-09,30.0,30.0,30.0,30.0,1.969395,21900
1988-08-10,30.0,30.0,30.0,30.0,1.969395,35833
1988-08-11,30.0,30.0,30.0,30.0,1.969395,31033
1988-08-12,30.0,30.0,30.0,30.0,1.969395,28333
1988-08-15,30.0,30.0,30.0,30.0,1.969395,16867
1988-08-16,30.0,30.0,30.0,30.0,1.969395,51933
1988-08-17,30.0,30.375,30.0,30.0,1.969395,89567
1988-08-18,30.0,30.375,30.0,30.0,1.969395,18033
1988-08-19,30.0,30.0,30.0,30.0,1.969395,17667
1988-08-22,30.0,30.0,30.0,30.0,1.969395,23833
1988-08-23,30.0,30.0,30.0,30.0,1.969395,1067033
1988-08-24,30.0,30.0,30.0,30.0,1.969395,381733
1988-08-25,30.0,30.0,30.0,30.0,1.969395,271267
1988-08-26,30.0,30.0,30.0,30.0,1.969395,180600
1988-08-29,30.0,30.0,30.0,30.0,1.969395,71300
1988-08-30,30.0,30.0,30.0,30.0,1.969395,86867
1988-08-31,30.0,30.0,30.0,30.0,1.969395,95933
1988-09-01,30.0,30.0,30.0,30.0,1.969395,44133
1988-09-02,30.0,30.0,30.0,30.0,1.969395,24267
1988-09-06,30.0,30.0,29.625,29.625,1.944778,55900
1988-09-07,29.625,30.0,29.625,29.625,1.944778,28367
1988-09-08,29.625,30.0,29.625,29.625,1.944778,23067
1988-09-09,29.625,30.0,29.625,29.625,1.944778,26967
1988-09-12,29.625,30.0,29.625,29.625,1.944778,9533
1988-09-13,29.625,30.0,29.625,29.625,1.944778,19300
1988-09-14,29.625,30.0,29.625,29.625,1.944778,28667
1988-09-15,30.0,30.0,29.625,29.625,1.944778,43167
1988-09-16,29.625,30.0,29.625,30.0,1.987915,31267
1988-09-19,29.625,30.0,29.25,29.25,1.938218,33667
1988-09-20,29.25,29.625,29.25,29.25,1.938218,21100
1988-09-21,29.25,29.625,29.25,29.25,1.938218,34033
1988-09-22,29.25,29.625,29.25,29.25,1.938218,29100
1988-09-23,29.25,29.625,29.25,29.625,1.963066,42967
1988-09-26,29.25,29.625,29.25,29.25,1.938218,20900
1988-09-27,29.25,29.625,29.25,29.25,1.938218,10133
1988-09-28,29.25,30.0,29.25,29.625,1.963066,63767
1988-09-29,29.625,30.0,29.625,29.625,1.963066,19833
1988-09-30,29.625,30.0,29.625,29.625,1.963066,30700
1988-10-03,29.625,30.0,29.625,29.625,1.963066,21067
1988-10-04,30.0,30.0,29.625,29.625,1.963066,26467
1988-10-05,29.625,30.0,29.625,29.625,1.963066,18700
1988-10-06,29.625,30.0,29.625,29.625,1.963066,14800
1988-10-07,29.25,30.0,29.25,29.625,1.981527,13800
1988-10-10,29.625,30.0,29.625,29.625,1.981527,36533
1988-10-11,30.0,30.0,29.625,30.0,2.006613,17133
1988-10-12,29.625,30.0,29.625,30.0,2.006613,34367
1988-10-13,29.625,30.0,29.625,29.625,1.981527,27533
1988-10-14,30.0,30.0,29.625,30.0,2.006613,20033
1988-10-17,29.625,30.0,29.625,30.0,2.006613,24967
1988-10-18,29.625,30.0,29.625,30.0,2.006613,33800
1988-10-19,29.625,30.0,29.625,29.625,1.981527,26267
1988-10-20,29.625,30.0,29.625,29.625,1.981527,21900
1988-10-21,30.0,30.0,29.625,29.625,1.981527,34167
1988-10-24,30.0,30.0,29.625,30.0,2.006613,38200
1988-10-25,30.0,30.0,29.625,29.625,1.981527,43533
1988-10-26,30.0,30.0,29.625,29.625,1.981527,32467
1988-10-27,30.0,30.0,29.625,30.0,2.006613,25500
1988-10-28,30.0,30.375,29.625,30.0,2.006613,27933
1988-10-31,30.0,30.0,29.625,30.0,2.006613,35367
1988-11-01,30.0,30.0,29.625,29.625,1.981527,24600
1988-11-02,30.0,30.0,29.625,29.625,1.981527,18000
1988-11-03,29.625,30.0,29.625,29.625,1.981527,36033
1988-11-04,29.625,30.0,29.625,29.625,1.981527,26867
1988-11-07,30.0,30.0,29.625,30.0,2.006613,26733
1988-11-08,29.625,30.0,29.625,29.625,1.999927,41933
1988-11-09,29.625,30.0,29.625,29.625,1.999927,20833
1988-11-10,30.0,30.0,29.625,30.0,2.025244,31933
1988-11-11,30.0,30.0,29.625,30.0,2.025244,22633
1988-11-14,30.0,30.0,29.625,29.625,1.999927,38967
1988-11-15,29.625,30.0,29.625,30.0,2.025244,39867
1988-11-16,29.625,30.0,29.625,29.625,1.999927,33267
1988-11-17,30.0,30.0,29.25,29.625,1.999927,27100
1988-11-18,29.625,29.625,29.25,29.25,1.974613,18867
1988-11-21,29.25,29.625,29.25,29.625,1.999927,16067
1988-11-22,29.25,29.625,28.875,29.25,1.974613,20133
1988-11-23,29.25,29.25,28.875,29.25,1.974613,14200
1988-11-25,29.25,29.25,28.875,28.875,1.949295,9967
1988-11-28,28.875,29.25,28.875,28.875,1.949295,24067
1988-11-29,29.25,29.25,28.875,28.875,1.949295,23533
1988-11-30,28.875,29.25,28.875,28.875,1.949295,16833
1988-12-01,29.25,29.25,28.875,28.875,1.949295,19700
1988-12-02,29.25,29.25,28.875,28.875,1.949295,17500
1988-12-05,28.875,29.25,28.5,28.875,1.949295,45567
1988-12-06,28.875,29.25,28.875,28.875,1.949295,14567
1988-12-07,28.875,29.25,28.875,29.25,1.974613,14767
1988-12-08,29.25,29.25,28.875,29.25,1.974613,51367
1988-12-09,28.5,28.875,28.125,28.5,1.942308,27033
1988-12-12,28.5,28.875,28.125,28.125,1.91675,43267
1988-12-13,28.125,28.5,28.125,28.125,1.91675,24833
1988-12-14,28.125,28.5,27.75,27.75,1.891195,27767
1988-12-15,28.125,28.125,27.375,27.75,1.891195,46667
1988-12-16,27.375,28.125,27.375,27.75,1.891195,24100
1988-12-19,28.125,28.5,27.75,28.125,1.91675,30200
1988-12-20,28.125,28.5,28.125,28.125,1.91675,30200
1988-12-21,28.5,28.5,27.375,27.75,1.891195,54800
1988-12-22,27.75,28.875,27.75,28.5,1.942308,69400
1988-12-23,28.125,28.5,28.125,28.125,1.91675,8333
1988-12-27,28.125,28.5,27.75,28.125,1.91675,17300
1988-12-28,28.125,28.5,28.125,28.5,1.942308,19900
1988-12-29,28.125,28.125,27.75,28.125,1.91675,19633
1988-12-30,28.125,28.5,28.125,28.5,1.942308,28567
1989-01-03,28.5,28.5,28.125,28.5,1.942308,17867
1989-01-04,28.5,28.5,28.125,28.5,1.942308,14133
1989-01-05,28.5,28.875,28.125,28.5,1.942308,25367
1989-01-06,28.875,28.875,28.125,28.5,1.942308,18267
1989-01-09,28.5,28.875,28.125,28.875,1.967863,16533
1989-01-10,28.125,28.5,28.125,28.5,1.961053,24200
1989-01-11,28.125,28.5,28.125,28.5,1.961053,16000
1989-01-12,28.125,28.5,28.125,28.125,1.935248,19867
1989-01-13,28.5,28.5,28.125,28.125,1.935248,25267
1989-01-16,28.125,28.5,27.75,27.75,1.909446,41900
1989-01-17,27.75,28.125,27.75,27.75,1.909446,23967
1989-01-18,27.375,27.75,27.375,27.375,1.883642,27067
1989-01-19,27.75,28.125,27.375,27.375,1.883642,27267
1989-01-20,27.375,27.75,27.375,27.375,1.883642,36033
1989-01-23,27.75,27.75,27.375,27.375,1.883642,23100
1989-01-24,27.375,28.125,27.375,27.75,1.909446,36600
1989-01-25,27.75,28.125,27.75,27.75,1.909446,19667
1989-01-26,28.125,28.5,27.75,28.5,1.961053,25133
1989-01-27,28.125,28.5,28.125,28.125,1.935248,17900
1989-01-30,28.125,28.5,28.125,28.125,1.935248,16667
1989-01-31,28.125,28.5,28.125,28.5,1.961053,19100
1989-02-01,28.5,28.875,28.125,28.5,1.961053,31233
1989-02-02,28.5,28.5,28.125,28.5,1.961053,17567
1989-02-03,28.125,28.5,28.125,28.125,1.935248,21967
1989-02-06,28.5,28.5,28.125,28.5,1.961053,13933
1989-02-07,28.5,28.5,28.125,28.5,1.961053,17367
1989-02-08,28.125,28.5,28.125,28.5,1.961053,23833
1989-02-09,28.125,28.5,28.125,28.5,1.98023,20733
1989-02-10,28.5,28.5,28.125,28.125,1.954172,18567
1989-02-13,28.125,28.5,27.75,28.125,1.954172,31400
1989-02-14,28.125,28.125,27.75,28.125,1.954172,26700
1989-02-15,27.75,28.125,27.75,27.75,1.928118,23700
1989-02-16,28.125,28.125,27.75,28.125,1.954172,29633
1989-02-17,28.125,28.125,27.75,27.75,1.928118,20667
1989-02-21,28.125,28.125,27.75,27.75,1.928118,20800
1989-02-22,27.75,28.125,27.75,28.125,1.954172,28267
1989-02-23,27.75,28.125,27.75,27.75,1.928118,14767
1989-02-24,27.75,28.125,27.75,27.75,1.928118,21167
1989-02-27,27.75,27.75,27.375,27.75,1.928118,29400
1989-02-28,27.75,27.75,27.375,27.75,1.928118,29000
1989-03-01,27.75,27.75,27.375,27.75,1.928118,23367
1989-03-02,27.375,27.75,27.375,27.375,1.902063,28067
1989-03-03,27.75,27.75,27.375,27.75,1.928118,28700
1989-03-06,27.375,27.75,27.375,27.75,1.928118,14967
1989-03-07,27.75,27.75,27.375,27.375,1.902063,24433
1989-03-08,27.75,27.75,27.375,27.75,1.928118,23900
1989-03-09,27.375,27.375,27.0,27.375,1.921171,26133
1989-03-10,27.0,27.375,27.0,27.375,1.921171,13200
1989-03-13,27.0,27.375,26.625,27.0,1.894852,26967
1989-03-14,26.625,27.0,26.625,27.0,1.894852,26033
1989-03-15,27.0,27.0,26.625,26.625,1.868535,30700
1989-03-16,27.0,27.0,26.625,26.625,1.868535,32300
1989-03-17,26.625,27.0,26.625,27.0,1.894852,40667
1989-03-20,26.625,27.0,25.5,26.25,1.842218,33667
1989-03-21,25.875,26.25,25.875,26.25,1.842218,25267
1989-03-22,26.25,26.625,25.875,26.625,1.868535,24267
